sgRNA	Gene	NE_GFP_low
SYCE3_73918	SYCE3	705
CYSRT1_70568	CYSRT1	311
EPS15_5724	EPS15	1720
ADAT2_60294	ADAT2	1664
NDC1_43099	NDC1	420
TLCD2_74514	TLCD2	731
RSF1_39478	RSF1	571
ARID4A_15880	ARID4A	162
INMT_30414	INMT	650
OR4L1_58523	OR4L1	1041
WISP3_23156	WISP3	950
1-Mar_41334	1-Mar	748
PPP1R42_68387	PPP1R42	1012
EFNA5_5349	EFNA5	230
FGL2_29393	FGL2	259
MYO5B_12110	MYO5B	1278
SLC22A18_13112	SLC22A18	922
CHMP1B_45080	CHMP1B	1091
CBX4_22236	CBX4	582
ASB1_39259	ASB1	1408
CTBS_4173	CTBS	611
EMC9_37545	EMC9	361
CMC2_44652	CMC2	1472
SPTBN2_18152	SPTBN2	530
MGST1_11464	MGST1	1396
TTC30A_56105	TTC30A	871
MROH8_60910	MROH8	222
KLHDC3_57653	KLHDC3	226
CYP4F11_46469	CYP4F11	731
PPM1K_62728	PPM1K	718
PLCB2_14109	PLCB2	1247
EGFR_5391	EGFR	935
RFPL3_29030	RFPL3	1236
RARS2_44880	RARS2	112
FAM109A_61371	FAM109A	556
GALNT7_39516	GALNT7	1023
FBXO21_31462	FBXO21	1487
KRTAP5-6_72839	KRTAP5-6	39
TMEM208_36472	TMEM208	582
SLMO1_28796	SLMO1	813
DDAH1_33208	DDAH1	787
NOX3_37223	NOX3	1568
OTUD1_65590	OTUD1	1575
ARG1_1097	ARG1	244
C11orf16_44370	C11orf16	1630
TNFRSF25_22773	TNFRSF25	1414
MORC3_33013	MORC3	620
CBLN2_61776	CBLN2	427
FABP2_6005	FABP2	560
VPS13B_63035	VPS13B	443
MSC_24282	MSC	486
TXNDC12_37653	TXNDC12	1103
PDGFRA_13575	PDGFRA	312
ACTR6_47796	ACTR6	1241
AZIN1_39078	AZIN1	381
GRM1_7786	GRM1	630
NMUR2_44593	NMUR2	338
LRRC48_52124	LRRC48	577
GABRA6_6758	GABRA6	1244
ARPP21_29142	ARPP21	702
DDX3X_4637	DDX3X	707
TMEM254_50876	TMEM254	693
PPP1R9B_54027	PPP1R9B	868
PKN2_14850	PKN2	417
GPHA2_64178	GPHA2	350
SERPINA11_66765	SERPINA11	255
SUGP2_27160	SUGP2	273
MAN1C1_45085	MAN1C1	741
MGST3_11470	MGST3	2999
HYAL4_33150	HYAL4	2153
C6orf15_36518	C6orf15	836
CRLF1_24286	CRLF1	485
OR2F2_60401	OR2F2	1678
ZNF784_61869	ZNF784	483
CFL1_3066	CFL1	3328
ZNF256_27249	ZNF256	926
HECTD2_61160	HECTD2	195
B4GALT5_24521	B4GALT5	578
DR1_5021	DR1	501
SYT16_52517	SYT16	1421
PGRMC1_29336	PGRMC1	854
CNEP1R1_66679	CNEP1R1	1831
RASSF7_21221	RASSF7	1324
HOXD11_8773	HOXD11	431
KLHL36_49939	KLHL36	462
AMMECR1L_52283	AMMECR1L	934
AGAP3_57880	AGAP3	630
UGT3A2_63940	UGT3A2	167
PDF_47468	PDF	321
TARP_73307	TARP	1462
CD247_2565	CD247	866
LRRC31_49926	LRRC31	1444
NKAPL_66058	NKAPL	676
HAO2_38057	HAO2	463
RBMY1B_70628	RBMY1B	295
KIAA1671_54863	KIAA1671	269
RBM24_65855	RBM24	931
NPPC_12795	NPPC	258
PPCS_49728	PPCS	2038
FGFR2_6301	FGFR2	855
ZNF366_63957	ZNF366	277
SRRM4_53762	SRRM4	995
SPINK8_74084	SPINK8	2470
MSLN_27446	MSLN	729
BHLHE41_49184	BHLHE41	470
TMEM79_53342	TMEM79	155
COA5_73381	COA5	238
IFNA2_9207	IFNA2	861
PADI2_30568	PADI2	229
EBP_28903	EBP	1157
PIGR_13950	PIGR	562
C14orf166_39193	C14orf166	891
WIBG_53419	WIBG	583
PSAP_15087	PSAP	308
C9orf142_68419	C9orf142	1010
LOC400927-CSNK1E_76437	LOC400927-CSNK1E	171
APP_994	APP	134
GADD45B_12009	GADD45B	542
GPR143_12956	GPR143	798
SLC6A11_17552	SLC6A11	645
RNF168_63868	RNF168	148
ZMYM2_20801	ZMYM2	859
C9orf3_54445	C9orf3	921
COG6_45685	COG6	2215
CCL18_17012	CCL18	443
SV2A_26357	SV2A	1564
HTR1B_9020	HTR1B	94
EBLN1_69268	EBLN1	796
OR2T12_59283	OR2T12	1885
USP24_32565	USP24	389
SEMA5A_23656	SEMA5A	414
SPSB4_56235	SPSB4	799
HPR_8806	HPR	1264
OR5V1_51876	OR5V1	682
KRT86_10425	KRT86	107
ZNF296_63589	ZNF296	698
NOL4L_60895	NOL4L	398
STPG1_55524	STPG1	1276
TRIM23_1067	TRIM23	1120
MEOX1_11367	MEOX1	861
SLC30A2_20891	SLC30A2	766
ZNF10_20480	ZNF10	1563
DYNC2H1_49546	DYNC2H1	1068
MEIS2_11339	MEIS2	474
NR2F1_19027	NR2F1	919
KRTAP21-1_68680	KRTAP21-1	585
PNKD_34186	PNKD	1672
ZNF559_53749	ZNF559	493
ACTRT2_60862	ACTRT2	1001
TM6SF2_39553	TM6SF2	694
CLEC11A_16866	CLEC11A	1876
PSMD8_15262	PSMD8	790
APOA4_952	APOA4	825
CXCR2_9465	CXCR2	447
IQGAP1_23116	IQGAP1	2218
CSNK1G2_4077	CSNK1G2	1437
KIAA0895L_74290	KIAA0895L	698
TMEM45A_41497	TMEM45A	812
SYCE1_56514	SYCE1	832
PYROXD1_50335	PYROXD1	343
CNTN5_39710	CNTN5	985
AQP10_55193	AQP10	368
FAM133A_68465	FAM133A	1036
SKAP2_23450	SKAP2	1542
OR2AT4_69289	OR2AT4	757
NDFIP2_40310	NDFIP2	730
ZNF879_69686	ZNF879	434
MSI2_58766	MSI2	862
BCKDHB_1628	BCKDHB	779
MSANTD4_53592	MSANTD4	946
FSTL5_44458	FSTL5	603
ITPR2_9880	ITPR2	1393
NKX2-5_4167	NKX2-5	783
MASP2_29061	MASP2	479
SNX27_51778	SNX27	353
AGER_498	AGER	972
GLB1L2_55252	GLB1L2	175
FBXL21_34769	FBXL21	416
SPRED3_72081	SPRED3	418
ANKRD45_68941	ANKRD45	1551
12-Sep_58732	12-Sep	288
C19orf66_42378	C19orf66	519
POFUT2_32313	POFUT2	1747
TMEM246_53409	TMEM246	1165
PLA2G2C_71916	PLA2G2C	747
CRYBG3_59958	CRYBG3	737
SMARCD2_17771	SMARCD2	744
ABCC5_26861	ABCC5	663
GLRA4_73148	GLRA4	414
SYK_18563	SYK	767
SGCB_17244	SGCB	965
RAB29_23447	RAB29	440
KAT2A_6997	KAT2A	962
DDX39A_27375	DDX39A	374
DEFB110_66135	DEFB110	952
C11orf95_48583	C11orf95	465
MEX3C_38496	MEX3C	1790
CAPS_2306	CAPS	464
UNG_19995	UNG	811
MUC13_44358	MUC13	232
DENND2D_50478	DENND2D	177
REEP3_65660	REEP3	1479
ACAD10_51253	ACAD10	141
IPO13_25554	IPO13	9
HNRNPCL3_74213	HNRNPCL3	687
NR1D1_25249	NR1D1	496
TBC1D5_25946	TBC1D5	1056
C7orf61_72571	C7orf61	386
YIPF6_68460	YIPF6	486
FAM120C_41116	FAM120C	1222
PPY_14698	PPY	568
MAP4K4_24864	MAP4K4	378
ZCCHC17_38985	ZCCHC17	540
SLC12A3_17622	SLC12A3	896
IL5RA_9432	IL5RA	576
FAM47A_63206	FAM47A	726
SPNS2_58883	SPNS2	233
GDPD1_67672	GDPD1	213
TMLHE_41969	TMLHE	1009
FRMD4A_43046	FRMD4A	420
MYZAP_76225	MYZAP	534
HIST1H2AK_21621	HIST1H2AK	303
BANF2_61015	BANF2	875
DIAPH1_4766	DIAPH1	357
IFIT2_9190	IFIT2	1436
OTOGL_67307	OTOGL	248
SETMAR_17165	SETMAR	1568
CBX3_30797	CBX3	1091
GJC3_70005	GJC3	947
DEFB132_72286	DEFB132	816
LACTB2_37842	LACTB2	224
RAB21_31448	RAB21	431
ZNF469_53872	ZNF469	828
SLC25A24_36906	SLC25A24	308
OR4X2_58196	OR4X2	217
PHACTR1_65863	PHACTR1	265
GNA12_7297	GNA12	1183
XIRP2_59690	XIRP2	993
6-Mar_27688	6-Mar	716
UCP2_19922	UCP2	776
C16orf82_63489	C16orf82	146
DDX5_4644	DDX5	241
SLC23A1_26582	SLC23A1	369
AP4E1_32798	AP4E1	1259
C14orf93_47030	C14orf93	432
7-Mar_48153	7-Mar	446
PARP6_44730	PARP6	594
API5_22251	API5	807
VPS26B_56892	VPS26B	545
TBC1D22B_42873	TBC1D22B	1633
ACKR4_39015	ACKR4	1099
CD48_2716	CD48	1173
NKD2_54889	NKD2	564
PRDM11_44763	PRDM11	483
ANKUB1_71315	ANKUB1	623
ABCD2_640	ABCD2	2365
STX1B_56850	STX1B	1742
PRR23D1_75391	PRR23D1	298
SNX8_36697	SNX8	230
CCL17_17007	CCL17	1843
HLA-B_8384	HLA-B	2988
TBC1D12_32166	TBC1D12	948
GSTA4_7888	GSTA4	431
JMY_60194	JMY	1951
CHCHD2_37946	CHCHD2	487
CNPPD1_35406	CNPPD1	769
LRRTM4_50668	LRRTM4	672
CBLN1_2436	CBLN1	503
CORO7_49326	CORO7	488
TIAF1_24225	TIAF1	721
TTLL4_25501	TTLL4	1394
C9orf3_54446	C9orf3	986
ZNF543_58959	ZNF543	72
ARHGAP1_1128	ARHGAP1	398
LMAN2L_51696	LMAN2L	128
EFHC2_51011	EFHC2	1099
ZMYM6_24173	ZMYM6	289
CCDC130_51735	CCDC130	547
HOMEZ_45966	HOMEZ	218
KLHL38_69154	KLHL38	1777
ASPSCR1_48827	ASPSCR1	865
DUSP14_30028	DUSP14	844
ZNF879_69685	ZNF879	295
MARK3_11130	MARK3	1316
OVGP1_13149	OVGP1	733
KLHL41_27755	KLHL41	456
C14orf93_47027	C14orf93	422
MSC_24281	MSC	208
SLC25A1_17685	SLC25A1	269
RIMBP2_32970	RIMBP2	672
ELSPBP1_47367	ELSPBP1	337
TC2N_58576	TC2N	556
ZYG11A_72977	ZYG11A	1119
TCEAL5_69207	TCEAL5	840
Non-Targeting Control_76521	Non-Targeting Control	4781
SNTN_60036	SNTN	684
CYP26A1_4451	CYP26A1	584
PRX_46318	PRX	1456
FZR1_38566	FZR1	1976
EPN2_31186	EPN2	1272
LGALS8_10615	LGALS8	964
TECPR1_33906	TECPR1	343
SETBP1_34425	SETBP1	862
CCDC172_70260	CCDC172	1095
OR9G4_67247	OR9G4	1399
ZNF823_42646	ZNF823	264
CWF19L1_42180	CWF19L1	565
ZC3H7B_32278	ZC3H7B	881
PRKRA_22376	PRKRA	483
RNASE8_58506	RNASE8	1175
TMEM189_70774	TMEM189	543
TPSG1_33818	TPSG1	173
Non-Targeting Control_77366	Non-Targeting Control	2876
ADGRB3_1580	ADGRB3	735
LOX_10751	LOX	965
JAGN1_53737	JAGN1	1390
HCLS1_8242	HCLS1	554
PCDHA7_44029	PCDHA7	1064
SFTPA2_74858	SFTPA2	1448
ST14_18332	ST14	1483
TMEM56_62043	TMEM56	2424
TNFRSF25_22775	TNFRSF25	348
MRPS23_39220	MRPS23	604
CRB2_68391	CRB2	683
ZNF532_41920	ZNF532	753
COPG1_30901	COPG1	292
DAZL_4533	DAZL	1009
XRCC6BP1_55839	XRCC6BP1	450
ANKRD18B_73129	ANKRD18B	949
DPP9-AS1_75351	DPP9-AS1	926
HRSP12_27508	HRSP12	672
ZNF343_49082	ZNF343	737
GNAO1_7323	GNAO1	488
LIFR_10639	LIFR	721
FAM118A_41300	FAM118A	340
RPGRIP1L_32453	RPGRIP1L	360
ZNF391_69727	ZNF391	590
WHSC1L1_40956	WHSC1L1	474
BTNL8_50333	BTNL8	399
C8A_2023	C8A	724
MYO9B_12132	MYO9B	2735
SYNGR4_33119	SYNGR4	746
CEBPA_3001	CEBPA	1386
EMILIN1_30166	EMILIN1	1411
ACTR3C_74420	ACTR3C	497
ZNF674_73649	ZNF674	1390
CCDC63_63367	CCDC63	263
JMY_60193	JMY	1595
LTF_10861	LTF	555
GHDC_53707	GHDC	510
QPCTL_40647	QPCTL	166
RTP1_60020	RTP1	534
GNA11_7295	GNA11	213
SOST_37478	SOST	524
SMYD2_44686	SMYD2	341
RUFY3_31171	RUFY3	716
RCBTB2_3112	RCBTB2	861
BAG2_25127	BAG2	213
F2RL2_5951	F2RL2	600
C4orf26_62714	C4orf26	801
NAGK_42702	NAGK	964
SCGB2B2_67831	SCGB2B2	1255
LACTBL1_74079	LACTBL1	1266
CDKN2AIP_42756	CDKN2AIP	823
OR51S1_58174	OR51S1	920
ACTN2_214	ACTN2	401
HSFX2_75255	HSFX2	991
TMEM18_59730	TMEM18	399
SERPINB11_55102	SERPINB11	809
ARHGEF17_26110	ARHGEF17	218
FAM131B_25710	FAM131B	441
PPFIA4_22098	PPFIA4	1124
POLG2_30545	POLG2	194
GAGE2A_74929	GAGE2A	681
NLRP4_61906	NLRP4	1690
C17orf112_75913	C17orf112	589
MEMO1_37697	MEMO1	320
PLEKHA5_40034	PLEKHA5	1190
HERC3_23407	HERC3	169
CDK5R1_23193	CDK5R1	134
ZBED1_24137	ZBED1	642
OR51T1_72504	OR51T1	1190
LOC100133267_75483	LOC100133267	29
OR4N2_71772	OR4N2	858
BCAR3_21875	BCAR3	989
TAF1D_48948	TAF1D	1101
IL1RN_9392	IL1RN	47
KISS1R_53895	KISS1R	1023
GNB1_7345	GNB1	498
LRRC61_48589	LRRC61	725
ZNF746_62968	ZNF746	1067
C11orf88_72157	C11orf88	1430
PCSK1_13456	PCSK1	1060
C1orf168_64609	C1orf168	868
PDXP_44866	PDXP	886
SULF2_43779	SULF2	966
MICU1_27863	MICU1	655
SDHD_17100	SDHD	158
DKK1_31305	DKK1	1004
OR6K6_59532	OR6K6	1229
LINGO2_63093	LINGO2	709
RHPN2_54899	RHPN2	1120
MFRP_52236	MFRP	191
CTAGE5_11446	CTAGE5	2345
CYB5B_51356	CYB5B	617
ANKRD16_40149	ANKRD16	1243
HGF_8319	HGF	830
PRIM1_14755	PRIM1	53
RNF219_49353	RNF219	1266
OLR1_13028	OLR1	1117
LOC113230_56965	LOC113230	638
CYBRD1_50313	CYBRD1	1268
OR2T2_72528	OR2T2	216
DNAJC6_26114	DNAJC6	524
EPB41L2_5632	EPB41L2	397
MYO1D_12100	MYO1D	389
MPND_54600	MPND	485
SLC35B2_69875	SLC35B2	414
NECAB2_40221	NECAB2	161
CST3_4132	CST3	1191
SLC23A3_62488	SLC23A3	521
GORAB_56220	GORAB	599
PRPH2_15969	PRPH2	581
FAM163A_62068	FAM163A	447
SMIM23_73970	SMIM23	525
AGBL1_58629	AGBL1	543
KIF2B_53918	KIF2B	109
TTC27_42829	TTC27	15
PI4KB_14004	PI4KB	1387
BOLL_48622	BOLL	1005
ADAMTS8_30100	ADAMTS8	721
HIST1H2BB_8125	HIST1H2BB	1091
TRPM4_40579	TRPM4	181
COL5A1_3588	COL5A1	1464
TMEM106B_40375	TMEM106B	578
KRTAP10-2_70679	KRTAP10-2	966
UGT1A3_40363	UGT1A3	552
CCDC50_62632	CCDC50	621
EIF5AL1_61153	EIF5AL1	178
DCP2_63945	DCP2	562
C9orf139_72487	C9orf139	579
RFC5_16047	RFC5	61
PSMG2_44774	PSMG2	88
SCRN2_55503	SCRN2	215
FGF4_6248	FGF4	895
OR4A16_51549	OR4A16	1601
OLA1_36622	OLA1	718
ZNF804B_65322	ZNF804B	1791
ARHGDIG_1151	ARHGDIG	562
CAV1_2387	CAV1	711
NSDHL_37360	NSDHL	256
CLCNKA_3371	CLCNKA	322
NHLH2_12600	NHLH2	628
MARCKS_10942	MARCKS	293
ZNF248_45275	ZNF248	876
HIST1H2BK_54757	HIST1H2BK	185
LIX1_63953	LIX1	1113
MIEF1_40014	MIEF1	444
ALB_590	ALB	609
TNKS_22587	TNKS	258
OR2G3_51581	OR2G3	801
NUP43_69996	NUP43	159
ANKMY1_38343	ANKMY1	626
UBOX5_31124	UBOX5	646
KRBA2_58805	KRBA2	145
IRF1_9698	IRF1	404
FBXO11_50898	FBXO11	1755
TRIM7_51893	TRIM7	586
MAP3K4_11349	MAP3K4	678
PSPN_14982	PSPN	1364
KRTAP10-2_70678	KRTAP10-2	587
MAP3K13_24096	MAP3K13	1256
HHIPL1_53595	HHIPL1	226
CCL28_44260	CCL28	305
GIMAP8_62956	GIMAP8	414
SAXO2_67477	SAXO2	294
EFNA3_5343	EFNA3	369
OR2T12_59284	OR2T12	1906
GNB3_7356	GNB3	492
B4GAT1_29934	B4GAT1	420
SLC4A8_25013	SLC4A8	108
ITGB3_9806	ITGB3	458
TYMS_19788	TYMS	927
OR8G5_65405	OR8G5	1108
SETBP1_34424	SETBP1	198
KCNE3_26716	KCNE3	996
RCN3_45355	RCN3	813
ACCSL_71623	ACCSL	607
SZRD1_34573	SZRD1	244
LBX1_28838	LBX1	1027
GALNT14_49415	GALNT14	401
DLGAP3_46646	DLGAP3	1045
ZNF74_20593	ZNF74	2217
ESR2_5808	ESR2	1083
CCBL1_2458	CCBL1	275
B4GALT4_22723	B4GALT4	255
LOC100129940_75249	LOC100129940	990
CEP104_25775	CEP104	303
CHL1_29071	CHL1	708
ERI2_56798	ERI2	1741
OR10T2_59513	OR10T2	1236
GBGT1_34984	GBGT1	244
EPB41L5_46178	EPB41L5	820
CAPS2_54067	CAPS2	1497
ILVBL_29792	ILVBL	322
PRSS41_70227	PRSS41	1450
BMPER_64035	BMPER	408
CNTN4_62655	CNTN4	346
UAP1_18035	UAP1	857
ZADH2_67710	ZADH2	616
SLC25A46_55745	SLC25A46	2449
VWA9_51681	VWA9	334
LILRB2_27647	LILRB2	1239
RBMXL2_35932	RBMXL2	345
HTR2A_9034	HTR2A	740
CYP2A7_4349	CYP2A7	1052
ARHGEF1_23985	ARHGEF1	568
BMPR1B_1808	BMPR1B	1244
ZNF69_20588	ZNF69	1021
RASAL3_48264	RASAL3	418
ANKLE1_59184	ANKLE1	269
MYC_11996	MYC	447
MEI4_76375	MEI4	355
KIAA0040_25570	KIAA0040	1750
CDADC1_51754	CDADC1	492
SLC22A14_24687	SLC22A14	783
ZNF214_20831	ZNF214	492
TRIM23_1066	TRIM23	836
NAMPT_27118	NAMPT	211
KCNH2_10023	KCNH2	856
MYO6_12113	MYO6	468
LRRC56_57485	LRRC56	219
KEAP1_26070	KEAP1	1223
CFL1_3065	CFL1	611
MVD_11946	MVD	882
STX8_24976	STX8	710
TMEM265_76245	TMEM265	827
GPR39_7619	GPR39	398
HS3ST1_26563	HS3ST1	756
TMEM8A_46710	TMEM8A	223
SLCO6A1_60158	SLCO6A1	816
FSD1_49109	FSD1	631
CCL2_16962	CCL2	558
RNASE2_16178	RNASE2	641
GK_7177	GK	738
ATXN7L3_44735	ATXN7L3	458
TNFRSF13C_57523	TNFRSF13C	621
PKLR_14045	PKLR	525
ADM_365	ADM	370
MCEMP1_64550	MCEMP1	1864
REM2_63412	REM2	334
GPSM3_47191	GPSM3	790
FAM212A_71282	FAM212A	501
SERPINB13_13927	SERPINB13	200
DIP2C_31365	DIP2C	809
PRR16_38538	PRR16	193
TMIE_66956	TMIE	927
ATP5O_1494	ATP5O	359
MFNG_11420	MFNG	760
CLPSL1_69114	CLPSL1	543
KRTAP4-5_54765	KRTAP4-5	775
CCDC39_69031	CCDC39	686
PET100_75397	PET100	763
CREBRF_62760	CREBRF	1253
PHKA1_13862	PHKA1	802
PNMA6A_54644	PNMA6A	955
NCOA3_21397	NCOA3	492
ZNF564_63613	ZNF564	1232
PTGR1_31318	PTGR1	525
NAALAD2_26693	NAALAD2	712
NLGN1_31061	NLGN1	384
POPDC3_47520	POPDC3	328
RNASE6_16191	RNASE6	779
HRCT1_74160	HRCT1	243
TINAGL1_47440	TINAGL1	268
HOMER1_24892	HOMER1	1390
OR2B11_59391	OR2B11	760
VOPP1_51665	VOPP1	597
KRT34_10398	KRT34	508
SLCO1C1_39695	SLCO1C1	428
ZAR1_68569	ZAR1	506
KDM4E_71722	KDM4E	1065
PPP2R5A_14643	PPP2R5A	827
OR4N4_67469	OR4N4	2034
PDX1_9673	PDX1	2251
MIIP_46986	MIIP	577
ANKRD26_30999	ANKRD26	876
JAZF1_65903	JAZF1	487
ASIC4_42594	ASIC4	437
WDR37_31111	WDR37	512
OR11L1_71947	OR11L1	962
MOS_11684	MOS	521
SLCO2B1_30718	SLCO2B1	382
MORN5_66535	MORN5	225
DPP9_55711	DPP9	127
SEMA4C_40972	SEMA4C	452
PATL1_65512	PATL1	777
SDF4_37972	SDF4	572
FOXF2_6377	FOXF2	1624
C1QTNF8_71837	C1QTNF8	761
SNX32_66411	SNX32	622
OR7G1_58976	OR7G1	1213
KAT2B_23190	KAT2B	635
BMPR2_1812	BMPR2	319
LANCL3_69810	LANCL3	790
C16orf62_44859	C16orf62	645
FAM114A2_29280	FAM114A2	668
GATS_70036	GATS	950
SHMT1_17317	SHMT1	818
APOL3_51420	APOL3	1486
HLA-DOB_8408	HLA-DOB	224
UQCC1_42061	UQCC1	366
NRK_65105	NRK	2051
GSX1_65221	GSX1	260
PRAC2_70223	PRAC2	380
N4BP1_25598	N4BP1	787
SIKE1_50773	SIKE1	330
NR6A1_7002	NR6A1	419
CLEC2B_26621	CLEC2B	504
TRMT13_40044	TRMT13	797
SEMA3G_44586	SEMA3G	319
SLC4A10_45341	SLC4A10	760
ARHGAP24_52164	ARHGAP24	562
TEX28_4300	TEX28	352
BARHL1_44405	BARHL1	757
HIST1H4J_21750	HIST1H4J	443
TICAM1_61940	TICAM1	312
PRAMEF7_73207	PRAMEF7	178
ASPRV1_62514	ASPRV1	753
DHCR7_4738	DHCR7	541
KLHL36_49940	KLHL36	1177
DNAJB4_30061	DNAJB4	980
ZNF208_20822	ZNF208	1306
PHB2_30782	PHB2	7
LRRC63_65616	LRRC63	1016
ZNF462_46605	ZNF462	544
GPR78_35798	GPR78	721
FAM184A_49451	FAM184A	1523
CDH12_2876	CDH12	163
F10_5974	F10	494
PDXP_44865	PDXP	219
SYT2_59434	SYT2	533
NPAT_12765	NPAT	650
PABPC1_35355	PABPC1	217
TACR1_18617	TACR1	26
PPAT_14511	PPAT	1797
GUCY1A3_8006	GUCY1A3	151
OR5H2_49153	OR5H2	369
ARRDC5_74025	ARRDC5	228
LDB3_30296	LDB3	428
PHKA2_13865	PHKA2	655
TFCP2L1_36655	TFCP2L1	317
MCM3AP_23310	MCM3AP	69
ADAMTS17_64218	ADAMTS17	909
P2RY4_13204	P2RY4	463
VTI1B_28271	VTI1B	540
TTC21A_64548	TTC21A	731
MAP4K2_15676	MAP4K2	234
CTNNA2_4206	CTNNA2	1098
ZNF806_74150	ZNF806	505
HIST1H2BA_66636	HIST1H2BA	776
PLCXD2_66854	PLCXD2	942
AIDA_48176	AIDA	799
MMP16_11634	MMP16	539
ELMO2_47127	ELMO2	2126
WFDC5_62226	WFDC5	874
GLI1_7220	GLI1	909
KMT2D_21266	KMT2D	516
KRT71_56858	KRT71	672
ACTL9_67813	ACTL9	550
ZRANB1_40525	ZRANB1	1309
PTPRJ_15494	PTPRJ	322
SPINK9_73795	SPINK9	1102
GTPBP1_25233	GTPBP1	545
FCN3_22282	FCN3	301
PIAS3_27967	PIAS3	272
OLFML2B_34040	OLFML2B	1161
C1QTNF2_57331	C1QTNF2	1626
KRT34_10399	KRT34	423
EPOR_5709	EPOR	227
LRRC36_42190	LRRC36	230
FATE1_55214	FATE1	642
LY6G6C_51286	LY6G6C	767
KCNJ14_10071	KCNJ14	596
STAG3_29016	STAG3	159
CHST7_44281	CHST7	486
CDT1_51811	CDT1	320
C17orf80_41363	C17orf80	181
KRT84_10420	KRT84	168
KIAA0907_31128	KIAA0907	496
LHX2_24581	LHX2	425
PET100_75399	PET100	839
OSBPL7_57308	OSBPL7	638
SLC35G1_63291	SLC35G1	496
DPYSL2_5016	DPYSL2	216
PEX11A_23019	PEX11A	1091
TRDN_27814	TRDN	1075
OXT_13168	OXT	654
DIRC1_57638	DIRC1	1305
MRGPRD_57789	MRGPRD	533
MRRF_56244	MRRF	706
OR7C2_35233	OR7C2	694
GRAMD4_31883	GRAMD4	1622
KRTAP4-11_74266	KRTAP4-11	1165
PCSK1_13453	PCSK1	1358
FBXL4_34812	FBXL4	1063
RAB32_29747	RAB32	1035
CA8_2122	CA8	617
C19orf73_41729	C19orf73	392
GABRA1_6739	GABRA1	786
PECR_43500	PECR	829
ACYP2_251	ACYP2	889
PHLDB1_32007	PHLDB1	142
C10orf105_72752	C10orf105	1649
MOV10_11685	MOV10	1518
Non-Targeting Control_77257	Non-Targeting Control	3066
ARMS2_70823	ARMS2	504
C6orf222_71380	C6orf222	569
CLEC10A_28163	CLEC10A	599
ARMC2_52843	ARMC2	665
DEFB106A_66124	DEFB106A	71
GPX8_73404	GPX8	878
B3GNT6_64325	B3GNT6	656
FAM127B_34507	FAM127B	2193
PSG5_15119	PSG5	522
SCN3A_16890	SCN3A	449
ST8SIA3_37619	ST8SIA3	1264
ERBB2IP_43728	ERBB2IP	1194
TMPRSS4_44318	TMPRSS4	428
MZF1_20571	MZF1	862
IL2RG_9407	IL2RG	979
ADGRE3_53953	ADGRE3	729
CRYGB_3973	CRYGB	1816
LOC388780_71190	LOC388780	698
SUCLG2_23024	SUCLG2	1185
FAM83C_59643	FAM83C	232
LYPD3_35518	LYPD3	737
C5AR2_35800	C5AR2	299
NAP1L2_12195	NAP1L2	1276
NRSN2_50630	NRSN2	572
SMTNL2_69404	SMTNL2	433
SYNDIG1_50443	SYNDIG1	697
RALGPS2_41573	RALGPS2	254
KCNQ1_10117	KCNQ1	1149
TIGD2_63916	TIGD2	572
POLR2D_14375	POLR2D	337
RGPD8_74494	RGPD8	670
GRIFIN_72575	GRIFIN	729
PHEX_13850	PHEX	864
TFG_27802	TFG	435
DTX1_5131	DTX1	582
SPNS3_64887	SPNS3	456
ZNF182_20515	ZNF182	383
CFP_13713	CFP	857
GFM1_55022	GFM1	452
LRRC71_62195	LRRC71	629
PCDH15_48458	PCDH15	610
XBP1_20327	XBP1	727
NPDC1_44328	NPDC1	273
EIF2B4_23316	EIF2B4	795
LGALSL_36454	LGALSL	1547
ZNF658_34663	ZNF658	1002
MPP2_11716	MPP2	457
GLUL_7269	GLUL	65
COX6B2_58981	COX6B2	1161
OCIAD2_60050	OCIAD2	1147
FAM136A_54439	FAM136A	233
ZSCAN4_64905	ZSCAN4	1162
LOC100129924_75246	LOC100129924	438
TVP23C-CDRT4_76180	TVP23C-CDRT4	1393
FN3KRP_49587	FN3KRP	647
ETV7_38915	ETV7	861
MPO_11708	MPO	803
FSTL4_31746	FSTL4	265
MED12L_57848	MED12L	1071
MYO1C_12095	MYO1C	720
RNF103-CHMP3_76026	RNF103-CHMP3	599
GPANK1_21079	GPANK1	699
MTHFS_28590	MTHFS	146
RNASEL_16193	RNASEL	1420
OR6K2_51574	OR6K2	1017
PDPN_28729	PDPN	589
SPG11_50914	SPG11	565
ATOH1_1322	ATOH1	1034
JOSD1_26470	JOSD1	675
GFI1_7066	GFI1	350
BTG3_29643	BTG3	291
CDC42BPB_25269	CDC42BPB	258
CCT6B_28934	CCT6B	1568
LENG9_56672	LENG9	837
ABCA12_34680	ABCA12	567
ZFY_20440	ZFY	934
TMEM233_70892	TMEM233	765
MSRB2_31242	MSRB2	315
SULT1B1_35915	SULT1B1	1238
CCDC92_50924	CCDC92	662
CDCP1_48215	CDCP1	1012
VSIG1_69212	VSIG1	2961
ADCYAP1R1_313	ADCYAP1R1	426
ANKRD45_68943	ANKRD45	449
DECR1_4675	DECR1	2607
HDAC11_50255	HDAC11	125
AK3_37343	AK3	619
TSPAN9_29365	TSPAN9	445
MUM1_54547	MUM1	406
TMSB15B_68476	TMSB15B	1856
