sgRNA	Gene	Clip2_8_IN8_treatment_BC23_IGO_09496_15_S15
CLEC2A_70867	CLEC2A	67
E2F1_5204	E2F1	33
OR14J1_73242	OR14J1	140
LY86_24868	LY86	23
ZSCAN21_20563	ZSCAN21	30
RAI2_29040	RAI2	99
BECN2_73216	BECN2	20
NKX2-8_34857	NKX2-8	75
SLC22A11_43621	SLC22A11	29
CD1A_2530	CD1A	78
CUL9_31770	CUL9	18
CPN2_3811	CPN2	26
HORMAD2_62299	HORMAD2	12
LRRC66_69069	LRRC66	32
EMP1_5552	EMP1	5
WIPF3_73911	WIPF3	32
ATAD2B_39950	ATAD2B	60
UBTF_19899	UBTF	41
PRDX4_28447	PRDX4	37
SLA2_53056	SLA2	53
SMIM14_64951	SMIM14	65
LRRC4B_56646	LRRC4B	64
WAS_20213	WAS	103
SCGB1A1_19938	SCGB1A1	59
LOC389602_71424	LOC389602	32
MYH13_22830	MYH13	38
RIMKLB_45628	RIMKLB	38
ENTPD7_44942	ENTPD7	21
TIMM21_36441	TIMM21	33
KCNE2_26670	KCNE2	45
OIP5_30814	OIP5	39
RCC2_43744	RCC2	35
FAM173A_48564	FAM173A	46
RCBTB2_3111	RCBTB2	72
SLTM_50012	SLTM	26
CREBL2_3874	CREBL2	88
FBXL16_61569	FBXL16	63
RBM27_39928	RBM27	10
XKRY2_70190	XKRY2	80
LTK_10866	LTK	33
PIGO_54104	PIGO	42
ZBTB21_37171	ZBTB21	100
METTL21A_62454	METTL21A	13
VRK2_20193	VRK2	53
KRTAP19-2_68647	KRTAP19-2	127
TGM2_19127	TGM2	35
PTGDR2_30599	PTGDR2	20
PADI4_33203	PADI4	90
GZMB_8070	GZMB	64
APOA5_57794	APOA5	24
CEACAM20_58961	CEACAM20	53
CD40LG_2701	CD40LG	59
POLR1C_25130	POLR1C	9
TMEM214_40825	TMEM214	38
SOX5_17987	SOX5	64
TM7SF2_19323	TM7SF2	21
SLC5A4_17510	SLC5A4	38
SFXN5_56681	SFXN5	41
SWI5_70549	SWI5	22
OXCT2_47279	OXCT2	24
RYK_16696	RYK	35
ZFP2_50699	ZFP2	134
DACT1_38554	DACT1	61
ZNF385B_62442	ZNF385B	68
THSD7A_65940	THSD7A	55
NINJ1_12614	NINJ1	83
SMCO2_69308	SMCO2	49
REEP3_65660	REEP3	39
NECAB1_47490	NECAB1	119
ZNF581_38998	ZNF581	16
SHMT2_17323	SHMT2	62
TCEA1_18789	TCEA1	31
METTL5_36409	METTL5	119
MTMR2_23347	MTMR2	41
UGT8_19973	UGT8	4
ZBED6CL_57051	ZBED6CL	58
ATRNL1_34398	ATRNL1	34
NUP205_31930	NUP205	28
SSTR1_18284	SSTR1	27
C9orf40_41480	C9orf40	73
DYNC1I1_4923	DYNC1I1	28
GPR143_12955	GPR143	82
Non-Targeting Control_76951	Non-Targeting Control	162
RAB39A_40458	RAB39A	82
SPNS2_58884	SPNS2	11
FAM24B_64468	FAM24B	33
RAF1_15761	RAF1	71
HTRA4_65046	HTRA4	68
TMEM56-RWDD3_76071	TMEM56-RWDD3	35
ARL6_52902	ARL6	40
NELFE_21102	NELFE	68
ERV3-1_5792	ERV3-1	55
GLI3_7228	GLI3	9
OR7A10_71871	OR7A10	28
PGM2L1_67256	PGM2L1	20
NANOS2_68921	NANOS2	105
FLT3LG_6477	FLT3LG	73
PLSCR3_44894	PLSCR3	114
DEFB112_66137	DEFB112	94
WBSCR27_62982	WBSCR27	70
RTP3_52270	RTP3	43
SAP130_49349	SAP130	31
LTBP3_10850	LTBP3	9
ZBED4_26317	ZBED4	136
PRDX6_25308	PRDX6	9
INA_23909	INA	80
FOXB1_35424	FOXB1	87
PIK3C2A_13955	PIK3C2A	3
FAM200A_65882	FAM200A	41
LRRIQ4_69613	LRRIQ4	123
NKIRAS2_36175	NKIRAS2	29
AVPR1A_1525	AVPR1A	155
ADCY9_307	ADCY9	53
OR4S1_66720	OR4S1	98
ABO_80	ABO	29
PLA2G6_21829	PLA2G6	16
FANCD2OS_57567	FANCD2OS	36
WDR44_40143	WDR44	125
QKI_24845	QKI	86
CHSY3_68602	CHSY3	22
DCAF12L1_60667	DCAF12L1	91
RIMKLB_45627	RIMKLB	35
ZNF28_20536	ZNF28	21
UIMC1_39369	UIMC1	26
DLG4_4813	DLG4	36
SST_18279	SST	69
OTOL1_59920	OTOL1	10
ITGB7_9825	ITGB7	27
C4orf32_60088	C4orf32	167
OR4K5_49156	OR4K5	110
SIN3A_34156	SIN3A	49
IQCF1_60022	IQCF1	125
Non-Targeting Control_76917	Non-Targeting Control	138
PDE8A_13553	PDE8A	32
CXorf56_47174	CXorf56	29
DGKZ_22194	DGKZ	255
WFDC10A_61007	WFDC10A	17
RNF217_62881	RNF217	71
TXNDC2_53109	TXNDC2	67
LOC100130880_75321	LOC100130880	69
FAM221A_69137	FAM221A	48
TMEM200C_73999	TMEM200C	56
SYCE1_56513	SYCE1	58
OR2T10_59295	OR2T10	94
Non-Targeting Control_76734	Non-Targeting Control	168
SULF2_43779	SULF2	87
FOXE1_6414	FOXE1	36
WDYHV1_41543	WDYHV1	26
ARID3A_5054	ARID3A	11
HOOK2_36766	HOOK2	22
AK4_566	AK4	45
PTCH1_15311	PTCH1	26
KATNBL1_49887	KATNBL1	15
ITIH3_9843	ITIH3	70
GP5_7454	GP5	49
FAM72C_73575	FAM72C	51
WDR35_45776	WDR35	31
KRR1_30134	KRR1	71
SFTPC_17230	SFTPC	4
ATP1B3_1357	ATP1B3	20
MYLK2_54845	MYLK2	50
STX6_27434	STX6	75
OR2T34_59290	OR2T34	155
CCL1_16960	CCL1	55
LOC286238_68412	LOC286238	42
B3GNTL1_61634	B3GNTL1	15
METTL22_48922	METTL22	63
KCNMB4_36089	KCNMB4	108
FAM71F1_54044	FAM71F1	45
FAM21C_66339	FAM21C	5
FBXO33_66418	FBXO33	32
CNPY4_66115	CNPY4	26
ACAP2_33057	ACAP2	60
Non-Targeting Control_76578	Non-Targeting Control	129
CCDC30_74740	CCDC30	65
Non-Targeting Control_77145	Non-Targeting Control	149
PTF1A_66737	PTF1A	19
TNFRSF4_19765	TNFRSF4	187
CXorf51A_75192	CXorf51A	88
ARSF_1215	ARSF	3
DERA_37693	DERA	72
SLC6A16_36243	SLC6A16	5
FOCAD_40982	FOCAD	82
RBM24_65855	RBM24	46
SCOC_46967	SCOC	64
KCNJ3_10036	KCNJ3	15
ORAI3_56451	ORAI3	95
ISL1_9734	ISL1	41
LVRN_65181	LVRN	124
HIST1H2BC_21686	HIST1H2BC	49
XKRX_72562	XKRX	113
SUCNR1_44361	SUCNR1	5
DET1_41477	DET1	47
GRIA2_7709	GRIA2	55
CAMK2N2_56656	CAMK2N2	35
BMP7_1794	BMP7	21
GEMIN4_37287	GEMIN4	18
ZDHHC11_50128	ZDHHC11	49
CRISPLD1_52361	CRISPLD1	75
Non-Targeting Control_77432	Non-Targeting Control	156
GNG2_39848	GNG2	21
SAP30L_49633	SAP30L	57
COMMD10_38690	COMMD10	78
Non-Targeting Control_76942	Non-Targeting Control	113
Non-Targeting Control_76751	Non-Targeting Control	206
PM20D1_62078	PM20D1	15
RNF125_41076	RNF125	53
FOXS1_6425	FOXS1	96
KRTAP10-4_70654	KRTAP10-4	50
LRP1_10788	LRP1	13
MAU2_32643	MAU2	87
NEUROD1_12469	NEUROD1	57
PTPRO_15515	PTPRO	6
FOLR2_6539	FOLR2	15
NUDT15_42143	NUDT15	42
CASQ2_2373	CASQ2	17
AGL_502	AGL	76
OR6S1_69349	OR6S1	34
CCDC23_70408	CCDC23	40
TNRC6C_46227	TNRC6C	97
AMELY_724	AMELY	136
ZSCAN12_25860	ZSCAN12	20
TSNARE1_65025	TSNARE1	59
MAGIX_50349	MAGIX	131
SEC14L1_17106	SEC14L1	34
EFHB_62548	EFHB	92
MGAT4A_30751	MGAT4A	28
FAM107A_30355	FAM107A	32
ASPM_66970	ASPM	14
YWHAE_20394	YWHAE	108
CBL_2428	CBL	44
HTR1B_9018	HTR1B	35
ANO1_41586	ANO1	28
SFXN1_56676	SFXN1	34
CEP126_45854	CEP126	31
ZNF8_20471	ZNF8	17
PFKFB3_13746	PFKFB3	27
A4GALT_39715	A4GALT	51
LRSAM1_55595	LRSAM1	45
ZNF169_64100	ZNF169	51
C3orf52_49577	C3orf52	58
LCK_10529	LCK	71
GNAI1_7306	GNAI1	33
ITIH6_69807	ITIH6	26
KDF1_59210	KDF1	21
LUZP1_20921	LUZP1	120
HIST1H1E_8095	HIST1H1E	32
PCDHB1_36822	PCDHB1	41
TMEM191B_74599	TMEM191B	138
ACVR2A_231	ACVR2A	36
MOB1A_42026	MOB1A	87
PLTP_14221	PLTP	9
ACSS2_43698	ACSS2	39
PRKAG3_39608	PRKAG3	186
SEZ6L_33112	SEZ6L	19
OOEP_73072	OOEP	64
PCDHGB1_43903	PCDHGB1	14
SIRT4_32729	SIRT4	36
ADGRA1_53583	ADGRA1	6
LCAT_10525	LCAT	21
TRH_19575	TRH	86
KRT84_10420	KRT84	13
PDGFB_13571	PDGFB	60
STAT3_18351	STAT3	7
RAB4A_15659	RAB4A	25
SOCS5_25507	SOCS5	74
ZBTB12_65840	ZBTB12	102
PCDHB6_43983	PCDHB6	55
AGTR1_518	AGTR1	37
CEP78_52955	CEP78	50
IFIT3_9199	IFIT3	13
STIM2_46045	STIM2	78
ITFG3_52736	ITFG3	41
MED12_26596	MED12	125
PHOX2A_1162	PHOX2A	48
LCE1F_70075	LCE1F	93
MACROD1_36329	MACROD1	24
SLC39A6_33743	SLC39A6	36
PRAMEF1_48437	PRAMEF1	33
SDHAF1_73900	SDHAF1	78
CRCT1_40205	CRCT1	77
UAP1_18034	UAP1	65
CXorf67_69235	CXorf67	40
GDPD2_40790	GDPD2	82
LMBRD1_43380	LMBRD1	24
KCNQ3_10125	KCNQ3	41
SMTNL2_69402	SMTNL2	55
DVL3_5189	DVL3	33
MAGEA1_10999	MAGEA1	119
RNASEK_72930	RNASEK	96
OPRK1_13059	OPRK1	36
CCDC61_74922	CCDC61	20
IGFN1_55756	IGFN1	38
GJC3_70006	GJC3	85
INPP4B_23096	INPP4B	104
ANKRD26_31000	ANKRD26	81
ZNF705B_75435	ZNF705B	85
FAM47B_64112	FAM47B	205
IGSF22_67294	IGSF22	75
RP9_16262	RP9	31
HUS1B_60357	HUS1B	51
FAM98C_61920	FAM98C	39
LSM5_33437	LSM5	5
PAGE2_65125	PAGE2	197
Non-Targeting Control_76679	Non-Targeting Control	317
LRRC41_28265	LRRC41	4
TREML4_68293	TREML4	66
KCNC4_9992	KCNC4	21
SLC28A2_24041	SLC28A2	74
CYP2C8_4370	CYP2C8	31
IQCH_48096	IQCH	26
PLAC1_29087	PLAC1	319
FOXP2_56624	FOXP2	51
DDX26B_65109	DDX26B	64
FNBP1L_40847	FNBP1L	13
UCP2_19922	UCP2	52
SMIM9_75462	SMIM9	69
AMIGO1_45522	AMIGO1	37
GNPNAT1_48144	GNPNAT1	25
Non-Targeting Control_76468	Non-Targeting Control	165
FGF6_6254	FGF6	57
KLHDC8B_64802	KLHDC8B	56
RPH3AL_25026	RPH3AL	77
TXNDC12_37653	TXNDC12	24
OR14A16_67913	OR14A16	25
SIM2_17383	SIM2	57
KCNN2_10106	KCNN2	20
INSL5_26765	INSL5	42
TMEM145_67756	TMEM145	15
MKI67_11514	MKI67	29
SH3TC1_39915	SH3TC1	34
SPDYC_70854	SPDYC	33
CREM_3878	CREM	26
RNF223_72519	RNF223	22
EPHB1_5671	EPHB1	105
GABRB2_6767	GABRB2	68
MYBL1_11970	MYBL1	35
KCNQ4_23968	KCNQ4	56
ZNF177_20760	ZNF177	60
ADH1C_342	ADH1C	31
EFHD1_51060	EFHD1	46
MED14_24390	MED14	15
ATP6V1C2_66191	ATP6V1C2	35
MAP4K2_15675	MAP4K2	52
C6orf48_37419	C6orf48	36
ESX1_51240	ESX1	89
JDP2_58559	JDP2	20
PHLPP2_31534	PHLPP2	135
C15orf61_61485	C15orf61	118
GOLGA8O_74541	GOLGA8O	57
HOXB4_8691	HOXB4	54
KLRG2_69771	KLRG2	86
ZNF560_61851	ZNF560	25
CXADR_4293	CXADR	37
PEX11B_23013	PEX11B	9
PSG4_15113	PSG4	47
GIMAP1_64174	GIMAP1	45
SMIM7_48899	SMIM7	12
CAMSAP2_32301	CAMSAP2	47
BPIFA1_38405	BPIFA1	64
TCF21_18872	TCF21	27
DNAJC10_39900	DNAJC10	6
LRRIQ4_69614	LRRIQ4	44
GLUL_7271	GLUL	90
MR1_8464	MR1	27
EFCC1_50060	EFCC1	11
OR5H1_35003	OR5H1	44
GSG1_52104	GSG1	21
LDLR_10565	LDLR	14
CD164_22907	CD164	56
Non-Targeting Control_77192	Non-Targeting Control	90
KLK10_15079	KLK10	50
APLN_23228	APLN	183
IFRD1_9284	IFRD1	65
FAM118B_49378	FAM118B	38
FGF7_6260	FGF7	51
ZNF649_48481	ZNF649	23
CD69_2738	CD69	121
KDELC1_48849	KDELC1	19
CPNE6_24602	CPNE6	6
ILKAP_51459	ILKAP	52
NRG4_61511	NRG4	35
ZCCHC3_54835	ZCCHC3	12
ZNF550_63587	ZNF550	83
COTL1_32719	COTL1	96
OR1N2_60637	OR1N2	56
JADE3_25908	JADE3	115
RHCG_38810	RHCG	56
SPINK8_74083	SPINK8	84
C9orf91_65064	C9orf91	40
ZNF829_70376	ZNF829	64
LOC730183_75058	LOC730183	34
CES4A_67511	CES4A	64
KDM5B_29102	KDM5B	102
GNB4_46802	GNB4	81
ZNF513_59832	ZNF513	141
ENAH_43207	ENAH	62
ZHX1-C8orf76_76155	ZHX1-C8orf76	56
Non-Targeting Control_76927	Non-Targeting Control	179
OMD_13012	OMD	72
CUX1_4286	CUX1	88
LTB_10833	LTB	73
Non-Targeting Control_76888	Non-Targeting Control	134
CSF3_4032	CSF3	25
EFCAB12_55379	EFCAB12	7
CC2D2A_45797	CC2D2A	114
ENPP1_13618	ENPP1	43
FAM21C_66337	FAM21C	57
ASPDH_73569	ASPDH	41
SIAH1_17340	SIAH1	37
RFX3_16072	RFX3	52
DYRK3_21946	DYRK3	21
POMGNT2_54389	POMGNT2	119
KCNMB2_27488	KCNMB2	60
HHIPL2_49988	HHIPL2	15
VCX3A_38860	VCX3A	9
MBD1_11177	MBD1	58
DCP1B_64443	DCP1B	44
MBD3L4_74382	MBD3L4	31
UNC45A_43683	UNC45A	24
SPANXN4_73162	SPANXN4	49
SLC44A5_65153	SLC44A5	16
TAS2R3_37366	TAS2R3	71
MADD_22347	MADD	59
LDLRAD4_2073	LDLRAD4	20
EYA2_5922	EYA2	18
APRT_999	APRT	142
FMR1_6512	FMR1	27
NT5DC1_65739	NT5DC1	15
DAW1_63800	DAW1	32
KCNK5_22548	KCNK5	6
CNDP2_43236	CNDP2	32
GAD2_6810	GAD2	89
OPTC_34850	OPTC	29
TRPV6_42553	TRPV6	9
YBX2_37753	YBX2	3
HES7_53980	HES7	9
ARHGAP36_63213	ARHGAP36	61
FKBP10_47013	FKBP10	7
MMP10_11612	MMP10	44
OR10T2_59513	OR10T2	57
MCM4_11244	MCM4	8
HTR3E_68082	HTR3E	15
IFI16_9176	IFI16	63
SLFNL1_64669	SLFNL1	36
C17orf105_67609	C17orf105	62
TP63_22483	TP63	94
A4GALT_39717	A4GALT	73
ZNF620_66325	ZNF620	28
PLD3_33409	PLD3	26
C1orf21_51700	C1orf21	9
YOD1_42509	YOD1	13
RNF186_40212	RNF186	52
TMEM233_70892	TMEM233	16
CFAP47_68461	CFAP47	65
AXL_1538	AXL	67
SLC6A4_17531	SLC6A4	36
SGK223_62997	SGK223	72
ZFP37_20422	ZFP37	37
PNMA6A_54646	PNMA6A	42
PPP2R2B_14628	PPP2R2B	35
PAPOLG_48223	PAPOLG	69
ZFR_39258	ZFR	51
DPY30_53966	DPY30	10
DCUN1D2_41932	DCUN1D2	40
CHPF_49329	CHPF	42
MIB2_61089	MIB2	13
AVIL_28894	AVIL	76
INSIG2_37942	INSIG2	26
UVSSA_46134	UVSSA	27
ABHD13_54567	ABHD13	90
FOXO4_11571	FOXO4	61
RFPL2_29033	RFPL2	110
SMARCAD1_44569	SMARCAD1	76
ZNF160_55421	ZNF160	41
Non-Targeting Control_76976	Non-Targeting Control	217
ARPC2_27036	ARPC2	24
CEACAM6_12216	CEACAM6	150
GCSAM_66867	GCSAM	159
KDM1B_65850	KDM1B	86
TRANK1_26290	TRANK1	15
PPP3CB_14671	PPP3CB	133
DAB1_4467	DAB1	42
C10orf128_64136	C10orf128	14
NOTCH3_12735	NOTCH3	21
AMDHD2_37505	AMDHD2	25
HOXA3_8638	HOXA3	12
FER1L5_55425	FER1L5	59
ZNF184_20773	ZNF184	60
WT1_20323	WT1	15
TRIM23_1067	TRIM23	28
Non-Targeting Control_77198	Non-Targeting Control	304
SULT6B1_71985	SULT6B1	39
DPF3_21303	DPF3	19
LCE1C_70062	LCE1C	81
B3GNT5_52771	B3GNT5	23
GYG2_23376	GYG2	56
GNPDA2_60096	GNPDA2	64
S100A10_16752	S100A10	32
SRPRB_46533	SRPRB	38
PCDHGB1_43904	PCDHGB1	56
Non-Targeting Control_76554	Non-Targeting Control	217
BICC1_50712	BICC1	28
Non-Targeting Control_77372	Non-Targeting Control	114
S1PR1_5266	S1PR1	17
TMEM102_67656	TMEM102	94
AP4S1_30292	AP4S1	44
PPP1CA_14563	PPP1CA	43
Non-Targeting Control_77269	Non-Targeting Control	150
PLAA_24641	PLAA	18
PTGER3_15334	PTGER3	33
NKX3-1_12638	NKX3-1	83
C11orf91_75374	C11orf91	19
PROM1_23170	PROM1	77
RGAG4_69185	RGAG4	91
CHDH_42418	CHDH	100
AKAP2_30498	AKAP2	37
ICAM5_19238	ICAM5	34
IFNA13_9233	IFNA13	65
EDA2R_46858	EDA2R	91
NAALAD2_26695	NAALAD2	12
GRXCR2_73756	GRXCR2	72
ALOX12B_673	ALOX12B	98
ABI2_27176	ABI2	27
OR10H4_59178	OR10H4	39
Non-Targeting Control_77216	Non-Targeting Control	191
RBCK1_28684	RBCK1	41
RNF103-CHMP3_76029	RNF103-CHMP3	168
CMTM1_57021	CMTM1	94
Non-Targeting Control_76699	Non-Targeting Control	238
PCDHGB4_22530	PCDHGB4	29
KCNV2_64073	KCNV2	157
PTDSS2_51595	PTDSS2	66
SCGB1C1_61757	SCGB1C1	24
ALDH1L2_63344	ALDH1L2	19
IFITM1_22177	IFITM1	37
ACOX2_21554	ACOX2	58
OR5M11_65294	OR5M11	45
ZNF584_64902	ZNF584	45
SERPINF2_14166	SERPINF2	83
SIK2_32177	SIK2	6
BARHL1_44405	BARHL1	30
SCD5_50486	SCD5	19
SIRPD_59585	SIRPD	164
ITPK1_9863	ITPK1	33
MEGF6_5377	MEGF6	48
KRTAP22-2_75660	KRTAP22-2	91
TKTL2_52863	TKTL2	87
STAU2_35488	STAU2	25
CETN2_3053	CETN2	39
HIGD1B_39428	HIGD1B	26
TM4SF18_57749	TM4SF18	44
POC1B_67149	POC1B	29
SNTB1_17913	SNTB1	133
MOS_11684	MOS	23
C1orf226_72273	C1orf226	49
SMR3A_35319	SMR3A	17
STX16_22651	STX16	23
HIST2H4B_73578	HIST2H4B	26
OR6B2_71271	OR6B2	77
C1D_28083	C1D	16
CXorf65_63235	CXorf65	64
POM121C_75123	POM121C	100
MRM1_50364	MRM1	38
DRP2_5060	DRP2	49
CFHR1_8306	CFHR1	82
ADAMTS18_64224	ADAMTS18	48
Non-Targeting Control_76492	Non-Targeting Control	176
DDIT3_4621	DDIT3	25
QRICH2_52858	QRICH2	37
NAIF1_65075	NAIF1	54
NRG2_25163	NRG2	27
HOXB13_28235	HOXB13	41
MIPOL1_61406	MIPOL1	58
CT47A9_74536	CT47A9	62
RAB6C_52893	RAB6C	60
UGT1A1_40359	UGT1A1	117
PIN1_14007	PIN1	6
LRRC47_45547	LRRC47	18
FADS6_67562	FADS6	57
ELK3_5525	ELK3	60
ZNF19_20508	ZNF19	40
KHDRBS1_28823	KHDRBS1	21
ZNRF3_52963	ZNRF3	131
TRHDE_36893	TRHDE	73
RGR_16088	RGR	70
KCNJ18_75494	KCNJ18	113
WFIKKN2_58837	WFIKKN2	44
C10orf82_61167	C10orf82	64
C1orf105_56225	C1orf105	40
SLC6A12_17553	SLC6A12	37
C21orf140_76365	C21orf140	27
SENP8_58602	SENP8	36
CEACAM7_3095	CEACAM7	74
FAM132B_62445	FAM132B	21
ZNF582_61912	ZNF582	14
ANTXR2_58014	ANTXR2	144
LRP1B_39570	LRP1B	75
Non-Targeting Control_76961	Non-Targeting Control	57
SMUG1_33225	SMUG1	79
C17orf97_72216	C17orf97	111
KRBA1_53868	KRBA1	124
HOGA1_56865	HOGA1	32
TYR_19791	TYR	87
ADAMTS18_64221	ADAMTS18	139
ENPP4_31076	ENPP4	118
BBIP1_56256	BBIP1	31
PLEKHA7_61260	PLEKHA7	16
GPR135_47840	GPR135	138
TLX1_8622	TLX1	23
KCNN3_10110	KCNN3	44
CMTR2_43361	CMTR2	107
AGTR1_519	AGTR1	31
SSUH2_37672	SSUH2	60
NRM_30657	NRM	24
FAH_6053	FAH	8
LRAT_24238	LRAT	44
MBL2_11182	MBL2	40
TUBA3E_56836	TUBA3E	306
FBXL13_65980	FBXL13	42
SP8_65900	SP8	42
CYP2C19_4368	CYP2C19	69
PRDM11_44766	PRDM11	14
TRIM47_55732	TRIM47	48
FABP4_5998	FABP4	28
SLC16A10_57950	SLC16A10	67
MTFMT_58608	MTFMT	6
CLDND2_58950	CLDND2	87
ARID5B_53018	ARID5B	63
NUDT15_42146	NUDT15	169
OR8H1_65272	OR8H1	113
RETN_44397	RETN	15
CSF2_4019	CSF2	79
LRRC28_58619	LRRC28	25
NDUFS7_70245	NDUFS7	6
MSL1_68895	MSL1	44
MANBAL_47110	MANBAL	34
OLFML2B_34039	OLFML2B	35
UNC119_23842	UNC119	15
HIST1H4B_21762	HIST1H4B	33
LYSMD3_57622	LYSMD3	37
FAM178B_38252	FAM178B	15
HAO1_39877	HAO1	28
ZNF414_53505	ZNF414	61
FSD1_49110	FSD1	3
ABCA7_27824	ABCA7	33
ZNF221_20624	ZNF221	32
HBP1_35333	HBP1	60
ZBED8_47137	ZBED8	22
RNF182_65857	RNF182	34
LYSMD2_66787	LYSMD2	77
TNNI1_19394	TNNI1	6
Non-Targeting Control_76928	Non-Targeting Control	191
MMGT1_56508	MMGT1	37
FAM53B_25586	FAM53B	125
OCRL_12993	OCRL	14
CFHR3_29404	CFHR3	54
TEX30_56426	TEX30	65
OR2A2_73263	OR2A2	65
C11orf45_65386	C11orf45	37
SALL2_16804	SALL2	8
HES1_8861	HES1	109
GCAT_32874	GCAT	18
TNNC1_19390	TNNC1	39
GNA12_7300	GNA12	41
ODF3L1_63460	ODF3L1	118
C12orf76_72173	C12orf76	19
BBS9_35849	BBS9	31
ZNF286A_45361	ZNF286A	56
ZSWIM4_48473	ZSWIM4	88
APOB_953	APOB	80
SPDYE4_70986	SPDYE4	56
TNNI3_19402	TNNI3	23
CDK5R2_23469	CDK5R2	132
ARHGAP30_66861	ARHGAP30	21
JAKMIP3_67168	JAKMIP3	31
MYOZ2_39483	MYOZ2	124
UTS2B_66901	UTS2B	16
ANKRD44_55874	ANKRD44	30
ZNF551_55364	ZNF551	90
RBBP9_29036	RBBP9	31
ZCCHC14_31963	ZCCHC14	21
Non-Targeting Control_76988	Non-Targeting Control	127
RAP1GAP2_31752	RAP1GAP2	15
KRT81_10405	KRT81	68
CLN8_5704	CLN8	82
SPOP_21852	SPOP	39
OXA1L_13160	OXA1L	36
SLC10A3_21496	SLC10A3	87
GAS2L2_66204	GAS2L2	38
RPS6KA2_16517	RPS6KA2	86
SDR42E1_56537	SDR42E1	12
BAX_1594	BAX	123
ADTRP_54253	ADTRP	117
KRT37_22685	KRT37	101
ANKEF1_47158	ANKEF1	19
NEUROG3_37318	NEUROG3	96
SPRR2G_18125	SPRR2G	90
SPEF2_50376	SPEF2	32
CNIH4_36460	CNIH4	40
MESP2_61498	MESP2	142
LYRM1_45128	LYRM1	73
PPARG_14498	PPARG	19
PPBP_14516	PPBP	26
TCTE1_65002	TCTE1	103
FRAT1_26771	FRAT1	34
AKR1A1_27766	AKR1A1	40
NAT8L_69076	NAT8L	12
LRIF1_43391	LRIF1	52
ASIC1_131	ASIC1	48
INADL_27356	INADL	39
IL13RA1_9515	IL13RA1	52
FCN2_6183	FCN2	116
CLDN17_34948	CLDN17	52
KIF21A_42767	KIF21A	118
GPR26_7579	GPR26	56
DUSP5_5158	DUSP5	73
MIP_11497	MIP	87
OR10A4_67298	OR10A4	77
PCED1A_48015	PCED1A	29
GDF5_21395	GDF5	32
LMX1A_10732	LMX1A	112
C6orf47_46453	C6orf47	28
BBS9_35847	BBS9	30
HINT3_60325	HINT3	56
CLCN1_3341	CLCN1	30
SIRT1_32738	SIRT1	10
L3MBTL3_53650	L3MBTL3	18
GYS2_8056	GYS2	46
LCN9_72043	LCN9	119
SPATA31D4_71468	SPATA31D4	110
SMAD4_10967	SMAD4	30
PRDM8_44752	PRDM8	64
Non-Targeting Control_76672	Non-Targeting Control	249
TACR3_18623	TACR3	50
TMEM191B_74601	TMEM191B	128
IDH1_9137	IDH1	5
C14orf142_53731	C14orf142	126
ROM1_16244	ROM1	81
KCNA3_9951	KCNA3	111
ZFPL1_20432	ZFPL1	44
KIAA1755_54953	KIAA1755	10
BPY2_23808	BPY2	67
TAS2R39_66977	TAS2R39	119
TSHR_19646	TSHR	86
PCNP_44950	PCNP	17
NBPF3_53153	NBPF3	1
CABLES2_52045	CABLES2	39
C20orf24_43799	C20orf24	46
MAP1LC3C_73008	MAP1LC3C	29
FAM98A_34148	FAM98A	17
Non-Targeting Control_76855	Non-Targeting Control	158
FAM184A_49451	FAM184A	64
SDHD_17097	SDHD	61
KIAA1161_45515	KIAA1161	30
NIPAL2_50028	NIPAL2	58
MCF2L2_31738	MCF2L2	28
GAREM_47980	GAREM	121
GIN1_40683	GIN1	41
CD48_2716	CD48	87
CSRP3_21228	CSRP3	203
LZTR1_21418	LZTR1	294
STK38L_31452	STK38L	50
CLLU1_73586	CLLU1	46
C15orf32_61491	C15orf32	44
SLC38A3_29781	SLC38A3	39
KLHL17_68952	KLHL17	29
RTN4RL1_61656	RTN4RL1	23
MYL7_46602	MYL7	29
ARNT_1173	ARNT	36
EDA2R_46855	EDA2R	116
ARMC3_65345	ARMC3	12
MPC2_33958	MPC2	15
MYOM3_59336	MYOM3	20
ADIPOR2_49365	ADIPOR2	67
SETD1B_31633	SETD1B	23
KNDC1_54934	KNDC1	22
ABRACL_46675	ABRACL	45
SLC37A4_6705	SLC37A4	90
IL17D_39540	IL17D	14
FGD3_55158	FGD3	93
AUP1_1519	AUP1	78
TRIM27_16053	TRIM27	52
TLR10_51914	TLR10	26
INTU_35698	INTU	25
PRDM5_30144	PRDM5	19
CLEC4C_64160	CLEC4C	53
SCN5A_16901	SCN5A	19
TGFBI_19097	TGFBI	53
ZNF253_44127	ZNF253	1
Non-Targeting Control_76915	Non-Targeting Control	204
CAPN1_2286	CAPN1	11
SLC7A13_63047	SLC7A13	33
C17orf105_67611	C17orf105	11
SNX31_64054	SNX31	41
FBXL8_42372	FBXL8	71
FAM13B_38442	FAM13B	40
FAM159B_75459	FAM159B	74
BHLHE22_36018	BHLHE22	44
ZDHHC13_40091	ZDHHC13	264
TLDC2_60933	TLDC2	24
PCYOX1_38787	PCYOX1	56
RBM42_49063	RBM42	34
LYZ_10909	LYZ	68
GSTA2_7879	GSTA2	85
LDOC1_33392	LDOC1	80
GOLGA1_7409	GOLGA1	64
CSPP1_50146	CSPP1	73
IFNL2_67122	IFNL2	44
