sgRNA	Gene	Clip2_7_E8_control_BC21_IGO_09496_13_S13
RBM46_63923	RBM46	4
HTATSF1_36058	HTATSF1	1
TRMT10B_63135	TRMT10B	64
POTEI_74275	POTEI	48
PIP5K1C_32685	PIP5K1C	63
SBF1_16830	SBF1	39
CTPS2_44252	CTPS2	33
TRIM14_26120	TRIM14	22
ZCWPW1_41453	ZCWPW1	70
ZFAND4_56542	ZFAND4	50
UBL4A_21483	UBL4A	90
CHRNB4_3253	CHRNB4	23
DCAF16_40856	DCAF16	81
Non-Targeting Control_77016	Non-Targeting Control	135
GP6_38139	GP6	65
LGR4_42473	LGR4	82
NME7_36787	NME7	46
MIOS_40000	MIOS	25
FST_28188	FST	67
UBTD2_56141	UBTD2	55
OR8K3_65275	OR8K3	63
FGG_6309	FGG	38
TRIM67_73003	TRIM67	34
TAAR9_60311	TAAR9	32
LAMP5_33609	LAMP5	35
LFNG_10586	LFNG	85
SEMA4F_28316	SEMA4F	26
SH2D3A_26815	SH2D3A	31
CA9_2125	CA9	62
MKKS_21389	MKKS	19
NIT1_12622	NIT1	29
SYNC_51610	SYNC	24
TSGA10_51232	TSGA10	51
PEX5L_39019	PEX5L	29
AKAP8_27584	AKAP8	61
C17orf77_61648	C17orf77	78
MAFA_71457	MAFA	7
HIST1H2BA_66636	HIST1H2BA	59
SYT14_66683	SYT14	59
PBK_43636	PBK	34
CUX2_32438	CUX2	49
CELA2A_47039	CELA2A	35
ART5_57853	ART5	22
MBOAT4_73645	MBOAT4	32
FXYD1_14178	FXYD1	57
STT3B_64916	STT3B	4
BMP6_1789	BMP6	26
PTPRC_15467	PTPRC	35
DUSP19_61096	DUSP19	31
LY6G6C_51284	LY6G6C	127
ASNA1_1268	ASNA1	16
NAE1_23295	NAE1	18
UBL4B_63760	UBL4B	61
PARP10_54341	PARP10	4
LAPTM5_20944	LAPTM5	97
ASCC3_29724	ASCC3	57
SLC25A44_25568	SLC25A44	92
NFIC_12525	NFIC	30
CMPK2_59713	CMPK2	3
ARL5C_71850	ARL5C	38
TFDP2_19037	TFDP2	8
PADI6_70127	PADI6	31
GPATCH2_41577	GPATCH2	72
MS4A6E_66108	MS4A6E	80
INHBB_9608	INHBB	59
LIN7A_23109	LIN7A	5
SH3BGR_17269	SH3BGR	47
PRPH2_15969	PRPH2	49
SH2D4A_47093	SH2D4A	26
ALKBH1_23184	ALKBH1	67
NENF_36838	NENF	23
KLRC4_21545	KLRC4	64
KIF16B_42801	KIF16B	16
SNX30_72475	SNX30	44
LENG8_57269	LENG8	29
IP6K3_57957	IP6K3	19
TSGA10IP_66425	TSGA10IP	37
EHMT1_50021	EHMT1	61
GRIPAP1_44438	GRIPAP1	39
ADGRV1_52797	ADGRV1	22
KIAA1468_46025	KIAA1468	54
SMARCD3_17773	SMARCD3	10
GRM3_7794	GRM3	69
RRAD_16631	RRAD	65
HIGD1B_39430	HIGD1B	71
SMCO2_69307	SMCO2	131
GSDMD_49957	GSDMD	37
KAZN_32246	KAZN	98
ATE1_30123	ATE1	126
ACADVL_116	ACADVL	40
DDC_4605	DDC	91
DPM3_39857	DPM3	72
Non-Targeting Control_76694	Non-Targeting Control	99
QPCT_33733	QPCT	26
CHIC1_39550	CHIC1	119
TOX3_36019	TOX3	39
IZUMO4_56941	IZUMO4	66
SLC12A7_28986	SLC12A7	10
AMIGO3_70708	AMIGO3	52
SAMD11_62021	SAMD11	84
TCF7_18836	TCF7	45
DMRTA1_47219	DMRTA1	72
ZAR1_68570	ZAR1	35
ARHGAP5_1135	ARHGAP5	76
KIF20A_27045	KIF20A	46
MYBPC2_11981	MYBPC2	23
SPG21_38507	SPG21	50
LY6G6F_66939	LY6G6F	27
ZNF324B_71090	ZNF324B	10
CIDEC_47150	CIDEC	41
SCG3_36497	SCG3	96
DNM3_34460	DNM3	20
TMEM184C_43247	TMEM184C	18
AAAS_21269	AAAS	32
CERS5_55710	CERS5	13
OCSTAMP_59566	OCSTAMP	111
ZNF692_42941	ZNF692	32
GIMAP1_64175	GIMAP1	20
TM4SF18_57751	TM4SF18	90
APOBEC3B_25281	APOBEC3B	126
KANK2_34198	KANK2	29
ASB4_39263	ASB4	45
C9orf170_72461	C9orf170	49
CHDH_42418	CHDH	118
RAB27B_15687	RAB27B	85
TMEM126B_43616	TMEM126B	122
APOC1_962	APOC1	9
VGLL3_71298	VGLL3	68
YWHAE_20393	YWHAE	24
DIDO1_30072	DIDO1	38
MICA_75966	MICA	43
CASZ1_40929	CASZ1	30
CES4A_67509	CES4A	36
NTNG1_31008	NTNG1	84
CCDC179_75817	CCDC179	39
ZNF490_45565	ZNF490	78
CRABP1_3845	CRABP1	36
PGLYRP2_57163	PGLYRP2	56
FAM212A_71282	FAM212A	28
SOBP_41521	SOBP	24
TECPR2_26338	TECPR2	44
RBM24_65856	RBM24	21
GALR1_6839	GALR1	83
ITLN2_61104	ITLN2	52
RABGEF1_36078	RABGEF1	11
PTPN9_15437	PTPN9	69
C18orf8_36781	C18orf8	21
MT1B_11811	MT1B	108
THEMIS2_24943	THEMIS2	68
SYCN_69437	SYCN	45
RBP7_57732	RBP7	25
CCDC92_50926	CCDC92	12
LSM1_35906	LSM1	28
HSPA12B_57824	HSPA12B	37
SEC61A2_41817	SEC61A2	84
CNOT11_42683	CNOT11	52
CCL2_16964	CCL2	44
DEPDC1_42882	DEPDC1	85
MPZ_11731	MPZ	90
MOCS1_11669	MOCS1	60
ESYT1_32516	ESYT1	4
KRTAP1-1_51968	KRTAP1-1	18
GIT1_36234	GIT1	26
PPIAL4G_73939	PPIAL4G	35
CEBPA_3002	CEBPA	138
ASPA_1275	ASPA	25
TLK2_29835	TLK2	35
SULT1A2_18430	SULT1A2	55
KIF1A_1509	KIF1A	19
GYG2_23374	GYG2	40
RABL2A_30314	RABL2A	61
NDFIP2_40310	NDFIP2	65
CLDN20_37189	CLDN20	108
CALB1_2204	CALB1	116
WDR37_31113	WDR37	59
MAPK12_16809	MAPK12	6
IKBKB_9369	IKBKB	12
HSFX2_75254	HSFX2	18
TBC1D22A_33673	TBC1D22A	92
TMTC1_52540	TMTC1	73
STMN3_37438	STMN3	36
DEFB106A_66123	DEFB106A	15
MRPS15_48293	MRPS15	73
HNRNPLL_56379	HNRNPLL	29
SSBP3_33418	SSBP3	6
MVP_26576	MVP	28
EML1_5537	EML1	29
SOAT2_21919	SOAT2	57
G6PC_6699	G6PC	6
MS4A1_2609	MS4A1	13
LOC101928436_76366	LOC101928436	45
KHDC3L_62892	KHDC3L	52
RIT2_16150	RIT2	16
C22orf46_49478	C22orf46	30
UBE2W_42197	UBE2W	14
PLXNA4_55893	PLXNA4	25
MRGPRG_70709	MRGPRG	41
FLRT3_33548	FLRT3	26
ACADSB_112	ACADSB	5
CCR8_3468	CCR8	123
PGAP2_36008	PGAP2	77
NANOS1_69251	NANOS1	56
NOTCH3_12736	NOTCH3	15
WBP1L_40721	WBP1L	33
CD164_22906	CD164	43
RNF224_73806	RNF224	20
OLFM3_58010	OLFM3	39
LGI4_63653	LGI4	4
TTBK2_61518	TTBK2	31
CDC42SE1_44451	CDC42SE1	78
MPP4_46701	MPP4	35
TRABD2B_71123	TRABD2B	42
HIST1H2AM_21641	HIST1H2AM	45
SLC17A1_17656	SLC17A1	79
GCNT2_7010	GCNT2	1
EPN3_41408	EPN3	42
PAF1_40338	PAF1	31
SOD2_17937	SOD2	19
TMEM167A_62771	TMEM167A	41
NEURL4_53664	NEURL4	10
OR8B8_35050	OR8B8	27
PRR22_63649	PRR22	71
ANO4_58417	ANO4	33
SLC5A9_64636	SLC5A9	23
BLOC1S3_71062	BLOC1S3	28
EZH1_5929	EZH1	33
ELOVL6_48853	ELOVL6	7
CYLC2_4327	CYLC2	12
BZW2_36249	BZW2	23
UBR1_64491	UBR1	41
OR13C4_60628	OR13C4	33
UFC1_38899	UFC1	3
PTGR2_61426	PTGR2	23
APOB_953	APOB	97
DGCR6_21414	DGCR6	25
FAIM2_31474	FAIM2	53
HECTD3_49530	HECTD3	25
GNPDA2_60096	GNPDA2	51
FAM122C_63272	FAM122C	73
FOCAD_40981	FOCAD	44
SPG7_18054	SPG7	15
SYTL5_56713	SYTL5	209
VAT1L_46215	VAT1L	115
MURC_69797	MURC	43
PRKCD_14826	PRKCD	19
GRK5_7638	GRK5	72
ZDHHC22_67419	ZDHHC22	49
ARHGEF4_37303	ARHGEF4	11
RSPH3_52554	RSPH3	28
IGFL3_71065	IGFL3	76
ECE1_5239	ECE1	65
GAPDHS_34988	GAPDHS	51
JTB_29478	JTB	4
MRPS10_41803	MRPS10	1
H2AFY_25204	H2AFY	31
Non-Targeting Control_76811	Non-Targeting Control	94
IPMK_66299	IPMK	14
SBSPON_63077	SBSPON	102
CLIC6_39773	CLIC6	43
GLYATL3_71384	GLYATL3	43
DTX3L_62535	DTX3L	28
TSPAN15_33157	TSPAN15	29
HNRNPA2B1_8580	HNRNPA2B1	15
XG_20335	XG	20
DCAF16_40855	DCAF16	26
SLC44A5_65156	SLC44A5	36
BHLHE23_59541	BHLHE23	33
ZNF566_54498	ZNF566	13
PLCXD3_69689	PLCXD3	48
MXI1_11964	MXI1	24
DRGX_73917	DRGX	27
ZNRF4_61942	ZNRF4	48
USHBP1_52590	USHBP1	43
DBX2_72880	DBX2	6
ZNF419_49819	ZNF419	52
GPR143_12956	GPR143	50
OSTM1_36227	OSTM1	52
FMN1_69378	FMN1	25
CYS1_64337	CYS1	138
LRRC14B_71343	LRRC14B	28
FAM163B_73730	FAM163B	78
OR4C16_65230	OR4C16	43
PCYT2_15607	PCYT2	28
LGALS13_36557	LGALS13	147
S100A11_16754	S100A11	20
C11orf85_67209	C11orf85	18
TOX_25881	TOX	33
EDEM2_43212	EDEM2	35
KRT84_10418	KRT84	45
GINS3_48056	GINS3	28
ACSL4_6051	ACSL4	66
OR51T1_72502	OR51T1	85
GLB1L2_55253	GLB1L2	26
LRRC34_62559	LRRC34	23
HIPK2_36331	HIPK2	109
TAB3_66912	TAB3	82
BHLHA9_74498	BHLHA9	96
UGP2_19951	UGP2	16
SEMA3D_66093	SEMA3D	128
GAL3ST4_49639	GAL3ST4	62
DMRT3_46665	DMRT3	29
MTMR9_48616	MTMR9	32
CXorf65_63234	CXorf65	129
ZBTB32_35439	ZBTB32	13
CLDN14_33180	CLDN14	24
PKNOX1_14060	PKNOX1	14
C5_2005	C5	40
FBXO39_63543	FBXO39	32
LINGO1_54395	LINGO1	25
MAGEA5_11015	MAGEA5	47
CUTC_37714	CUTC	34
LAMC1_10490	LAMC1	27
HIST1H2BI_21681	HIST1H2BI	4
C21orf2_2084	C21orf2	80
LRRC71_62196	LRRC71	31
GABRG2_6787	GABRG2	63
DTNB_5121	DTNB	42
OR5T3_71651	OR5T3	45
Non-Targeting Control_76975	Non-Targeting Control	224
DMRTC2_47205	DMRTC2	80
DPRX_73483	DPRX	53
CYTH1_24360	CYTH1	97
OR12D2_35140	OR12D2	138
KLHL30_70586	KLHL30	34
ZNF182_20515	ZNF182	33
TTLL3_34644	TTLL3	40
AGO1_35121	AGO1	20
KRTAP16-1_75847	KRTAP16-1	28
IFRD1_9281	IFRD1	44
VMO1_67590	VMO1	32
ALG12_48903	ALG12	39
NFE2L1_12514	NFE2L1	20
GK2_7181	GK2	39
CAMSAP2_32300	CAMSAP2	32
SCN1B_16878	SCN1B	18
EPN3_41410	EPN3	27
CT45A5_73159	CT45A5	21
LANCL1_27723	LANCL1	72
TCP11L1_42408	TCP11L1	40
GANC_6866	GANC	31
BACE2_33823	BACE2	57
PPID_14537	PPID	43
XIRP1_63864	XIRP1	105
FUT9_28919	FUT9	132
EXOC3L2_55412	EXOC3L2	49
RXRA_16684	RXRA	87
ASNSD1_40153	ASNSD1	100
ADGRE3_53953	ADGRE3	24
TAPBP_18707	TAPBP	18
LSM5_33435	LSM5	2
SERPINI1_13922	SERPINI1	42
RABAC1_28517	RABAC1	64
CCNT2_2522	CCNT2	72
SLC12A5_45541	SLC12A5	133
KRTAP9-3_52660	KRTAP9-3	19
CFAP61_34517	CFAP61	21
HDAC6_26731	HDAC6	52
PLEKHG1_45588	PLEKHG1	17
C1orf86_64625	C1orf86	11
IL6_9435	IL6	70
OR7A10_71872	OR7A10	26
CAPN5_2003	CAPN5	84
NKAIN4_59547	NKAIN4	41
CACNG4_35554	CACNG4	33
SPANXN2_73421	SPANXN2	69
C4A_1988	C4A	54
UBE2Q1_42718	UBE2Q1	40
ZC3H4_32091	ZC3H4	90
NEU3_29273	NEU3	32
VEGFC_20137	VEGFC	96
PLOD3_23522	PLOD3	136
DNAJB8_63856	DNAJB8	54
KCNH1_10017	KCNH1	40
PHF10_42158	PHF10	40
TPCN1_39584	TPCN1	54
GAGE1_6709	GAGE1	88
TINAGL1_47441	TINAGL1	44
FAM83A_54678	FAM83A	35
LSM3_35910	LSM3	97
TAAR8_52231	TAAR8	20
TBC1D19_42242	TBC1D19	23
USP28_46112	USP28	65
TATDN3_59539	TATDN3	24
TTLL11_63121	TTLL11	68
DLAT_4793	DLAT	44
Non-Targeting Control_77107	Non-Targeting Control	157
DMRTB1_47213	DMRTB1	31
PRKAG2_38725	PRKAG2	26
CCDC64_56272	CCDC64	11
NAA15_50809	NAA15	18
UQCC2_53402	UQCC2	22
HNRNPM_12184	HNRNPM	29
PCDHB5_34711	PCDHB5	49
LOC100129520_75213	LOC100129520	103
TMEM265_76245	TMEM265	36
MRPL36_48324	MRPL36	9
CYP46A1_29342	CYP46A1	32
SPATA19_65445	SPATA19	48
PLXNC1_27184	PLXNC1	115
FBXL22_67500	FBXL22	55
LRRC49_40725	LRRC49	43
SMG7_26313	SMG7	31
PPP1R13B_32599	PPP1R13B	42
GPR88_39792	GPR88	41
GPR27_7581	GPR27	38
SMKR1_75639	SMKR1	57
C11orf86_66478	C11orf86	30
COMMD7_62233	COMMD7	27
MFNG_11418	MFNG	36
FKBP5_6368	FKBP5	35
CCDC15_50685	CCDC15	61
CLUL1_35568	CLUL1	48
RRM2B_37192	RRM2B	79
TMPRSS6_63788	TMPRSS6	40
HEATR5B_40077	HEATR5B	35
B3GALNT2_62069	B3GALNT2	53
BICD2_32371	BICD2	63
UBXN2B_60519	UBXN2B	38
HCFC1R1_41228	HCFC1R1	2
HIST1H4A_21733	HIST1H4A	43
FAM168A_32059	FAM168A	25
GOLGA6D_74378	GOLGA6D	43
OR4N2_71772	OR4N2	49
DNASE1_4897	DNASE1	63
PDZRN3_31494	PDZRN3	37
COMMD7_62234	COMMD7	10
LIPK_73800	LIPK	8
PRMT7_40073	PRMT7	33
SPP1_18091	SPP1	85
KRT35_10403	KRT35	10
FNIP2_45983	FNIP2	23
PLEKHN1_52837	PLEKHN1	107
TEX30_56426	TEX30	22
NXF2_43840	NXF2	45
TEX37_64726	TEX37	162
B4GALNT1_6827	B4GALNT1	26
VPS16_47862	VPS16	1
MYBPC1_11976	MYBPC1	47
CCR9_29215	CCR9	18
ZNF483_63158	ZNF483	14
CYP2A13_4358	CYP2A13	27
TMEM95_68857	TMEM95	53
OR10Z1_59525	OR10Z1	41
DENND2C_63674	DENND2C	28
IGFBP6_9331	IGFBP6	14
EGR1_5396	EGR1	24
HIP1_8344	HIP1	66
CYB561D1_67940	CYB561D1	24
GRPR_7837	GRPR	88
PC_13369	PC	7
ZNF644_52997	ZNF644	47
C7orf72_75341	C7orf72	66
ATP10D_45272	ATP10D	23
HMGN5_49188	HMGN5	88
BTBD9_57176	BTBD9	18
DNAJB8_63854	DNAJB8	41
DQX1_63842	DQX1	88
OTUD7B_44714	OTUD7B	25
NF1_12482	NF1	41
OGN_13021	OGN	40
AGTR2_524	AGTR2	123
UNC79_45909	UNC79	59
PCDHAC2_44000	PCDHAC2	25
Non-Targeting Control_76891	Non-Targeting Control	99
IFNLR1_63705	IFNLR1	8
RAB11A_22915	RAB11A	26
B3GAT1_35537	B3GAT1	84
CNRIP1_34110	CNRIP1	113
POTEA_69173	POTEA	65
C14orf105_41884	C14orf105	43
GJA10_54057	GJA10	34
APPBP2_28331	APPBP2	89
MTFMT_58608	MTFMT	12
CYP2E1_4385	CYP2E1	63
ACVRL1_238	ACVRL1	17
USP21_35389	USP21	2
DACH2_57899	DACH2	109
TRNT1_37781	TRNT1	29
MAG_10995	MAG	50
CLASP1_32485	CLASP1	35
SERPINA9_68583	SERPINA9	42
RNF208_74480	RNF208	36
UGT2B15_19966	UGT2B15	94
LACC1_61377	LACC1	57
MAP4_11115	MAP4	3
AMDHD1_61285	AMDHD1	66
NPSR1_70733	NPSR1	54
RFPL4AL1_75017	RFPL4AL1	56
SLC23A1_26583	SLC23A1	43
TCHP_53251	TCHP	62
UBE2G1_19857	UBE2G1	41
CLMN_49950	CLMN	73
TCEA1_18789	TCEA1	13
MC1R_11194	MC1R	90
ZNF326_67965	ZNF326	35
CHRD_22552	CHRD	51
MAPKBP1_31437	MAPKBP1	33
TMEM68_60489	TMEM68	57
TEX36_70825	TEX36	75
HOXB8_8705	HOXB8	35
TP53BP1_19457	TP53BP1	7
HOXD10_8770	HOXD10	39
CHGA_3150	CHGA	2
JAM3_52395	JAM3	40
TANC1_54997	TANC1	16
ZNF285_35344	ZNF285	102
RGS3_16100	RGS3	24
LOC645382_74005	LOC645382	18
LRRC52_72993	LRRC52	37
SERTAD1_36882	SERTAD1	79
NPR2_12804	NPR2	70
UGT2B4_19954	UGT2B4	18
FAM20B_26422	FAM20B	21
SLA2_53057	SLA2	31
SYCE1_56513	SYCE1	67
TMEM237_48384	TMEM237	84
SMIM19_57363	SMIM19	86
ZSCAN2_41252	ZSCAN2	40
BTK_1927	BTK	48
KLHDC9_59239	KLHDC9	57
CARD6_53996	CARD6	44
TST_19669	TST	23
CCDC70_52108	CCDC70	45
CFAP61_34515	CFAP61	77
OR5M3_65285	OR5M3	87
GNAI2_7312	GNAI2	60
SOCS7_37130	SOCS7	43
COX8A_3741	COX8A	50
OR2F2_60402	OR2F2	37
CCNYL1_62457	CCNYL1	32
TNFSF8_2644	TNFSF8	7
FREM1_63152	FREM1	28
CCDC155_61883	CCDC155	14
MTMR7_23882	MTMR7	32
ZFP41_68362	ZFP41	159
THBS4_19151	THBS4	43
C11orf21_36559	C11orf21	67
ARIH2OS_74087	ARIH2OS	18
GIGYF2_34479	GIGYF2	21
SKOR1_71817	SKOR1	46
PRRT4_72426	PRRT4	65
LY6H_10882	LY6H	43
LIPC_10679	LIPC	28
MSI1_11772	MSI1	30
PTGDR2_30599	PTGDR2	25
ILVBL_29793	ILVBL	81
ZNF532_41920	ZNF532	61
TMEM240_68955	TMEM240	48
ACTN4_204	ACTN4	23
MAT1A_11143	MAT1A	38
PRB2_74271	PRB2	147
SUSD5_34391	SUSD5	36
ACBD5_55856	ACBD5	59
ZXDC_49181	ZXDC	23
GPANK1_21078	GPANK1	39
EPHA7_5662	EPHA7	42
ARHGAP20_45871	ARHGAP20	82
TMEM115_30023	TMEM115	39
FAM177A1_67443	FAM177A1	11
CD163_24514	CD163	55
IL1RL1_24092	IL1RL1	110
ZRANB3_52887	ZRANB3	44
ZNF134_20669	ZNF134	57
COL28A1_69130	COL28A1	60
ZBED6_75767	ZBED6	34
SUMF2_33946	SUMF2	65
TAB1_28132	TAB1	30
ADGRF4_65771	ADGRF4	20
SHCBP1_49984	SHCBP1	59
TOP1MT_57766	TOP1MT	19
ZAP70_20410	ZAP70	42
Non-Targeting Control_76554	Non-Targeting Control	254
GPR45_30597	GPR45	12
AGPS_22254	AGPS	22
SLC35E1_50418	SLC35E1	13
BMP4_1784	BMP4	56
BPIFB2_51175	BPIFB2	30
SLC22A16_54894	SLC22A16	96
GPR141_70164	GPR141	24
9-Mar_56402	9-Mar	6
TAF13_18679	TAF13	27
RNF167_34309	RNF167	20
SLCO6A1_60160	SLCO6A1	48
FOXR1_67223	FOXR1	59
NRAS_12837	NRAS	8
COL4A3_3570	COL4A3	25
PHOX2A_1161	PHOX2A	79
MAGEA12_11037	MAGEA12	72
ID3_9127	ID3	57
FAM78B_62147	FAM78B	25
FBXO28_32125	FBXO28	43
FADS1_10686	FADS1	31
PI4K2A_42454	PI4K2A	107
OR2L3_71957	OR2L3	15
RASA1_15859	RASA1	50
HECW2_45707	HECW2	33
PAX7_13347	PAX7	22
FAM181A_55279	FAM181A	64
PIGO_54105	PIGO	27
PIRT_73907	PIRT	34
ICA1L_59761	ICA1L	55
FKBP15_32403	FKBP15	18
OCLN_75915	OCLN	33
CTBP1_4178	CTBP1	13
RHOT1_42213	RHOT1	15
C3orf14_45454	C3orf14	57
KHNYN_32540	KHNYN	63
ALDH1L2_63341	ALDH1L2	33
ZNF697_55673	ZNF697	21
ATOH7_65585	ATOH7	10
GOLGA8O_74541	GOLGA8O	39
RBFOX1_40432	RBFOX1	26
CD72_2748	CD72	60
LYPD4_61848	LYPD4	10
HIST1H4I_21533	HIST1H4I	35
ZNF585A_64561	ZNF585A	22
BCKDHA_1623	BCKDHA	23
FIG4_26341	FIG4	25
AKAP6_24940	AKAP6	68
CUEDC2_48683	CUEDC2	24
LRAT_24240	LRAT	70
CHM_3180	CHM	144
OR6B2_71270	OR6B2	57
ZIM3_57079	ZIM3	20
TACR1_18619	TACR1	35
KLHDC10_31445	KLHDC10	48
CYP4B1_4410	CYP4B1	38
AKR1E2_52247	AKR1E2	24
TCHHL1_59196	TCHHL1	57
EXOC7_32281	EXOC7	21
HERC2_23409	HERC2	49
MPST_11721	MPST	72
PPP1R21_59675	PPP1R21	114
NAE1_23294	NAE1	28
SRRM3_65957	SRRM3	21
SAMD3_62862	SAMD3	110
VAV1_20090	VAV1	18
SEMA4C_40973	SEMA4C	20
OR2T5_72532	OR2T5	45
KRTAP29-1_76158	KRTAP29-1	158
HADH_8164	HADH	39
MFSD12_59115	MFSD12	23
GRIA3_7715	GRIA3	60
VHLL_71924	VHLL	85
SORT1_16713	SORT1	87
SLC9A7_54011	SLC9A7	60
SMIM2_48740	SMIM2	63
SYCE1L_75334	SYCE1L	47
NR6A1_7002	NR6A1	32
C1orf54_49446	C1orf54	51
PCED1A_48016	PCED1A	39
PCYOX1_38790	PCYOX1	8
DCAF4L1_68153	DCAF4L1	66
CD8A_2591	CD8A	95
NAE1_23296	NAE1	32
C14orf39_68545	C14orf39	25
TXNDC2_53109	TXNDC2	22
PDZD9_66659	PDZD9	58
KIRREL3_53861	KIRREL3	45
KRTAP9-7_75843	KRTAP9-7	32
MFI2_11416	MFI2	68
EPS8L3_49296	EPS8L3	27
CCDC177_44634	CCDC177	27
NFIA_12499	NFIA	83
USP24_32564	USP24	14
C11orf94_61216	C11orf94	26
KCNC1_9978	KCNC1	17
VN1R1_45257	VN1R1	11
VPS4B_25103	VPS4B	67
PEPD_13664	PEPD	25
CACYBP_35572	CACYBP	71
ADAMDEC1_35973	ADAMDEC1	19
KL_24616	KL	45
HYAL3_21782	HYAL3	45
PRKAB1_14769	PRKAB1	17
MRPL55_59495	MRPL55	20
EPM2AIP1_26186	EPM2AIP1	20
PIGX_41160	PIGX	40
CLN6_41222	CLN6	36
NOS2_12703	NOS2	49
PPID_14539	PPID	35
GRM8_7816	GRM8	82
PSG5_15118	PSG5	71
DECR2_34496	DECR2	37
KRBA2_58807	KRBA2	34
FZD5_21008	FZD5	43
FLRT1_33556	FLRT1	82
PAPOLB_44524	PAPOLB	56
LRP2_10789	LRP2	30
CCDC81_46922	CCDC81	4
ATP2B2_1384	ATP2B2	41
DMBT1_4845	DMBT1	15
PGA3_73849	PGA3	38
MS4A10_69287	MS4A10	26
ERCC3_5757	ERCC3	1
IMPDH1_9571	IMPDH1	13
PRPS1_15010	PRPS1	44
TRIM64C_74129	TRIM64C	23
PNMA3_36855	PNMA3	74
FRG2B_73173	FRG2B	17
CSTA_4147	CSTA	8
S100A8_16744	S100A8	67
GPCPD1_44179	GPCPD1	78
OPLAH_35318	OPLAH	52
PIP_14016	PIP	71
TMLHE_41969	TMLHE	30
OR4S1_66720	OR4S1	62
OR6C4_69331	OR6C4	56
RPL4_16308	RPL4	10
C14orf37_61420	C14orf37	13
KIAA1324L_65968	KIAA1324L	45
USP28_46114	USP28	98
GPR19_7549	GPR19	58
DBF4B_50840	DBF4B	15
ZNF251_55691	ZNF251	24
SLC2A6_30402	SLC2A6	21
C17orf85_42491	C17orf85	32
GPC5_6298	GPC5	10
FAM127A_23444	FAM127A	117
ABHD12B_61423	ABHD12B	31
FAM124B_50125	FAM124B	39
INPP5E_44301	INPP5E	69
LGALS16_61929	LGALS16	13
INPP1_9617	INPP1	18
UCP1_19919	UCP1	62
RAB3IL1_15656	RAB3IL1	50
ZNF419_49821	ZNF419	66
TAAR1_60314	TAAR1	44
CLDN4_3792	CLDN4	35
PTPRB_15462	PTPRB	70
METTL22_48919	METTL22	88
FADS1_10688	FADS1	61
TNRC18_53881	TNRC18	37
TSC22D1_23188	TSC22D1	55
FBXO31_49951	FBXO31	43
CYP7A1_4415	CYP7A1	13
SIM1_17378	SIM1	22
KCNA7_9966	KCNA7	48
TRIM44_40529	TRIM44	33
SYN3_21430	SYN3	61
C1orf233_73882	C1orf233	136
CENPB_3029	CENPB	27
SYT9_61173	SYT9	31
HAS3_8183	HAS3	38
DAOA_67101	DAOA	72
KPNA7_72568	KPNA7	31
SEL1L_17120	SEL1L	25
CCDC42B_70886	CCDC42B	103
ANO2_44977	ANO2	22
DCC_4563	DCC	45
PAGE2_65125	PAGE2	190
LOC728485_74710	LOC728485	36
WDR78_50044	WDR78	22
TMOD3_36594	TMOD3	8
SLC10A4_64939	SLC10A4	14
CUEDC2_48685	CUEDC2	51
KIAA1429_34210	KIAA1429	7
ZNF652_30942	ZNF652	5
C2orf91_72311	C2orf91	26
RCN2_15956	RCN2	27
XAGE2_25029	XAGE2	25
LRRFIP2_24185	LRRFIP2	49
PRRG3_48825	PRRG3	66
GJD4_65372	GJD4	60
NKTR_12632	NKTR	21
EZR_20154	EZR	59
TIMM17B_27497	TIMM17B	33
HSPA14_38065	HSPA14	3
GYG2_23376	GYG2	20
ZDHHC5_34088	ZDHHC5	31
6-Mar_27685	6-Mar	44
SH2D6_68004	SH2D6	51
CDK5R1_23195	CDK5R1	45
TP73_19467	TP73	52
ALPL_689	ALPL	43
RS1_16657	RS1	145
TMEM218_65395	TMEM218	21
CD163L1_67311	CD163L1	27
RPE_16292	RPE	47
TSPYL4_32296	TSPYL4	42
ARHGEF26_34526	ARHGEF26	81
NXPE4_40690	NXPE4	36
EIF5A2_44311	EIF5A2	30
APBB1IP_40138	APBB1IP	18
DEFB110_66136	DEFB110	29
TRIP4_24490	TRIP4	32
DGUOK_4736	DGUOK	76
NALCN_66951	NALCN	55
EXTL3_5913	EXTL3	44
ANKRD53_50553	ANKRD53	32
OR1B1_69788	OR1B1	24
RBM10_21462	RBM10	20
IKBIP_58388	IKBIP	53
Non-Targeting Control_76541	Non-Targeting Control	58
TMEM248_41473	TMEM248	77
FZD1_21592	FZD1	100
PCDHGA3_43937	PCDHGA3	44
ZNF280A_59658	ZNF280A	43
IKBIP_58385	IKBIP	99
SPRYD7_45289	SPRYD7	64
APOA1BP_59487	APOA1BP	37
TMEM120B_61324	TMEM120B	11
COIL_21348	COIL	71
C9orf69_55306	C9orf69	34
PROX1_15003	PROX1	7
EBF1_5232	EBF1	43
VILL_37418	VILL	126
PRSS23_30111	PRSS23	89
GALP_55051	GALP	36
FPGT-TNNI3K_76052	FPGT-TNNI3K	28
EGLN1_40279	EGLN1	105
OR2AK2_71953	OR2AK2	56
CORO6_54554	CORO6	50
NANOS3_69474	NANOS3	37
CDK17_13469	CDK17	23
KRTAP5-5_72822	KRTAP5-5	91
HCFC2_36773	HCFC2	20
FBXW8_34866	FBXW8	116
MEX3C_38495	MEX3C	39
KIZ_43591	KIZ	27
