sgRNA	Gene	Clip2_7_E8_control_BC21_IGO_09496_13_S13
ZDHHC4_41713	ZDHHC4	56
GLRX_7260	GLRX	76
MARK1_11127	MARK1	148
IFIT1_9196	IFIT1	65
C8orf87_71447	C8orf87	48
FGFR1OP2_34615	FGFR1OP2	107
C17orf105_67610	C17orf105	192
TRPC1_19597	TRPC1	16
IL31_70650	IL31	9
PCDH17_35893	PCDH17	79
FBXW9_53255	FBXW9	19
NRK_65107	NRK	67
C11orf68_52299	C11orf68	47
DAPP1_35501	DAPP1	45
ZNF146_20711	ZNF146	167
BTBD2_42895	BTBD2	123
DEK_21062	DEK	60
GSKIP_38948	GSKIP	65
CDRT4_67602	CDRT4	69
LMX1A_10730	LMX1A	122
ARMCX5-GPRASP2_76092	ARMCX5-GPRASP2	93
GSTK1_70232	GSTK1	141
Non-Targeting Control_77332	Non-Targeting Control	214
LURAP1_73503	LURAP1	34
SRRM3_65959	SRRM3	28
HIST1H2AG_23492	HIST1H2AG	74
ZNF337_34671	ZNF337	64
PPM1L_62552	PPM1L	84
DHX32_43284	DHX32	72
BOD1L1_66973	BOD1L1	152
DCBLD2_59962	DCBLD2	40
Non-Targeting Control_76714	Non-Targeting Control	198
PLAC4_64317	PLAC4	93
COL13A1_3648	COL13A1	34
EXT2_5902	EXT2	53
SMIM7_48902	SMIM7	75
UHMK1_59443	UHMK1	29
PLEKHB2_41411	PLEKHB2	94
GAB1_6721	GAB1	12
MAP7_23712	MAP7	56
AAR2_34256	AAR2	36
CCDC138_63807	CCDC138	59
WBP2_33170	WBP2	66
PEX16_24745	PEX16	25
OR3A1_13087	OR3A1	21
OR2AT4_69290	OR2AT4	26
TGM5_24518	TGM5	66
GSK3B_7855	GSK3B	107
RBM3_15916	RBM3	48
PLGRKT_43570	PLGRKT	28
PNRC2_42858	PNRC2	6
HTN3_9009	HTN3	57
FOXR2_60735	FOXR2	64
SHMT2_17323	SHMT2	94
ZIC1_20441	ZIC1	107
Non-Targeting Control_76627	Non-Targeting Control	314
KDM4C_31673	KDM4C	14
PLCD1_14122	PLCD1	9
RPGR_16273	RPGR	70
MEOX2_11372	MEOX2	56
CXCL14_25178	CXCL14	107
CDYL2_58720	CDYL2	58
DGKG_4498	DGKG	49
ROPN1_40520	ROPN1	24
TOM1L2_61626	TOM1L2	64
ZNF236_20884	ZNF236	32
OTOP3_69886	OTOP3	36
SORCS3_31382	SORCS3	23
Non-Targeting Control_76882	Non-Targeting Control	78
NYX_46932	NYX	79
RAB9A_24620	RAB9A	68
PDIA2_47913	PDIA2	85
PTER_24462	PTER	45
GPR68_21305	GPR68	31
ZBED9_57261	ZBED9	78
ANO6_64447	ANO6	63
IFNA17_9247	IFNA17	42
EIF4EBP2_5455	EIF4EBP2	40
C4orf3_72375	C4orf3	45
C8orf88_75144	C8orf88	139
ILKAP_51459	ILKAP	99
PCDH17_35891	PCDH17	119
C5orf46_71358	C5orf46	50
SMIM9_75463	SMIM9	86
RBP4_15948	RBP4	32
AJAP1_43789	AJAP1	60
FUT4_6654	FUT4	38
SYNE1_32522	SYNE1	79
ZC3HC1_38960	ZC3HC1	95
Non-Targeting Control_76574	Non-Targeting Control	353
WDR83OS_38691	WDR83OS	67
OR2J2_35272	OR2J2	133
CCDC181_46433	CCDC181	25
Non-Targeting Control_76529	Non-Targeting Control	299
RRBP1_16638	RRBP1	62
C16orf86_70962	C16orf86	53
DFNB31_33929	DFNB31	20
