sgRNA	Gene	Clip2_8_IN8_treatment_BC24_IGO_09496_16_S16
FCHO2_57502	FCHO2	3
PIEZO2_47085	PIEZO2	59
P2RX6_23945	P2RX6	56
SOX18_39861	SOX18	47
ZDHHC16_53358	ZDHHC16	23
ZNF563_61875	ZNF563	33
SRSF11_24422	SRSF11	22
ZNF780A_67741	ZNF780A	164
GFRAL_71385	GFRAL	90
TMED2_29676	TMED2	61
ARHGAP25_26498	ARHGAP25	71
PRDM8_44753	PRDM8	62
UGT2A3_49978	UGT2A3	82
LNPEP_10737	LNPEP	66
ALG12_48906	ALG12	25
SYNJ2BP-COX16_76130	SYNJ2BP-COX16	40
USP13_23514	USP13	19
TMEM81_71173	TMEM81	58
PCGF2_20701	PCGF2	20
COLEC10_28573	COLEC10	62
OR2A5_72075	OR2A5	32
HSPA4L_30917	HSPA4L	14
DAPK1_4515	DAPK1	32
POLR2B_14367	POLR2B	115
MLH3_35430	MLH3	51
MYOM1_22835	MYOM1	74
C9orf117_68399	C9orf117	99
HKR1_67885	HKR1	38
GABRR1_6800	GABRR1	89
RAB41_69843	RAB41	60
CXCR3_7524	CXCR3	42
HS3ST3A1_26555	HS3ST3A1	22
SLC25A45_67216	SLC25A45	36
RAB27B_15685	RAB27B	126
KLHL40_59933	KLHL40	82
PCDHGA1_43945	PCDHGA1	65
GANC_6867	GANC	54
EVA1C_46728	EVA1C	58
ELF2_5505	ELF2	154
IL12RB2_9507	IL12RB2	31
MAN1A1_11069	MAN1A1	30
C10orf113_70792	C10orf113	143
VGLL3_71299	VGLL3	75
TRIM32_31330	TRIM32	157
COL12A1_3644	COL12A1	46
FOXI1_6396	FOXI1	90
CETN1_3049	CETN1	44
TEK_18975	TEK	36
OLIG3_63974	OLIG3	39
HIST1H1B_8099	HIST1H1B	52
ARMCX3_39050	ARMCX3	36
ENAM_27061	ENAM	54
SGPL1_23277	SGPL1	45
EPB42_5636	EPB42	8
PDZD4_45967	PDZD4	90
C6orf223_65788	C6orf223	26
SIPA1L3_31711	SIPA1L3	27
C10orf95_50428	C10orf95	52
ZCCHC18_73925	ZCCHC18	41
HAUS6_40605	HAUS6	14
WDYHV1_41545	WDYHV1	114
UBAC1_28031	UBAC1	20
KIF22_10264	KIF22	3
RCOR1_32004	RCOR1	53
ZNF781_63640	ZNF781	73
C1orf106_43304	C1orf106	17
SMIM1_71104	SMIM1	17
ZNF548_61830	ZNF548	76
NDC1_43101	NDC1	72
LOXL1_10755	LOXL1	32
IQCB1_25516	IQCB1	11
SFXN5_56682	SFXN5	13
PAPD4_63944	PAPD4	34
ATP6V1G2_1478	ATP6V1G2	100
OR2T3_69521	OR2T3	88
FCGR2A_6153	FCGR2A	146
OTUB2_48636	OTUB2	66
AKR1E2_52250	AKR1E2	105
LMTK2_31006	LMTK2	25
MFAP2_11399	MFAP2	40
MGST3_11472	MGST3	81
GRM3_7796	GRM3	128
AIFM3_62274	AIFM3	58
OAZ1_12980	OAZ1	31
LIN54_60080	LIN54	38
GPR61_52569	GPR61	8
Non-Targeting Control_77204	Non-Targeting Control	257
OR4F15_71836	OR4F15	99
MAPT_11124	MAPT	17
B3GALT6_59229	B3GALT6	113
LRIG1_34356	LRIG1	55
TMEM68_60492	TMEM68	8
Non-Targeting Control_76717	Non-Targeting Control	245
CD209_37119	CD209	118
KRTAP13-3_68625	KRTAP13-3	91
Non-Targeting Control_77132	Non-Targeting Control	155
ECHDC2_42136	ECHDC2	179
CDKL5_18413	CDKL5	107
ARL13A_72053	ARL13A	18
ETNK1_42540	ETNK1	15
DTX3L_62535	DTX3L	37
OSBPL2_26308	OSBPL2	23
TRAPPC6B_58484	TRAPPC6B	67
PAAF1_50965	PAAF1	76
CDC25B_2810	CDC25B	89
RETNLB_53976	RETNLB	26
FRMD4B_31882	FRMD4B	21
SLC12A4_17628	SLC12A4	46
ST20_72204	ST20	97
ATP5J2-PTCD1_76021	ATP5J2-PTCD1	1
WEE2_73450	WEE2	63
PPIB_14532	PPIB	24
IL18BP_26898	IL18BP	38
MTMR9_48617	MTMR9	27
TFF2_19052	TFF2	63
CCDC138_63807	CCDC138	52
CCSER2_39975	CCSER2	60
PRR20E_74868	PRR20E	25
AP3M1_35351	AP3M1	21
NDUFB9_12347	NDUFB9	2
SLC13A5_67651	SLC13A5	56
EFNA1_5333	EFNA1	103
SPATA8_61508	SPATA8	238
NDST1_8998	NDST1	56
KRTAP19-5_68660	KRTAP19-5	18
TOMM7_40201	TOMM7	19
RBMX2_39183	RBMX2	34
SH3D19_62671	SH3D19	64
FAM129C_64592	FAM129C	16
PPAN-P2RY11_74463	PPAN-P2RY11	57
HS2ST1_25499	HS2ST1	65
ZNF385B_62444	ZNF385B	49
ZNF331_42496	ZNF331	32
MGAT5_11439	MGAT5	77
LIMS1_10669	LIMS1	101
TSPYL1_19658	TSPYL1	59
ARL14_50720	ARL14	57
ANAPC13_33893	ANAPC13	13
SPOCD1_55651	SPOCD1	94
SPEF2_50375	SPEF2	63
C3orf30_62663	C3orf30	22
SLC25A44_25566	SLC25A44	61
LPIN1_31970	LPIN1	61
FBXO27_59165	FBXO27	138
RASSF9_24115	RASSF9	32
FILIP1L_30624	FILIP1L	41
KLK3_1003	KLK3	135
LARP6_42321	LARP6	55
VASP_20085	VASP	87
TXNIP_28723	TXNIP	72
PLCXD3_69690	PLCXD3	20
RAB30_36003	RAB30	38
HSPB3_23533	HSPB3	9
DCD_57916	DCD	76
PDILT_65144	PDILT	111
RSRC2_48432	RSRC2	27
KLK11_29839	KLK11	24
IL2RA_9399	IL2RA	98
CD44_2705	CD44	65
ZNF620_66327	ZNF620	30
LYZL2_58120	LYZL2	97
PIP4K2B_21827	PIP4K2B	34
WDR47_31206	WDR47	76
CD14_2602	CD14	17
ST3GAL4_17359	ST3GAL4	27
PHKA1_13864	PHKA1	43
POLR2E_14380	POLR2E	43
COL10A1_3631	COL10A1	86
TMEM60_54744	TMEM60	71
DDX58_33238	DDX58	99
DENND1B_63692	DENND1B	41
CYP2J2_4393	CYP2J2	127
ZNF354B_57994	ZNF354B	24
RAI1_29045	RAI1	65
CIDEB_35668	CIDEB	50
ALPI_685	ALPI	52
CRYGB_3973	CRYGB	79
FAM3B_39763	FAM3B	80
CYB561_4306	CYB561	74
GJB7_70506	GJB7	36
OLAH_42259	OLAH	87
Non-Targeting Control_76878	Non-Targeting Control	216
MED16_26777	MED16	32
SRD5A2_18165	SRD5A2	35
FLCN_64829	FLCN	45
MYEOV_35191	MYEOV	94
ARHGAP6_1138	ARHGAP6	64
STON2_54921	STON2	42
FLJ45513_74846	FLJ45513	106
TBX22_37474	TBX22	174
PPCDC_46905	PPCDC	11
MACC1_69739	MACC1	22
OR8B2_35214	OR8B2	93
DNAH6_4885	DNAH6	48
C4BPA_1996	C4BPA	108
CXCL1_7818	CXCL1	48
HDAC11_50258	HDAC11	17
MET_11388	MET	56
TAS2R16_37373	TAS2R16	48
RNF144B_66625	RNF144B	32
DENND4A_27546	DENND4A	142
GPR137C_67412	GPR137C	50
TYROBP_19799	TYROBP	27
GALE_6821	GALE	18
PNPLA2_44987	PNPLA2	102
ZMYM6NB_75880	ZMYM6NB	49
ALB_589	ALB	65
FOXD2_6424	FOXD2	73
ZNF540_63672	ZNF540	25
PRICKLE1_61283	PRICKLE1	67
SUPT7L_26410	SUPT7L	88
C10orf67_66813	C10orf67	73
TMEM140_42186	TMEM140	32
9-Sep_29209	9-Sep	57
CHTOP_34563	CHTOP	32
EDNRA_5290	EDNRA	45
SLC35E3_42571	SLC35E3	101
ZNF182_20514	ZNF182	144
OCA2_12987	OCA2	30
SPRR3_18132	SPRR3	43
ELK3_5525	ELK3	76
LRRN3_40385	LRRN3	34
CFAP44_43349	CFAP44	45
MORC4_49703	MORC4	47
TMEM174_60245	TMEM174	10
MRC2_26368	MRC2	106
RTCA_22507	RTCA	47
CYTH1_24358	CYTH1	56
TNFAIP8L1_59089	TNFAIP8L1	124
SLBP_21051	SLBP	12
AKAP17A_21444	AKAP17A	29
ZNF705D_74815	ZNF705D	98
JADE1_50472	JADE1	34
ARC_32183	ARC	104
Non-Targeting Control_76984	Non-Targeting Control	172
TSG101_19640	TSG101	35
CACNG6_46751	CACNG6	68
SLC17A9_47122	SLC17A9	30
OR51L1_58168	OR51L1	33
SOX10_17995	SOX10	82
CARM1_28300	CARM1	35
PCBD1_13373	PCBD1	221
HOOK3_53560	HOOK3	43
TIMM23B_76206	TIMM23B	55
KRTCAP3_64744	KRTCAP3	30
P4HTM_40404	P4HTM	63
TMED10_29719	TMED10	87
ARSH_69848	ARSH	181
TRIM74_70607	TRIM74	73
SUSD4_41446	SUSD4	34
TCTE1_65001	TCTE1	39
PHOX2A_1161	PHOX2A	62
LEKR1_71318	LEKR1	31
HSD17B13_69678	HSD17B13	51
MRPL39_39797	MRPL39	3
B3GNT6_64326	B3GNT6	53
S100A4_16727	S100A4	160
ABCA8_27835	ABCA8	75
FAM159B_75456	FAM159B	28
FBXL2_33830	FBXL2	38
SBSPON_63080	SBSPON	34
SDHAF1_73900	SDHAF1	82
OR4C3_66716	OR4C3	74
TADA2A_18625	TADA2A	12
BCAN_47048	BCAN	44
SIX2_29026	SIX2	97
Non-Targeting Control_76790	Non-Targeting Control	242
FXYD7_39619	FXYD7	10
UBL4A_21481	UBL4A	199
JMJD7_75507	JMJD7	37
NUP62CL_40702	NUP62CL	207
SCAMP1_25095	SCAMP1	70
PLA2G12A_51749	PLA2G12A	38
KHDRBS2_65008	KHDRBS2	23
ACBD3_47932	ACBD3	37
OXT_13166	OXT	120
C1orf189_71166	C1orf189	38
CRYBA4_3955	CRYBA4	42
IQCE_32353	IQCE	101
SLC46A3_67405	SLC46A3	11
CETN3_3060	CETN3	143
NDST4_47831	NDST4	38
C10orf99_70805	C10orf99	49
SLC38A4_41534	SLC38A4	10
AIDA_48178	AIDA	56
CAPNS2_53368	CAPNS2	8
HSPB1_8959	HSPB1	47
DCBLD1_68279	DCBLD1	101
HGFAC_8321	HGFAC	73
PRPS1_15010	PRPS1	45
ZMYM3_24171	ZMYM3	37
FXR1_21275	FXR1	58
FAM72C_73575	FAM72C	76
ERICH6B_65555	ERICH6B	111
VWA8_31666	VWA8	53
ZBED3_53492	ZBED3	146
C6orf118_63988	C6orf118	12
SAFB_16791	SAFB	5
ETV7_38918	ETV7	10
ENPP3_13627	ENPP3	124
EPS15L1_46650	EPS15L1	33
PCDHB2_43998	PCDHB2	47
URGCP_42971	URGCP	6
ITGAX_9796	ITGAX	12
HIRIP3_22049	HIRIP3	26
FBXO40_39371	FBXO40	44
BTN3A2_30168	BTN3A2	67
OR9I1_65454	OR9I1	46
KCNV2_64074	KCNV2	23
ESAM_55679	ESAM	59
PPP6R1_31058	PPP6R1	13
HOXA10_8663	HOXA10	23
CABS1_54917	CABS1	82
TMPRSS11D_24743	TMPRSS11D	50
FAM24B_64465	FAM24B	59
CCDC109B_41321	CCDC109B	27
NEU3_29274	NEU3	194
LPPR3_50437	LPPR3	6
GJA10_54057	GJA10	51
DCAF12L2_69223	DCAF12L2	91
ERICH6B_65556	ERICH6B	84
TMEM35_46826	TMEM35	109
RGL3_45097	RGL3	113
DRC1_56345	DRC1	20
MAPK14_4002	MAPK14	59
COL24A1_66640	COL24A1	62
PLEKHA2_46778	PLEKHA2	76
RNF165_73439	RNF165	25
GPR174_53899	GPR174	138
SLC6A1_17517	SLC6A1	96
EXOC5_28763	EXOC5	61
MUC6_11923	MUC6	15
CALB1_2204	CALB1	89
HAVCR1_35307	HAVCR1	26
FAM102A_72098	FAM102A	107
PNOC_14249	PNOC	52
FAM69C_58946	FAM69C	28
OR1D2_13074	OR1D2	61
WDR13_47921	WDR13	80
OLFML1_67303	OLFML1	74
EPHA2_5429	EPHA2	108
SLC6A13_17559	SLC6A13	23
STAM2_27536	STAM2	34
GART_6886	GART	30
CTSG_4250	CTSG	6
OR10G4_71739	OR10G4	18
FAM90A1_41684	FAM90A1	116
CHRDL2_33979	CHRDL2	61
ZNF133_20666	ZNF133	104
ZNF3_20458	ZNF3	13
PROC_14985	PROC	58
PSORS1C1_64200	PSORS1C1	14
Non-Targeting Control_76892	Non-Targeting Control	125
Non-Targeting Control_77133	Non-Targeting Control	239
FBXO15_64889	FBXO15	48
NEFH_12430	NEFH	59
TEKT2_35922	TEKT2	10
KLF12_30684	KLF12	53
PARK7_30734	PARK7	67
DIO1_4780	DIO1	27
TFAM_19004	TFAM	22
RP9_16262	RP9	42
AES_476	AES	61
DHX29_40101	DHX29	47
STAMBP_28685	STAMBP	61
ZNF618_57393	ZNF618	4
IFRD2_21017	IFRD2	183
MTCH2_33589	MTCH2	70
RDH12_61389	RDH12	34
AKAP14_63224	AKAP14	122
TMEM184A_65017	TMEM184A	105
Non-Targeting Control_76759	Non-Targeting Control	69
PMCH_14246	PMCH	61
4-Mar_45891	4-Mar	163
KCNH3_32757	KCNH3	94
B3GNT8_70384	B3GNT8	57
SLC7A1_17564	SLC7A1	44
Non-Targeting Control_76631	Non-Targeting Control	231
FAM216A_36739	FAM216A	29
ANO5_65133	ANO5	79
HBG1_8211	HBG1	56
CERCAM_37964	CERCAM	45
SCGB2A1_11428	SCGB2A1	61
DECR2_34497	DECR2	78
OR5M8_65291	OR5M8	37
LCE3E_70104	LCE3E	54
RC3H2_40195	RC3H2	59
LCN12_68415	LCN12	24
CROCC_25647	CROCC	22
MRC2_26365	MRC2	99
TDG_18930	TDG	38
ADORA2B_380	ADORA2B	53
LMNA_10707	LMNA	25
IL11RA_9491	IL11RA	23
TMEM62_50626	TMEM62	95
DCTN3_30621	DCTN3	43
TBR1_28963	TBR1	56
RHOJ_45395	RHOJ	33
OR5A2_65493	OR5A2	38
RWDD2B_26902	RWDD2B	185
ZBTB34_72646	ZBTB34	115
MMP7_11599	MMP7	50
KIR2DL4_10186	KIR2DL4	132
ZDHHC4_41711	ZDHHC4	88
SPINT2_28809	SPINT2	12
DCDC2_38831	DCDC2	34
TM4SF19_57687	TM4SF19	70
RNF220_41839	RNF220	52
DPH1_4986	DPH1	18
APITD1-CORT_76014	APITD1-CORT	63
ZNF70_20590	ZNF70	4
AMTN_72367	AMTN	96
CTSF_22785	CTSF	38
ADCY4_64471	ADCY4	22
CHML_3184	CHML	51
C3orf84_74105	C3orf84	111
TMEM132C_56189	TMEM132C	130
TNFSF11_22400	TNFSF11	46
JCHAIN_9347	JCHAIN	110
Non-Targeting Control_76858	Non-Targeting Control	261
CGRRF1_28866	CGRRF1	10
CECR6_36141	CECR6	99
SERPIND1_8230	SERPIND1	52
COL1A1_3546	COL1A1	21
GRIK2_7740	GRIK2	83
TPRA1_59975	TPRA1	53
AIM1L_41440	AIM1L	12
PRRT4_72427	PRRT4	80
RPL3L_16303	RPL3L	43
ZHX1_30576	ZHX1	57
GLYCTK_60026	GLYCTK	28
CLIP3_34301	CLIP3	42
STAC2_69417	STAC2	43
GPR27_7581	GPR27	6
WBSCR28_60372	WBSCR28	48
ITPKA_9866	ITPKA	64
KLHL9_43776	KLHL9	37
ZNF117_38582	ZNF117	54
Non-Targeting Control_76510	Non-Targeting Control	243
NFAM1_62331	NFAM1	20
MRPS23_39221	MRPS23	77
SP3_18019	SP3	14
PRDX6_25305	PRDX6	52
ODF1_13004	ODF1	10
ATXN3L_56268	ATXN3L	149
SCIMP_70979	SCIMP	48
Non-Targeting Control_77201	Non-Targeting Control	126
Non-Targeting Control_77151	Non-Targeting Control	266
RARS_15841	RARS	29
CHSY1_31014	CHSY1	109
TMEM92_63521	TMEM92	118
CDH24_47715	CDH24	19
TSPAN6_19312	TSPAN6	60
SLC17A8_66209	SLC17A8	33
SH3GL1_17287	SH3GL1	75
HAMP_46415	HAMP	21
DLL3_28908	DLL3	65
CPLX1_29255	CPLX1	32
TPSD1_32791	TPSD1	26
SPTAN1_18137	SPTAN1	50
KLK4_25392	KLK4	14
MPST_11724	MPST	40
C11orf30_44667	C11orf30	74
SMAD3_10963	SMAD3	44
TMEM249_69165	TMEM249	64
GALT_6859	GALT	21
FIBIN_70844	FIBIN	60
AMHR2_733	AMHR2	30
CKM_3293	CKM	61
HSPG2_8993	HSPG2	9
C17orf74_64860	C17orf74	45
SH3BGRL3_52091	SH3BGRL3	73
BNIP2_1825	BNIP2	35
S1PR5_39614	S1PR5	76
C15orf26_63438	C15orf26	14
TMPRSS11A_69062	TMPRSS11A	12
PSAT1_36938	PSAT1	179
GRIN3B_57764	GRIN3B	80
KDM5C_21468	KDM5C	18
RHOD_36968	RHOD	33
IMPDH1_9569	IMPDH1	53
HIST1H3H_21725	HIST1H3H	71
NR1I2_23211	NR1I2	41
FLG2_71162	FLG2	121
PAMR1_34001	PAMR1	35
ERCC6-PGBD3_76330	ERCC6-PGBD3	30
PLIN1_14171	PLIN1	81
POLR2M_51594	POLR2M	9
LLGL2_10692	LLGL2	40
SLC18A3_17671	SLC18A3	86
PTAFR_15298	PTAFR	50
CENPE_3038	CENPE	53
IL17RE_60014	IL17RE	41
ZDHHC4_41714	ZDHHC4	17
PF4_13704	PF4	71
HMGB4_59372	HMGB4	47
MIOX_42719	MIOX	11
ENOX1_41467	ENOX1	19
CYP2A6_4345	CYP2A6	38
FXYD6_39624	FXYD6	115
HLA-DRB1_8439	HLA-DRB1	40
TGFBI_19097	TGFBI	47
FMO5_6504	FMO5	21
CAMK1_22239	CAMK1	26
PRTG_67457	PRTG	42
DOC2A_21962	DOC2A	72
PRR19_67752	PRR19	25
PI4KB_14004	PI4KB	60
PDIA2_47913	PDIA2	65
UBE2B_19833	UBE2B	71
TBL1X_18758	TBL1X	67
CADM3_46480	CADM3	82
TBC1D25_12975	TBC1D25	72
C3orf80_72352	C3orf80	60
HP1BP3_37349	HP1BP3	10
Non-Targeting Control_77035	Non-Targeting Control	197
TMEM217_65805	TMEM217	31
GLCCI1_56981	GLCCI1	29
ATP13A5_69654	ATP13A5	22
RASSF7_21222	RASSF7	61
DOK2_23682	DOK2	30
PCDHB2_43996	PCDHB2	48
NCEH1_45818	NCEH1	87
TAS2R46_66997	TAS2R46	39
GAB3_60740	GAB3	108
ARFGEF2_28508	ARFGEF2	9
NCBP2_31221	NCBP2	77
ABCG4_47459	ABCG4	91
ANKRD31_66690	ANKRD31	70
APOO_48973	APOO	55
C1orf50_48878	C1orf50	13
OR8U1_65227	OR8U1	48
DYNC2LI1_39170	DYNC2LI1	104
NACC2_60556	NACC2	76
Non-Targeting Control_77245	Non-Targeting Control	189
GPX7_7684	GPX7	49
SELE_17121	SELE	34
LPAR1_5270	LPAR1	88
DIRAS1_61992	DIRAS1	39
AMDHD2_37506	AMDHD2	41
MAP3K13_24095	MAP3K13	33
MCOLN3_42193	MCOLN3	10
MADCAM1_21360	MADCAM1	33
PPAPDC1A_64372	PPAPDC1A	161
LIG4_10650	LIG4	18
IL23R_62140	IL23R	4
OR52E8_71601	OR52E8	35
RNASE12_73407	RNASE12	32
EPHA1_5646	EPHA1	51
ACER1_58989	ACER1	59
AHNAK2_56935	AHNAK2	31
IFI44_28495	IFI44	77
LTBP4_21894	LTBP4	37
NKX1-2_71539	NKX1-2	32
CLCA4_30871	CLCA4	53
UVRAG_20080	UVRAG	5
LIPM_69240	LIPM	48
TMEM178B_75963	TMEM178B	52
DIP2B_46007	DIP2B	38
SPO11_33352	SPO11	161
GOLGA1_7409	GOLGA1	51
R3HCC1_65036	R3HCC1	29
SERF2_27238	SERF2	24
ZPLD1_59925	ZPLD1	62
SLC10A6_69674	SLC10A6	92
WDR26_50980	WDR26	42
SPIN1_29574	SPIN1	38
MYRF_2058	MYRF	19
NXF3_43836	NXF3	105
IGSF21_54637	IGSF21	36
ZFYVE27_58083	ZFYVE27	40
PNPLA1_68291	PNPLA1	23
TBC1D31_56553	TBC1D31	39
FBXO31_49954	FBXO31	58
FTO_48845	FTO	21
USP53_40160	USP53	80
SDCCAG3_29227	SDCCAG3	27
ZNF431_64243	ZNF431	32
Non-Targeting Control_76656	Non-Targeting Control	354
CERS5_55709	CERS5	19
UGT8_19975	UGT8	67
CDC42BPA_22044	CDC42BPA	58
C6orf89_65818	C6orf89	47
LRPAP1_10811	LRPAP1	22
OLFM1_28086	OLFM1	18
ACE2_46732	ACE2	66
EZR_20155	EZR	47
TNK2_27286	TNK2	66
WFDC1_46504	WFDC1	91
RAB11A_22916	RAB11A	46
SLC9A6_28225	SLC9A6	45
RBP1_15933	RBP1	52
OR10T2_59513	OR10T2	71
RASGRP4_57549	RASGRP4	137
SLAMF1_17424	SLAMF1	142
URI1_22798	URI1	51
REST_16017	REST	45
KCNC3_9988	KCNC3	135
FAM160A1_74987	FAM160A1	71
Non-Targeting Control_76778	Non-Targeting Control	194
SLC28A3_47308	SLC28A3	21
JAM2_46586	JAM2	26
MDP1_61447	MDP1	74
OCSTAMP_59568	OCSTAMP	98
SLC10A2_17608	SLC10A2	34
PKN3_36843	PKN3	70
PPM1E_30967	PPM1E	15
CBFA2T2_23990	CBFA2T2	29
CAPN15_17947	CAPN15	38
TMC1_57976	TMC1	34
DTX2_57076	DTX2	76
MAPK14_4003	MAPK14	49
PHKB_13869	PHKB	138
ECE1_5240	ECE1	92
COL5A3_37228	COL5A3	79
Non-Targeting Control_76521	Non-Targeting Control	273
GUCA1B_7995	GUCA1B	33
SAA2-SAA4_76075	SAA2-SAA4	48
TPTE2_56536	TPTE2	29
USP17L7_72010	USP17L7	38
HOXC9_8731	HOXC9	35
KCNH1_10017	KCNH1	60
GPR39_7617	GPR39	111
C8orf46_66498	C8orf46	100
FBXO34_41370	FBXO34	42
FAM196B_75405	FAM196B	71
KIAA2012_76215	KIAA2012	14
TRABD_51068	TRABD	23
PPIB_14531	PPIB	80
IL1A_9373	IL1A	51
SCNN1G_16934	SCNN1G	54
MAML2_53603	MAML2	77
MAD2L1BP_25304	MAD2L1BP	9
MRPS5_48307	MRPS5	49
TCTEX1D2_66655	TCTEX1D2	15
PHYKPL_54713	PHYKPL	19
SRSF6_17209	SRSF6	8
C14orf39_68548	C14orf39	33
COL7A1_3605	COL7A1	9
RNF111_40551	RNF111	55
CCNE2_23974	CCNE2	48
OR1A1_21794	OR1A1	35
MPHOSPH8_40459	MPHOSPH8	6
NPPA_12786	NPPA	30
RNMT_22819	RNMT	32
C1orf115_49878	C1orf115	13
METRN_48691	METRN	18
SYNPO2_64265	SYNPO2	40
PIK3IP1_57055	PIK3IP1	68
GMPR_7291	GMPR	43
RGS12_16116	RGS12	46
NOL3_23564	NOL3	24
SLC35G2_51250	SLC35G2	14
DLL3_28909	DLL3	90
TMEM144_42289	TMEM144	78
GSC2_7846	GSC2	42
RXRB_16688	RXRB	50
ZKSCAN4_70713	ZKSCAN4	33
Non-Targeting Control_76957	Non-Targeting Control	172
Non-Targeting Control_77295	Non-Targeting Control	140
LYG1_59702	LYG1	49
IGSF21_54638	IGSF21	48
CYB5D1_58796	CYB5D1	156
CELF2_28833	CELF2	56
STX19_72804	STX19	51
C17orf100_70982	C17orf100	58
ACIN1_31378	ACIN1	11
OLA1_36620	OLA1	119
C15orf61_61487	C15orf61	77
SRC_18159	SRC	19
KLHL8_45856	KLHL8	83
OR4P4_51538	OR4P4	61
HDAC10_52686	HDAC10	69
CCL28_44261	CCL28	66
RARG_15837	RARG	30
VEGFB_20134	VEGFB	67
NUDT16L1_53434	NUDT16L1	56
MAOA_11093	MAOA	68
CCNJ_40322	CCNJ	119
USP28_46113	USP28	87
DCAF8L1_60714	DCAF8L1	62
TRIM65_64873	TRIM65	70
LRRC29_34796	LRRC29	71
EPB42_5634	EPB42	73
CPQ_27980	CPQ	134
LRP11_54476	LRP11	107
C12orf43_48228	C12orf43	27
HOXB7_8704	HOXB7	34
FRAT2_32703	FRAT2	13
SFTPB_17228	SFTPB	64
CCDC176_50739	CCDC176	39
IL27RA_24917	IL27RA	18
LPO_10772	LPO	61
ITGA5_9761	ITGA5	30
PPP1R1C_62465	PPP1R1C	34
TMEM129_56199	TMEM129	56
YWHAB_20390	YWHAB	86
PPP2R2B_14627	PPP2R2B	109
OR13C4_60627	OR13C4	76
HAUS7_42666	HAUS7	115
PHRF1_46153	PHRF1	40
DAAM1_31432	DAAM1	104
Non-Targeting Control_76948	Non-Targeting Control	79
SLC7A5_21333	SLC7A5	36
STRADA_56206	STRADA	40
LOC102724279_76416	LOC102724279	150
ARHGAP25_26497	ARHGAP25	46
ZNF706_37881	ZNF706	16
PGA5_13784	PGA5	58
ST8SIA6_68750	ST8SIA6	40
LOC403312_72629	LOC403312	175
FUT9_28920	FUT9	87
SIVA1_28534	SIVA1	32
LRFN1_46052	LRFN1	139
XG_20334	XG	53
WNT10A_51139	WNT10A	67
EGFLAM_60175	EGFLAM	37
PON1_14417	PON1	28
CEP126_45851	CEP126	62
ADAM20_22877	ADAM20	85
BMP8B_1800	BMP8B	81
RB1CC1_26087	RB1CC1	19
TKTL1_21498	TKTL1	102
TAS2R40_66982	TAS2R40	26
SART1_23835	SART1	62
KLHL30_70587	KLHL30	51
ADAMTS16_64214	ADAMTS16	43
TTC39C_58941	TTC39C	66
C3orf36_50707	C3orf36	14
PTGDR2_30600	PTGDR2	69
KCTD20_66038	KCTD20	20
ASPM_66971	ASPM	51
GABRB3_6769	GABRB3	59
IFITM5_70832	IFITM5	45
PEX5L_39020	PEX5L	26
PPP1R13B_32599	PPP1R13B	100
CELSR1_25386	CELSR1	23
SUV420H1_37845	SUV420H1	19
PDE1A_13493	PDE1A	63
MGAT1_11423	MGAT1	81
TPSB2_47815	TPSB2	73
SH3BP5_24923	SH3BP5	63
INPP4B_23096	INPP4B	95
XKR7_69570	XKR7	93
GALNT15_57954	GALNT15	49
BLOC1S1_6994	BLOC1S1	34
BMX_1814	BMX	36
INO80B_52099	INO80B	53
ARNT_1175	ARNT	14
PTPRD_15470	PTPRD	22
ZNRF1_54539	ZNRF1	54
ANG_783	ANG	37
ENTHD2_61632	ENTHD2	16
CSF2_4017	CSF2	80
WT1_20322	WT1	100
CHRNG_3268	CHRNG	38
MEF2C_11321	MEF2C	61
ZNF454_68264	ZNF454	40
SERINC3_29665	SERINC3	45
C18orf42_73696	C18orf42	87
C11orf87_72152	C11orf87	15
OR2G6_71975	OR2G6	58
DDB2_4601	DDB2	55
CDC42EP5_61968	CDC42EP5	69
APCDD1L_63766	APCDD1L	9
CACNA1H_23390	CACNA1H	24
FAM163B_73732	FAM163B	63
MAGEF1_47396	MAGEF1	40
BLCAP_29495	BLCAP	174
Non-Targeting Control_76452	Non-Targeting Control	218
TBX21_37036	TBX21	3
HRAS_8823	HRAS	184
MUC21_72079	MUC21	128
TOMM34_29658	TOMM34	28
HIATL1_53912	HIATL1	61
METTL7A_33873	METTL7A	55
ACY1_244	ACY1	31
LGALS14_44475	LGALS14	107
SHKBP1_56354	SHKBP1	65
ABCA7_27821	ABCA7	42
TEX36_70828	TEX36	53
CPLX4_68903	CPLX4	19
ZNF74_20595	ZNF74	68
MKRN2OS_75210	MKRN2OS	72
MGAM2_56517	MGAM2	55
TMPRSS7_69634	TMPRSS7	135
KCTD16_45732	KCTD16	46
DUSP27_56154	DUSP27	42
MKRN1_33306	MKRN1	115
AMBP_711	AMBP	38
MPG_11695	MPG	38
CD86_2633	CD86	52
ZNF549_66698	ZNF549	74
ZSCAN20_20540	ZSCAN20	15
MTF2_30912	MTF2	145
Non-Targeting Control_77307	Non-Targeting Control	220
ABI2_27176	ABI2	33
GBA2_46277	GBA2	39
DENND2A_35685	DENND2A	31
ACRV1_176	ACRV1	18
POU3F1_14451	POU3F1	38
SAMD10_60915	SAMD10	25
TMPRSS9_70216	TMPRSS9	14
MFSD10_27429	MFSD10	26
SETDB2_52521	SETDB2	16
RAD54L2_31820	RAD54L2	26
OXR1_41488	OXR1	49
SBK2_74121	SBK2	150
