sgRNA	Gene	Clip2_7_E8_control_BC22_IGO_09496_14_S14
ZNF700_55550	ZNF700	70
APOA5_57795	APOA5	46
PPP2R5B_14648	PPP2R5B	18
SHC1_17307	SHC1	89
PRPH2_15971	PRPH2	16
SEC63_30539	SEC63	31
SERPINB10_13917	SERPINB10	60
MAP1LC3B2_73762	MAP1LC3B2	37
ARHGEF16_35834	ARHGEF16	36
MIR1-1HG_59616	MIR1-1HG	45
EPHA3_5650	EPHA3	32
FAM71B_62827	FAM71B	54
ZNF726_75038	ZNF726	148
MAGEL2_40225	MAGEL2	13
DMGDH_36908	DMGDH	33
PTN_15405	PTN	43
FAM107B_52312	FAM107B	45
THEM5_67898	THEM5	56
SYP_18574	SYP	83
APIP_37706	APIP	31
BLVRB_1758	BLVRB	27
CSPP1_50146	CSPP1	28
SPRR2F_18123	SPRR2F	169
SMC1B_35634	SMC1B	41
FAM178B_38251	FAM178B	128
PCDHA6_44032	PCDHA6	207
EYA1_5919	EYA1	92
MTCH2_33589	MTCH2	93
SRPK3_35179	SRPK3	100
GH1_7107	GH1	155
BZW2_36249	BZW2	27
SLC13A1_17629	SLC13A1	25
C7orf65_72414	C7orf65	29
NAIF1_65073	NAIF1	16
OR5J2_67144	OR5J2	74
KRTAP5-5_72822	KRTAP5-5	99
B3GAT1_35535	B3GAT1	143
LRFN2_45641	LRFN2	12
GNA11_7293	GNA11	55
MYOM1_22835	MYOM1	185
THYN1_36430	THYN1	65
CD3G_2563	CD3G	13
PPIAL4C_74360	PPIAL4C	10
DKK1_31305	DKK1	61
MSH6_7918	MSH6	8
TMEM156_50586	TMEM156	14
Non-Targeting Control_76571	Non-Targeting Control	235
C10orf53_67158	C10orf53	82
ANO1_41584	ANO1	25
EPN2_31183	EPN2	43
ASCC2_53029	ASCC2	35
CLSTN2_47323	CLSTN2	81
SSC5D_67723	SSC5D	118
PTP4A3_30299	PTP4A3	76
CCK_2461	CCK	112
SLC5A5_17516	SLC5A5	3
EDEM3_51029	EDEM3	56
TLDC2_60935	TLDC2	187
CAMTA2_31795	CAMTA2	50
Non-Targeting Control_76696	Non-Targeting Control	177
ZNF672_50287	ZNF672	108
RDH16_22427	RDH16	64
TFCP2_19024	TFCP2	62
TTC36_61249	TTC36	41
CSNK2A1_4088	CSNK2A1	124
CELA3B_32814	CELA3B	146
Non-Targeting Control_77304	Non-Targeting Control	233
BBC3_35601	BBC3	191
PKMYT1_23826	PKMYT1	33
DYDC1_61152	DYDC1	51
HLA-E_8451	HLA-E	85
SAMD12_72447	SAMD12	31
DTNB_5123	DTNB	12
Non-Targeting Control_77120	Non-Targeting Control	135
APAF1_871	APAF1	85
OR2T6_66518	OR2T6	50
ADCY10_43458	ADCY10	108
TPRX1_67781	TPRX1	171
MS4A13_73466	MS4A13	80
ELK3_5527	ELK3	43
PTGIS_15355	PTGIS	46
ZNF268_29189	ZNF268	106
SLU7_28526	SLU7	33
IFT88_21293	IFT88	82
APOA1BP_59488	APOA1BP	92
ANKMY2_44878	ANKMY2	175
CHL1_29071	CHL1	39
OR52K2_58207	OR52K2	45
PNRC1_29671	PNRC1	54
LAMTOR1_41290	LAMTOR1	89
ZNF676_63661	ZNF676	85
FAM210B_57668	FAM210B	316
SCN8A_16909	SCN8A	133
PCDHAC1_44003	PCDHAC1	60
TTC39C_58941	TTC39C	51
LPO_10771	LPO	17
SLC30A6_42999	SLC30A6	51
KCNJ13_10065	KCNJ13	114
PATE2_72161	PATE2	194
LHB_10622	LHB	100
ADGRF3_63809	ADGRF3	51
NEURL2_60997	NEURL2	42
BHLHE40_22298	BHLHE40	89
Non-Targeting Control_77418	Non-Targeting Control	337
TOM1_26808	TOM1	35
GPATCH2L_42983	GPATCH2L	45
NRN1_38414	NRN1	74
DUSP28_68058	DUSP28	6
ATP8B2_45270	ATP8B2	32
Non-Targeting Control_76800	Non-Targeting Control	229
TPD52_19475	TPD52	128
MGMT_11453	MGMT	38
ANO3_47261	ANO3	77
GRM2_7791	GRM2	25
GSTM5_7906	GSTM5	58
MGC50722_72109	MGC50722	9
Non-Targeting Control_77097	Non-Targeting Control	133
TMEM251_34725	TMEM251	45
NUCB1_12928	NUCB1	48
VIMP_43510	VIMP	62
TAAR1_60314	TAAR1	42
TBATA_65381	TBATA	6
H1FX_23499	H1FX	19
KIAA1109_53019	KIAA1109	107
RECQL5_24720	RECQL5	82
CUL5_21238	CUL5	4
AMOT_62923	AMOT	37
TAOK1_45814	TAOK1	119
SERPINB2_13275	SERPINB2	33
MAPK8_14904	MAPK8	19
TCTN1_49361	TCTN1	14
MSGN1_69573	MSGN1	42
TMPRSS2_19341	TMPRSS2	35
AGTR2_521	AGTR2	144
CEP57L1_68272	CEP57L1	114
PRR23B_71301	PRR23B	123
FAM81B_62815	FAM81B	72
C1QTNF2_57329	C1QTNF2	53
KLK9_67800	KLK9	95
HDX_60696	HDX	60
GPR33_7599	GPR33	68
DOPEY1_31525	DOPEY1	60
TNFRSF8_2638	TNFRSF8	4
PTPRQ_70291	PTPRQ	92
Non-Targeting Control_76631	Non-Targeting Control	119
CRYL1_37740	CRYL1	20
LRRTM2_34431	LRRTM2	56
CAMK2D_2263	CAMK2D	61
COPS7A_37358	COPS7A	63
OR4X1_71627	OR4X1	141
MGST2_11467	MGST2	65
PAK7_45113	PAK7	136
MAF1_53178	MAF1	29
Non-Targeting Control_77042	Non-Targeting Control	323
PAPL_71883	PAPL	60
KCNA1_9942	KCNA1	36
TSC2_19635	TSC2	9
KRTAP9-8_52664	KRTAP9-8	130
TIMP3_19211	TIMP3	127
ZNF461_56173	ZNF461	99
PTX3_15534	PTX3	49
Non-Targeting Control_77230	Non-Targeting Control	220
COX7B2_64228	COX7B2	130
COL16A1_3653	COL16A1	54
PSTPIP1_23701	PSTPIP1	187
KHNYN_32540	KHNYN	55
GLDN_69362	GLDN	85
LHX8_72818	LHX8	49
LCN8_60580	LCN8	54
IMPA1_9563	IMPA1	70
TMEM56-RWDD3_76071	TMEM56-RWDD3	65
IDO2_64068	IDO2	20
TRIM43B_74259	TRIM43B	20
TMEM63C_45154	TMEM63C	315
TEC_18960	TEC	75
DIRC1_57638	DIRC1	44
TTYH1_45381	TTYH1	16
MYOG_12147	MYOG	44
KCND3_10004	KCND3	56
ADAM21_22873	ADAM21	169
RMND5B_48024	RMND5B	33
INPP5D_9639	INPP5D	36
TAOK1_45811	TAOK1	173
MAP7D2_66808	MAP7D2	42
ADAMTS1_25051	ADAMTS1	14
SETD9_60145	SETD9	23
RBL2_15910	RBL2	59
PPP2R2B_14628	PPP2R2B	48
ADRA1B_402	ADRA1B	24
PRAF2_30536	PRAF2	161
SUN1_32550	SUN1	24
MAP3K9_11529	MAP3K9	8
PACSIN3_36586	PACSIN3	44
ACOT6_73654	ACOT6	83
ECM2_5138	ECM2	258
CHCHD6_53411	CHCHD6	139
C10orf111_65670	C10orf111	54
TLE1_19243	TLE1	96
RPGRIP1_44966	RPGRIP1	14
IL17B_35782	IL17B	27
MVK_11949	MVK	4
PLEKHB2_41413	PLEKHB2	113
CYP20A1_45415	CYP20A1	37
BOD1L2_67703	BOD1L2	43
PRR22_63649	PRR22	78
OR5M9_71662	OR5M9	46
DOC2A_21961	DOC2A	80
TMEM233_70890	TMEM233	117
RHBDD2_45448	RHBDD2	51
PANX3_57727	PANX3	59
OOEP_73070	OOEP	43
TMEM132D_58338	TMEM132D	11
OSTN_69649	OSTN	74
ORMDL1_56685	ORMDL1	117
GIPC3_59117	GIPC3	46
FAM110D_50379	FAM110D	65
ARHGAP1_1125	ARHGAP1	11
PAX9_13355	PAX9	52
VGLL4_25612	VGLL4	54
LMO2_10717	LMO2	183
ROBO1_16232	ROBO1	32
PCDHGB4_22530	PCDHGB4	17
SLC9A7_54013	SLC9A7	87
NUDT1_11858	NUDT1	80
OR4D10_71696	OR4D10	36
MFN1_42990	MFN1	45
MAGED4B_51683	MAGED4B	47
CDK5RAP3_51049	CDK5RAP3	56
ZBTB10_48547	ZBTB10	29
TDRD1_44093	TDRD1	46
PPP4R4_46326	PPP4R4	35
ARID2_64451	ARID2	63
FLOT2_6468	FLOT2	33
ACY1_242	ACY1	44
PLXNB2_33429	PLXNB2	45
TYW1_42093	TYW1	64
WFDC8_55345	WFDC8	34
TTC34_75648	TTC34	74
CDC14B_22302	CDC14B	39
AUTS2_34464	AUTS2	8
MRPS28_36212	MRPS28	147
BET1L_38316	BET1L	33
CDK2AP2_27558	CDK2AP2	71
CDYL_24797	CDYL	93
Non-Targeting Control_77150	Non-Targeting Control	229
FBXO25_34870	FBXO25	87
Non-Targeting Control_77079	Non-Targeting Control	205
SEMG1_17142	SEMG1	54
SNX25_52627	SNX25	41
RAB14_39011	RAB14	117
FAM209B_71195	FAM209B	11
SPP2_18084	SPP2	33
PTGS1_15362	PTGS1	51
EPHA2_5432	EPHA2	53
OR4M1_73195	OR4M1	121
Non-Targeting Control_77334	Non-Targeting Control	143
CSF3_4029	CSF3	77
FBXO32_57355	FBXO32	125
MCC_11219	MCC	134
SLITRK2_53889	SLITRK2	23
SPANXA1_37054	SPANXA1	21
C16orf89_61614	C16orf89	38
GPR52_24416	GPR52	41
RHBDD1_53186	RHBDD1	15
ZAN_20218	ZAN	145
RAB40C_46399	RAB40C	183
ZNF253_44128	ZNF253	37
SSBP3_33418	SSBP3	9
C7orf33_65015	C7orf33	43
RTN4RL2_70024	RTN4RL2	61
MSX2_11803	MSX2	42
GSTO2_58125	GSTO2	107
ZBTB47_56407	ZBTB47	44
TOX_25882	TOX	129
FNBP1L_40848	FNBP1L	67
GBP5_57484	GBP5	69
PDZD3_50150	PDZD3	83
C12orf66_61355	C12orf66	31
AKAP14_63221	AKAP14	66
NAA50_50941	NAA50	8
SNRPN_17908	SNRPN	70
EDC3_50806	EDC3	28
ZNF709_63617	ZNF709	47
RAP1GDS1_15815	RAP1GDS1	35
GPALPP1_42504	GPALPP1	40
TDRD7_32781	TDRD7	24
ASXL3_51375	ASXL3	54
KRTAP10-12_70703	KRTAP10-12	25
ACO2_149	ACO2	72
CTRL_4234	CTRL	53
MARVELD1_52456	MARVELD1	130
RAB14_39013	RAB14	77
Non-Targeting Control_77286	Non-Targeting Control	223
ANKRD60_60943	ANKRD60	53
KDM5B_29102	KDM5B	112
CAST_2317	CAST	21
SLC9A7_54011	SLC9A7	55
ATG9A_48838	ATG9A	99
HPGD_8797	HPGD	113
NOL4_22766	NOL4	59
PAK1_13280	PAK1	152
GLT8D1_43512	GLT8D1	35
CT47A5_74550	CT47A5	167
PLD1_14140	PLD1	28
TOR1B_36100	TOR1B	145
SKAP2_23450	SKAP2	85
ERMN_45551	ERMN	27
FAM127A_23441	FAM127A	132
NHLRC1_70617	NHLRC1	42
CCR2_74850	CCR2	91
FAM163B_73731	FAM163B	112
STOML3_63385	STOML3	67
RAB9A_24619	RAB9A	103
CHST3_24930	CHST3	106
SH3BGRL3_52094	SH3BGRL3	68
FAM129B_48184	FAM129B	96
PGRMC2_28038	PGRMC2	18
NAT14_44997	NAT14	84
TTC22_41275	TTC22	71
C20orf24_43802	C20orf24	26
ZFP2_50699	ZFP2	77
SIGIRR_46762	SIGIRR	134
OR51B6_71560	OR51B6	75
LRSAM1_55595	LRSAM1	48
KCND1_9994	KCND1	51
SLC30A7_62087	SLC30A7	21
SPANXA1_37052	SPANXA1	82
SETD9_60146	SETD9	47
ZNF589_38665	ZNF589	11
KRT13_10355	KRT13	125
GSX2_64229	GSX2	176
USP33_31521	USP33	39
ZNF664-FAM101A_76172	ZNF664-FAM101A	26
KRTAP20-3_68690	KRTAP20-3	81
PPAP2C_22440	PPAP2C	29
PBX4_51243	PBX4	140
RBPJ_9351	RBPJ	10
BPIFA2_60880	BPIFA2	21
TRPV4_46783	TRPV4	24
CRYBA1_3948	CRYBA1	27
SFI1_26058	SFI1	49
GBX1_6954	GBX1	65
DNAJC14_54880	DNAJC14	102
ZC3H13_31700	ZC3H13	25
PACS2_32196	PACS2	31
TMCC3_45499	TMCC3	47
ZFX_20436	ZFX	69
PRIMA1_61402	PRIMA1	87
APMAP_45093	APMAP	26
FHIT_6327	FHIT	30
BPNT1_27889	BPNT1	137
TMEM107_53454	TMEM107	64
PRSS48_69658	PRSS48	24
MIER1_46294	MIER1	27
PRSS58_60448	PRSS58	19
CLHC1_59785	CLHC1	38
COG6_45685	COG6	172
TMEM65_63006	TMEM65	117
ZNF628_55220	ZNF628	58
SLC4A8_25016	SLC4A8	60
Non-Targeting Control_77076	Non-Targeting Control	77
KLF17_59469	KLF17	27
UBE2Q1_42717	UBE2Q1	42
TBXA2R_18781	TBXA2R	112
SGCZ_60511	SGCZ	41
GPR160_35373	GPR160	27
C9orf16_48933	C9orf16	34
Non-Targeting Control_76779	Non-Targeting Control	205
GALM_59845	GALM	56
TMED1_29863	TMED1	37
GAMT_6862	GAMT	77
RHOXF2_53753	RHOXF2	95
SGCZ_60509	SGCZ	93
Non-Targeting Control_76687	Non-Targeting Control	142
IL2RG_9406	IL2RG	56
RLF_16165	RLF	7
WWC3_43543	WWC3	61
ZNF333_53634	ZNF333	25
OR4C13_67189	OR4C13	93
LRRK1_49687	LRRK1	160
C9orf152_72470	C9orf152	43
FIZ1_54488	FIZ1	153
LMOD3_44118	LMOD3	27
FOXJ1_6406	FOXJ1	74
BLOC1S3_71061	BLOC1S3	61
C9orf3_54445	C9orf3	32
CD52_2978	CD52	102
LIMA1_38835	LIMA1	16
ACOT6_73655	ACOT6	72
THY1_19180	THY1	98
ZIC3_20451	ZIC3	136
GGA2_31611	GGA2	42
GLTP_38183	GLTP	141
DLAT_4795	DLAT	135
ERAS_8825	ERAS	56
XPNPEP2_20353	XPNPEP2	182
NKX2-1_19219	NKX2-1	93
RAB33A_24606	RAB33A	208
SLC3A1_17478	SLC3A1	52
SUPT20H_42705	SUPT20H	262
MCU_55530	MCU	128
DNAJC25-GNG10_73547	DNAJC25-GNG10	86
SORBS3_27253	SORBS3	72
MSRB1_39396	MSRB1	25
TGIF2LX_55392	TGIF2LX	113
PSG2_15107	PSG2	22
SRCIN1_51256	SRCIN1	49
SMYD2_44683	SMYD2	64
BHMT2_33512	BHMT2	18
1-Mar_47964	1-Mar	184
OTOG_69275	OTOG	23
HIPK2_36334	HIPK2	215
LOC100289561_75720	LOC100289561	97
NRSN1_60970	NRSN1	84
CHDH_42416	CHDH	75
P4HA2_23510	P4HA2	40
GUCA1B_7993	GUCA1B	128
HBP1_35334	HBP1	83
KEAP1_26070	KEAP1	37
THADA_47072	THADA	63
OR2T34_59289	OR2T34	78
ZNF285_35346	ZNF285	135
SHROOM4_45575	SHROOM4	78
ABHD16A_21087	ABHD16A	47
ELMO1_26161	ELMO1	42
AGR2_28456	AGR2	91
APOH_990	APOH	100
PUS10_62421	PUS10	87
PNLIPRP2_14304	PNLIPRP2	27
DEFB112_66140	DEFB112	117
ZNF398_45784	ZNF398	130
COQ3_39499	COQ3	34
STMND1_72385	STMND1	36
DDX25_36536	DDX25	78
C11orf91_75372	C11orf91	56
KRTAP21-3_75667	KRTAP21-3	115
SAMD11_62022	SAMD11	79
RAB8A_11360	RAB8A	134
MAP7D1_43075	MAP7D1	71
SUPT20H_42704	SUPT20H	363
TUSC3_21157	TUSC3	55
ZNF721_64247	ZNF721	95
COL11A2_3640	COL11A2	60
SP1_18009	SP1	49
DCK_4571	DCK	126
Non-Targeting Control_76896	Non-Targeting Control	97
PIAS2_23741	PIAS2	46
Non-Targeting Control_76723	Non-Targeting Control	304
PSEN2_15100	PSEN2	29
MPG_11696	MPG	39
CREB3L3_54071	CREB3L3	24
CYP27B1_4460	CYP27B1	43
STAT3_18352	STAT3	30
SHCBP1L_51831	SHCBP1L	11
TSHR_19646	TSHR	39
C11orf16_44369	C11orf16	66
MRGPRE_57799	MRGPRE	17
RTP3_52270	RTP3	100
TULP2_19745	TULP2	43
C15orf62_73775	C15orf62	45
STARD8_25863	STARD8	57
IAH1_68038	IAH1	49
KRTAP13-3_68627	KRTAP13-3	25
LOC554223_73562	LOC554223	46
GZF1_47741	GZF1	28
PEX26_42991	PEX26	58
FN1_6520	FN1	24
ZNF735_75070	ZNF735	95
TMPRSS11B_60089	TMPRSS11B	45
GPR161_32799	GPR161	69
PYHIN1_62206	PYHIN1	25
C20orf173_61038	C20orf173	108
ADAM2_6618	ADAM2	67
OR8D4_68770	OR8D4	100
CEBPB_3008	CEBPB	71
SHISA8_73019	SHISA8	31
FMO3_6494	FMO3	165
KNOP1_72212	KNOP1	39
Non-Targeting Control_77432	Non-Targeting Control	300
SEMA4F_28315	SEMA4F	67
COMMD5_36324	COMMD5	7
C14orf177_67430	C14orf177	69
Non-Targeting Control_77225	Non-Targeting Control	231
PIEZO1_25950	PIEZO1	56
GPR108_44610	GPR108	115
GSDMD_49955	GSDMD	70
HERC1_23416	HERC1	96
COX4I2_54080	COX4I2	40
XRCC6_6716	XRCC6	4
FAM229B_73637	FAM229B	107
XDH_20331	XDH	128
Non-Targeting Control_76721	Non-Targeting Control	354
VPS37D_62987	VPS37D	28
KIF26A_34675	KIF26A	74
ZFPM2_32750	ZFPM2	81
CEP104_25774	CEP104	26
ACBD3_47932	ACBD3	59
S100A7A_68709	S100A7A	99
DCT_4588	DCT	120
TECRL_66271	TECRL	106
SLC22A6_24587	SLC22A6	65
SPSB3_55659	SPSB3	40
APOBEC3B_25284	APOBEC3B	32
SPRR1A_18097	SPRR1A	4
FXYD5_39630	FXYD5	25
PPP1R16A_54690	PPP1R16A	97
GLS_7254	GLS	121
CAST_2318	CAST	45
IFNL1_67129	IFNL1	106
RNF220_41839	RNF220	47
PPARD_14494	PPARD	117
RERE_1317	RERE	29
JPH3_45372	JPH3	133
HNRNPM_12184	HNRNPM	17
PDS5B_31574	PDS5B	30
FOXA2_8546	FOXA2	24
ZNF331_42496	ZNF331	12
Non-Targeting Control_76961	Non-Targeting Control	67
GLYATL1_56188	GLYATL1	43
FRS2_29269	FRS2	12
ITGAV_9792	ITGAV	11
ANKHD1_40882	ANKHD1	25
HIST1H2BE_21675	HIST1H2BE	33
LMCD1_37008	LMCD1	6
PTK2_15383	PTK2	16
MZF1_20571	MZF1	35
SRSF12_60352	SRSF12	16
BARHL2_69544	BARHL2	20
RBFOX3_61638	RBFOX3	155
OR2T34_59290	OR2T34	216
ZNF93_52055	ZNF93	24
XAGE1B_74265	XAGE1B	42
RUSC2_26192	RUSC2	18
Non-Targeting Control_77296	Non-Targeting Control	207
Non-Targeting Control_76690	Non-Targeting Control	241
INSL3_9652	INSL3	9
TULP3_19752	TULP3	7
CTTN_5566	CTTN	11
PIP_14015	PIP	103
TAS2R4_37370	TAS2R4	44
GATA6_6924	GATA6	88
DPRX_73484	DPRX	44
ZNF7_20468	ZNF7	128
ZNF133_20666	ZNF133	83
SLC25A10_4118	SLC25A10	109
NDUFA1_12265	NDUFA1	10
TSHZ3_46031	TSHZ3	74
TAS2R4_37367	TAS2R4	158
OR10G9_65416	OR10G9	14
ZNF26_20531	ZNF26	59
CAAP1_50261	CAAP1	45
USP17L10_75580	USP17L10	87
CHRM3_3205	CHRM3	18
MAS1L_57786	MAS1L	17
SLC5A8_63359	SLC5A8	16
H2AFB2_73359	H2AFB2	36
PRSS38_68979	PRSS38	24
RBM43_70455	RBM43	23
EIF4EBP2_5454	EIF4EBP2	55
ZNF624_45804	ZNF624	40
KCNH8_59911	KCNH8	49
NBEA_35338	NBEA	96
LPPR4_26323	LPPR4	32
FAM53B_25585	FAM53B	104
GUCY1A3_8008	GUCY1A3	7
SLC30A8_64046	SLC30A8	33
RAB1B_52012	RAB1B	86
RIMS2_25660	RIMS2	34
FBXO36_59886	FBXO36	191
OR4F6_71831	OR4F6	32
Non-Targeting Control_76919	Non-Targeting Control	210
LEAP2_57835	LEAP2	123
GALK2_6835	GALK2	76
Non-Targeting Control_76536	Non-Targeting Control	323
SLC35G5_52330	SLC35G5	64
AMN1_64402	AMN1	74
GOLM1_38342	GOLM1	12
PDE8B_22467	PDE8B	168
MEI4_76374	MEI4	68
Non-Targeting Control_76566	Non-Targeting Control	249
BRK1_43556	BRK1	78
TMPRSS2_19344	TMPRSS2	75
EPDR1_40482	EPDR1	43
Non-Targeting Control_76981	Non-Targeting Control	197
SKI_17400	SKI	46
PIK3CB_13973	PIK3CB	207
FBXW7_42233	FBXW7	20
PDCD10_30551	PDCD10	46
WDFY4_46279	WDFY4	24
SNURF_23418	SNURF	100
NXF5_43831	NXF5	141
CALML3_2237	CALML3	34
ZNF264_24790	ZNF264	55
TGOLN2_28690	TGOLN2	61
FOXS1_6427	FOXS1	93
CD33_2646	CD33	19
MAPKBP1_31438	MAPKBP1	49
2-Mar_41264	2-Mar	127
RAP1GAP2_31751	RAP1GAP2	53
TMEM198_59850	TMEM198	29
Non-Targeting Control_76634	Non-Targeting Control	256
Non-Targeting Control_77052	Non-Targeting Control	151
SLC30A6_43001	SLC30A6	39
USP44_52903	USP44	56
TRIM17_37896	TRIM17	82
STAG3_29016	STAG3	32
SLC13A5_67650	SLC13A5	64
EDF1_22783	EDF1	33
SLC25A6_820	SLC25A6	75
PPP3R2_14682	PPP3R2	65
DVL2_5188	DVL2	101
HDHD1_21438	HDHD1	108
IL36G_44218	IL36G	38
GDPD4_65535	GDPD4	70
COL9A2_3624	COL9A2	38
AQP2_1022	AQP2	30
Non-Targeting Control_77226	Non-Targeting Control	118
CDY1_23816	CDY1	80
FAM9C_64297	FAM9C	65
SERINC1_45701	SERINC1	26
PRKAR1A_14803	PRKAR1A	34
CDX2_2985	CDX2	34
KCNIP3_37094	KCNIP3	65
KRT75_23914	KRT75	152
VSIG2_33230	VSIG2	43
IRF5_9716	IRF5	61
NUP37_48738	NUP37	15
MAGEB5_69850	MAGEB5	47
VIPAS39_47081	VIPAS39	98
NTRK2_12896	NTRK2	29
RNF2_16197	RNF2	20
BPIFA3_59625	BPIFA3	140
PEX19_15571	PEX19	60
Non-Targeting Control_77135	Non-Targeting Control	193
CRCT1_40206	CRCT1	90
OR2AE1_51559	OR2AE1	56
SLC9B1_62261	SLC9B1	20
CEBPA_3002	CEBPA	105
KIF23_25000	KIF23	2
TSEN54_67569	TSEN54	51
OR9Q2_65464	OR9Q2	131
C9orf142_68417	C9orf142	24
CCDC136_47948	CCDC136	51
ACAD9_36271	ACAD9	19
MAGEA6_11017	MAGEA6	23
RELA_15993	RELA	62
VASP_20085	VASP	75
STPG1_55524	STPG1	82
KCTD10_52632	KCTD10	68
RHPN2_54899	RHPN2	106
NOS1_12698	NOS1	60
PCMTD2_42086	PCMTD2	133
BAIAP2L2_50715	BAIAP2L2	75
DENND1B_63690	DENND1B	48
TNFRSF10B_23000	TNFRSF10B	52
XAGE5_64194	XAGE5	40
ATAD3C_65207	ATAD3C	13
KRTAP5-1_70744	KRTAP5-1	18
SCRN2_55504	SCRN2	118
COQ10B_50946	COQ10B	47
NLRP6_64277	NLRP6	49
IGSF8_56469	IGSF8	54
KBTBD3_61233	KBTBD3	152
GYLTL1B_58220	GYLTL1B	87
MYOG_12148	MYOG	117
POU4F3_14470	POU4F3	137
ANKRD34C_71822	ANKRD34C	59
HSPBAP1_49555	HSPBAP1	17
KCTD6_64769	KCTD6	103
KCNV2_64076	KCNV2	42
TDRP_63039	TDRP	91
OR2T11_59302	OR2T11	66
YDJC_62283	YDJC	133
CD274_36564	CD274	50
CASD1_48249	CASD1	36
GRPR_7840	GRPR	88
DIRAS3_23787	DIRAS3	155
C17orf50_61687	C17orf50	42
P3H2_41958	P3H2	103
ZNF575_67762	ZNF575	4
GPR22_7562	GPR22	28
C10orf131_75142	C10orf131	63
Non-Targeting Control_76911	Non-Targeting Control	218
GPR35_7605	GPR35	169
KCNH1_10019	KCNH1	71
MCEMP1_64550	MCEMP1	113
FRMD1_50522	FRMD1	35
CPLX3_73598	CPLX3	23
Non-Targeting Control_77305	Non-Targeting Control	198
Non-Targeting Control_76664	Non-Targeting Control	345
RNF222_73872	RNF222	52
KCNJ2_10031	KCNJ2	108
TRAF2_19557	TRAF2	40
SPINT1_18076	SPINT1	18
DFFB_4718	DFFB	101
ZCCHC18_73923	ZCCHC18	83
USB1_49516	USB1	30
RRP7A_36074	RRP7A	50
Non-Targeting Control_76724	Non-Targeting Control	140
TTC30B_62394	TTC30B	66
FFAR3_7626	FFAR3	21
CCNE2_23975	CCNE2	34
ACP2_164	ACP2	50
DTX1_5129	DTX1	39
Non-Targeting Control_76574	Non-Targeting Control	323
ATG13_25936	ATG13	40
KRTAP12-2_70146	KRTAP12-2	61
FMOD_6505	FMOD	23
CALD1_2226	CALD1	58
APCS_902	APCS	57
HYAL3_21784	HYAL3	19
TRIL_26233	TRIL	88
PPAP2B_22442	PPAP2B	90
GSTK1_70232	GSTK1	131
Non-Targeting Control_76652	Non-Targeting Control	280
PLCZ1_55183	PLCZ1	33
Non-Targeting Control_77212	Non-Targeting Control	263
DDHD1_51394	DDHD1	34
HIST1H2AA_65845	HIST1H2AA	76
CHD9_50902	CHD9	45
ZNF30_55292	ZNF30	46
BPIFB2_51176	BPIFB2	23
DGAT2L6_69839	DGAT2L6	125
KCNK17_55140	KCNK17	87
UGT1A5_40278	UGT1A5	52
EFCAB12_55380	EFCAB12	13
RIMKLB_45628	RIMKLB	26
LIPK_73800	LIPK	7
CYTH4_35636	CYTH4	82
GAPDHS_34989	GAPDHS	13
GOLIM4_36045	GOLIM4	26
P3H3_28409	P3H3	41
CLDN17_34949	CLDN17	79
RAP2C_46450	RAP2C	79
BMX_1815	BMX	103
MKL1_45953	MKL1	21
MROH9_50758	MROH9	87
Non-Targeting Control_76597	Non-Targeting Control	187
MGAT1_11421	MGAT1	9
USP20_29368	USP20	35
OR2Y1_60207	OR2Y1	69
VPS33B_34919	VPS33B	16
AREG_1070	AREG	114
LYRM4_45068	LYRM4	64
RBAK-RBAKDN_76185	RBAK-RBAKDN	37
CSNK2A3_67198	CSNK2A3	11
ZNF208_20823	ZNF208	121
HADHA_8153	HADHA	143
PPP1R3F_55135	PPP1R3F	89
Non-Targeting Control_77353	Non-Targeting Control	224
TTC8_58569	TTC8	11
HS6ST2_55330	HS6ST2	50
HSPB6_59149	HSPB6	59
SERPINB4_16859	SERPINB4	69
ALDH16A1_59051	ALDH16A1	32
RPS6KA1_16513	RPS6KA1	28
GLMP_56856	GLMP	27
ZNF814_75035	ZNF814	89
CLN5_3410	CLN5	38
ASTN1_1287	ASTN1	67
JPH2_45160	JPH2	63
IFI6_6694	IFI6	100
C1orf52_62031	C1orf52	11
CACHD1_46213	CACHD1	32
DOCK8_51883	DOCK8	60
TRIM34_39663	TRIM34	17
CKMT2_3304	CKMT2	17
CGGBP1_22275	CGGBP1	25
PPP4R1_26659	PPP4R1	40
BTBD7_43164	BTBD7	30
WNT3_20265	WNT3	73
VWDE_65887	VWDE	41
CLDND1_44322	CLDND1	51
P2RX4_13182	P2RX4	33
MAP10_40347	MAP10	33
EBLN2_41556	EBLN2	130
USP17L15_75680	USP17L15	127
ZNF541_53119	ZNF541	65
GPATCH1_41549	GPATCH1	8
PRKX_14958	PRKX	164
POU2F3_33854	POU2F3	30
GYG1_8029	GYG1	14
PAK3_13287	PAK3	54
CCDC179_75817	CCDC179	43
NXF3_43838	NXF3	91
ANK2_797	ANK2	44
HMG20A_27856	HMG20A	22
RPP25_40976	RPP25	34
GLIPR1L2_61301	GLIPR1L2	20
EBAG9_24066	EBAG9	25
HIST1H1T_8102	HIST1H1T	45
MYOZ3_56077	MYOZ3	97
HIST2H2BF_72987	HIST2H2BF	43
LRIG3_58333	LRIG3	23
PRSS41_70225	PRSS41	54
CC2D2B_70814	CC2D2B	9
ZBED4_26317	ZBED4	139
DENND6A_64927	DENND6A	30
FMO3_6495	FMO3	121
