sgRNA	Gene	Clip2_4_DE_GFP_high_BC16_IGO_09496_8_S8
RNF148_70621	RNF148	26
MOAP1_47404	MOAP1	31
GZMM_8077	GZMM	136
ZNF732_74427	ZNF732	159
TP53TG3D_74877	TP53TG3D	19
HIST1H2BB_8125	HIST1H2BB	114
NRM_30655	NRM	72
FAM32A_34351	FAM32A	149
C6orf52_69891	C6orf52	109
GAB1_6723	GAB1	65
TGIF2-C20orf24_76059	TGIF2-C20orf24	50
FOXB1_35424	FOXB1	104
Non-Targeting Control_76753	Non-Targeting Control	429
ZBTB7B_37617	ZBTB7B	181
SETD3_53097	SETD3	86
SLC44A1_32834	SLC44A1	53
TVP23C_64822	TVP23C	13
CCR5_3455	CCR5	28
KRTAP10-3_70689	KRTAP10-3	68
TMEM161A_41028	TMEM161A	88
P2RY10_36050	P2RY10	93
TTPA_19707	TTPA	189
SGK3_33466	SGK3	204
WDR87_52619	WDR87	54
UTS2R_7533	UTS2R	242
EPGN_66601	EPGN	17
LOC400927-CSNK1E_76434	LOC400927-CSNK1E	191
INTS3_48443	INTS3	33
C19orf71_75168	C19orf71	113
TMEM70_41168	TMEM70	78
PRKCH_14837	PRKCH	92
SLFN12L_75918	SLFN12L	61
BAX_1595	BAX	283
OPA3_50908	OPA3	124
LCE2B_34815	LCE2B	131
RNF44_30955	RNF44	73
ZNF239_21369	ZNF239	56
ZNF709_63618	ZNF709	54
CTF1_4188	CTF1	72
RBM22_43062	RBM22	215
HSD17B4_8897	HSD17B4	101
DPPA4_41943	DPPA4	159
CHMP7_56007	CHMP7	22
ZNF768_49753	ZNF768	139
NBL1_12219	NBL1	22
TCEAL5_69207	TCEAL5	74
ROGDI_49481	ROGDI	175
SLIT3_17724	SLIT3	34
BRCC3_49103	BRCC3	80
TNNC2_19362	TNNC2	135
CNTFR_3538	CNTFR	66
PRSS12_22081	PRSS12	80
OCA2_12985	OCA2	227
TLL1_19258	TLL1	153
SUN5_60945	SUN5	94
HADHA_8156	HADHA	51
MAPK10_14915	MAPK10	157
CYP4F12_48597	CYP4F12	91
MYO3A_39675	MYO3A	149
PRR20A_58453	PRR20A	51
GDF6_72016	GDF6	46
SH2D6_68002	SH2D6	64
GLCE_34406	GLCE	111
PHLDA3_33311	PHLDA3	65
HSF1_8903	HSF1	61
Non-Targeting Control_77271	Non-Targeting Control	243
POPDC2_47342	POPDC2	87
MAL2_57133	MAL2	136
CLDN20_37189	CLDN20	212
LRRC26_71499	LRRC26	99
UQCRC2_20027	UQCRC2	52
TOMM6_75544	TOMM6	70
CLIC3_23611	CLIC3	47
FASTKD5_46918	FASTKD5	146
LRRC4C_46223	LRRC4C	143
PLAU_14104	PLAU	56
SMIM24_67856	SMIM24	53
RGS11_22967	RGS11	139
OR13D1_68442	OR13D1	217
UGGT2_43272	UGGT2	133
RBP1_15934	RBP1	43
GPC6_26943	GPC6	73
SYNJ2_23252	SYNJ2	78
CD244_39418	CD244	147
LEUTX_69443	LEUTX	158
GJD2_45386	GJD2	73
RND2_21344	RND2	108
SRPK3_35179	SRPK3	254
DCHS2_40594	DCHS2	154
ADGRG5_65722	ADGRG5	49
LRP12_36932	LRP12	79
HAGH_8152	HAGH	99
GLDN_69362	GLDN	178
RABAC1_28517	RABAC1	194
CTAGE6_69144	CTAGE6	16
SKAP1_22493	SKAP1	185
OR6C75_71757	OR6C75	24
PPAN-P2RY11_74463	PPAN-P2RY11	132
MUC13_44355	MUC13	29
ACACA_91	ACACA	29
C3orf52_49576	C3orf52	171
FAM157A_74610	FAM157A	28
PCDHGA1_43946	PCDHGA1	117
CDKL5_18414	CDKL5	138
ACTL10_64161	ACTL10	34
PICK1_24906	PICK1	67
RBM34_31507	RBM34	112
TRIP4_24489	TRIP4	132
CEP70_51123	CEP70	101
CEACAM4_3104	CEACAM4	93
NCF1_74298	NCF1	138
GPR1_7490	GPR1	137
LAS1L_52018	LAS1L	171
DTNA_5119	DTNA	26
NFAM1_62329	NFAM1	107
SPRYD3_54505	SPRYD3	41
SLC34A2_28521	SLC34A2	19
ST18_25683	ST18	23
ATP6V0A1_1482	ATP6V0A1	97
CCNE2_23976	CCNE2	140
RMI2_57611	RMI2	71
NAT16_70518	NAT16	181
FZD5_21007	FZD5	91
TFB2M_47537	TFB2M	102
TOMM20_26025	TOMM20	67
PHLDA1_30909	PHLDA1	229
LRRD1_72418	LRRD1	65
CPSF4L_73725	CPSF4L	99
MNAT1_11656	MNAT1	130
PIGR_13951	PIGR	109
ASGR2_1250	ASGR2	40
MRPL18_36394	MRPL18	99
PCYOX1L_48640	PCYOX1L	165
RSPH9_65790	RSPH9	185
ZBTB38_66304	ZBTB38	57
MOCOS_41383	MOCOS	47
SERINC4_73633	SERINC4	87
SLC5A6_23298	SLC5A6	30
OR4D10_71696	OR4D10	58
SRBD1_41671	SRBD1	34
GAS8_6904	GAS8	144
Non-Targeting Control_77037	Non-Targeting Control	518
CAPZA1_2309	CAPZA1	119
ETNK2_41991	ETNK2	36
DDIT4L_57442	DDIT4L	224
ANKRD42_68787	ANKRD42	201
TMEM167A_62770	TMEM167A	90
COX6C_3721	COX6C	81
RNASE8_58505	RNASE8	65
LUZP6_75088	LUZP6	230
NCOA4_21205	NCOA4	248
C14orf166_39191	C14orf166	42
HEPHL1_69293	HEPHL1	70
PLEK2_35062	PLEK2	151
CACNA1F_2158	CACNA1F	194
ZCCHC2_40862	ZCCHC2	17
C5orf24_60289	C5orf24	164
LAG3_10447	LAG3	128
Non-Targeting Control_76587	Non-Targeting Control	376
C10orf113_70789	C10orf113	187
ERBB4_5740	ERBB4	33
DRC7_53165	DRC7	68
Non-Targeting Control_76710	Non-Targeting Control	284
CCNG2_2510	CCNG2	203
TNFSF12_22860	TNFSF12	48
FAM19A5_33794	FAM19A5	116
Non-Targeting Control_76895	Non-Targeting Control	221
WNT2_20264	WNT2	82
PPP1R2_14580	PPP1R2	155
CLCN7_3368	CLCN7	54
ASNSD1_40151	ASNSD1	263
AGTR2_524	AGTR2	331
FMNL3_55704	FMNL3	40
TMEM106B_40378	TMEM106B	135
SYT14_66683	SYT14	80
PPP1R17_29295	PPP1R17	74
ALAS2_587	ALAS2	146
ZNF705B_75434	ZNF705B	252
TGOLN2_28691	TGOLN2	167
PNOC_14251	PNOC	136
MAP1LC3C_73008	MAP1LC3C	25
C8orf86_71434	C8orf86	32
C17orf89_67674	C17orf89	46
ABRACL_46677	ABRACL	25
GALR1_6839	GALR1	194
C1orf106_43305	C1orf106	80
DNAH9_4895	DNAH9	69
CARTPT_25347	CARTPT	88
C3orf79_62626	C3orf79	87
BTN3A2_30170	BTN3A2	152
FAM222B_43176	FAM222B	29
TRERF1_43450	TRERF1	40
BLZF1_22286	BLZF1	301
WNK2_48513	WNK2	147
CLDN24_75444	CLDN24	413
Non-Targeting Control_76907	Non-Targeting Control	297
TBC1D14_45753	TBC1D14	31
FANK1_56275	FANK1	188
NPHP4_67053	NPHP4	113
CD300LD_75382	CD300LD	84
MYB_11966	MYB	103
PRAMEF4_72253	PRAMEF4	199
FAM124B_50124	FAM124B	80
CDH22_47721	CDH22	37
STAT4_18353	STAT4	254
ADRB3_432	ADRB3	58
LIMK2_10668	LIMK2	26
CLIP1_16668	CLIP1	133
ITGA6_9688	ITGA6	52
EFHC2_51011	EFHC2	118
FAM83B_66022	FAM83B	52
ENTHD2_61630	ENTHD2	26
TPSB2_47815	TPSB2	99
MVD_11948	MVD	112
ZFAND1_49850	ZFAND1	213
SIAH1_17338	SIAH1	53
PAK3_13286	PAK3	91
NKTR_12630	NKTR	79
KLHL23_62464	KLHL23	133
JAK1_9898	JAK1	92
AMPD1_740	AMPD1	71
ASIC1_132	ASIC1	38
TMEM184A_65017	TMEM184A	146
APOC3_973	APOC3	320
RSC1A1_16661	RSC1A1	30
Non-Targeting Control_77002	Non-Targeting Control	512
ELOVL6_48851	ELOVL6	15
F12_5983	F12	136
FIGN_41681	FIGN	34
PYDC1_67037	PYDC1	136
GDA_25366	GDA	197
UBXN2B_60517	UBXN2B	231
MFSD6L_63506	MFSD6L	104
CCZ1_39164	CCZ1	62
HLA-C_8388	HLA-C	35
CDKN2AIPNL_55811	CDKN2AIPNL	194
SLC6A19_69077	SLC6A19	472
FBXL21_34770	FBXL21	78
KIFAP3_31238	KIFAP3	51
AGO2_35719	AGO2	98
ZNF257_57071	ZNF257	71
IGFALS_9307	IGFALS	141
SLC17A2_27503	SLC17A2	177
FAM50A_23960	FAM50A	67
EVI2A_5878	EVI2A	252
CSRP1_4110	CSRP1	136
TNFRSF13C_57523	TNFRSF13C	75
TTLL6_67621	TTLL6	73
IQCF3_72344	IQCF3	35
LILRA6_49056	LILRA6	230
GFRA3_7083	GFRA3	94
TNF_19358	TNF	237
MRPS25_47801	MRPS25	35
SLC31A2_3689	SLC31A2	30
RAB39B_57754	RAB39B	50
SKP2_17416	SKP2	130
SLPI_17732	SLPI	40
DNAAF5_40997	DNAAF5	49
CCDC121_49464	CCDC121	97
UROS_20042	UROS	310
TRABD_51067	TRABD	240
Non-Targeting Control_76831	Non-Targeting Control	572
ERP27_58393	ERP27	64
ARSE_1210	ARSE	217
DISP1_54666	DISP1	95
PMM2_14262	PMM2	69
FRK_6578	FRK	176
MID1IP1_46671	MID1IP1	336
OR9K2_73185	OR9K2	98
CLDN34_75704	CLDN34	234
CRCT1_40203	CRCT1	232
TIMM17A_28089	TIMM17A	32
KMT2B_25871	KMT2B	113
PIK3R3_22121	PIK3R3	155
KRT75_23913	KRT75	154
RPL36A_16455	RPL36A	87
SNCG_17851	SNCG	83
PENK_13659	PENK	163
ADD1_317	ADD1	111
GTSF1L_62223	GTSF1L	141
PTGDR2_30599	PTGDR2	34
ZNF619_68085	ZNF619	100
C1QTNF5_57343	C1QTNF5	53
DDN_31755	DDN	145
DCUN1D3_58670	DCUN1D3	352
ZKSCAN2_69386	ZKSCAN2	86
GRB14_7697	GRB14	32
SIRPB1_27761	SIRPB1	211
ADAMTS18_64224	ADAMTS18	79
KIR2DL3_10183	KIR2DL3	101
PAF1_40338	PAF1	40
IFI27_9177	IFI27	202
RBMX2_39184	RBMX2	105
DMRTA1_47221	DMRTA1	47
FAM213B_59331	FAM213B	69
CARD16_57160	CARD16	41
KRT37_22686	KRT37	59
CLEC2A_70865	CLEC2A	183
MAS1_11140	MAS1	104
AMTN_72368	AMTN	149
STARD3NL_52675	STARD3NL	89
HMCN1_52564	HMCN1	52
SPIN2A_39991	SPIN2A	447
ZNF480_61799	ZNF480	222
TARP_73307	TARP	111
TRPV5_44224	TRPV5	79
MIPEP_11501	MIPEP	59
Non-Targeting Control_77193	Non-Targeting Control	502
ZBED2_49215	ZBED2	79
EDF1_22781	EDF1	43
EIF3F_22615	EIF3F	155
RTCA_22508	RTCA	134
AP4E1_32797	AP4E1	135
METAP1D_66389	METAP1D	161
LRTM2_74439	LRTM2	72
PCDHB7_43979	PCDHB7	27
IL11RA_9492	IL11RA	80
LPA_10761	LPA	65
PDE4D_13525	PDE4D	60
MGST3_11470	MGST3	317
TEX37_64725	TEX37	106
POMK_53104	POMK	14
UQCR11_29732	UQCR11	79
AEN_48043	AEN	246
LCN6_63110	LCN6	104
AAMDC_36257	AAMDC	72
LALBA_10459	LALBA	70
C4orf36_60124	C4orf36	91
NXF3_43835	NXF3	68
KHDC1L_75185	KHDC1L	45
NUCB2_12930	NUCB2	148
SPATA24_64970	SPATA24	12
SNX7_38637	SNX7	156
C4BPB_1999	C4BPB	39
AIG1_38681	AIG1	98
DEFB134_73618	DEFB134	44
GGA3_31920	GGA3	30
KEL_10145	KEL	65
PCP4_13451	PCP4	81
UBE2E1_19849	UBE2E1	156
RPUSD4_54356	RPUSD4	90
MELK_26129	MELK	208
ZNF354C_37108	ZNF354C	53
SLC9A9_68063	SLC9A9	17
UBE2J1_38822	UBE2J1	71
TRABD2B_71122	TRABD2B	34
KBTBD6_55225	KBTBD6	214
TMEM19_42129	TMEM19	36
RNF6_16213	RNF6	132
P2RY13_39636	P2RY13	120
ANP32E_51784	ANP32E	41
SBK2_74121	SBK2	283
PHLPP1_32187	PHLPP1	126
PTRF_67658	PTRF	85
PPP1R1A_14574	PPP1R1A	73
GFY_75928	GFY	75
MTX1_11904	MTX1	82
TENM3_43120	TENM3	46
SPHK2_44430	SPHK2	52
TAAR1_60316	TAAR1	221
RIPPLY3_39616	RIPPLY3	281
ABCG5_47586	ABCG5	60
PTPN5_54307	PTPN5	82
KRT4_10318	KRT4	77
C21orf2_2083	C21orf2	16
FASTKD2_31048	FASTKD2	185
PLD6_64833	PLD6	73
DOK1_4972	DOK1	55
SMAD4_10968	SMAD4	189
CETN3_3060	CETN3	221
PTPN21_30117	PTPN21	48
SLC38A8_61526	SLC38A8	68
LOC102724279_76414	LOC102724279	470
Non-Targeting Control_77313	Non-Targeting Control	473
MED13L_32665	MED13L	43
C7orf62_65318	C7orf62	349
NEK4_18399	NEK4	93
FAM46B_57516	FAM46B	414
RORB_16252	RORB	110
EXOC6B_32167	EXOC6B	130
KCNT1_45920	KCNT1	144
ARMCX5-GPRASP2_76090	ARMCX5-GPRASP2	156
TUSC5_68490	TUSC5	135
GLCCI1_56982	GLCCI1	101
CDHR5_39669	CDHR5	79
GJA10_54055	GJA10	64
PSG3_15111	PSG3	172
IKBKB_9371	IKBKB	80
CEMIP_45291	CEMIP	66
MAST4_70500	MAST4	98
IQCA1L_72065	IQCA1L	85
RASSF2_25915	RASSF2	6
MIOS_40002	MIOS	114
BIN1_753	BIN1	70
SLC31A2_3690	SLC31A2	52
FUT3_6650	FUT3	379
SLC44A3_59259	SLC44A3	96
C1orf195_74474	C1orf195	104
PTEN_15314	PTEN	120
OR9G4_67247	OR9G4	127
RELL1_75097	RELL1	123
FAM227B_64473	FAM227B	162
HLA-B_8384	HLA-B	323
SERPIND1_8232	SERPIND1	113
HNRNPH1_8599	HNRNPH1	13
HIST1H4D_21740	HIST1H4D	272
RNF183_60551	RNF183	42
LDHB_10557	LDHB	74
HNF4A_8555	HNF4A	98
LRWD1_65972	LRWD1	306
SF3B6_39197	SF3B6	212
ZNF726_75036	ZNF726	100
PIDD1_42478	PIDD1	22
MRPS6_48305	MRPS6	37
ERN2_28613	ERN2	180
LOC730159_75052	LOC730159	381
GLI1_7220	GLI1	90
CAV1_2387	CAV1	91
F12_5982	F12	98
C1D_28082	C1D	35
NCMAP_72265	NCMAP	137
KRT82_10410	KRT82	200
LEMD2_65831	LEMD2	180
SIKE1_50773	SIKE1	28
BMP2_1776	BMP2	38
Non-Targeting Control_76984	Non-Targeting Control	363
ENOX2_28291	ENOX2	259
C4orf32_60085	C4orf32	92
COQ7_27440	COQ7	116
SMIM10_73935	SMIM10	231
CPNE5_46259	CPNE5	66
CLLU1OS_73583	CLLU1OS	141
C14orf2_25205	C14orf2	107
GPR1_7492	GPR1	187
PRKG2_14878	PRKG2	42
CHST14_56956	CHST14	56
ANKRD63_75367	ANKRD63	148
DENND4C_42981	DENND4C	65
ANKRD12_32239	ANKRD12	101
NTN4_46739	NTN4	25
BEX1_43601	BEX1	170
TRIM9_57089	TRIM9	180
TAZ_18735	TAZ	59
ELF4_5514	ELF4	96
CAMK2N1_42522	CAMK2N1	178
CCND2_2489	CCND2	191
PDK1_13601	PDK1	203
SLC10A5_69773	SLC10A5	235
NAGPA_38038	NAGPA	143
Non-Targeting Control_76642	Non-Targeting Control	630
EPHA8_5665	EPHA8	328
ARRDC1_56324	ARRDC1	109
FBXW8_34864	FBXW8	52
TRIM51_54163	TRIM51	86
RUNDC3A_29482	RUNDC3A	56
C11orf88_72159	C11orf88	124
ZFC3H1_64418	ZFC3H1	47
KLK2_10215	KLK2	80
GPR173_39840	GPR173	203
BTBD6_55318	BTBD6	133
KCND1_9995	KCND1	65
TBC1D13_40367	TBC1D13	36
FASTKD5_46917	FASTKD5	353
NEFM_12427	NEFM	110
ECSIT_38398	ECSIT	45
PDE4D_13528	PDE4D	70
USHBP1_52587	USHBP1	171
FUT6_6664	FUT6	104
TUBGCP4_35803	TUBGCP4	54
CHRFAM7A_55146	CHRFAM7A	367
CDKN1C_2935	CDKN1C	71
ABCC3_22763	ABCC3	47
PET117_75744	PET117	91
ZCCHC16_69227	ZCCHC16	80
STMN2_30039	STMN2	72
OR2T1_35267	OR2T1	57
NAPRT_56438	NAPRT	29
GSDMA_67645	GSDMA	66
IL17REL_72305	IL17REL	238
PVRL3_34163	PVRL3	106
ZRANB2_24737	ZRANB2	56
RFESD_68518	RFESD	138
CHRNA4_3232	CHRNA4	117
ACP2_163	ACP2	54
STAT5A_18359	STAT5A	82
ANKRD23_64730	ANKRD23	78
NRARP_73138	NRARP	111
MTMR9_48618	MTMR9	68
AVPR1A_1525	AVPR1A	391
ZNF124_20652	ZNF124	103
HBA2_8192	HBA2	76
SMIM23_73971	SMIM23	141
OTUD4_40442	OTUD4	69
FAM109B_62325	FAM109B	143
CNTD1_58831	CNTD1	63
AFMID_58903	AFMID	57
SATB2_32430	SATB2	207
TMEM206_42071	TMEM206	105
LHX2_24581	LHX2	104
SYCE3_73920	SYCE3	66
TOMM22_44797	TOMM22	18
GPATCH4_40815	GPATCH4	64
Non-Targeting Control_77382	Non-Targeting Control	259
KRTDAP_71051	KRTDAP	67
ARPIN_69918	ARPIN	101
RGS12_16116	RGS12	35
SOS1_17964	SOS1	138
TPH2_58362	TPH2	34
UBR5_38608	UBR5	32
PLA1A_38606	PLA1A	65
PRDM12_46763	PRDM12	80
FAM229B_73637	FAM229B	209
PDK1_13603	PDK1	213
AFAP1L2_53892	AFAP1L2	77
LYPD6_59839	LYPD6	137
HMGCR_8501	HMGCR	38
RBMS3_35988	RBMS3	202
C6orf223_65785	C6orf223	87
BRICD5_67521	BRICD5	245
RHOJ_45396	RHOJ	92
SMARCC1_17759	SMARCC1	58
GPR20_7555	GPR20	54
MAGI1_24236	MAGI1	58
PLA2G2A_14074	PLA2G2A	25
KCNJ15_10075	KCNJ15	88
ST7_21146	ST7	190
CD34_2656	CD34	54
LOC101929372_76387	LOC101929372	62
Non-Targeting Control_76567	Non-Targeting Control	356
SERPINE3_74183	SERPINE3	130
HID1_67566	HID1	62
ANKRD2_34956	ANKRD2	22
RNASE9_71800	RNASE9	88
KIAA1109_53022	KIAA1109	55
NDUFB4_12327	NDUFB4	2
TTYH1_45382	TTYH1	55
RUNDC1_61712	RUNDC1	282
ZNF844_67827	ZNF844	150
HNRNPD_8590	HNRNPD	63
TAP2_18701	TAP2	142
CALR3_58988	CALR3	118
ATAD3C_65206	ATAD3C	106
TTC39B_63131	TTC39B	126
COL4A4_3574	COL4A4	40
STX19_72803	STX19	46
TREM1_39828	TREM1	50
UROS_20043	UROS	239
TSKS_46850	TSKS	106
CEACAM7_3094	CEACAM7	64
BHLHA15_64029	BHLHA15	444
SLC4A1AP_31320	SLC4A1AP	101
ARSB_1197	ARSB	151
SIGLEC10_55117	SIGLEC10	57
KCNJ13_10067	KCNJ13	60
FAM219B_45229	FAM219B	22
TRIM62_41990	TRIM62	98
NMUR1_27725	NMUR1	81
BTN2A2_27911	BTN2A2	422
OXA1L_13158	OXA1L	77
TBC1D24_45529	TBC1D24	203
SLC41A1_66475	SLC41A1	47
CPOX_3814	CPOX	134
Non-Targeting Control_76687	Non-Targeting Control	250
SLC6A7_17537	SLC6A7	129
CLDN25_73944	CLDN25	23
AP2M1_3318	AP2M1	170
HRC_8844	HRC	55
CXCL3_7828	CXCL3	81
CPED1_50504	CPED1	40
PAPL_71882	PAPL	90
TASP1_42813	TASP1	43
CEP85L_70732	CEP85L	52
CHD7_42886	CHD7	57
C1QL4_68802	C1QL4	122
ETAA1_39990	ETAA1	110
TMEM8C_71501	TMEM8C	105
SLCO2B1_30715	SLCO2B1	183
Non-Targeting Control_77044	Non-Targeting Control	331
MEX3C_38496	MEX3C	148
SLC29A4_66077	SLC29A4	86
QSOX2_64088	QSOX2	47
GPSM3_47193	GPSM3	113
CCDC116_63778	CCDC116	42
TMEM65_63006	TMEM65	208
SLC35F4_69356	SLC35F4	108
C11orf98_76399	C11orf98	95
SLC25A51_56091	SLC25A51	47
C11orf40_61189	C11orf40	132
HLA-C_8387	HLA-C	104
HDAC10_52686	HDAC10	54
ALAD_580	ALAD	64
CABLES1_55998	CABLES1	157
Non-Targeting Control_76643	Non-Targeting Control	587
ZNF599_61948	ZNF599	84
MAPK14_4004	MAPK14	126
LOXL4_53043	LOXL4	52
GPHN_27492	GPHN	149
KCTD4_70645	KCTD4	37
YME1L1_29005	YME1L1	75
IMPACT_42464	IMPACT	175
OR4D11_65507	OR4D11	93
TOM1L1_26799	TOM1L1	16
INPP4B_23096	INPP4B	319
Non-Targeting Control_76922	Non-Targeting Control	323
LEMD2_65832	LEMD2	44
6-Mar_27688	6-Mar	89
TCF21_18872	TCF21	85
MAP1LC3B_51850	MAP1LC3B	190
RNF26_48953	RNF26	90
AHNAK2_56935	AHNAK2	87
DPYSL3_5019	DPYSL3	37
CYGB_57155	CYGB	34
AP2A2_455	AP2A2	96
CMC4_75573	CMC4	132
PHLDA1_30910	PHLDA1	70
FAM47E_75221	FAM47E	24
Non-Targeting Control_77167	Non-Targeting Control	423
MTFR2_56927	MTFR2	82
NAGK_42701	NAGK	28
RANBP17_48238	RANBP17	60
IFIT2_9190	IFIT2	136
APOBEC3H_63789	APOBEC3H	159
TNFAIP8L2-SCNM1_76193	TNFAIP8L2-SCNM1	8
MRI1_53200	MRI1	85
COX7A1_3727	COX7A1	259
ELAVL4_5498	ELAVL4	49
Non-Targeting Control_77029	Non-Targeting Control	311
CDCA5_56929	CDCA5	27
FJX1_33628	FJX1	93
C7orf73_74177	C7orf73	191
HRK_22845	HRK	101
CPN2_3809	CPN2	94
TEFM_49796	TEFM	65
ANGPTL3_36033	ANGPTL3	114
PKD2L1_23648	PKD2L1	72
MUC1_11905	MUC1	90
KIN_31307	KIN	163
CPT1A_3821	CPT1A	50
CCDC22_36197	CCDC22	151
STX11_22655	STX11	231
AOC2_864	AOC2	64
RIT1_16159	RIT1	44
UFM1_39056	UFM1	128
CYBRD1_50314	CYBRD1	328
MBD3L5_67864	MBD3L5	67
PRDX4_28446	PRDX4	76
NINL_31361	NINL	107
SPACA5_71509	SPACA5	363
CCDC169-SOHLH2_76025	CCDC169-SOHLH2	65
SDCCAG8_29226	SDCCAG8	49
POTEM_73660	POTEM	123
USP27X_71513	USP27X	185
MAGEB16_60729	MAGEB16	73
MTX1_11903	MTX1	279
VWC2_70512	VWC2	104
Non-Targeting Control_77071	Non-Targeting Control	578
RAB31_29905	RAB31	90
TCF7L2_18837	TCF7L2	250
DTX2_57076	DTX2	91
SFSWAP_17217	SFSWAP	54
SEC16B_55180	SEC16B	176
C9orf16_48932	C9orf16	120
ZHX1-C8orf76_76155	ZHX1-C8orf76	53
GBX1_6954	GBX1	194
Non-Targeting Control_77046	Non-Targeting Control	282
ACOT6_73657	ACOT6	149
PEA15_22670	PEA15	147
SFPQ_17171	SFPQ	10
TNKS1BP1_54975	TNKS1BP1	177
HNF1A_18823	HNF1A	139
HMBS_8475	HMBS	433
INPP5J_35625	INPP5J	258
PRR36_50820	PRR36	58
LPAR3_33192	LPAR3	50
SOX13_25275	SOX13	27
FAM153B_64977	FAM153B	11
ZNF550_63587	ZNF550	189
SIAH1_17337	SIAH1	168
CEP120_62761	CEP120	26
SPATS2_48470	SPATS2	83
B4GALT7_30714	B4GALT7	62
WIZ_46670	WIZ	30
ZNF484_52465	ZNF484	101
KCNK13_44344	KCNK13	210
PSPH_15295	PSPH	83
FGFR1OP_30161	FGFR1OP	72
DOCK5_50574	DOCK5	104
EPC2_34610	EPC2	250
PHYHIP_26007	PHYHIP	55
CCNK_23057	CCNK	224
MFAP5_21252	MFAP5	52
DNAJC12_44274	DNAJC12	78
CALHM2_37664	CALHM2	32
C19orf68_70390	C19orf68	127
ALG5_36682	ALG5	22
TM4SF4_19307	TM4SF4	113
ARMC1_41747	ARMC1	192
RDH5_15967	RDH5	199
KLHL36_49941	KLHL36	53
GINM1_57711	GINM1	81
C11orf74_58187	C11orf74	94
TBXA2R_18784	TBXA2R	111
C20orf141_59592	C20orf141	147
BRD3_21178	BRD3	54
PRRG1_15028	PRRG1	27
SH3BGRL2_52391	SH3BGRL2	55
EGLN1_40279	EGLN1	141
USP34_25795	USP34	82
BANF1_23070	BANF1	359
GOLPH3L_41917	GOLPH3L	254
GSTM3_7897	GSTM3	221
MAGEA10_11030	MAGEA10	363
POU4F1_14464	POU4F1	134
SMG5_32638	SMG5	13
RCHY1_34023	RCHY1	327
MECP2_11309	MECP2	111
LRPPRC_27096	LRPPRC	65
SOX14_21844	SOX14	158
C11orf73_38887	C11orf73	196
TMEM191B_74601	TMEM191B	210
ADAM19_22811	ADAM19	35
CLEC17A_71040	CLEC17A	63
KIFC1_10253	KIFC1	151
Non-Targeting Control_76693	Non-Targeting Control	349
KLHDC10_31446	KLHDC10	107
ARMCX6_40008	ARMCX6	82
PANX1_33620	PANX1	53
RFX7_48214	RFX7	80
PDPN_28731	PDPN	25
SRBD1_41673	SRBD1	20
CAPN7_32898	CAPN7	232
PIK3IP1_57056	PIK3IP1	112
OR1N1_60641	OR1N1	43
FIBP_24056	FIBP	165
TMEM74_63050	TMEM74	113
NT5E_12874	NT5E	238
GAGE10_76418	GAGE10	66
NDUFA2_12269	NDUFA2	144
Non-Targeting Control_76607	Non-Targeting Control	366
CASK_22365	CASK	160
ELOVL2_40932	ELOVL2	77
NEDD4L_32470	NEDD4L	66
NUP133_43231	NUP133	53
BTBD10_53329	BTBD10	57
NOMO2_67502	NOMO2	292
C11orf24_39660	C11orf24	420
TRIM52_54279	TRIM52	84
TMTC3_63336	TMTC3	25
CCNI2_73989	CCNI2	81
PAGE3_60760	PAGE3	179
SLC26A2_5113	SLC26A2	61
CTNNB1_4213	CTNNB1	212
IFI44_28495	IFI44	102
PRSS42_69053	PRSS42	92
FHL1_6331	FHL1	205
ZNF516_25518	ZNF516	39
CLEC9A_67357	CLEC9A	40
MTHFD1_11861	MTHFD1	79
CLIP3_34299	CLIP3	82
RD3_69483	RD3	36
PRRG4_48821	PRRG4	273
Non-Targeting Control_76602	Non-Targeting Control	486
ACADS_107	ACADS	113
IFI44_28493	IFI44	35
SLC9B2_60144	SLC9B2	62
MX1_11953	MX1	131
CSDC2_35895	CSDC2	101
STK32C_67172	STK32C	181
SNCB_17839	SNCB	126
ZXDA_20913	ZXDA	173
PPOX_14557	PPOX	112
SZRD1_34572	SZRD1	61
KDM4D_43052	KDM4D	103
SLC36A3_68240	SLC36A3	173
SLC17A5_35068	SLC17A5	25
SLC25A53_72495	SLC25A53	428
SPATC1_70535	SPATC1	105
TM4SF18_57751	TM4SF18	120
SULT1A1_18469	SULT1A1	258
KLF5_1913	KLF5	76
CXorf65_63234	CXorf65	174
BBC3_35599	BBC3	96
Non-Targeting Control_77224	Non-Targeting Control	163
Non-Targeting Control_77395	Non-Targeting Control	372
OMA1_57439	OMA1	97
FBXL20_54624	FBXL20	202
HRASLS_45010	HRASLS	68
PLOD2_14196	PLOD2	119
HEPACAM_65593	HEPACAM	282
SLC6A6_17536	SLC6A6	26
PER2_23234	PER2	91
KRTAP9-9_51993	KRTAP9-9	63
PYURF_76287	PYURF	113
GCG_6969	GCG	117
ZNF555_61996	ZNF555	150
SPAM1_18044	SPAM1	145
ROPN1_40519	ROPN1	191
HIST1H2AK_21622	HIST1H2AK	127
KLHDC7B_57042	KLHDC7B	38
LGALS9C_74430	LGALS9C	183
ATXN7L3B_73544	ATXN7L3B	92
CTDSP1_46508	CTDSP1	149
MATN1_11154	MATN1	70
NCR3LG1_70267	NCR3LG1	54
RHBDL3_63529	RHBDL3	26
SUGCT_49927	SUGCT	258
