sgRNA	Gene	DE_GFP_high
ZSWIM8_31593	ZSWIM8	550
UGT2B28_40051	UGT2B28	37
OR52R1_58184	OR52R1	444
MYL2_12066	MYL2	450
KRTAP22-2_75662	KRTAP22-2	53
NKX2-2_12636	NKX2-2	147
TLR3_19283	TLR3	314
SLBP_21049	SLBP	30
FCRL5_52076	FCRL5	77
OGFOD2_49605	OGFOD2	685
C1orf110_68983	C1orf110	799
ZNF648_59394	ZNF648	187
OLFML2A_64078	OLFML2A	1024
PRAMEF10_69504	PRAMEF10	296
CENPW_70724	CENPW	175
HMX3_69257	HMX3	350
KATNB1_27691	KATNB1	76
STAT4_18354	STAT4	641
MEX3C_38498	MEX3C	822
MBD4_23435	MBD4	380
ZFYVE19_54535	ZFYVE19	589
TMEM245_33495	TMEM245	604
PSTPIP2_23699	PSTPIP2	337
ANKS3_58721	ANKS3	217
RHOA_1106	RHOA	94
PGBD4_63463	PGBD4	462
RNPC3_42744	RNPC3	191
UPP2_62523	UPP2	399
OR5AK2_71679	OR5AK2	810
VLDLR_20174	VLDLR	381
NAALAD2_26693	NAALAD2	289
C8A_2021	C8A	511
VCX2_38857	VCX2	238
PDXK_22342	PDXK	294
COQ3_39499	COQ3	799
DIAPH3_51827	DIAPH3	479
HELQ_57018	HELQ	312
TTBK1_53886	TTBK1	475
ATF6B_3872	ATF6B	434
VAMP4_22645	VAMP4	523
CHST10_24978	CHST10	273
ZCCHC10_40660	ZCCHC10	1134
PIH1D1_41317	PIH1D1	181
SLC11A2_12832	SLC11A2	108
DCDC1_69279	DCDC1	256
PIAS3_27965	PIAS3	267
PATE2_72164	PATE2	256
PPAPDC1A_64371	PPAPDC1A	164
RND1_35937	RND1	140
SLC17A5_35069	SLC17A5	571
RFXANK_22480	RFXANK	139
TTC21A_64545	TTC21A	445
ZNF197_27235	ZNF197	322
BCO1_39605	BCO1	311
AAMDC_36256	AAMDC	352
SSR4_18270	SSR4	719
MEMO1_37697	MEMO1	126
VWA1_48187	VWA1	260
RAPGEF5_25920	RAPGEF5	470
MILR1_67600	MILR1	366
NPDC1_44330	NPDC1	274
CMC2_44654	CMC2	915
SART3_25782	SART3	175
TMEM141_54724	TMEM141	131
CCDC39_69030	CCDC39	542
SUMF2_33946	SUMF2	774
AGA_490	AGA	396
MGAT5B_61622	MGAT5B	400
ATP5A1_1401	ATP5A1	71
PDE4D_13526	PDE4D	213
NAPEPLD_65982	NAPEPLD	502
MIER3_63932	MIER3	691
NT5DC3_39028	NT5DC3	352
DMRTC1_47209	DMRTC1	200
CNIH1_27258	CNIH1	229
ATF6_31253	ATF6	509
TMEM38B_41733	TMEM38B	736
IQCF1_60023	IQCF1	733
KLHL31_72406	KLHL31	286
FOXJ2_43454	FOXJ2	131
C11orf30_44668	C11orf30	100
RPS6KA5_24312	RPS6KA5	283
GNG11_7379	GNG11	230
C1orf228_68988	C1orf228	158
TOR1A_5199	TOR1A	385
ZMIZ2_52295	ZMIZ2	338
ANKRD66_75644	ANKRD66	570
CCDC28B_48986	CCDC28B	229
POMT2_36895	POMT2	675
PDGFA_13568	PDGFA	288
C6orf226_73058	C6orf226	356
QRICH2_52857	QRICH2	393
CFI_9171	CFI	248
MRGPRX1_66968	MRGPRX1	164
TP53TG3C_74349	TP53TG3C	219
COX19_55574	COX19	1023
METTL12_75083	METTL12	173
TCF24_75224	TCF24	694
TJAP1_56575	TJAP1	893
CCM2L_60922	CCM2L	351
ZNF606_50690	ZNF606	554
LRTM1_45427	LRTM1	406
CCRN4L_33802	CCRN4L	949
ZNF322_49648	ZNF322	170
YWHAG_20400	YWHAG	273
ZNF229_20871	ZNF229	360
NEB_12300	NEB	116
PUS7_40133	PUS7	226
GALNT11_47132	GALNT11	424
C2CD4A_61463	C2CD4A	283
IGF2R_9304	IGF2R	471
IFI16_9176	IFI16	900
EFEMP2_37031	EFEMP2	425
PARS2_34228	PARS2	376
CC2D2A_45795	CC2D2A	565
SSSCA1_28404	SSSCA1	295
GOLGA6L2_67466	GOLGA6L2	276
PKHD1_14052	PKHD1	336
UBALD1_58725	UBALD1	358
ASIC3_24441	ASIC3	235
RRAS_16636	RRAS	355
ITGA8_22168	ITGA8	615
SERPINI1_13923	SERPINI1	349
SERPINA5_13416	SERPINA5	1138
ACSS3_49390	ACSS3	114
NDST4_47832	NDST4	157
AKR1D1_18176	AKR1D1	917
THRSP_19175	THRSP	405
MARCKSL1_48422	MARCKSL1	202
YBEY_39746	YBEY	407
RNF144B_66625	RNF144B	229
MMP25_47685	MMP25	415
PIGL_24981	PIGL	229
ELSPBP1_47367	ELSPBP1	208
GCNT7_60891	GCNT7	407
AOC2_861	AOC2	427
SFXN4_58151	SFXN4	274
SLC12A8_53811	SLC12A8	659
SCUBE1_51046	SCUBE1	166
HMGA2_21283	HMGA2	311
LRP3_10795	LRP3	289
TMEM170B_75128	TMEM170B	248
MAST2_31846	MAST2	324
RTP1_60019	RTP1	113
PPM1K_62728	PPM1K	382
CEP95_55621	CEP95	510
WNT3A_55105	WNT3A	339
SPAG16_49317	SPAG16	148
HTR1B_9017	HTR1B	334
EEF1D_5320	EEF1D	188
STX4_18446	STX4	108
IFITM5_70830	IFITM5	244
EIF1AY_23817	EIF1AY	559
IMMP2L_52714	IMMP2L	150
RAD54L2_31821	RAD54L2	333
FBXO2_34802	FBXO2	84
ABHD14A_33936	ABHD14A	208
RAD54L2_31819	RAD54L2	605
THEGL_75900	THEGL	249
ARRDC1_56322	ARRDC1	1765
SLC4A8_25016	SLC4A8	1258
GPR75-ASB3_75738	GPR75-ASB3	240
CRB3_56231	CRB3	658
IVL_9890	IVL	673
RLN3_57983	RLN3	366
LINGO2_63093	LINGO2	342
LDLRAD1_71128	LDLRAD1	1245
SCN1B_16878	SCN1B	370
CC2D1A_40807	CC2D1A	304
SHE_59207	SHE	358
FARS2_28862	FARS2	266
OR10X1_59521	OR10X1	165
CST2_4125	CST2	279
FAM45A_72682	FAM45A	277
C1orf137_71146	C1orf137	306
SYT8_55274	SYT8	209
IQGAP1_23115	IQGAP1	953
NPDC1_44329	NPDC1	593
ITPK1_9861	ITPK1	550
HBA2_8192	HBA2	439
RNASEH2C_53007	RNASEH2C	499
ZDHHC3_38434	ZDHHC3	175
PIK3CD_13984	PIK3CD	201
ASB9_60816	ASB9	140
NTF3_12880	NTF3	190
CNPY1_68308	CNPY1	537
RNF170_51903	RNF170	460
CPO_59861	CPO	616
CLEC4C_64159	CLEC4C	272
FAM83B_66021	FAM83B	515
RANBP3L_64983	RANBP3L	450
BID_1725	BID	515
MTFR1_25485	MTFR1	278
RPH3AL_25025	RPH3AL	278
BBS12_63887	BBS12	140
LTB4R2_44250	LTB4R2	862
APIP_37704	APIP	374
TMEM161B_62777	TMEM161B	550
SDHAF1_73901	SDHAF1	659
OASL_22522	OASL	453
THSD4_50229	THSD4	708
SOAT2_21918	SOAT2	799
NPHP1_12773	NPHP1	386
TMEM168_47749	TMEM168	723
OTOP3_69885	OTOP3	91
ARHGEF33_75559	ARHGEF33	137
TBATA_65382	TBATA	228
DGKA_4490	DGKA	374
GPRC5D_42568	GPRC5D	130
TNRC18_53880	TNRC18	144
CGNL1_54592	CGNL1	362
POU3F1_14450	POU3F1	1081
GCFC2_18848	GCFC2	561
CCDC127_60204	CCDC127	117
ARHGAP9_47647	ARHGAP9	126
SPOCK2_26033	SPOCK2	565
SMLR1_75953	SMLR1	424
YIPF3_33890	YIPF3	162
CXCL11_17046	CXCL11	553
ZNF430_51023	ZNF430	301
IFIT1B_72830	IFIT1B	583
UBXN6_51224	UBXN6	97
LRRK2_58304	LRRK2	423
ZBTB22_24388	ZBTB22	229
PTCD1_34373	PTCD1	138
CFHR2_8311	CFHR2	587
DCC_4564	DCC	327
IL10_9475	IL10	419
LRRC25_59131	LRRC25	153
FITM2_59554	FITM2	392
USH1C_26948	USH1C	696
S100A6_16736	S100A6	817
EPPK1_52178	EPPK1	423
PLA2G4D_67486	PLA2G4D	155
IGFL4_73296	IGFL4	703
ADAMTS8_30100	ADAMTS8	621
APH1A_37829	APH1A	429
ANKRD24_64249	ANKRD24	218
GSTA2_7877	GSTA2	105
C15orf62_73777	C15orf62	259
ZNF730_75216	ZNF730	998
DAZL_4534	DAZL	522
KCTD17_49789	KCTD17	835
KDM4A_25596	KDM4A	127
TTC13_49294	TTC13	296
GGH_23148	GGH	591
BEX4_44203	BEX4	1653
STK32B_42424	STK32B	135
SELPLG_17136	SELPLG	601
AARSD1_51306	AARSD1	461
NAA15_50808	NAA15	227
RPS27L_37669	RPS27L	368
MGRN1_32368	MGRN1	242
CAGE1_68281	CAGE1	256
VKORC1L1_62927	VKORC1L1	297
FTSJ1_33603	FTSJ1	608
SULT6B1_71987	SULT6B1	486
PHOX2B_23431	PHOX2B	120
RBCK1_28682	RBCK1	126
RBM26_47273	RBM26	96
KLHL32_57211	KLHL32	543
SLC2A9_44291	SLC2A9	698
LIPT1_39111	LIPT1	656
ZSCAN9_20795	ZSCAN9	331
CACNB4_2187	CACNB4	800
CSNK2A2_4090	CSNK2A2	714
DPPA3_70200	DPPA3	201
MUM1_54549	MUM1	290
ZNF700_55548	ZNF700	328
SERPINB7_22752	SERPINB7	53
CHORDC1_35342	CHORDC1	512
PDE9A_13560	PDE9A	365
CYP1A1_4333	CYP1A1	452
DNAJB8_63856	DNAJB8	519
UNK_54960	UNK	432
UBA7_19827	UBA7	170
PVRL3_34166	PVRL3	459
GUCA2B_8004	GUCA2B	311
CPT1A_3824	CPT1A	227
RPL41_16450	RPL41	215
LCA5L_62249	LCA5L	244
PDZD3_50150	PDZD3	964
CHST9_52194	CHST9	192
PRRG4_48821	PRRG4	1762
C7orf31_60460	C7orf31	308
TIAF1_24228	TIAF1	476
IDH3B_9151	IDH3B	401
CCDC144NL_68865	CCDC144NL	110
SLC12A7_28983	SLC12A7	331
ITFG2_43562	ITFG2	265
KLHL11_41813	KLHL11	454
DPM3_39856	DPM3	118
1-Mar_41332	1-Mar	654
CCDC141_68018	CCDC141	57
PLD5_64657	PLD5	711
GDPD1_67669	GDPD1	302
GMCL1_47697	GMCL1	527
TRPC4_19606	TRPC4	255
WBP1_33172	WBP1	89
SPX_51327	SPX	313
POR_14429	POR	594
DDX6_4646	DDX6	383
IRAK4_37928	IRAK4	233
CXCL17_67758	CXCL17	350
DHX34_25680	DHX34	451
DYSF_21523	DYSF	47
10-Sep_62427	10-Sep	293
NECAB3_47195	NECAB3	443
ANGPTL6_52527	ANGPTL6	199
DLX6_4841	DLX6	348
TIMM13_35105	TIMM13	494
NDUFA4L2_44517	NDUFA4L2	613
TCP11X2_76271	TCP11X2	856
GAREML_62417	GAREML	132
VWA8_31666	VWA8	413
PPFIBP1_22094	PPFIBP1	340
FUT4_6653	FUT4	628
TXNDC8_66579	TXNDC8	177
Non-Targeting Control_77034	Non-Targeting Control	1755
KRT10_10348	KRT10	326
FAM24B_64466	FAM24B	295
NPAS3_47293	NPAS3	231
TACR1_18620	TACR1	259
RAB17_47599	RAB17	612
CNNM4_35074	CNNM4	543
TRMT1L_51838	TRMT1L	417
SFT2D3_54250	SFT2D3	323
PKDREJ_27805	PKDREJ	198
TCF3_18832	TCF3	375
PPIE_28118	PPIE	171
TFIP11_33616	TFIP11	138
TNFRSF10B_22998	TNFRSF10B	264
PCDHA6_44031	PCDHA6	636
TBC1D17_49793	TBC1D17	441
ARGFX_73476	ARGFX	592
ZCCHC9_53194	ZCCHC9	90
MRFAP1L1_57371	MRFAP1L1	385
ANAPC16_58141	ANAPC16	316
HCLS1_8241	HCLS1	148
ARRDC2_35582	ARRDC2	321
RBP4_15946	RBP4	407
MGAT4D_62695	MGAT4D	607
L3MBTL4_55739	L3MBTL4	212
ELMO1_26164	ELMO1	365
ASB8_60810	ASB8	304
LANCL2_43734	LANCL2	471
ZNF605_75726	ZNF605	356
DAGLB_65929	DAGLB	428
MRPS9_48299	MRPS9	727
TFF1_19047	TFF1	662
COL2A1_3555	COL2A1	85
BDKRB1_1692	BDKRB1	255
B4GALNT2_58842	B4GALNT2	73
USP15_26567	USP15	533
PRAMEF20_74014	PRAMEF20	472
LRRC74B_72297	LRRC74B	523
PABPC1L2A_69195	PABPC1L2A	421
C1orf198_54370	C1orf198	517
SYCE2_66707	SYCE2	290
IFT52_37793	IFT52	346
PPP1R12B_12154	PPP1R12B	142
NXPE3_56002	NXPE3	187
TSGA13_57375	TSGA13	366
RB1CC1_26086	RB1CC1	102
C8G_2032	C8G	147
ADAMTS12_51909	ADAMTS12	261
CNKSR2_31043	CNKSR2	444
ZBED8_47138	ZBED8	472
KRTAP19-6_68662	KRTAP19-6	126
PPP1R21_59673	PPP1R21	617
ARSB_1197	ARSB	893
IPO7_28382	IPO7	250
KIAA0754_73772	KIAA0754	82
OR9Q2_65462	OR9Q2	511
GNRH1_7393	GNRH1	507
KRTAP19-8_74631	KRTAP19-8	957
FADS3_10696	FADS3	369
SETD7_51443	SETD7	201
PSTK_58065	PSTK	84
MFAP4_11408	MFAP4	311
PANK2_50635	PANK2	729
SYNGR2_24011	SYNGR2	151
MPST_11723	MPST	260
PARP12_47975	PARP12	138
WAS_20213	WAS	627
PDXDC1_31559	PDXDC1	833
DNAJC21_60231	DNAJC21	229
NMUR2_44591	NMUR2	294
HLA-C_8387	HLA-C	617
CEACAM5_2999	CEACAM5	645
GOT1L1_60474	GOT1L1	297
PTPRJ_15493	PTPRJ	375
LRFN4_48666	LRFN4	317
MRPS7_37729	MRPS7	133
TSHZ3_46034	TSHZ3	810
CNTD2_50409	CNTD2	156
FCAR_6125	FCAR	991
TIMM22_36812	TIMM22	145
DENND3_31155	DENND3	261
TTI1_25573	TTI1	168
MIF4GD_45434	MIF4GD	495
MOGS_20980	MOGS	588
SYTL3_56705	SYTL3	399
RCAN3_30184	RCAN3	142
INS-IGF2_74471	INS-IGF2	445
MAFB_26487	MAFB	772
SHARPIN_51987	SHARPIN	1172
AQP4_1029	AQP4	368
HTN1_9006	HTN1	971
IL31_70652	IL31	365
WT1_20322	WT1	875
EGFLAM_60176	EGFLAM	305
ADD3_326	ADD3	395
SPINK1_18067	SPINK1	1223
DAND5_64557	DAND5	898
SLC30A5_48255	SLC30A5	253
ARAP3_47736	ARAP3	133
CLPB_51722	CLPB	232
FAM227B_64473	FAM227B	966
NCAN_4103	NCAN	538
FEM1B_27058	FEM1B	185
MRPS6_48304	MRPS6	252
NFKB2_12541	NFKB2	461
RASSF10_73964	RASSF10	310
MS4A2_6134	MS4A2	260
NLRP14_68705	NLRP14	397
ISLR2_46015	ISLR2	298
MYCL_12000	MYCL	90
IL6R_9439	IL6R	1043
DAPK1_4515	DAPK1	286
NHLRC3_70908	NHLRC3	314
CLDN6_23775	CLDN6	139
SLC35G1_63290	SLC35G1	411
MBD3L1_55050	MBD3L1	497
IER3_23248	IER3	510
TNS1_19431	TNS1	42
EMILIN3_55338	EMILIN3	287
TMEM43_49111	TMEM43	121
KCNB1_9974	KCNB1	264
TEAD2_22016	TEAD2	27
WNT5B_51482	WNT5B	1238
SCOC_46967	SCOC	338
PI4K2A_42453	PI4K2A	448
MKS1_40952	MKS1	329
TMEM180_50142	TMEM180	201
PPM1J_68586	PPM1J	695
ATIC_1310	ATIC	268
UAP1L1_55819	UAP1L1	164
ABCA1_44	ABCA1	291
FAM71B_62827	FAM71B	900
C15orf27_58624	C15orf27	205
EIF3H_22623	EIF3H	281
TYMP_5242	TYMP	742
TBC1D20_59584	TBC1D20	292
PSG5_15118	PSG5	784
C19orf44_53035	C19orf44	145
FOSL2_6554	FOSL2	606
DXO_4974	DXO	63
MYBPH_11989	MYBPH	344
COMT_3671	COMT	481
SLC39A4_42861	SLC39A4	411
CCR4_3449	CCR4	433
GPR52_24415	GPR52	406
PLAGL1_14092	PLAGL1	323
FAM151B_63964	FAM151B	606
ABHD17A_52040	ABHD17A	48
IQCD_57569	IQCD	335
ZNF165_20742	ZNF165	87
LZIC_53497	LZIC	124
AP2A2_456	AP2A2	129
IZUMO3_75229	IZUMO3	408
ODC1_12999	ODC1	257
FOCAD_40982	FOCAD	698
MAST2_31844	MAST2	299
MICAL2_25468	MICAL2	220
C20orf96_60874	C20orf96	64
NEFM_12427	NEFM	633
AGPAT5_42331	AGPAT5	676
ISOC2_49879	ISOC2	134
FGF17_23098	FGF17	296
ZFYVE28_46365	ZFYVE28	240
TGFA_19076	TGFA	450
LRRCC1_54940	LRRCC1	347
TAB3_66911	TAB3	652
UCN3_57100	UCN3	449
CLPS_3418	CLPS	656
HSD17B14_38034	HSD17B14	589
L3MBTL4_55740	L3MBTL4	410
ANKRD6_31102	ANKRD6	353
IFNAR1_9253	IFNAR1	406
LECT2_10570	LECT2	588
TMEM170B_75129	TMEM170B	373
SIN3B_32412	SIN3B	547
GUCY2D_8061	GUCY2D	242
OR13C4_60628	OR13C4	362
TAF10_18665	TAF10	116
ZASP_76350	ZASP	485
DCAF8L1_60713	DCAF8L1	353
NPAS1_12759	NPAS1	407
SYNPO2L_50400	SYNPO2L	49
C22orf34_69958	C22orf34	61
LARGE_24209	LARGE	567
POU3F4_14458	POU3F4	1150
ZNF416_42949	ZNF416	313
ZSWIM5_46102	ZSWIM5	534
FGF16_23102	FGF16	91
CAST_2320	CAST	774
VWA5B2_55301	VWA5B2	438
EFNA3_5344	EFNA3	524
LETM2_60536	LETM2	987
IFITM1_22180	IFITM1	133
SYNJ2BP-COX16_76133	SYNJ2BP-COX16	736
CTPS1_4227	CTPS1	221
CC2D2B_70813	CC2D2B	435
NEK10_62624	NEK10	405
OAS2_12963	OAS2	191
ADAMTS16_64215	ADAMTS16	281
RHPN1_57266	RHPN1	506
RRM2B_37193	RRM2B	284
TEX43_71352	TEX43	223
QSOX1_15410	QSOX1	64
BCLAF1_25926	BCLAF1	1072
BBS1_1599	BBS1	332
SUN3_66833	SUN3	200
SMIM2_48742	SMIM2	364
CRMP1_3916	CRMP1	366
CADPS_22455	CADPS	857
ITGAM_9785	ITGAM	311
FAM205A_67023	FAM205A	304
TMIE_66956	TMIE	537
NUCKS1_47903	NUCKS1	774
TAL1_18685	TAL1	715
OR10J3_73210	OR10J3	659
PRDM12_46763	PRDM12	519
XKR3_62272	XKR3	298
TGFBR2_19112	TGFBR2	407
GNAI1_7306	GNAI1	189
ADGRG5_65721	ADGRG5	741
C1QTNF8_71839	C1QTNF8	205
PALM_13289	PALM	1100
UBR5_38608	UBR5	214
TRIM3_28668	TRIM3	415
CRYBA1_3945	CRYBA1	952
ZBTB7C_64897	ZBTB7C	358
LTBP1_10841	LTBP1	377
DDX25_36536	DDX25	336
FAM26E_66435	FAM26E	356
GSTM2_7893	GSTM2	321
PTPDC1_60597	PTPDC1	468
PLEKHH2_59792	PLEKHH2	82
SHISA3_62687	SHISA3	299
INPP5F_31080	INPP5F	295
GIPR_7140	GIPR	67
FADD_22925	FADD	271
CCDC129_66085	CCDC129	192
RNF222_73873	RNF222	474
IFI27L1_58473	IFI27L1	329
CCDC74B_55836	CCDC74B	141
PMCH_14245	PMCH	304
CYBB_4314	CYBB	586
DPP6_5000	DPP6	211
TRAT1_37411	TRAT1	313
FRA10AC1_58096	FRA10AC1	256
CYP2A6_4345	CYP2A6	240
ERLIN1_28672	ERLIN1	168
CSNK1G1_39712	CSNK1G1	576
FLVCR2_42891	FLVCR2	314
CT62_64479	CT62	120
G6PD_6703	G6PD	281
GM2A_7273	GM2A	256
TRPC5_19612	TRPC5	383
TAS2R60_68730	TAS2R60	383
TIMM23B_76209	TIMM23B	159
TMC8_61737	TMC8	98
ZNF492_46028	ZNF492	331
TMSB10_24074	TMSB10	485
ZNF396_66249	ZNF396	410
SERGEF_34977	SERGEF	1049
SLC26A2_5114	SLC26A2	432
RNASE7_53957	RNASE7	175
TM2D2_52584	TM2D2	652
KDR_10141	KDR	280
FYN_6687	FYN	185
S100A10_16752	S100A10	255
PTPN21_30115	PTPN21	167
ZNF649_48481	ZNF649	154
GOLGA8N_73826	GOLGA8N	68
RGS6_25411	RGS6	677
LOC100129697_75234	LOC100129697	192
ANKDD1A_69914	ANKDD1A	432
IL4_9417	IL4	169
XKR9_71444	XKR9	138
MIA_21377	MIA	452
ATP11AUN_72184	ATP11AUN	591
FBXL2_33827	FBXL2	520
GCSAML_62081	GCSAML	438
COLQ_21528	COLQ	474
MPDU1_25107	MPDU1	1022
ANXA7_846	ANXA7	383
1-Mar_47965	1-Mar	638
MRGBP_42109	MRGBP	101
TSPAN13_35514	TSPAN13	660
KRT25_61749	KRT25	449
Non-Targeting Control_76991	Non-Targeting Control	1513
MPPED1_2091	MPPED1	109
WIPF3_73913	WIPF3	325
NPTXR_32882	NPTXR	626
PDE8B_22468	PDE8B	488
AFAP1L2_53891	AFAP1L2	289
TBC1D17_49792	TBC1D17	368
RGS4_16103	RGS4	97
AGTPBP1_32350	AGTPBP1	724
TMED2_29678	TMED2	531
ELFN2_57219	ELFN2	616
MMP19_11643	MMP19	344
SLC16A2_17652	SLC16A2	999
GORASP2_34315	GORASP2	599
TNFRSF8_2639	TNFRSF8	279
MYO1G_47263	MYO1G	756
GPR6_7512	GPR6	793
CDHR5_39669	CDHR5	618
PCDHGC3_13397	PCDHGC3	591
DPP10_46069	DPP10	574
MVP_26576	MVP	210
SLC35E1_50415	SLC35E1	215
VWDE_65886	VWDE	302
MAU2_32645	MAU2	201
LOC102724279_76415	LOC102724279	393
GCH1_6978	GCH1	125
PCDH12_38394	PCDH12	229
SMARCA2_17744	SMARCA2	170
PLG_14149	PLG	261
PPAPDC1B_53705	PPAPDC1B	465
KCNE3_26715	KCNE3	324
CCL22_17026	CCL22	470
INPP5K_39459	INPP5K	303
COL4A5_3578	COL4A5	643
TTC9C_67277	TTC9C	170
KATNAL1_52784	KATNAL1	268
TRIM54_45163	TRIM54	494
TSPAN33_69146	TSPAN33	111
TMEM139_60388	TMEM139	222
C6orf89_65817	C6orf89	602
INO80C_58940	INO80C	122
CYP2S1_36617	CYP2S1	417
CAPG_2283	CAPG	233
RERGL_49936	RERGL	434
ADNP_32675	ADNP	280
TMEM236_74353	TMEM236	251
TMEM114_67556	TMEM114	214
ACSL3_6048	ACSL3	355
CFH_8297	CFH	783
COTL1_32719	COTL1	1164
KRT15_10362	KRT15	296
DLL1_36189	DLL1	277
C5orf52_75550	C5orf52	335
CNOT1_31477	CNOT1	432
RGS17_35175	RGS17	828
AGBL3_69152	AGBL3	308
SULT2A1_18492	SULT2A1	420
LRRK1_49689	LRRK1	112
DGKK_60672	DGKK	307
CDH7_2856	CDH7	273
RCOR2_67285	RCOR2	928
SPATS2L_34333	SPATS2L	386
MYBPC3_11988	MYBPC3	480
MAPK9_14909	MAPK9	640
OR8D2_67233	OR8D2	120
MDM2_11290	MDM2	396
TACSTD2_10915	TACSTD2	965
MFNG_11417	MFNG	364
NEU1_12463	NEU1	130
OTOG_69273	OTOG	537
HEXDC_67587	HEXDC	678
CCL18_17012	CCL18	313
MRVI1_27793	MRVI1	318
SLC4A7_25010	SLC4A7	279
DCBLD1_68277	DCBLD1	774
KIAA1958_63166	KIAA1958	459
SLC39A1_35742	SLC39A1	139
ERGIC1_45313	ERGIC1	273
ENTPD7_44942	ENTPD7	420
CCT6B_28931	CCT6B	678
ADORA2A_373	ADORA2A	324
GPR142_70025	GPR142	322
FARP2_26200	FARP2	297
UGT1A6_40272	UGT1A6	65
CLIP3_34299	CLIP3	504
TFR2_19064	TFR2	585
FABP6_6020	FABP6	495
CMTM7_56828	CMTM7	451
RNF213_46184	RNF213	175
POLR2K_14401	POLR2K	145
MEGF10_53676	MEGF10	283
COCH_4732	COCH	614
L3MBTL3_53648	L3MBTL3	728
GPX3_7672	GPX3	448
MXRA7_72826	MXRA7	27
AHI1_40615	AHI1	86
DTX3L_62534	DTX3L	378
ZFAND3_47026	ZFAND3	598
C6orf62_51860	C6orf62	336
PRKAB1_14770	PRKAB1	529
RPS4Y1_16501	RPS4Y1	206
SLC4A3_17439	SLC4A3	665
BORA_50194	BORA	248
ZNF559-ZNF177_76111	ZNF559-ZNF177	220
NUP62CL_40699	NUP62CL	1688
SEMA5A_23654	SEMA5A	238
C2orf70_69017	C2orf70	219
MEIG1_73958	MEIG1	413
CC2D1B_64640	CC2D1B	187
TRPV1_20186	TRPV1	193
F10_5974	F10	288
OR5AS1_65257	OR5AS1	149
IGLL1_9356	IGLL1	435
PIWIL4_61225	PIWIL4	205
WDR60_41605	WDR60	634
PDE2A_13502	PDE2A	89
PCDHGA2_43940	PCDHGA2	186
ZRANB3_52890	ZRANB3	643
SH3GL3_17294	SH3GL3	465
CCDC78_58700	CCDC78	182
GPR182_30745	GPR182	279
ADRBK1_434	ADRBK1	75
HINT2_54019	HINT2	397
VEZT_42734	VEZT	86
APOBEC2_29582	APOBEC2	360
ARG2_1102	ARG2	297
SMIM2_48740	SMIM2	571
NKRF_43749	NKRF	569
C10orf67_66815	C10orf67	202
UQCR10_36623	UQCR10	308
NR2F1_19028	NR2F1	184
ZFAND6_40004	ZFAND6	521
FAM71F2_69762	FAM71F2	610
APBB1_889	APBB1	380
REEP6_56370	REEP6	60
YPEL4_65311	YPEL4	272
RBM12B_71451	RBM12B	511
EPB41L4A_47362	EPB41L4A	707
AVL9_31669	AVL9	294
GTPBP8_36415	GTPBP8	488
ENKUR_65344	ENKUR	653
SLIT2_24573	SLIT2	330
POU4F1_14463	POU4F1	617
ANKH_44103	ANKH	406
PPHLN1_38977	PPHLN1	487
BMP10_35985	BMP10	414
COG7_56066	COG7	147
FER_6213	FER	328
GON4L_40785	GON4L	165
LACRT_55290	LACRT	522
FKRP_49006	FKRP	433
POLL_36079	POLL	177
ZNF513_59830	ZNF513	689
ANKRD20A1_53117	ANKRD20A1	680
MAGED4_74602	MAGED4	991
MRC2_26368	MRC2	539
GPHN_27492	GPHN	975
TRIM10_27029	TRIM10	425
TMSB10_24076	TMSB10	262
CD300LG_61704	CD300LG	234
ZNF729_75599	ZNF729	778
BOLA2_73551	BOLA2	286
MRPL18_36394	MRPL18	585
AKAP1_21350	AKAP1	139
CDT1_51814	CDT1	293
ADAMTSL3_45244	ADAMTSL3	172
PLXDC2_54414	PLXDC2	206
KIF19_58786	KIF19	286
HEATR6_47088	HEATR6	117
ZMAT3_47693	ZMAT3	358
DENND4A_27547	DENND4A	327
FAM57B_52424	FAM57B	243
LMTK3_57178	LMTK3	236
HOXB4_8689	HOXB4	203
CALR_2241	CALR	340
LCA5L_62251	LCA5L	362
PRX_46316	PRX	424
CT47A10_74530	CT47A10	428
CFAP74_54963	CFAP74	549
KRTAP1-3_51963	KRTAP1-3	537
ACY1_244	ACY1	353
ATP1B3_1357	ATP1B3	261
NFATC2_12496	NFATC2	1069
CLMN_49947	CLMN	266
FAM171B_63825	FAM171B	559
EIF4E2_24935	EIF4E2	519
PHKG2_13880	PHKG2	613
MAN2A2_11073	MAN2A2	104
MAG_10995	MAG	600
BABAM1_36426	BABAM1	53
SLC16A8_33097	SLC16A8	725
SAMD7_69618	SAMD7	222
MPP6_39288	MPP6	386
KLHL42_45788	KLHL42	292
IGSF6_27549	IGSF6	269
F2RL2_5951	F2RL2	193
C10orf111_65669	C10orf111	424
C5orf45_37968	C5orf45	366
OPN1LW_15958	OPN1LW	483
MAPKAPK5_22293	MAPKAPK5	258
ANKRD10_42777	ANKRD10	347
UBE2O_47078	UBE2O	238
ARL3_1171	ARL3	201
CDV3_42691	CDV3	271
STK17A_24347	STK17A	266
SYCP2_27914	SYCP2	327
IDH2_9143	IDH2	418
ARSE_1211	ARSE	186
EHD2_37142	EHD2	329
RPP38_28477	RPP38	194
ZBTB25_20582	ZBTB25	407
DTWD1_44782	DTWD1	888
SPATA31E1_68405	SPATA31E1	154
ZNF433_63624	ZNF433	158
CD3E_2557	CD3E	438
