sgRNA	Gene	DE_GFP_high
CKS2_3313	CKS2	635
SSTR3_18292	SSTR3	706
GDPD3_49019	GDPD3	183
SNTN_60034	SNTN	668
PYCRL_48494	PYCRL	749
SOWAHA_60283	SOWAHA	995
TRIB1_27410	TRIB1	243
SRPK1_18223	SRPK1	428
SLC25A27_24972	SLC25A27	713
RER1_30058	RER1	263
ZNF665_49945	ZNF665	1588
HIST1H1D_8091	HIST1H1D	985
MLANA_6451	MLANA	548
KLK14_37163	KLK14	662
SETD3_53098	SETD3	1401
ACADM_102	ACADM	622
USP17L21_75635	USP17L21	1074
ZKSCAN2_69388	ZKSCAN2	455
CDC73_49307	CDC73	408
SEMA7A_22061	SEMA7A	544
CREB5_25297	CREB5	443
INPP4A_9628	INPP4A	301
ANKMY1_38346	ANKMY1	494
C5AR1_2011	C5AR1	1158
OR5D18_65255	OR5D18	519
CXCL6_17043	CXCL6	1185
LAMTOR4_71409	LAMTOR4	863
Non-Targeting Control_76530	Non-Targeting Control	6671
CYLC2_4328	CYLC2	1156
C2CD4B_70936	C2CD4B	280
PRMT3_27309	PRMT3	2113
ABLIM3_31118	ABLIM3	823
PAGE3_60760	PAGE3	1113
CEP72_43152	CEP72	289
GIMAP7_64022	GIMAP7	452
GAS2_6893	GAS2	616
OR8H1_65272	OR8H1	1348
TRIM36_42599	TRIM36	332
CBX2_54124	CBX2	295
ARHGDIB_1145	ARHGDIB	2248
SOS1_17962	SOS1	1086
C16orf46_58650	C16orf46	615
JAGN1_53735	JAGN1	586
ZNF678_68976	ZNF678	1196
ARG1_1100	ARG1	164
POLL_36080	POLL	252
CT83_65095	CT83	1206
BNIP2_1827	BNIP2	163
PARVB_36607	PARVB	706
CCDC171_65072	CCDC171	779
PIN1_14005	PIN1	428
ZBTB34_72647	ZBTB34	796
RPP25L_60606	RPP25L	411
VSIG10_40329	VSIG10	741
GAGE12H_74927	GAGE12H	1432
ECE1_5238	ECE1	432
TBC1D8B_40893	TBC1D8B	431
Non-Targeting Control_76673	Non-Targeting Control	2946
ERMAP_57145	ERMAP	319
CEP68_31975	CEP68	2273
MKL2_45635	MKL2	1024
ADAMTS19_64259	ADAMTS19	2639
LTBP3_10850	LTBP3	211
FIGN_41682	FIGN	379
PLAGL2_14095	PLAGL2	711
IRX5_27562	IRX5	1231
SH3RF2_62834	SH3RF2	349
LYN_10902	LYN	362
NME4_12669	NME4	1365
SIPA1L2_45868	SIPA1L2	241
DYNLT1_18927	DYNLT1	1645
CLRN3_58139	CLRN3	132
PLA2G16_30262	PLA2G16	235
PCDH11X_36030	PCDH11X	467
TDGF1_18934	TDGF1	749
MPPED2_2056	MPPED2	1078
OR11L1_71946	OR11L1	2311
ZC4H2_43708	ZC4H2	1395
PREP_14732	PREP	156
DSCAML1_45489	DSCAML1	263
C6orf99_75337	C6orf99	956
TGM6_69567	TGM6	637
Non-Targeting Control_76573	Non-Targeting Control	4423
CHCHD7_49002	CHCHD7	612
PCED1B_55869	PCED1B	903
FAM171B_63827	FAM171B	218
BIVM-ERCC5_76177	BIVM-ERCC5	142
RIMKLA_67973	RIMKLA	1720
DDX60L_55803	DDX60L	647
HAPLN2_46883	HAPLN2	1013
DIXDC1_54985	DIXDC1	596
TMEM241_54738	TMEM241	407
PRDM4_30149	PRDM4	807
GJA3_7147	GJA3	1009
CACNA1F_2160	CACNA1F	1419
TMEM5_27776	TMEM5	1404
DDIT4_40191	DDIT4	1066
GZMB_8070	GZMB	1000
Non-Targeting Control_77396	Non-Targeting Control	3206
LCN15_71489	LCN15	167
OR10K2_71926	OR10K2	456
CD247_2567	CD247	623
VN1R5_68531	VN1R5	1841
MEP1B_11379	MEP1B	399
ZNF729_75598	ZNF729	2403
USMG5_54258	USMG5	826
BLZF1_22288	BLZF1	896
OCRL_12996	OCRL	328
CFAP47_68464	CFAP47	592
KRT37_22685	KRT37	902
FUOM_67164	FUOM	536
Non-Targeting Control_76786	Non-Targeting Control	2502
COQ7_27439	COQ7	827
MGP_11460	MGP	625
THEM4_57889	THEM4	162
DEPDC1B_43383	DEPDC1B	584
NDUFA7_12290	NDUFA7	837
PLP1_14198	PLP1	1825
Non-Targeting Control_76866	Non-Targeting Control	4305
TP53I13_55390	TP53I13	885
RNF133_64005	RNF133	611
ADAMTS2_25048	ADAMTS2	1275
ALDH2_606	ALDH2	963
STARD3_29636	STARD3	883
CEMIP_45292	CEMIP	311
PABPC1L2B_74062	PABPC1L2B	824
DPYSL2_5015	DPYSL2	398
XKR5_71425	XKR5	284
CERS3_65138	CERS3	341
GPX2_7665	GPX2	892
OSCAR_59009	OSCAR	902
Non-Targeting Control_77182	Non-Targeting Control	1946
Non-Targeting Control_76923	Non-Targeting Control	2438
SLC38A3_29782	SLC38A3	407
CDC42EP5_61968	CDC42EP5	914
ZNF641_58354	ZNF641	471
MSRA_11785	MSRA	176
SCYL2_43017	SCYL2	3455
TRPM5_36669	TRPM5	625
TPBGL_75935	TPBGL	831
RNASE2_16179	RNASE2	770
FOXC1_6381	FOXC1	1149
CHIC1_39547	CHIC1	1092
UQCR10_36624	UQCR10	1652
NCKAP5_69591	NCKAP5	1122
CCT6B_28934	CCT6B	1101
WISP1_23164	WISP1	723
SMO_17791	SMO	165
COL28A1_69129	COL28A1	1094
GALNT1_6845	GALNT1	1806
PCDHA10_44019	PCDHA10	584
MPZL1_23599	MPZL1	233
PTPRN2_15511	PTPRN2	966
OR5M10_71668	OR5M10	874
ANKRD33_69322	ANKRD33	442
NEIL3_42070	NEIL3	124
AGO1_35120	AGO1	951
SRSF6_17210	SRSF6	244
CUX2_32436	CUX2	730
AP2A1_450	AP2A1	617
MAGEB16_60729	MAGEB16	494
ZFYVE21_48785	ZFYVE21	1759
Non-Targeting Control_77203	Non-Targeting Control	3031
KRTAP19-7_68665	KRTAP19-7	3133
ATP5G2_1435	ATP5G2	276
GPC3_7191	GPC3	1192
CCL7_16977	CCL7	364
RNF146_51954	RNF146	1610
OR5M3_65288	OR5M3	778
