sgRNA	Gene	DE_GFP_low
DEFA5_4692	DEFA5	1873
STX17_41323	STX17	489
VASP_20086	VASP	553
LYG1_59703	LYG1	519
Non-Targeting Control_77281	Non-Targeting Control	2366
FNDC4_48131	FNDC4	481
FAM132A_71095	FAM132A	105
TMEM109_48862	TMEM109	152
KIAA1551_41888	KIAA1551	140
Non-Targeting Control_77210	Non-Targeting Control	2256
TRABD_51067	TRABD	1254
FBXL22_67499	FBXL22	306
B4GAT1_29931	B4GAT1	198
PAGE2_65125	PAGE2	1611
OR13A1_49144	OR13A1	1799
LGI4_63654	LGI4	2224
CRB1_32765	CRB1	334
EGLN2_56779	EGLN2	811
CEACAM1_1714	CEACAM1	341
GBX2_6959	GBX2	719
ARSH_69846	ARSH	927
NSUN7_49778	NSUN7	531
SAGE1_42586	SAGE1	653
MDFI_11272	MDFI	157
OR6C2_69326	OR6C2	178
REEP3_65658	REEP3	1064
PMS2_14288	PMS2	3011
PCDHB14_43953	PCDHB14	810
PTCHD4_73250	PTCHD4	632
KCNV1_35401	KCNV1	1224
GNG12_43803	GNG12	516
TMEM204_49523	TMEM204	1490
BICD1_1724	BICD1	1080
SCAMP5_64350	SCAMP5	78
BIRC7_49240	BIRC7	505
NDUFA1_12268	NDUFA1	668
DKK3_35615	DKK3	436
BTG1_1921	BTG1	443
ENAM_27062	ENAM	562
Non-Targeting Control_76939	Non-Targeting Control	1316
OR13G1_73223	OR13G1	308
ZNF710_70312	ZNF710	1089
CYP26B1_44283	CYP26B1	579
USP28_46113	USP28	565
G0S2_37201	G0S2	1539
ZCCHC17_38985	ZCCHC17	248
C5AR2_35799	C5AR2	242
CPSF2_39719	CPSF2	96
ZBED9_57264	ZBED9	399
FAM120C_41118	FAM120C	938
IQCF1_60022	IQCF1	1294
CREB5_25300	CREB5	239
RHOBTB3_30948	RHOBTB3	845
LIF_10636	LIF	1353
RANBP1_15790	RANBP1	219
C11orf16_44369	C11orf16	1098
RBAK_46379	RBAK	496
TTC23L_62819	TTC23L	563
KRTAP22-2_75660	KRTAP22-2	972
CXCR3_7521	CXCR3	470
C4orf48_72353	C4orf48	806
ELSPBP1_47367	ELSPBP1	102
SDHB_17089	SDHB	624
RAB19_72430	RAB19	484
UBD_28414	UBD	402
PLCH2_25492	PLCH2	261
Non-Targeting Control_76855	Non-Targeting Control	1370
SPRED1_63454	SPRED1	714
Non-Targeting Control_76698	Non-Targeting Control	2122
KRTAP5-9_10302	KRTAP5-9	680
HECTD3_49527	HECTD3	649
LRP1B_39567	LRP1B	691
RGS7_16106	RGS7	1847
LDHC_10564	LDHC	869
REG1B_15990	REG1B	1000
LONP2_52472	LONP2	435
ELMO1_26163	ELMO1	214
SPOPL_69001	SPOPL	695
ARMCX4_75393	ARMCX4	731
KIAA1328_45764	KIAA1328	340
Non-Targeting Control_77137	Non-Targeting Control	1939
C3orf35_69047	C3orf35	407
ADM5_64595	ADM5	367
EXOSC8_30817	EXOSC8	101
ALPL_690	ALPL	481
OR6C4_69332	OR6C4	34
HIPK2_36331	HIPK2	812
PMVK_28814	PMVK	57
Non-Targeting Control_76515	Non-Targeting Control	1204
ASB4_39266	ASB4	538
INPP5D_9637	INPP5D	130
ABHD12_34542	ABHD12	224
MYOZ3_56077	MYOZ3	942
OR4M1_73195	OR4M1	738
C12orf29_55789	C12orf29	607
PABPC5_61061	PABPC5	922
RMND5B_48023	RMND5B	460
HAS3_8182	HAS3	1637
TIMM8B_35115	TIMM8B	988
NOSTRIN_57530	NOSTRIN	561
CDC14A_22307	CDC14A	751
SARM1_31729	SARM1	468
HSFX2_75253	HSFX2	882
OR9Q2_65461	OR9Q2	966
TIFAB_73453	TIFAB	1458
OR4S1_66717	OR4S1	741
LPIN2_25531	LPIN2	568
MT1X_11836	MT1X	697
RHBDD2_45448	RHBDD2	316
SLC10A3_21496	SLC10A3	573
SPRED3_72084	SPRED3	601
ZBTB17_20722	ZBTB17	115
MILR1_67599	MILR1	401
FAM160B2_47974	FAM160B2	1054
COX7B2_64225	COX7B2	813
OR2M4_34826	OR2M4	690
PHF6_53386	PHF6	362
TP53_19454	TP53	826
KLK5_33797	KLK5	518
CELA1_5475	CELA1	425
PLP1_14198	PLP1	1224
SNAP25_17822	SNAP25	1427
CDH4_2841	CDH4	512
CCDC66_68111	CCDC66	1419
MFSD2A_54354	MFSD2A	671
ASB18_72335	ASB18	188
PIWIL3_73014	PIWIL3	334
LARP6_42320	LARP6	514
RAB39A_40458	RAB39A	1368
GALNT5_30530	GALNT5	433
SDSL_57039	SDSL	349
TAF1D_48947	TAF1D	1124
MDK_11287	MDK	560
Non-Targeting Control_76565	Non-Targeting Control	2359
ITGB2_9802	ITGB2	171
SERPINA10_37988	SERPINA10	681
SIMC1_70502	SIMC1	985
OR51S1_58174	OR51S1	418
CARM1_28297	CARM1	1341
AP1S3_59793	AP1S3	243
RRP36_55078	RRP36	264
ERC2_34486	ERC2	160
GPC4_6210	GPC4	2094
ECM1_5253	ECM1	530
ZFP36L2_1883	ZFP36L2	608
CD72_2746	CD72	549
PARK2_13311	PARK2	418
RGPD4_68056	RGPD4	975
PJA1_47545	PJA1	273
TMEM161A_41029	TMEM161A	615
IDI2_55971	IDI2	499
C14orf166_39194	C14orf166	1028
MAP2_11110	MAP2	233
IL2RG_9408	IL2RG	769
CELF3_30428	CELF3	666
CDH9_2864	CDH9	1077
CT45A2_74803	CT45A2	1321
ALDH5A1_21065	ALDH5A1	341
URAD_74110	URAD	672
STAP2_42822	STAP2	850
IGFBP2_9314	IGFBP2	296
PELI1_45174	PELI1	187
MOS_11682	MOS	832
SATB2_32430	SATB2	596
PAAF1_50965	PAAF1	755
GNB4_46801	GNB4	1196
MUC15_61209	MUC15	218
SORL1_17960	SORL1	260
GPR3_7498	GPR3	820
CLDN11_13137	CLDN11	1790
SLC9C1_68116	SLC9C1	328
Non-Targeting Control_77240	Non-Targeting Control	2463
KRTAP13-2_68623	KRTAP13-2	799
BTD_1908	BTD	239
GPR160_35371	GPR160	892
Non-Targeting Control_77039	Non-Targeting Control	1656
VRK1_20191	VRK1	539
ZNRD1_37118	ZNRD1	415
KLK14_37163	KLK14	390
CRISPLD2_52417	CRISPLD2	1205
CHKA_3171	CHKA	264
BRWD3_66404	BRWD3	833
PCDH9_13412	PCDH9	226
MAGEC1_26530	MAGEC1	1010
RNF122_50131	RNF122	633
MAP3K15_71506	MAP3K15	757
GJA4_7152	GJA4	1250
CLDN4_3789	CLDN4	1836
FAM3A_46841	FAM3A	238
MXD3_52146	MXD3	1446
LRRC71_62196	LRRC71	57
SERINC5_66837	SERINC5	405
THSD7B_51270	THSD7B	505
OR52M1_58203	OR52M1	1394
MPPE1_48485	MPPE1	983
DAGLA_2068	DAGLA	544
FBXO27_59168	FBXO27	690
ZNF729_75598	ZNF729	2545
LAPTM4A_25811	LAPTM4A	1142
RSRP1_44872	RSRP1	917
OR8A1_71749	OR8A1	531
RSC1A1_16662	RSC1A1	170
GPR176_30580	GPR176	296
SOX10_17994	SOX10	480
KCTD16_45731	KCTD16	249
HEPACAM2_66268	HEPACAM2	159
GRAMD2_64484	GRAMD2	278
RASAL3_48265	RASAL3	194
DNAJC12_44271	DNAJC12	1452
CLEC9A_67358	CLEC9A	677
Non-Targeting Control_77245	Non-Targeting Control	2507
CBLB_2429	CBLB	910
RBFOX3_61637	RBFOX3	1008
TATDN3_59539	TATDN3	723
SNTB1_17913	SNTB1	1330
CLDN2_23780	CLDN2	894
PRAMEF19_74010	PRAMEF19	712
ZNF609_31607	ZNF609	517
MAP1LC3B_51850	MAP1LC3B	1143
SLC2A3_17465	SLC2A3	600
TBK1_36514	TBK1	328
VPS52_16788	VPS52	22
RPUSD3_68136	RPUSD3	663
RAVER1_58968	RAVER1	823
HIST1H1D_8089	HIST1H1D	2128
TCF15_18856	TCF15	634
GLB1_7196	GLB1	626
TTC24_63750	TTC24	125
TMEM135_48410	TMEM135	937
SLC39A4_42861	SLC39A4	489
FOXO4_11571	FOXO4	642
Non-Targeting Control_77135	Non-Targeting Control	2604
PNOC_14250	PNOC	1190
DNAH2_61651	DNAH2	688
NIPSNAP3B_42370	NIPSNAP3B	1736
IBSP_9086	IBSP	2090
COX14_54684	COX14	483
ACKR2_3470	ACKR2	1223
FAM45A_72684	FAM45A	426
DCUN1D1_39805	DCUN1D1	522
FPR3_6570	FPR3	386
ARHGAP6_1137	ARHGAP6	1511
GIMAP5_42383	GIMAP5	811
CRTAP_28276	CRTAP	1365
GP1BA_7441	GP1BA	116
WFDC11_66960	WFDC11	542
Non-Targeting Control_77381	Non-Targeting Control	1500
SPATA7_43460	SPATA7	449
SNTB2_17928	SNTB2	441
CRTAM_44152	CRTAM	1435
TAS2R43_66990	TAS2R43	591
TRAF4_25377	TRAF4	763
STS_1202	STS	1219
TAS2R8_37386	TAS2R8	466
Non-Targeting Control_76664	Non-Targeting Control	2570
ILVBL_29791	ILVBL	1121
CNPY4_66114	CNPY4	209
KCNA4_9956	KCNA4	534
SV2C_31386	SV2C	1277
PITPNM2_45997	PITPNM2	850
C12orf4_44981	C12orf4	522
C3orf80_72352	C3orf80	551
KCNQ5_44270	KCNQ5	608
DYX1C1_63445	DYX1C1	3268
DIO3_4785	DIO3	455
YBX3_22220	YBX3	412
PATE1_63305	PATE1	626
SDK1_65920	SDK1	1149
FGD1_6231	FGD1	936
LRRC59_42486	LRRC59	2460
WBP1_33171	WBP1	694
YIPF4_53301	YIPF4	677
AKAP10_30493	AKAP10	808
CACNG7_46747	CACNG7	512
ZNF500_34446	ZNF500	1385
WFDC1_46504	WFDC1	571
CSTF2T_32332	CSTF2T	895
E2F7_61341	E2F7	1009
TMEM19_42128	TMEM19	210
OR2Y1_60205	OR2Y1	331
PBLD_47316	PBLD	491
TJAP1_56575	TJAP1	1081
FAM193A_22412	FAM193A	1447
Non-Targeting Control_77105	Non-Targeting Control	1659
FOXP3_37466	FOXP3	417
DAOA_67103	DAOA	978
LDLR_10568	LDLR	1220
HINT3_60326	HINT3	520
GAL3ST2_47336	GAL3ST2	469
SLC9A3R1_24624	SLC9A3R1	409
ILVBL_29792	ILVBL	273
ZFAND3_47026	ZFAND3	511
SLC35D2_29949	SLC35D2	410
PTGR2_61426	PTGR2	434
EIF5A2_44311	EIF5A2	552
LILRB1_29343	LILRB1	631
SUGCT_49927	SUGCT	1044
ACOT6_73654	ACOT6	878
KRT71_56858	KRT71	367
MAST4_70498	MAST4	496
EML2_33599	EML2	249
SCML2_27919	SCML2	2311
OR2T12_59283	OR2T12	1009
KLF9_1911	KLF9	383
CXCL6_17041	CXCL6	1572
CRCT1_40205	CRCT1	1156
NPFFR1_47386	NPFFR1	285
WDR13_47922	WDR13	618
CD300LD_75382	CD300LD	518
LAMB4_30861	LAMB4	1123
RASSF10_73965	RASSF10	1014
NEUROG2_47235	NEUROG2	474
SUN3_66834	SUN3	316
OR56B4_64388	OR56B4	399
C5AR2_35800	C5AR2	162
ADAMTS5_30106	ADAMTS5	612
ANO8_46329	ANO8	297
KRBA2_58806	KRBA2	253
ZNF511_58037	ZNF511	127
SPAG4_18037	SPAG4	133
TCF12_18851	TCF12	982
PMS2_14287	PMS2	1203
SHC1_17308	SHC1	462
NELL1_12436	NELL1	131
STAM2_27534	STAM2	336
Non-Targeting Control_76594	Non-Targeting Control	3895
Non-Targeting Control_77362	Non-Targeting Control	3011
RAB1B_52013	RAB1B	1017
AKAP11_30490	AKAP11	214
Non-Targeting Control_77042	Non-Targeting Control	3161
Non-Targeting Control_76842	Non-Targeting Control	2191
SLIT3_17723	SLIT3	442
TEX14_44059	TEX14	739
GCLC_7198	GCLC	936
TMEM185A_53787	TMEM185A	540
TBC1D10A_52572	TBC1D10A	321
Non-Targeting Control_76496	Non-Targeting Control	3537
MZF1_20569	MZF1	1045
PTPRN_15505	PTPRN	380
ZBED3_53492	ZBED3	1279
TIMP3_19212	TIMP3	1223
OSTM1_36230	OSTM1	453
CACNA1D_2150	CACNA1D	961
LOXHD1_58933	LOXHD1	379
C1orf189_71165	C1orf189	758
LZTFL1_40290	LZTFL1	636
Non-Targeting Control_77287	Non-Targeting Control	823
ING3_40239	ING3	246
KCNAB3_24152	KCNAB3	735
PSG6_15123	PSG6	1050
FKRP_49004	FKRP	675
ATOH7_65586	ATOH7	483
Non-Targeting Control_76825	Non-Targeting Control	1916
HPSE_29329	HPSE	347
CWH43_50814	CWH43	192
RNF216_40029	RNF216	579
CXorf36_49815	CXorf36	963
RPRM_44258	RPRM	111
EMP1_5551	EMP1	2070
PPARD_14496	PPARD	2335
DYNC2H1_49543	DYNC2H1	220
Non-Targeting Control_76497	Non-Targeting Control	4570
NUDT16L1_53432	NUDT16L1	1063
RASGRP4_57549	RASGRP4	1364
CMAS_43712	CMAS	744
ACSM3_16797	ACSM3	696
TGFB2_19088	TGFB2	321
FASLG_1012	FASLG	311
NBN_12225	NBN	591
DACT3_61887	DACT3	2211
Non-Targeting Control_77051	Non-Targeting Control	2204
ISCA2_58561	ISCA2	299
PPP2R5B_14645	PPP2R5B	216
TMEM14E_74049	TMEM14E	170
C5orf22_42317	C5orf22	1235
KIAA0319L_50397	KIAA0319L	474
TLN2_52344	TLN2	249
P2RX4_13181	P2RX4	687
FST_28188	FST	599
UQCRC2_20025	UQCRC2	959
RHBDD2_45449	RHBDD2	402
TMCO6_42480	TMCO6	409
PACS1_43039	PACS1	469
PVRL3_34163	PVRL3	555
C16orf78_58681	C16orf78	425
Non-Targeting Control_76949	Non-Targeting Control	767
GRAMD1C_40515	GRAMD1C	1458
MOB3A_59112	MOB3A	101
SCAF1_46625	SCAF1	420
GPR162_35839	GPR162	1248
Non-Targeting Control_77048	Non-Targeting Control	2442
Non-Targeting Control_76528	Non-Targeting Control	2663
SULF2_43782	SULF2	867
TMEM68_60491	TMEM68	695
USP50_70236	USP50	329
HRH2_8851	HRH2	1124
INAFM1_66661	INAFM1	948
RNF222_73872	RNF222	608
IFNA16_9242	IFNA16	998
CAMKMT_50056	CAMKMT	1293
BHLHA9_74499	BHLHA9	669
TOX4_26279	TOX4	183
TCAIM_68117	TCAIM	1336
GDF7_62505	GDF7	681
IL20RA_39644	IL20RA	286
OSBP2_33538	OSBP2	843
Non-Targeting Control_76683	Non-Targeting Control	2479
NOV_12743	NOV	994
ZNF10_20478	ZNF10	189
ANAPC10_27934	ANAPC10	790
Non-Targeting Control_77232	Non-Targeting Control	3114
FRMPD2_61144	FRMPD2	312
GPR1_7489	GPR1	877
HECTD4_67372	HECTD4	901
IL5RA_9430	IL5RA	791
TRIM6-TRIM34_73311	TRIM6-TRIM34	678
C4orf32_60086	C4orf32	467
EVX1_5889	EVX1	245
CHN2_3192	CHN2	330
KLRC4_21545	KLRC4	655
STOML3_63385	STOML3	820
HIST1H2AK_21622	HIST1H2AK	451
CEP104_25776	CEP104	1609
IBSP_9085	IBSP	1515
Non-Targeting Control_76713	Non-Targeting Control	2400
DOCK5_50573	DOCK5	844
FOXI1_6396	FOXI1	1089
STATH_18369	STATH	202
SLITRK4_60646	SLITRK4	1038
PLP2_14203	PLP2	2364
C11orf65_63312	C11orf65	1673
SIAH3_67398	SIAH3	2371
TP63_22481	TP63	379
KNG1_10244	KNG1	564
FABP4_5999	FABP4	1224
SLC7A7_23723	SLC7A7	614
Non-Targeting Control_77276	Non-Targeting Control	1631
SLC9A9_68064	SLC9A9	767
SHISA3_62687	SHISA3	330
ABCB6_26866	ABCB6	456
ARHGAP20_45871	ARHGAP20	756
DVL2_5185	DVL2	163
C11orf52_56050	C11orf52	874
TMCC2_26402	TMCC2	193
LDOC1_33392	LDOC1	1325
SLC10A3_21494	SLC10A3	458
TLL2_19264	TLL2	820
CLCN5_3360	CLCN5	337
ORAI2_50967	ORAI2	86
PI4KB_14001	PI4KB	338
RBP5_52486	RBP5	178
ACP2_162	ACP2	240
