sgRNA	Gene	DE_GFP_low
ACTR2_26993	ACTR2	3
GPR176_30582	GPR176	589
CCDC146_46093	CCDC146	1058
ZFP2_50702	ZFP2	250
CITED2_27875	CITED2	364
Non-Targeting Control_76684	Non-Targeting Control	1910
SNTB1_17915	SNTB1	751
LOC339862_69041	LOC339862	227
OR1L8_60633	OR1L8	1211
LRRCC1_54941	LRRCC1	219
ZNF682_55738	ZNF682	551
COL6A6_59994	COL6A6	362
SGK223_62999	SGK223	181
CREG1_23034	CREG1	345
FILIP1L_30626	FILIP1L	182
CORO1C_33291	CORO1C	529
CLSTN3_25830	CLSTN3	68
GMCL1_47698	GMCL1	231
C11orf97_73745	C11orf97	525
TMEM235_67579	TMEM235	181
SLC22A11_43620	SLC22A11	231
ZNF441_59020	ZNF441	1047
C6orf163_65191	C6orf163	711
APOBEC4_72638	APOBEC4	381
BPIFB3_70194	BPIFB3	255
TUBB1_51475	TUBB1	828
CD1B_2534	CD1B	570
GABARAP_30806	GABARAP	390
NTN1_24794	NTN1	343
ALX3_703	ALX3	583
TP73_19465	TP73	338
LILRB2_27648	LILRB2	440
EHHADH_5412	EHHADH	652
MEX3C_38498	MEX3C	394
KCNH2_10024	KCNH2	75
EGFL7_38005	EGFL7	492
TNFSF13B_28884	TNFSF13B	310
FLNB_6457	FLNB	592
SLC37A4_6705	SLC37A4	584
C11orf57_41966	C11orf57	155
ZNF75D_20597	ZNF75D	580
LGALS2_10593	LGALS2	231
ETV5_5862	ETV5	508
EIF1B_27649	EIF1B	747
HYDIN_40535	HYDIN	551
AKR1E2_52248	AKR1E2	1228
PRMT9_55634	PRMT9	585
ASAH2B_74288	ASAH2B	436
JOSD2_59039	JOSD2	566
RRNAD1_37772	RRNAD1	136
CDK18_13476	CDK18	200
RHOXF2B_74523	RHOXF2B	641
DLGAP2_24244	DLGAP2	252
C9orf92_75204	C9orf92	391
LYPLAL1_59272	LYPLAL1	668
CELF3_30427	CELF3	967
CSN2_4058	CSN2	381
KCTD20_66037	KCTD20	404
EID1_33506	EID1	708
SEC24A_29213	SEC24A	165
CDYL2_58717	CDYL2	207
MUC16_56633	MUC16	228
PPP1R27_57816	PPP1R27	257
MRPS33_39224	MRPS33	196
UQCRC1_20022	UQCRC1	446
NICN1_53318	NICN1	441
RMND1_41293	RMND1	674
PCDHB9_43974	PCDHB9	1118
ZNF81_69801	ZNF81	951
TTLL7_49804	TTLL7	750
PPP2R3B_36155	PPP2R3B	239
ZNF680_69121	ZNF680	144
SPTA1_18134	SPTA1	450
ZNF671_50275	ZNF671	464
GPR183_5235	GPR183	1438
NAA30_58548	NAA30	110
DHRS2_27336	DHRS2	226
CFAP44_43349	CFAP44	266
RAET1L_62859	RAET1L	361
DNALI1_20931	DNALI1	1499
LRRC49_40724	LRRC49	270
ELMOD1_42620	ELMOD1	395
MTHFD2_29192	MTHFD2	448
APOBEC3B_25282	APOBEC3B	535
SRRM3_65959	SRRM3	324
CDHR3_65990	CDHR3	116
HMHA1_33054	HMHA1	832
TYROBP_19797	TYROBP	205
RNF212B_75993	RNF212B	730
SPATA25_59561	SPATA25	593
IGFALS_9308	IGFALS	966
SOWAHD_69823	SOWAHD	622
EIF3G_22617	EIF3G	72
DHRS3_24307	DHRS3	68
GOSR1_25112	GOSR1	177
CLIC3_23610	CLIC3	305
RHOU_46542	RHOU	626
H2AFZ_8119	H2AFZ	642
ANKRD46_63013	ANKRD46	129
LOC101060389_76326	LOC101060389	98
TTLL9_63776	TTLL9	424
SARDH_4856	SARDH	288
RTF1_31940	RTF1	181
TWISTNB_65896	TWISTNB	30
GPR31_7591	GPR31	444
TUB_19709	TUB	640
GNPDA2_60093	GNPDA2	407
C9orf50_70555	C9orf50	164
CCDC71L_64015	CCDC71L	449
PCDHA2_44049	PCDHA2	249
FAM151A_68694	FAM151A	221
KBTBD2_34171	KBTBD2	458
PPFIA4_22098	PPFIA4	619
TLE6_50032	TLE6	792
APOB_956	APOB	499
KCNT1_45919	KCNT1	106
SLC25A34_67980	SLC25A34	492
KCTD8_70644	KCTD8	557
MTA2_24224	MTA2	119
CPA5_56618	CPA5	593
ADAT1_33089	ADAT1	278
PLA2G4D_67487	PLA2G4D	376
CD247_2567	CD247	437
VANGL2_45300	VANGL2	340
CFH_8300	CFH	239
SLC35E1_50416	SLC35E1	693
FLRT3_33548	FLRT3	251
SLC22A4_17711	SLC22A4	170
CYTH1_24360	CYTH1	623
FNDC5_66263	FNDC5	25
C12orf71_74799	C12orf71	356
USP46_48179	USP46	512
METTL1_11390	METTL1	493
TGIF1_19117	TGIF1	160
SPECC1_56262	SPECC1	454
TAF12_18676	TAF12	309
DPM1_23063	DPM1	426
SIM1_17377	SIM1	434
FHL2_6336	FHL2	299
IL27_66241	IL27	635
KDM5C_21467	KDM5C	302
PAX3_13332	PAX3	289
RITA1_54530	RITA1	297
NEIL1_49554	NEIL1	463
SHOC2_21216	SHOC2	372
TRPM2_19619	TRPM2	334
SSX4_18315	SSX4	532
ZNF530_69945	ZNF530	326
P2RX6_23945	P2RX6	702
DLGAP4_30959	DLGAP4	137
PIFO_59507	PIFO	289
MAPKBP1_31436	MAPKBP1	886
CHPT1_44799	CHPT1	392
ADAL_63468	ADAL	486
EBNA1BP2_29710	EBNA1BP2	202
FAM72C_73575	FAM72C	790
HBM_8196	HBM	713
DHRS9_27243	DHRS9	1347
TOP3B_23468	TOP3B	252
STAP1_34783	STAP1	446
MNX1_8399	MNX1	1411
GRIPAP1_44435	GRIPAP1	630
PTPRT_30179	PTPRT	167
FMNL2_57216	FMNL2	155
EXOC4_46859	EXOC4	193
DRAM1_42358	DRAM1	198
MANF_21033	MANF	285
TNFRSF25_22774	TNFRSF25	184
GSTZ1_7913	GSTZ1	291
MOB3C_62099	MOB3C	438
THAP2_52243	THAP2	276
TTC32_59813	TTC32	268
TMEM184B_33835	TMEM184B	347
TMED1_29863	TMED1	696
CD34_2654	CD34	392
SCGB1D2_28789	SCGB1D2	535
UBR2_32392	UBR2	385
MARK2_5545	MARK2	49
MBOAT7_48993	MBOAT7	160
DGKQ_4502	DGKQ	293
CD47_2709	CD47	1230
CSMD1_47814	CSMD1	692
JAK1_9900	JAK1	629
SLC35G6_73815	SLC35G6	265
CHRD_22550	CHRD	486
EML1_5539	EML1	170
SOCS4_58543	SOCS4	332
ATRN_21990	ATRN	177
GOLGA6L2_67468	GOLGA6L2	693
SOWAHD_69822	SOWAHD	460
SIX5_61889	SIX5	375
USP2_23861	USP2	536
OGN_13021	OGN	836
HTRA4_65048	HTRA4	442
DYNC1LI1_37947	DYNC1LI1	320
LAIR2_10453	LAIR2	233
CFL2_3069	CFL2	137
IZUMO1R_71718	IZUMO1R	658
GDF3_25255	GDF3	164
DAG1_4486	DAG1	1241
SAMD12_72448	SAMD12	116
OTUD6B_39179	OTUD6B	898
SYNGR2_24010	SYNGR2	236
THEM6_38545	THEM6	468
MS4A12_40800	MS4A12	1127
SLC25A31_52113	SLC25A31	168
TRIM2_32449	TRIM2	328
TMEM17_64752	TMEM17	593
CDIP1_36925	CDIP1	527
SRSF4_17204	SRSF4	312
CGNL1_54591	CGNL1	783
AGXT_531	AGXT	138
ABHD8_49302	ABHD8	419
ZER1_28099	ZER1	450
PXDNL_60521	PXDNL	894
PRKD2_33942	PRKD2	449
ASIC5_39492	ASIC5	487
TGFB1I1_19082	TGFB1I1	223
PRSS22_47276	PRSS22	255
VAV2_20096	VAV2	669
MSANTD4_53593	MSANTD4	496
E2F1_5203	E2F1	722
ZNF514_54337	ZNF514	555
PRPF40B_33662	PRPF40B	150
SYTL2_40740	SYTL2	694
SLC28A1_24048	SLC28A1	437
APCDD1_61787	APCDD1	689
UNC93A_39864	UNC93A	813
ADAP1_29909	ADAP1	722
EXOSC1_37531	EXOSC1	137
WWP1_29979	WWP1	75
BTLA_62573	BTLA	554
GPR143_12954	GPR143	452
DRICH1_38199	DRICH1	618
TNFRSF12A_38524	TNFRSF12A	140
TNFRSF1A_19383	TNFRSF1A	251
OR6V1_69742	OR6V1	118
UBASH3A_39560	UBASH3A	198
CCDC171_65069	CCDC171	734
NELL1_12433	NELL1	877
H2AFV_56741	H2AFV	1161
IL27_66242	IL27	302
TMPPE_73860	TMPPE	173
SAMD14_64846	SAMD14	295
TMEM165_43595	TMEM165	262
UGT2A3_49977	UGT2A3	60
NAMPT_27117	NAMPT	233
ARPIN_69917	ARPIN	1892
ZFAND2B_59855	ZFAND2B	408
MOB3B_50038	MOB3B	299
GDNF-AS1_76235	GDNF-AS1	347
MED12L_57848	MED12L	543
PARP9_52353	PARP9	467
PLA2G4F_66573	PLA2G4F	332
TM4SF5_23643	TM4SF5	415
VAMP3_24538	VAMP3	515
RWDD2B_26904	RWDD2B	1048
EIF4EBP2_5454	EIF4EBP2	703
HIF1A_8339	HIF1A	382
DNAJC19_59915	DNAJC19	511
PPAPDC2_72635	PPAPDC2	606
SHC4_72115	SHC4	316
HNRNPM_12182	HNRNPM	1376
OR1G1_21811	OR1G1	39
SLC35G2_51247	SLC35G2	649
Non-Targeting Control_77181	Non-Targeting Control	1907
IL15RA_9527	IL15RA	192
14-Sep_69735	14-Sep	377
COCH_4732	COCH	561
MKLN1_11517	MKLN1	377
FBXO45_64799	FBXO45	806
P4HA1_13215	P4HA1	654
ANKRD62_69422	ANKRD62	427
PRRT1_51451	PRRT1	166
ZRANB2_24739	ZRANB2	459
ST7_21146	ST7	632
THAP9_49756	THAP9	341
ATP1B2_1355	ATP1B2	717
RILPL2_64393	RILPL2	195
DIAPH3_51829	DIAPH3	322
SOSTDC1_34111	SOSTDC1	303
UBE2D3_19846	UBE2D3	40
SERPINA1_13887	SERPINA1	618
RPL39L_57817	RPL39L	254
DNM1L_26869	DNM1L	117
CDH20_36172	CDH20	239
SH3RF1_46073	SH3RF1	404
EDN1_5278	EDN1	646
SMARCE1_17778	SMARCE1	532
ZNF582_61912	ZNF582	272
GRHL2_50510	GRHL2	605
TMEM241_54735	TMEM241	340
C12orf50_63337	C12orf50	997
TTC34_75651	TTC34	375
UHRF2_57494	UHRF2	512
PNRC1_29672	PNRC1	869
HDDC3_70316	HDDC3	532
KIAA0141_26049	KIAA0141	923
HHLA3_30269	HHLA3	625
REL_15983	REL	444
TEX40_33925	TEX40	548
KIFC1_10255	KIFC1	398
TECPR2_26337	TECPR2	502
GK5_66756	GK5	518
FAM221A_69139	FAM221A	207
MYO9A_12126	MYO9A	149
APOC1_964	APOC1	998
SLC40A1_37057	SLC40A1	313
SYNGR3_24007	SYNGR3	313
ATXN2L_30664	ATXN2L	336
SRMS_18196	SRMS	628
DCBLD1_68277	DCBLD1	747
GFOD1_39923	GFOD1	836
PRDM9_44756	PRDM9	237
ATG5_24948	ATG5	513
WNT10A_51140	WNT10A	46
LEMD3_33257	LEMD3	161
SIPA1L2_45869	SIPA1L2	109
CDK5RAP2_43264	CDK5RAP2	313
GPR63_51601	GPR63	324
CAT_2383	CAT	520
UNC80_68045	UNC80	39
H2AFY_25204	H2AFY	118
UXS1_50786	UXS1	827
MBNL1_11185	MBNL1	200
SLC39A6_33746	SLC39A6	457
ZNF620_66326	ZNF620	120
DLG3_4812	DLG3	515
C1QTNF2_57331	C1QTNF2	1402
CCNE1_2500	CCNE1	851
TREX1_30681	TREX1	424
RHOF_40107	RHOF	167
PTGES3_29002	PTGES3	235
BIRC6_45474	BIRC6	119
FIGNL2_72513	FIGNL2	535
TCEA2_18795	TCEA2	92
PPARG_14498	PPARG	119
TBC1D2_42444	TBC1D2	238
CRLF2_47393	CRLF2	166
PXDC1_65874	PXDC1	644
PROK2_46994	PROK2	249
NRXN2_24666	NRXN2	340
NR1D2_26617	NR1D2	256
Non-Targeting Control_77383	Non-Targeting Control	958
PTRF_67658	PTRF	709
RNF151_61562	RNF151	246
KCNJ15_10074	KCNJ15	183
MAMLD1_26818	MAMLD1	733
ZNF146_20709	ZNF146	1403
TRIP12_24474	TRIP12	622
ADAMTS5_30105	ADAMTS5	229
SEPN1_45254	SEPN1	343
NMU_29387	NMU	587
OR2A2_73261	OR2A2	429
TRIM47_55733	TRIM47	560
HIRA_19753	HIRA	180
HSD17B10_8146	HSD17B10	104
IST1_26016	IST1	82
AHCY_539	AHCY	42
DLL1_36189	DLL1	306
FMOD_6507	FMOD	788
FAM166A_72489	FAM166A	309
NME3_12667	NME3	14
COL5A3_37228	COL5A3	287
KNCN_62095	KNCN	131
ERRFI1_39817	ERRFI1	719
MSRA_11785	MSRA	126
GYS1_8049	GYS1	109
CDR1_2964	CDR1	230
KIAA1147_45250	KIAA1147	450
BCL11A_39523	BCL11A	404
LRRC30_68899	LRRC30	328
ARHGAP33_57538	ARHGAP33	284
STK32C_67170	STK32C	1173
CD300LF_61642	CD300LF	185
SMO_17789	SMO	99
BAG5_25116	BAG5	1003
AFG3L2_29601	AFG3L2	343
DHH_37403	DHH	348
CDK5RAP3_51047	CDK5RAP3	404
FAM126B_68041	FAM126B	635
USP17L8_72007	USP17L8	335
NAT8B_38829	NAT8B	77
CYSLTR2_44991	CYSLTR2	608
ARL3_1169	ARL3	609
CRTAC1_41626	CRTAC1	423
NKX6-2_53700	NKX6-2	756
CLIP2_20231	CLIP2	287
PAPPA2_46995	PAPPA2	244
CYP2B6_4361	CYP2B6	427
RBKS_47314	RBKS	76
ASCL5_74188	ASCL5	778
CNTN2_18729	CNTN2	325
CYP4F22_59158	CYP4F22	284
SPARC_18045	SPARC	275
KDM5D_21502	KDM5D	893
KCNA1_9943	KCNA1	266
NKIRAS1_36179	NKIRAS1	371
TRPC1_19598	TRPC1	343
STMND1_72385	STMND1	402
PPP6R2_25665	PPP6R2	489
MVB12A_56495	MVB12A	861
KIR3DL3_57525	KIR3DL3	447
NME1_12659	NME1	192
PRKG2_14877	PRKG2	142
PARP16_41124	PARP16	1067
SGCZ_60511	SGCZ	706
XAF1_40470	XAF1	372
NUDT5_30334	NUDT5	322
OR2G2_51583	OR2G2	506
FOXK1_65922	FOXK1	199
ANKRD63_75365	ANKRD63	393
NGB_46492	NGB	947
PIR_22269	PIR	823
FMO2_6492	FMO2	230
LY6G6F_66937	LY6G6F	611
TPH2_58363	TPH2	960
CUL7_26081	CUL7	188
PTPN7_15433	PTPN7	515
SHANK2_31300	SHANK2	331
C17orf97_72215	C17orf97	1306
TMEM158_34053	TMEM158	444
IRGM_69694	IRGM	246
SCN3A_16891	SCN3A	877
MAP3K10_11534	MAP3K10	354
HAPLN3_61494	HAPLN3	1426
KAAG1_70122	KAAG1	625
OR5B2_71684	OR5B2	178
IAH1_68038	IAH1	272
PAPPA_13308	PAPPA	113
TRMT10C_41035	TRMT10C	202
SENP7_45367	SENP7	371
SLC1A1_17427	SLC1A1	114
TUBGCP4_35805	TUBGCP4	131
KRT76_38578	KRT76	199
MPP6_39290	MPP6	633
MEF2BNB_75022	MEF2BNB	600
TOR1AIP1_34547	TOR1AIP1	650
SLC12A5_45540	SLC12A5	768
FAM63B_40354	FAM63B	465
ADH1B_339	ADH1B	290
TRIM68_41651	TRIM68	857
TPI1_19489	TPI1	117
SH2D5_72261	SH2D5	424
IRAK4_37928	IRAK4	283
SMCO1_66665	SMCO1	457
NIPAL2_50028	NIPAL2	813
DDR1_2167	DDR1	719
POLD3_28957	POLD3	309
CLEC1A_38299	CLEC1A	655
TWF2_30833	TWF2	574
FAM118B_49375	FAM118B	235
GOLM1_38341	GOLM1	496
RGS12_16113	RGS12	509
CHSY3_68604	CHSY3	248
SLC35A1_28487	SLC35A1	380
KLF14_60417	KLF14	1713
IL17RA_33543	IL17RA	419
DUSP10_30507	DUSP10	302
MATN2_11158	MATN2	847
COL11A2_3640	COL11A2	480
FLT3_6476	FLT3	795
FAM60A_46655	FAM60A	139
RABL3_68093	RABL3	536
RFX8_75077	RFX8	332
FBXL17_48135	FBXL17	812
TSPAN16_35133	TSPAN16	343
SLC30A5_48256	SLC30A5	112
CETN3_3058	CETN3	454
AGTR1_520	AGTR1	125
C1QL1_29422	C1QL1	300
TRIM51_54163	TRIM51	339
PSD2_53217	PSD2	227
FAM19A1_72706	FAM19A1	962
BICC1_50713	BICC1	436
ZDHHC1_36638	ZDHHC1	237
MVP_26576	MVP	445
MAMSTR_67788	MAMSTR	693
SLC25A27_24969	SLC25A27	993
TMA16_42304	TMA16	208
TMEM88B_73881	TMEM88B	115
SYNJ2_23251	SYNJ2	339
PGK1_13811	PGK1	16
ZNF638_36039	ZNF638	92
GKN2_64724	GKN2	243
ZNF324B_71089	ZNF324B	433
LLGL2_10692	LLGL2	100
PRAMEF2_48440	PRAMEF2	299
MYH7_12044	MYH7	166
PRR20D_74865	PRR20D	330
ACTL10_64164	ACTL10	661
CAPZA2_2315	CAPZA2	186
TMED6_61600	TMED6	221
VANGL1_51940	VANGL1	502
TMC7_50323	TMC7	403
SCGB1D4_72680	SCGB1D4	392
LCE3D_53927	LCE3D	71
USP50_70235	USP50	180
FHOD3_50904	FHOD3	268
ZNF503_54285	ZNF503	218
ZNHIT6_40401	ZNHIT6	82
DLX3_4830	DLX3	298
TEX26_58445	TEX26	228
C19orf68_70391	C19orf68	881
SLC35A3_32830	SLC35A3	767
C10orf53_67157	C10orf53	304
LPL_10765	LPL	179
ZMAT2_62790	ZMAT2	787
FLYWCH2_57383	FLYWCH2	438
KIR2DL4_10186	KIR2DL4	1704
PIK3C2B_13957	PIK3C2B	558
PHF6_53383	PHF6	948
SPACA3_58847	SPACA3	175
GPHA2_64177	GPHA2	518
LDOC1L_53207	LDOC1L	1135
CCDC112_62822	CCDC112	123
PODN_59358	PODN	469
NPHP4_67054	NPHP4	487
ARVCF_1229	ARVCF	143
C19orf81_69454	C19orf81	625
PNPLA4_21447	PNPLA4	446
KMT2C_46629	KMT2C	917
ATG4A_57429	ATG4A	500
LRP4_10800	LRP4	110
ZBTB39_26286	ZBTB39	164
KRTAP25-1_75409	KRTAP25-1	237
BOLA2_73550	BOLA2	483
MAGOH_11059	MAGOH	669
PHLPP1_32188	PHLPP1	522
TMED2_29676	TMED2	566
RSRC1_38493	RSRC1	457
ZNF823_42643	ZNF823	816
PLEKHA2_46778	PLEKHA2	652
DNAH12_64918	DNAH12	481
IMPA2_9566	IMPA2	234
TEAD2_22015	TEAD2	564
1-Sep_4773	1-Sep	92
2-Mar_38268	2-Mar	340
PGLYRP2_57164	PGLYRP2	374
POC1A_33989	POC1A	150
GSG1L_61580	GSG1L	202
C2orf49_48864	C2orf49	179
CDC42BPA_22042	CDC42BPA	549
CDH9_2861	CDH9	494
DAAM1_31433	DAAM1	471
C1orf56_41157	C1orf56	153
UNC13B_28295	UNC13B	315
SLC10A5_69774	SLC10A5	638
CYP3A43_48121	CYP3A43	288
CYFIP1_32020	CYFIP1	295
TRIM10_27031	TRIM10	379
BSX_71726	BSX	408
FNDC9_72725	FNDC9	836
WSCD2_25559	WSCD2	1416
FUT5_6659	FUT5	140
SRP14_18201	SRP14	139
AGBL3_69151	AGBL3	547
KRT73_68565	KRT73	554
ARHGEF6_24898	ARHGEF6	189
CABYR_34854	CABYR	272
C14orf2_25205	C14orf2	455
THUMPD2_51296	THUMPD2	820
NIPAL4_69987	NIPAL4	383
SARAF_39278	SARAF	182
PPARA_14491	PPARA	539
AP2M1_3319	AP2M1	493
CLDN25_73945	CLDN25	140
BBC3_35602	BBC3	471
CDRT15_61668	CDRT15	860
SCG2_21009	SCG2	132
IRGQ_59099	IRGQ	369
TPPP2_58504	TPPP2	512
SUMO2_17810	SUMO2	595
SIDT2_37769	SIDT2	405
MS4A6E_66105	MS4A6E	56
GDPGP1_71826	GDPGP1	338
FAM98A_34150	FAM98A	172
XAGE5_64196	XAGE5	475
BEND4_71331	BEND4	704
ZNF501_57510	ZNF501	98
ILDR2_70781	ILDR2	387
PLEKHM1_26155	PLEKHM1	151
LRRC4B_56648	LRRC4B	254
DCAF12L1_60667	DCAF12L1	1518
TPCN2_65441	TPCN2	450
ADIPOQ_24630	ADIPOQ	172
AACS_48544	AACS	468
FAM3D_59921	FAM3D	206
Non-Targeting Control_76891	Non-Targeting Control	1467
MARK4_46385	MARK4	729
CPA4_38117	CPA4	971
ANKFN1_63498	ANKFN1	333
FBXO27_59166	FBXO27	844
GRIP2_51437	GRIP2	422
NEURL1_24026	NEURL1	525
MRPL12_16469	MRPL12	128
CDC42BPG_42667	CDC42BPG	809
MEN1_11363	MEN1	300
OSCAR_59011	OSCAR	158
EGFL8_51458	EGFL8	308
RND3_1117	RND3	475
NUDT19_71874	NUDT19	425
MAOA_11095	MAOA	304
ITGB7_9825	ITGB7	377
ROPN1_40520	ROPN1	206
CCNYL1_62459	CCNYL1	634
PP2D1_62544	PP2D1	390
SEMA3F_17140	SEMA3F	452
ARID4B_39413	ARID4B	371
KRTAP3-1_52648	KRTAP3-1	777
PCBD2_52916	PCBD2	673
ADAMTS7_30369	ADAMTS7	173
FOXG1_6369	FOXG1	458
RPRD2_32225	RPRD2	371
TAPT1_64968	TAPT1	794
PIWIL4_61225	PIWIL4	153
SIL1_47668	SIL1	141
TTBK2_61518	TTBK2	165
TRMT61A_57547	TRMT61A	602
ACSL4_6051	ACSL4	1141
RBM24_65854	RBM24	168
NPTXR_32881	NPTXR	503
ARMT1_49421	ARMT1	356
SPRN_73470	SPRN	2027
PYHIN1_62206	PYHIN1	209
DPH5_39142	DPH5	333
ZNF260_68910	ZNF260	484
BCL6_1655	BCL6	332
FOXI3_69595	FOXI3	435
PDZD2_31542	PDZD2	601
HSD11B2_8882	HSD11B2	1346
CT45A10_76402	CT45A10	1584
ZFPM1_63478	ZFPM1	184
ACTRT1_60751	ACTRT1	151
ZNF860_69630	ZNF860	1973
C9orf139_72486	C9orf139	663
HNRNPH3_8607	HNRNPH3	404
DCDC2_38833	DCDC2	1226
DOCK2_4963	DOCK2	541
EIF3L_38670	EIF3L	159
FRS3_29266	FRS3	78
INSIG2_37940	INSIG2	206
NBPF12_62106	NBPF12	179
LAD1_10439	LAD1	379
SPATA12_70150	SPATA12	497
PIAS2_23741	PIAS2	380
CACNA1B_2144	CACNA1B	182
DBX1_58243	DBX1	1056
SPANXD_47872	SPANXD	426
NEUROG2_47238	NEUROG2	361
IPO5_10294	IPO5	166
ATN1_5062	ATN1	208
IDO1_9587	IDO1	1294
DKK3_35617	DKK3	394
WFDC10B_67119	WFDC10B	346
EPHB6_5686	EPHB6	963
TSPAN3_27001	TSPAN3	346
BDH1_1688	BDH1	546
IFFO1_34030	IFFO1	637
HNRNPH2_8602	HNRNPH2	687
TMEM69_38240	TMEM69	681
GNPTG_53825	GNPTG	553
HEBP2_33260	HEBP2	328
TMPRSS11A_69064	TMPRSS11A	91
RNF146_51953	RNF146	839
BRAF_1866	BRAF	312
BEST1_20178	BEST1	184
PTGIS_15356	PTGIS	567
YPEL1_36633	YPEL1	90
FOXB2_73268	FOXB2	187
BBS9_35848	BBS9	216
PLCG1_14132	PLCG1	771
SYTL2_40739	SYTL2	169
DMRT2_28818	DMRT2	231
BZW1_25623	BZW1	114
SLC35E2_26383	SLC35E2	281
BEST2_40704	BEST2	203
PLEKHA4_46166	PLEKHA4	127
PWWP2A_57277	PWWP2A	661
METTL18_56216	METTL18	270
ZNF843_67544	ZNF843	810
PNPLA3_51171	PNPLA3	608
PATE2_72163	PATE2	855
IFNA13_9236	IFNA13	168
KIAA1024L_75139	KIAA1024L	301
BEND5_49533	BEND5	597
TPK1_35398	TPK1	411
EIF1_27361	EIF1	41
ALDH2_605	ALDH2	467
ACTL9_67813	ACTL9	275
GNG8_56739	GNG8	607
COL13A1_3646	COL13A1	219
TADA3_28205	TADA3	496
CDKL1_23065	CDKL1	479
CDK4_2908	CDK4	475
FERMT3_52402	FERMT3	137
UMOD_19979	UMOD	1167
NAPSA_24953	NAPSA	1563
SIGLEC11_57103	SIGLEC11	566
HCN4_26763	HCN4	823
C1QTNF3_57333	C1QTNF3	172
PSAP_15086	PSAP	223
YPEL1_36632	YPEL1	146
RPUSD2_35526	RPUSD2	191
ATG9B_68326	ATG9B	357
IGF1_9290	IGF1	134
SHARPIN_51987	SHARPIN	1062
GDF11_27408	GDF11	456
AGPAT3_44490	AGPAT3	572
SLCO3A1_36165	SLCO3A1	567
KRT85_10422	KRT85	142
FLJ44635_72049	FLJ44635	677
HOXD13_8782	HOXD13	497
COMMD9_36467	COMMD9	301
TMEM79_53340	TMEM79	501
RAB1B_52012	RAB1B	826
DOCK4_25777	DOCK4	1036
SLC7A7_23721	SLC7A7	512
PAK4_27684	PAK4	273
RTP5_68028	RTP5	185
HNF1A_18822	HNF1A	1528
RNF220_41839	RNF220	653
INTS10_41807	INTS10	77
CYSLTR2_44992	CYSLTR2	1086
PLD4_58492	PLD4	20
CPOX_3816	CPOX	712
C5orf22_42318	C5orf22	665
PIWIL4_61226	PIWIL4	280
NR1H2_20004	NR1H2	1664
RNF170_51904	RNF170	1086
PRDM11_44764	PRDM11	94
CST9_59609	CST9	928
FRMD4B_31882	FRMD4B	125
GABRD_6776	GABRD	384
OR51I2_71576	OR51I2	207
Non-Targeting Control_76734	Non-Targeting Control	2393
PDE4C_13524	PDE4C	310
PDE6D_13540	PDE6D	644
SMUG1_33226	SMUG1	232
TGFBR2_19110	TGFBR2	462
SGPL1_23277	SGPL1	680
SPAST_18050	SPAST	340
SNX27_51775	SNX27	280
OR10H2_35162	OR10H2	453
LMO7_10727	LMO7	442
LHB_10623	LHB	554
FNDC7_63686	FNDC7	244
TTC21B_50004	TTC21B	460
CCDC53_37554	CCDC53	537
OR5L2_34998	OR5L2	2223
XAGE2_25029	XAGE2	342
ZHX1-C8orf76_76154	ZHX1-C8orf76	1341
ITGA10_22163	ITGA10	483
GNAT3_69754	GNAT3	348
CCKAR_2466	CCKAR	866
KIAA1683_51260	KIAA1683	264
EDC4_33400	EDC4	290
CTAG1A_66196	CTAG1A	349
HKR1_67888	HKR1	18
USP9Y_21507	USP9Y	763
TBX2_18768	TBX2	385
CDRT4_67603	CDRT4	231
CTDSPL2_38876	CTDSPL2	154
LHFPL2_27277	LHFPL2	702
TMED10_29720	TMED10	368
ALDH1B1_613	ALDH1B1	299
WFDC8_55346	WFDC8	489
TTC32_59816	TTC32	166
SOX12_18006	SOX12	857
TSEN54_67570	TSEN54	64
CCDC74A_55532	CCDC74A	674
DPYD_5007	DPYD	374
Non-Targeting Control_76818	Non-Targeting Control	954
PTBP3_26668	PTBP3	435
CARD11_53579	CARD11	848
ZNF324_33739	ZNF324	1058
PIGO_54103	PIGO	383
PPP1R3C_14588	PPP1R3C	237
SRP68_18215	SRP68	38
STYK1_42448	STYK1	265
TNFRSF4_19765	TNFRSF4	1700
ZNF676_63661	ZNF676	454
EZH1_5930	EZH1	729
PPIP5K2_32267	PPIP5K2	326
ENKD1_52879	ENKD1	362
UBQLNL_61206	UBQLNL	390
FAM175B_31956	FAM175B	1081
TAS2R46_66999	TAS2R46	361
HOOK2_36763	HOOK2	549
C1orf204_67960	C1orf204	350
SULT6B1_71987	SULT6B1	850
TMEM230_36359	TMEM230	29
GBGT1_34983	GBGT1	453
FAM229A_75150	FAM229A	647
BAZ1B_23640	BAZ1B	168
IL1A_9373	IL1A	417
TAL2_18690	TAL2	440
SPOP_21849	SPOP	211
FAT3_58225	FAT3	456
MRPL44_48398	MRPL44	255
MRAP_44143	MRAP	542
NBR1_10933	NBR1	527
KCNK18_68748	KCNK18	479
GRIFIN_72575	GRIFIN	317
CAMKV_48710	CAMKV	555
E2F1_5204	E2F1	403
PM20D1_62079	PM20D1	107
KRTAP19-5_68659	KRTAP19-5	229
LYVE1_29460	LYVE1	267
ZNF613_50303	ZNF613	110
PLEKHM3_71253	PLEKHM3	599
P2RY10_36047	P2RY10	175
STAT2_18346	STAT2	498
LRP8_20938	LRP8	296
