sgRNA	Gene	E8_T0
PHYH_13882	PHYH	1151
HTN1_9008	HTN1	3154
KLF1_28839	KLF1	1652
DAPK1_4515	DAPK1	738
GABPB2_59190	GABPB2	376
SLC34A2_28524	SLC34A2	94
VN1R1_45255	VN1R1	1320
S100A16_60840	S100A16	243
ZNF74_20593	ZNF74	2427
Non-Targeting Control_77307	Non-Targeting Control	3873
DMRTA1_47219	DMRTA1	1052
HOXD8_8761	HOXD8	381
ADD3_327	ADD3	336
TAS2R46_67000	TAS2R46	1554
SHMT2_17321	SHMT2	671
C2orf91_72310	C2orf91	919
LHFPL3_70527	LHFPL3	669
Non-Targeting Control_76540	Non-Targeting Control	3822
KRTAP27-1_73843	KRTAP27-1	768
RAET1E_60341	RAET1E	1203
GNG3_7359	GNG3	1280
PPP3CA_14661	PPP3CA	1345
Non-Targeting Control_77210	Non-Targeting Control	3917
SLC27A6_36235	SLC27A6	651
RAB6B_39032	RAB6B	430
ARHGEF18_32607	ARHGEF18	555
C2orf91_72309	C2orf91	484
SLC9A2_17589	SLC9A2	273
PCDHGA7_43921	PCDHGA7	85
HDAC8_43626	HDAC8	1284
OR5B3_73178	OR5B3	1101
NAP1L5_67085	NAP1L5	943
LLGL2_10692	LLGL2	295
PTGDR_15318	PTGDR	1919
Non-Targeting Control_76997	Non-Targeting Control	3846
CRNN_37185	CRNN	1367
DTYMK_5133	DTYMK	652
NEK11_50169	NEK11	746
PPP1R1B_53006	PPP1R1B	2503
KCNS1_10132	KCNS1	282
MAS1_11138	MAS1	976
DEFB129_61052	DEFB129	493
TSHZ3_46034	TSHZ3	1185
JAKMIP1_62707	JAKMIP1	2442
PILRA_36995	PILRA	949
AP4B1_28969	AP4B1	910
DGKI_24061	DGKI	1186
AZIN2_57006	AZIN2	963
SSR4_18270	SSR4	1082
OR4K2_71776	OR4K2	1168
RNF217_62881	RNF217	1489
ZNF433_63624	ZNF433	570
CXXC1_37106	CXXC1	562
GLRX2_37563	GLRX2	1845
Non-Targeting Control_76763	Non-Targeting Control	4918
Non-Targeting Control_76966	Non-Targeting Control	2859
Non-Targeting Control_77249	Non-Targeting Control	2721
GPR78_35797	GPR78	250
ACSS1_53764	ACSS1	433
DOCK7_54923	DOCK7	378
CABP1_24957	CABP1	205
DTNA_5117	DTNA	1790
ENOX1_41470	ENOX1	861
UBR7_41719	UBR7	1444
CALHM1_66541	CALHM1	2999
MAGEB6_63229	MAGEB6	175
PAPOLG_48223	PAPOLG	1188
PDE9A_13557	PDE9A	1528
PLCL1_14127	PLCL1	563
PLEC_14148	PLEC	542
RNF31_41483	RNF31	1385
ZKSCAN3_51107	ZKSCAN3	963
XKRY_23802	XKRY	1404
FAM19A4_62538	FAM19A4	1222
C8orf46_66500	C8orf46	444
CNOT11_42686	CNOT11	550
MAGEB18_68472	MAGEB18	2797
UTS2B_66904	UTS2B	1509
FSD2_58644	FSD2	43
FAM214A_44121	FAM214A	808
ZNF331_42496	ZNF331	386
USP6NL_25707	USP6NL	379
KRTAP9-6_75987	KRTAP9-6	3096
RAB6A_15671	RAB6A	1337
Non-Targeting Control_76635	Non-Targeting Control	3370
SLC13A2_23732	SLC13A2	869
TIMM17A_28090	TIMM17A	755
EMX1_5563	EMX1	341
C17orf70_50983	C17orf70	370
ANKHD1_40880	ANKHD1	1316
Non-Targeting Control_76568	Non-Targeting Control	5043
Non-Targeting Control_76657	Non-Targeting Control	6685
STOM_5644	STOM	1965
HCCS_8225	HCCS	4173
DHDH_35955	DHDH	242
GJB7_70505	GJB7	557
DCUN1D3_58671	DCUN1D3	445
ANKRD12_32241	ANKRD12	319
PHLPP2_31534	PHLPP2	1806
PCOLCE_13443	PCOLCE	2009
SELENBP1_23543	SELENBP1	1087
RHOBTB3_30949	RHOBTB3	944
MAGEA10-MAGEA5_76187	MAGEA10-MAGEA5	727
OR5M1_71671	OR5M1	514
CCR8_3465	CCR8	1270
USP17L19_75626	USP17L19	1875
TMEM74_63051	TMEM74	1363
SPANXN1_73417	SPANXN1	2930
CXCL14_25177	CXCL14	53
ISM2_61438	ISM2	1349
C19orf84_61793	C19orf84	100
CCR8_3468	CCR8	2139
