sgRNA	Gene	E8_T0
SOAT2_21919	SOAT2	652
KDELC1_48849	KDELC1	523
DDX31_48085	DDX31	612
IRS4_22035	IRS4	895
DIABLO_44295	DIABLO	1857
SOX17_47623	SOX17	771
KRT86_10426	KRT86	1475
SLC16A2_17652	SLC16A2	1216
CTLA4_4197	CTLA4	559
PITPNM1_25325	PITPNM1	454
PIAS2_23741	PIAS2	874
C6orf118_63985	C6orf118	874
ACSM1_57718	ACSM1	329
KRTAP4-2_54772	KRTAP4-2	902
OR5L1_65250	OR5L1	241
FILIP1_35676	FILIP1	327
ZNF519_63554	ZNF519	79
MAGEE1_46238	MAGEE1	374
TRAF1_19554	TRAF1	211
OR2A4_49263	OR2A4	282
BLK_1737	BLK	1235
RUNX3_2415	RUNX3	987
CAMK2A_2255	CAMK2A	362
CYP2C8_4370	CYP2C8	396
LOC388780_71191	LOC388780	341
C5orf15_44688	C5orf15	774
GGH_23147	GGH	1414
C9orf72_65065	C9orf72	394
SIGLEC15_67707	SIGLEC15	701
SLC30A6_43002	SLC30A6	723
NR0B2_21905	NR0B2	380
FYTTD1_53213	FYTTD1	1661
PRSS23_30113	PRSS23	298
DEFB123_66166	DEFB123	1719
DNAJC6_26115	DNAJC6	574
ANHX_74204	ANHX	463
TMEM161B_62778	TMEM161B	1158
KCNIP1_37100	KCNIP1	527
ITGB7_9828	ITGB7	1130
Non-Targeting Control_77194	Non-Targeting Control	2691
IQCJ_74452	IQCJ	449
RUFY1_50972	RUFY1	685
GAS2_6896	GAS2	945
CCT6B_28933	CCT6B	662
PHF1_13854	PHF1	861
KIAA1614_46299	KIAA1614	789
PPP2R5A_14643	PPP2R5A	1285
IFNW1_9280	IFNW1	469
SPDYC_70855	SPDYC	43
SGCB_17244	SGCB	527
NPHP3_35431	NPHP3	956
COL13A1_3648	COL13A1	957
PHKG1_13873	PHKG1	169
MTMR4_23887	MTMR4	163
AMACR_33283	AMACR	410
DUSP4_5155	DUSP4	367
PLCG2_14136	PLCG2	451
HMGCLL1_40117	HMGCLL1	541
REEP1_48365	REEP1	1835
CD3EAP_29322	CD3EAP	442
CBWD6_73886	CBWD6	937
TMEM200C_74000	TMEM200C	1249
GDPD5_51648	GDPD5	332
CABLES2_52045	CABLES2	451
GP5_7454	GP5	825
MCMDC2_63062	MCMDC2	175
CCDC138_63807	CCDC138	649
ARF1_1075	ARF1	636
COA5_73381	COA5	462
CHRNA6_23505	CHRNA6	533
IRF6_9718	IRF6	169
DCTN4_38011	DCTN4	365
PGA4_73857	PGA4	525
CLSTN1_31110	CLSTN1	523
HTR1F_9029	HTR1F	402
PACRGL_60126	PACRGL	665
C3orf79_62625	C3orf79	1028
CENPQ_41779	CENPQ	1022
ALG8_48811	ALG8	406
BTBD1_39532	BTBD1	577
SUB1_29562	SUB1	405
SYNJ2_23252	SYNJ2	458
SUPV3L1_18506	SUPV3L1	471
HORMAD2_62299	HORMAD2	497
HERPUD2_47566	HERPUD2	690
ODF2_13007	ODF2	295
RBP1_15934	RBP1	240
GPX3_7671	GPX3	244
ZNF326_67965	ZNF326	769
BCL3_1649	BCL3	560
PAQR7_63746	PAQR7	724
AIM1L_41440	AIM1L	559
SLC9A1_17585	SLC9A1	1192
ZNF844_67827	ZNF844	1683
DDX20_30499	DDX20	973
ACOT13_43587	ACOT13	438
RB1CC1_26087	RB1CC1	599
KIF15_44791	KIF15	527
GTSE1_38911	GTSE1	795
FAM122C_63270	FAM122C	879
FKRP_49005	FKRP	423
MAP3K9_11530	MAP3K9	202
ICAM2_9097	ICAM2	430
CHRNB2_3246	CHRNB2	276
ALOX12B_674	ALOX12B	616
C19orf26_66556	C19orf26	692
CCDC89_65610	CCDC89	356
ACKR3_44838	ACKR3	1224
DUT_5180	DUT	608
CCL19_17015	CCL19	219
CXCL17_67759	CXCL17	944
ATP2B3_1387	ATP2B3	1347
SSR3_18266	SSR3	636
ETV2_5850	ETV2	259
Non-Targeting Control_76847	Non-Targeting Control	1433
ZMIZ1_45208	ZMIZ1	2245
HSPA1L_8929	HSPA1L	538
RTFDC1_38906	RTFDC1	57
CCDC42B_70888	CCDC42B	324
ZNF599_61945	ZNF599	1490
CLMP_50063	CLMP	895
SHE_59208	SHE	204
CST3_4130	CST3	2333
C20orf144_59632	C20orf144	886
CARD17_72859	CARD17	587
MRPL3_30514	MRPL3	505
ADM2_50371	ADM2	1261
TMED8_67423	TMED8	395
CTSW_4277	CTSW	375
APLN_23226	APLN	1173
Non-Targeting Control_77133	Non-Targeting Control	3014
TANC2_34591	TANC2	913
TRAPPC1_46548	TRAPPC1	428
TMEM144_42289	TMEM144	1099
MARCKS_10942	MARCKS	584
ENKD1_52880	ENKD1	1057
TMC1_57974	TMC1	416
PSD4_33136	PSD4	944
ADAT2_60294	ADAT2	978
IRG1_75062	IRG1	652
FBXO11_50898	FBXO11	1293
PRPF6_33632	PRPF6	291
ARHGAP32_25818	ARHGAP32	567
ARHGAP8_33569	ARHGAP8	624
OR5L2_34998	OR5L2	2953
IKZF5_47678	IKZF5	621
ADSSL1_58494	ADSSL1	477
IRF2BP2_70201	IRF2BP2	549
CLEC2A_70866	CLEC2A	217
SLMAP_21031	SLMAP	446
PNOC_14250	PNOC	1232
CDKN1C_2935	CDKN1C	958
ZNF697_55672	ZNF697	692
C2orf72_66913	C2orf72	157
NAPSA_24954	NAPSA	506
CHSY3_68601	CHSY3	587
ARG2_1104	ARG2	109
SMARCD1_17767	SMARCD1	426
MADD_22348	MADD	900
SPATA5L1_48758	SPATA5L1	251
LHX9_44708	LHX9	1264
ZNF250_46610	ZNF250	227
ZNF768_49751	ZNF768	419
MRPL39_39796	MRPL39	411
TRHDE_36891	TRHDE	1479
SRY_18233	SRY	650
GOLPH3_47321	GOLPH3	524
UXT_21868	UXT	1195
DDI2_53404	DDI2	946
CTTNBP2_52758	CTTNBP2	1038
ZNF777_35699	ZNF777	1028
TMEM213_62949	TMEM213	194
C17orf50_61687	C17orf50	688
VSIG4_30768	VSIG4	346
ZNF776_67736	ZNF776	1957
CAPRIN1_10932	CAPRIN1	531
C11orf21_36562	C11orf21	695
CNTD2_50407	CNTD2	669
CSF2RB_4026	CSF2RB	589
COLCA1_72154	COLCA1	390
C8orf86_71434	C8orf86	353
KLHL24_40600	KLHL24	704
GALNT13_57251	GALNT13	699
FAM50B_34820	FAM50B	1752
MBL2_11183	MBL2	958
EHF_34980	EHF	226
HELB_56350	HELB	215
HTN3_9009	HTN3	553
BBS4_1607	BBS4	359
LAS1L_52016	LAS1L	942
SLC39A11_64869	SLC39A11	1305
EIF1AD_53347	EIF1AD	172
CCR1_3441	CCR1	861
IGFBPL1_69794	IGFBPL1	246
BCL2L14_49202	BCL2L14	203
AGL_501	AGL	732
SNTG1_39834	SNTG1	1115
APEX1_914	APEX1	654
FGD1_6231	FGD1	1123
GSDMA_67647	GSDMA	1022
PLB1_62433	PLB1	288
ZNF275_29284	ZNF275	1137
SEC14L2_33100	SEC14L2	807
ZNF583_61915	ZNF583	2628
IMPACT_42463	IMPACT	1177
SERPINB9_13914	SERPINB9	421
UMAD1_74990	UMAD1	443
ADRBK2_440	ADRBK2	290
METTL1_11392	METTL1	331
PSMB9_15205	PSMB9	905
RAB26_33866	RAB26	1269
RAD17_15724	RAD17	1326
CST3_4129	CST3	247
APLP2_940	APLP2	283
ZNF131_20658	ZNF131	111
PRICKLE3_10724	PRICKLE3	1507
TECPR1_33904	TECPR1	738
RAB3C_57581	RAB3C	675
DUPD1_68754	DUPD1	1584
MYF6_12017	MYF6	540
OLIG2_27388	OLIG2	724
PGGT1B_13805	PGGT1B	509
SLC39A10_45220	SLC39A10	465
HOXC4_8716	HOXC4	804
BLK_1738	BLK	183
TRIM59_68498	TRIM59	331
CAV3_2395	CAV3	696
ERI2_56797	ERI2	1207
CAPG_2284	CAPG	1155
SMCO4_44627	SMCO4	172
C2orf88_53332	C2orf88	1100
C1QL4_68803	C1QL4	564
TMEM161B_62779	TMEM161B	1189
HECTD3_49529	HECTD3	357
TMUB2_48911	TMUB2	904
ATG13_25933	ATG13	951
ZP4_46459	ZP4	464
AATK_25397	AATK	523
ADGRG4_60703	ADGRG4	999
PM20D1_62077	PM20D1	1346
SCRN2_55503	SCRN2	188
KRT32_10388	KRT32	195
ZDHHC4_41711	ZDHHC4	702
ARF5_1090	ARF5	187
LRRIQ1_52942	LRRIQ1	1016
DLX2_4826	DLX2	1554
DDX26B_65109	DDX26B	759
ZCCHC5_65104	ZCCHC5	623
CDK5R2_23472	CDK5R2	931
CACNG3_27867	CACNG3	341
C2orf69_65164	C2orf69	766
C16orf52_75043	C16orf52	1171
CORO1B_45202	CORO1B	383
USP17L1_72440	USP17L1	1280
CD58_2722	CD58	75
PLBD2_64424	PLBD2	806
ZBTB6_29127	ZBTB6	233
OR5H14_72607	OR5H14	1169
CFAP221_64707	CFAP221	682
SNX22_50164	SNX22	369
Non-Targeting Control_76889	Non-Targeting Control	2338
CACNA2D2_24318	CACNA2D2	836
IGSF21_54637	IGSF21	202
NAE1_23295	NAE1	676
C17orf58_67596	C17orf58	167
CCDC93_40142	CCDC93	796
UPF3A_48429	UPF3A	402
VDAC2_20120	VDAC2	500
BTN2A2_27910	BTN2A2	1954
ANXA10_30458	ANXA10	545
ADAMTS4_25038	ADAMTS4	191
CXCL10_9615	CXCL10	1774
CSF3R_4035	CSF3R	1453
RGCC_36295	RGCC	343
PEX1_13676	PEX1	326
GPNMB_28143	GPNMB	1266
TBC1D10B_34304	TBC1D10B	224
SCMH1_31331	SCMH1	517
TAF1_18631	TAF1	314
HTR2C_9044	HTR2C	339
NAA40_50071	NAA40	172
PAFAH1B3_13254	PAFAH1B3	660
GFAP_7060	GFAP	308
SMIM4_73039	SMIM4	581
B4GALT7_30712	B4GALT7	36
CCDC30_74740	CCDC30	830
ITGB1BP2_35169	ITGB1BP2	326
RPE65_16295	RPE65	928
ATP1A1_1329	ATP1A1	2003
APCDD1L_63766	APCDD1L	556
C2orf76_59799	C2orf76	1557
OR2A5_72076	OR2A5	614
TSACC_59478	TSACC	1641
SPATA9_52624	SPATA9	1082
CBLL1_50217	CBLL1	262
GDF3_25253	GDF3	377
TMEM217_65805	TMEM217	373
HNRNPF_8594	HNRNPF	649
SCML2_27917	SCML2	2998
CCDC177_44634	CCDC177	684
KIAA0226_25702	KIAA0226	1098
FAM124A_65567	FAM124A	413
DOPEY2_26629	DOPEY2	341
PLCL1_14126	PLCL1	535
RCBTB1_41952	RCBTB1	1716
8-Sep_31972	8-Sep	1285
ZNF322_49650	ZNF322	1009
DIAPH3_51827	DIAPH3	1350
IMPA1_9563	IMPA1	1938
MCF2_11226	MCF2	2371
AQP2_1022	AQP2	529
CLN6_41222	CLN6	296
CTNNB1_4215	CTNNB1	447
ZNF665_49946	ZNF665	627
1-Sep_4775	1-Sep	483
Non-Targeting Control_76663	Non-Targeting Control	2611
TUBB1_51478	TUBB1	1493
RGPD3_74327	RGPD3	801
FAM104A_54491	FAM104A	704
CD300E_69399	CD300E	483
ZNF320_63580	ZNF320	75
VPS51_2041	VPS51	1181
SFTPB_17225	SFTPB	693
BGLAP_1708	BGLAP	531
NDRG3_45466	NDRG3	306
BPIFA2_60879	BPIFA2	986
COL28A1_69130	COL28A1	292
ADIG_62219	ADIG	371
CDIP1_36924	CDIP1	2511
IRGM_69694	IRGM	412
SLC25A42_67875	SLC25A42	372
LGALS3_10597	LGALS3	720
B4GALNT1_6826	B4GALNT1	617
ZMYM6_24174	ZMYM6	526
FAM221A_69139	FAM221A	521
EYA4_5753	EYA4	1056
ABHD12_34539	ABHD12	441
CCDC6_21204	CCDC6	922
PRPF38B_41627	PRPF38B	345
TMEM14B_51971	TMEM14B	629
UBIAD1_36767	UBIAD1	273
SLC22A5_17715	SLC22A5	1052
LARP7_39069	LARP7	911
C9orf116_60557	C9orf116	401
MMP10_11609	MMP10	1010
ZNF622_55480	ZNF622	1522
OR5K1_35001	OR5K1	279
TIMM22_36811	TIMM22	177
LRRC61_48587	LRRC61	392
RBM5_27275	RBM5	1361
ST14_18329	ST14	1941
CIAPIN1_44856	CIAPIN1	496
ENOPH1_46535	ENOPH1	621
PEX11A_23017	PEX11A	1163
GRIA3_7713	GRIA3	507
CALCB_2219	CALCB	1998
OBSCN_52777	OBSCN	318
MAP3K3_11346	MAP3K3	461
NDUFA7_12289	NDUFA7	271
TEX11_44075	TEX11	1447
SLC26A10_48356	SLC26A10	320
FOXC1_6384	FOXC1	1651
TECRL_66270	TECRL	827
BIN2_38714	BIN2	290
TMEM156_50583	TMEM156	219
RAD23A_15729	RAD23A	683
DLD_4799	DLD	717
GPR132_36826	GPR132	321
RAMP3_27575	RAMP3	516
CASP9_2361	CASP9	1094
FAM169B_67496	FAM169B	1069
OR2H2_21100	OR2H2	728
UNC13A_31498	UNC13A	1008
MTFR1L_44112	MTFR1L	558
C8orf34_57724	C8orf34	555
CCL1_16960	CCL1	714
MYL10_56511	MYL10	168
CNIH2_66445	CNIH2	397
SPN_18079	SPN	210
OR51A2_72510	OR51A2	226
LRRC32_6879	LRRC32	727
ZBED4_26320	ZBED4	468
UBAC2_68599	UBAC2	1113
APTX_40728	APTX	429
AP1M2_26845	AP1M2	854
IFRD2_21019	IFRD2	937
ZFHX4_49904	ZFHX4	1057
HRASLS2_41208	HRASLS2	1167
CCDC27_62092	CCDC27	248
BABAM1_36423	BABAM1	183
TMEM14B_51974	TMEM14B	908
CSHL1_4048	CSHL1	1095
ABLIM1_10658	ABLIM1	268
SRCIN1_51258	SRCIN1	572
DLX3_4832	DLX3	885
TM9SF4_25938	TM9SF4	335
SLFN11_55902	SLFN11	192
PSMA4_15155	PSMA4	106
RFX2_16068	RFX2	479
S1PR4_22713	S1PR4	757
SOCS1_22569	SOCS1	1264
NIPAL2_50027	NIPAL2	1013
COPZ2_38176	COPZ2	1618
TMA16_42304	TMA16	988
XPR1_24202	XPR1	300
SAMHD1_34146	SAMHD1	900
PAOX_64461	PAOX	306
AKAP2_30497	AKAP2	616
APELA_75863	APELA	1678
CKM_3295	CKM	310
PPP3CB_14671	PPP3CB	631
PHF11_37913	PHF11	1091
CRLF1_24288	CRLF1	1912
RARG_15837	RARG	156
FCN3_22282	FCN3	192
RGS10_16110	RGS10	1012
ADGRG3_66002	ADGRG3	1083
VCY1B_70181	VCY1B	573
ATP8B2_45270	ATP8B2	1559
KCNA7_9965	KCNA7	813
ID4_9129	ID4	1013
PRY_23799	PRY	403
SOHLH2_41062	SOHLH2	638
SYT3_53246	SYT3	340
INADL_27355	INADL	175
OR4F6_71829	OR4F6	370
ATP2C1_35436	ATP2C1	1219
ZBTB3_50120	ZBTB3	1194
KCTD20_66039	KCTD20	962
H2AFJ_43309	H2AFJ	697
PHKG1_13876	PHKG1	294
HIST1H2AL_21631	HIST1H2AL	148
SIM1_17380	SIM1	409
MIER1_46294	MIER1	223
FOXI1_6396	FOXI1	1524
NHSL2_69191	NHSL2	308
DNAL1_52210	DNAL1	764
MCM4_11244	MCM4	623
PHGDH_34781	PHGDH	156
TCERG1L_66784	TCERG1L	93
CCDC3_52320	CCDC3	148
SH3PXD2B_68205	SH3PXD2B	198
TCP11_18904	TCP11	442
LMO2_10720	LMO2	689
BRI3_33735	BRI3	1366
CCDC39_69032	CCDC39	258
ZNF385A_34167	ZNF385A	743
HTR1D_9022	HTR1D	517
SLC2A2_17461	SLC2A2	888
COMMD6_64187	COMMD6	380
GPR107_46333	GPR107	440
LRRFIP2_24185	LRRFIP2	640
OR4K13_71780	OR4K13	846
ZHX2_31105	ZHX2	535
SEMA6C_28305	SEMA6C	352
HARBI1_67289	HARBI1	600
HIPK3_27054	HIPK3	381
HOXB1_8680	HOXB1	1317
KAT5_28370	KAT5	297
PPM1K_62726	PPM1K	675
DCBLD1_68280	DCBLD1	425
GBP5_57482	GBP5	445
NREP_24460	NREP	2641
ABHD6_45425	ABHD6	880
MYOG_12148	MYOG	1687
OR5AS1_65260	OR5AS1	516
HIVEP1_8355	HIVEP1	521
PVR_15554	PVR	452
FGF23_21247	FGF23	735
MSI2_58765	MSI2	1408
EMC10_67795	EMC10	595
CEP89_54427	CEP89	338
CCL16_17003	CCL16	2933
SIDT1_40748	SIDT1	317
OR2M5_59275	OR2M5	1233
Non-Targeting Control_77196	Non-Targeting Control	2476
CDX4_2990	CDX4	1133
PLA2G4F_66576	PLA2G4F	192
VRTN_42037	VRTN	325
FUCA1_6628	FUCA1	1240
EEF1A2_5310	EEF1A2	934
CYCS_39813	CYCS	1087
PAXIP1_31340	PAXIP1	1253
DUS2_41001	DUS2	455
ZNF652_30940	ZNF652	1478
IRX5_27563	IRX5	326
HECW1_31646	HECW1	539
WWP2_29986	WWP2	505
ATP12A_1341	ATP12A	853
SULF2_43780	SULF2	927
SUPT4H1_18496	SUPT4H1	392
ADAMTS18_64223	ADAMTS18	363
OGDHL_43255	OGDHL	377
SCAMP4_56946	SCAMP4	489
SLC39A5_67336	SLC39A5	102
PTCHD4_73250	PTCHD4	797
OR2AE1_51561	OR2AE1	515
PRR32_75302	PRR32	892
JUNB_9920	JUNB	156
ENKUR_65342	ENKUR	369
SCD5_50483	SCD5	1306
DHRS9_27244	DHRS9	1372
PKP1_14063	PKP1	1089
SAR1B_37900	SAR1B	197
XRCC5_20380	XRCC5	335
CEACAM4_3103	CEACAM4	359
NTRK3_12900	NTRK3	933
DDX28_43400	DDX28	824
CARNS1_45879	CARNS1	793
MOG_11678	MOG	260
CTNS_4211	CTNS	411
PTPRB_15464	PTPRB	691
EED_22803	EED	1065
SERPINA4_13896	SERPINA4	1832
CDK19_31724	CDK19	1302
PDE2A_13504	PDE2A	557
OPA3_50908	OPA3	771
HOXD11_8776	HOXD11	516
MAPRE3_31245	MAPRE3	829
MAMSTR_67785	MAMSTR	463
CNTNAP2_34440	CNTNAP2	1327
ZNF595_62699	ZNF595	62
SOX6_42649	SOX6	332
MRAS_30888	MRAS	364
AGPAT3_44488	AGPAT3	375
BTG3_29643	BTG3	567
MPP5_47704	MPP5	271
ZNF658_34665	ZNF658	286
KCTD5_39935	KCTD5	541
OR1L3_35279	OR1L3	771
IGFBP2_9316	IGFBP2	416
FAM83H_68350	FAM83H	1349
CARF_49980	CARF	683
SLC35G2_51250	SLC35G2	639
ABCD1_597	ABCD1	1593
AIDA_48176	AIDA	1155
EFNB2_5360	EFNB2	406
USF2_20049	USF2	940
UCK1_52225	UCK1	452
AQP12B_74316	AQP12B	308
GPR171_36762	GPR171	519
Non-Targeting Control_77067	Non-Targeting Control	3623
ZNF597_61591	ZNF597	478
ARID4A_15879	ARID4A	50
CHUK_3270	CHUK	800
CPD_3781	CPD	547
SHKBP1_56356	SHKBP1	982
LAMA1_67690	LAMA1	193
RPP21_50302	RPP21	634
DDO_22206	DDO	769
C16orf54_67532	C16orf54	859
ZSWIM4_48473	ZSWIM4	1142
LRRC1_42003	LRRC1	878
ESPNL_69016	ESPNL	997
SPATA16_52638	SPATA16	1321
PNRC2_42855	PNRC2	564
C7orf77_62938	C7orf77	676
KCNIP1_37101	KCNIP1	148
DTD2_56806	DTD2	95
CDH18_2893	CDH18	369
HMMR_8520	HMMR	360
COQ3_39499	COQ3	1394
SLC39A1_35742	SLC39A1	182
PPFIA4_22099	PPFIA4	549
LCE2C_70082	LCE2C	1142
ATP5O_1494	ATP5O	672
S100A13_16763	S100A13	1169
TAAR8_52233	TAAR8	922
OR11H4_71796	OR11H4	1497
VASP_20088	VASP	353
TMEM253_73790	TMEM253	356
PHRF1_46151	PHRF1	1179
ZNF292_31537	ZNF292	662
TMEM100_42153	TMEM100	499
PDZD8_58106	PDZD8	1590
SLC44A1_32834	SLC44A1	218
STH_66236	STH	590
DUSP23_41052	DUSP23	863
UHMK1_59444	UHMK1	583
C1orf131_59455	C1orf131	142
POU3F1_14451	POU3F1	463
MOB2_51626	MOB2	884
DHX36_64165	DHX36	698
EIF4EBP2_5455	EIF4EBP2	886
GPC5_6299	GPC5	235
NYAP2_46059	NYAP2	716
DUSP19_61094	DUSP19	693
SLC35C2_37508	SLC35C2	1096
CRYBG3_59957	CRYBG3	607
OR5AK2_71677	OR5AK2	1947
ULK1_21864	ULK1	219
HLA-F_8453	HLA-F	313
TP73_19465	TP73	506
CSDC2_35897	CSDC2	921
IREB2_9693	IREB2	144
FRMD3_66842	FRMD3	196
PAPL_71881	PAPL	861
TSNAXIP1_43471	TSNAXIP1	507
ZNF512_53638	ZNF512	472
C1QTNF1_57325	C1QTNF1	492
PHEX_13850	PHEX	654
UNCX_69127	UNCX	1620
KCNN4_10115	KCNN4	587
B3GALNT2_62072	B3GALNT2	773
BCL2L10_26747	BCL2L10	2246
FZD7_21602	FZD7	235
SGPL1_23280	SGPL1	1016
NDFIP2_40308	NDFIP2	296
C1orf27_41112	C1orf27	569
DOCK7_54924	DOCK7	542
FLJ44635_72051	FLJ44635	170
Non-Targeting Control_76553	Non-Targeting Control	2131
CLDN11_13137	CLDN11	2434
IPO9_43098	IPO9	819
CLASP1_32486	CLASP1	1269
VCAN_4098	VCAN	345
C17orf67_68870	C17orf67	77
MTCH1_33583	MTCH1	349
FER1L6_74444	FER1L6	1582
CLEC17A_71039	CLEC17A	159
ATP5F1_1425	ATP5F1	526
RECK_21913	RECK	644
ALG1L2_73966	ALG1L2	753
TAMM41_60011	TAMM41	817
GSTA2_7879	GSTA2	780
CCDC115_53466	CCDC115	335
IFNL2_67124	IFNL2	706
CATSPER2_57903	CATSPER2	475
ANKRD35_62064	ANKRD35	457
HOXC4_8715	HOXC4	414
CBX1_29650	CBX1	969
CLEC4E_34846	CLEC4E	1077
NBPF12_62106	NBPF12	751
NOP16_38870	NOP16	112
USH1G_58780	USH1G	539
FAM71B_62828	FAM71B	1510
LENEP_43667	LENEP	464
CDK5RAP3_51047	CDK5RAP3	283
F2RL3_23577	F2RL3	620
MMP21_58087	MMP21	200
THAP6_62710	THAP6	787
DNTTIP1_57634	DNTTIP1	327
ZPBP2_58792	ZPBP2	55
FAM105A_40057	FAM105A	179
CYB5RL_73606	CYB5RL	502
PHF7_38969	PHF7	949
HIST2H4A_21778	HIST2H4A	39
TMEM56_62043	TMEM56	2345
CHRNE_3262	CHRNE	217
TFAP2E_68972	TFAP2E	666
TSN_19626	TSN	569
PNPLA4_21447	PNPLA4	1442
BARD1_1592	BARD1	877
IZUMO4_56942	IZUMO4	749
HYDIN_40536	HYDIN	2264
DNAJA1_8920	DNAJA1	1406
CELF3_30427	CELF3	1210
RNF224_73809	RNF224	350
PCMTD2_42083	PCMTD2	567
PDHA1_13592	PDHA1	653
CHEK1_3141	CHEK1	1035
ADIPOR2_49365	ADIPOR2	1332
CMTM2_61552	CMTM2	317
C12orf43_48228	C12orf43	509
FAP_6080	FAP	1119
OR5M3_65285	OR5M3	1064
ZKSCAN8_20789	ZKSCAN8	499
C16orf70_51018	C16orf70	522
CHRNA5_3235	CHRNA5	1364
SLC35A4_57066	SLC35A4	1395
CD44_2706	CD44	491
FBXO33_66420	FBXO33	388
MCM9_66468	MCM9	324
MUTYH_11944	MUTYH	644
HGF_8319	HGF	877
CREBL2_3875	CREBL2	1723
TAS2R3_37364	TAS2R3	266
TSPAN9_29365	TSPAN9	290
APELA_75865	APELA	458
TNFSF10_22861	TNFSF10	1762
IVL_9892	IVL	1116
ARHGAP36_63216	ARHGAP36	179
TMEM183A_56320	TMEM183A	373
FAM171A1_65673	FAM171A1	944
HSD17B4_8897	HSD17B4	737
RBM26_47274	RBM26	588
RPGRIP1_44966	RPGRIP1	366
METTL21A_62456	METTL21A	1337
GTF2H4_7962	GTF2H4	291
KLHL12_46809	KLHL12	386
Non-Targeting Control_76555	Non-Targeting Control	1528
IRF4_9709	IRF4	1268
SLC15A5_74822	SLC15A5	256
TOM1L1_26797	TOM1L1	263
LEMD3_33255	LEMD3	188
BBS9_35847	BBS9	205
KLK10_15078	KLK10	949
HIPK2_36331	HIPK2	2710
INTS5_51367	INTS5	454
USP6NL_25705	USP6NL	438
JAM3_52396	JAM3	915
DCUN1D4_31857	DCUN1D4	307
CCT8L2_62267	CCT8L2	471
ZBTB3_50122	ZBTB3	1226
SDSL_57039	SDSL	1048
PIWIL1_24366	PIWIL1	672
DBF4_29567	DBF4	583
SYCP1_18559	SYCP1	1009
P2RY12_48111	P2RY12	534
WDR59_49761	WDR59	1109
CNTN4_62655	CNTN4	484
KIRREL_42051	KIRREL	404
VASP_20087	VASP	403
OR1S2_65467	OR1S2	248
COL5A2_3592	COL5A2	350
CTDSPL2_38877	CTDSPL2	453
PPY_14700	PPY	440
BBS12_63885	BBS12	1120
ARHGAP19_54681	ARHGAP19	308
LCA5_63972	LCA5	684
DGCR2_26674	DGCR2	911
DMWD_4875	DMWD	477
NAV3_55125	NAV3	342
IL27_66243	IL27	1304
PKN1_14845	PKN1	692
POU4F3_14470	POU4F3	1856
TM6SF2_39553	TM6SF2	569
COQ9_44849	COQ9	368
PLCXD1_42401	PLCXD1	889
LMNTD1_63346	LMNTD1	1306
SPDYE4_70985	SPDYE4	597
NIPA1_58628	NIPA1	412
IRX5_27564	IRX5	1317
PEX5_15595	PEX5	934
TMEM247_71221	TMEM247	835
ARMCX4_75394	ARMCX4	325
EFCAB12_55381	EFCAB12	126
ZNF445_70129	ZNF445	812
CYP4A11_4405	CYP4A11	865
MTRF1_25374	MTRF1	490
EXOC6_40173	EXOC6	331
ZBTB7A_38561	ZBTB7A	444
SPRY2_27530	SPRY2	606
REEP3_65657	REEP3	219
EMC4_38203	EMC4	3256
HAP1_23575	HAP1	1176
ZNF48_64535	ZNF48	979
PRPSAP2_15022	PRPSAP2	693
TPRKB_37491	TPRKB	165
PHF8_31826	PHF8	437
ARMC12_65822	ARMC12	1250
IL4_9417	IL4	874
DPEP3_47510	DPEP3	483
L1CAM_10434	L1CAM	346
HAX1_28137	HAX1	384
KDM6B_31829	KDM6B	392
STAT4_18356	STAT4	2009
AADACL4_69486	AADACL4	571
LYPD3_35517	LYPD3	580
ZFYVE21_48785	ZFYVE21	2892
DDX56_40314	DDX56	429
EXD3_41041	EXD3	541
BAIAP2L2_50716	BAIAP2L2	1370
CYP2R1_58240	CYP2R1	517
KLF8_30690	KLF8	463
COMP_3668	COMP	1009
NR1I2_23211	NR1I2	809
CAMK1_22238	CAMK1	283
CCNI_29756	CCNI	660
MYL10_56512	MYL10	685
C3orf38_68077	C3orf38	831
ZNF789_68329	ZNF789	742
TBCK_56571	TBCK	185
EXT2_5904	EXT2	1037
IFIT5_33597	IFIT5	37
CD177_45060	CD177	1816
KBTBD8_53773	KBTBD8	431
DEFB112_66138	DEFB112	186
MARVELD1_52458	MARVELD1	1323
HRK_22847	HRK	397
SS18L2_38086	SS18L2	1427
DENND2D_50476	DENND2D	709
SYNDIG1L_74122	SYNDIG1L	298
OST4_75174	OST4	418
DDX41_38737	DDX41	624
UBL4B_63760	UBL4B	932
NXPH4_30586	NXPH4	1965
GRID1_7724	GRID1	675
CYP1A2_4337	CYP1A2	1010
SMTNL2_69402	SMTNL2	1387
PRPSAP2_15023	PRPSAP2	2365
YWHAH_20404	YWHAH	812
CCPG1_24265	CCPG1	1106
GCM1_22185	GCM1	842
COQ10A_56421	COQ10A	364
ZNF185_20777	ZNF185	511
GLYATL1_56186	GLYATL1	55
FAM159A_69951	FAM159A	93
MLNR_7615	MLNR	501
CXCR4_21003	CXCR4	818
MYRIP_34096	MYRIP	129
FHL2_6335	FHL2	1077
TNFSF14_22849	TNFSF14	576
SACM1L_31198	SACM1L	258
TMEM143_42121	TMEM143	30
EFNA2_5337	EFNA2	679
GUCY2C_8013	GUCY2C	97
TPSAB1_19527	TPSAB1	400
REL_15983	REL	689
AFF4_35627	AFF4	674
IER2_25317	IER2	1529
