sgRNA	Gene	Clip2_5_DE_GFP_low_BC17_IGO_09496_9_S9
MUTYH_11942	MUTYH	49
GUF1_46953	GUF1	95
LUZP1_20921	LUZP1	108
TMCO6_42480	TMCO6	60
2-Mar_41264	2-Mar	168
SEMA4F_28315	SEMA4F	64
C9orf153_71477	C9orf153	66
H2AFY_25204	H2AFY	14
BMX_1816	BMX	231
GPR4_7502	GPR4	37
ACTA2_183	ACTA2	41
MAGEA10_11031	MAGEA10	104
TDP2_39051	TDP2	74
MUC7_11927	MUC7	124
KCNT2_69540	KCNT2	61
SRCIN1_51258	SRCIN1	105
PLCE1_38107	PLCE1	41
AARSD1_51306	AARSD1	55
ASIC3_24442	ASIC3	40
LURAP1L_68436	LURAP1L	29
APCDD1_61785	APCDD1	162
NPB_66823	NPB	46
CWC25_40886	CWC25	105
GALNT14_49417	GALNT14	76
Non-Targeting Control_77413	Non-Targeting Control	293
PPP1R3F_55138	PPP1R3F	110
DZANK1_41849	DZANK1	20
EPN2_31186	EPN2	109
FNDC9_72727	FNDC9	50
RBM43_70455	RBM43	42
PPM1F_25474	PPM1F	51
NKX2-8_34855	NKX2-8	207
MAF1_53178	MAF1	67
MAL2_57133	MAL2	65
AMPH_752	AMPH	56
FRS2_29268	FRS2	167
RPH3A_31150	RPH3A	51
TRIM69_60906	TRIM69	179
FAM198A_74829	FAM198A	132
CLVS2_60308	CLVS2	32
IDH3B_9151	IDH3B	27
ACP2_163	ACP2	19
UBAP1L_71814	UBAP1L	85
LCE1D_70067	LCE1D	191
FOXQ1_56736	FOXQ1	279
ECI1_4568	ECI1	24
ARHGEF25_57505	ARHGEF25	105
PSAP_15086	PSAP	32
GLTSCR1L_32975	GLTSCR1L	55
QTRTD1_49644	QTRTD1	35
CASC10_72123	CASC10	14
GPC4_6211	GPC4	148
TPM2_19497	TPM2	61
TMEM2_33447	TMEM2	42
ARHGAP6_1140	ARHGAP6	107
KCMF1_44466	KCMF1	22
USP11_21455	USP11	101
WDR44_40143	WDR44	146
EPB41L4B_40254	EPB41L4B	74
SOCS3_23608	SOCS3	45
FOLR2_6539	FOLR2	82
GYPA_8034	GYPA	49
MEI4_76374	MEI4	65
SPANXN2_73424	SPANXN2	232
TNNC1_19389	TNNC1	33
MROH9_50755	MROH9	53
LILRA1_29889	LILRA1	174
CEACAM3_3092	CEACAM3	373
TCTE1_65002	TCTE1	180
PDCD6IP_26739	PDCD6IP	114
SUPT20HL1_75267	SUPT20HL1	76
ADGRA1_53586	ADGRA1	43
CDK14_13779	CDK14	127
OR52K2_58206	OR52K2	52
TP53BP2_19462	TP53BP2	113
OR1D5_21797	OR1D5	55
NCLN_44604	NCLN	39
TPH2_58363	TPH2	136
SLC6A14_30612	SLC6A14	68
ZNF836_63565	ZNF836	10
TMEM8C_71503	TMEM8C	175
GAGE1_6711	GAGE1	68
TRMT10A_56548	TRMT10A	56
SLC39A5_67333	SLC39A5	59
RPA1_16277	RPA1	23
DNAJB8_63854	DNAJB8	57
SLC44A3_59259	SLC44A3	46
PBLD_47318	PBLD	35
PARVA_43215	PARVA	43
MGAT5_11438	MGAT5	84
MED25_51983	MED25	24
TMEM55B_55629	TMEM55B	13
RPS6KL1_52372	RPS6KL1	95
DIRAS2_40539	DIRAS2	33
Non-Targeting Control_76918	Non-Targeting Control	473
RNF207_71106	RNF207	71
UBTF_19899	UBTF	69
Non-Targeting Control_76775	Non-Targeting Control	196
NHSL1_45319	NHSL1	36
COMMD10_38688	COMMD10	27
OR2M7_71969	OR2M7	88
DAZ2_44910	DAZ2	33
PLA2G4E_58645	PLA2G4E	105
TLX1_8622	TLX1	23
FXYD6-FXYD2_76166	FXYD6-FXYD2	123
MOGAT2_50827	MOGAT2	11
HIST1H3J_21724	HIST1H3J	26
LRP8_20938	LRP8	41
TMEM212_71323	TMEM212	15
JAK1_9900	JAK1	91
Non-Targeting Control_77276	Non-Targeting Control	216
PPME1_38699	PPME1	7
ACOT1_73651	ACOT1	12
CPNE1_23358	CPNE1	81
SERPINB3_16854	SERPINB3	16
NACC1_56897	NACC1	62
LRRC14B_71342	LRRC14B	194
IL17RD_40500	IL17RD	207
IFNA5_9214	IFNA5	92
ALDOC_649	ALDOC	94
LRRN3_40385	LRRN3	46
DEFB123_66166	DEFB123	134
FRMD7_55334	FRMD7	65
KIAA1107_32339	KIAA1107	138
Non-Targeting Control_76577	Non-Targeting Control	492
C2orf61_68023	C2orf61	56
EFS_27605	EFS	37
Non-Targeting Control_77095	Non-Targeting Control	626
Non-Targeting Control_76497	Non-Targeting Control	644
Non-Targeting Control_77039	Non-Targeting Control	235
ERAL1_34945	ERAL1	15
SHC4_72113	SHC4	27
QDPR_15631	QDPR	72
RAP1GAP2_31753	RAP1GAP2	61
SNX12_36827	SNX12	113
RTP2_69648	RTP2	57
AP4S1_30294	AP4S1	129
PDE2A_13501	PDE2A	61
CHL1_29073	CHL1	9
SECTM1_17110	SECTM1	31
CACNA1C_2145	CACNA1C	53
ERVV-2_75561	ERVV-2	15
PTPN18_35025	PTPN18	34
KIAA2012_76216	KIAA2012	24
HIPK4_61860	HIPK4	71
MSANTD2_49628	MSANTD2	109
Non-Targeting Control_77425	Non-Targeting Control	400
CTXN3_73624	CTXN3	41
TAS2R39_66980	TAS2R39	101
KCNJ9_10050	KCNJ9	82
ALDH1B1_614	ALDH1B1	28
LOC100133267_75480	LOC100133267	50
TBC1D2_42444	TBC1D2	30
CLLU1OS_73582	CLLU1OS	98
FFAR2_7630	FFAR2	41
OR2F1_34758	OR2F1	272
C17orf105_67610	C17orf105	278
HIST1H2AB_21638	HIST1H2AB	108
NIPA1_58625	NIPA1	234
HFE2_62057	HFE2	37
LILRA1_29890	LILRA1	164
KIR3DL3_57528	KIR3DL3	35
SNRPN_17905	SNRPN	258
EPHA4_5656	EPHA4	56
STARD5_51335	STARD5	86
LY6H_10882	LY6H	36
ZFP3_58876	ZFP3	168
SLC30A6_43001	SLC30A6	94
SHKBP1_56356	SHKBP1	226
MSS51_58047	MSS51	87
CACYBP_35572	CACYBP	138
SMOC1_47349	SMOC1	98
CA7_2119	CA7	120
GLRA2_7248	GLRA2	73
S100A7_16740	S100A7	127
SNX4_22792	SNX4	66
DEFB135_73613	DEFB135	25
MGAT3_11433	MGAT3	26
CCDC106_36745	CCDC106	62
HBG2_8214	HBG2	43
HBG1_8211	HBG1	108
ZNF10_20479	ZNF10	54
MXD1_10946	MXD1	145
PNMAL1_42008	PNMAL1	38
XKRY_23802	XKRY	137
BCORL1_47038	BCORL1	49
SLC9A9_68064	SLC9A9	99
NOVA1_12748	NOVA1	8
NMBR_12655	NMBR	53
ZC2HC1C_49663	ZC2HC1C	120
TOR1A_5198	TOR1A	90
TNFRSF11B_13048	TNFRSF11B	53
KCNAB2_22158	KCNAB2	19
PGK1_13809	PGK1	121
ZNF529_46305	ZNF529	22
PRH2_14749	PRH2	42
UBXN10_59423	UBXN10	18
LHX3_21188	LHX3	180
ADAM23_22872	ADAM23	18
LTB4R2_44249	LTB4R2	172
PCGF6_52927	PCGF6	101
UBE2R2_41018	UBE2R2	77
CALHM2_37665	CALHM2	34
UMPS_19988	UMPS	149
ZCWPW1_41453	ZCWPW1	106
Non-Targeting Control_76802	Non-Targeting Control	336
ANGPT2_790	ANGPT2	40
TANK_26724	TANK	38
CYP2U1_57025	CYP2U1	36
NEK9_55993	NEK9	7
TSG101_19638	TSG101	91
CHST13_63872	CHST13	170
SPANXN4_73162	SPANXN4	69
CARD17_72859	CARD17	57
KRTAP1-3_51963	KRTAP1-3	110
CRISP3_27745	CRISP3	149
PRSS37_60413	PRSS37	95
ATG10_52440	ATG10	109
HOXC10_8733	HOXC10	163
RABL6_43025	RABL6	68
OOSP2_65516	OOSP2	76
TMBIM4_39203	TMBIM4	17
TRPT1_52406	TRPT1	35
FAM163A_62065	FAM163A	45
NDUFB8_12342	NDUFB8	37
CYBRD1_50313	CYBRD1	112
PRR23D2_75476	PRR23D2	56
TMLHE_41967	TMLHE	31
Non-Targeting Control_77429	Non-Targeting Control	170
RFX7_48213	RFX7	33
TREML2_50190	TREML2	65
RQCD1_23940	RQCD1	433
LASP1_10513	LASP1	195
Non-Targeting Control_76948	Non-Targeting Control	156
HMHA1_33051	HMHA1	131
HIST2H2AA3_21648	HIST2H2AA3	92
MTRNR2L9_75803	MTRNR2L9	91
KIAA1324L_65966	KIAA1324L	38
RPUSD1_56915	RPUSD1	26
WNT6_20275	WNT6	56
TCL1B_25394	TCL1B	75
ZNF229_20869	ZNF229	65
Non-Targeting Control_76752	Non-Targeting Control	471
C9orf156_38963	C9orf156	54
KIF20B_25296	KIF20B	43
TMSB4X_19347	TMSB4X	111
ALX3_701	ALX3	74
BLID_72785	BLID	87
CELSR1_25388	CELSR1	28
COX18_68180	COX18	77
TMEM219_58738	TMEM219	42
HECTD4_67370	HECTD4	81
TULP1_19744	TULP1	58
CFC1_43829	CFC1	70
CDC34_2821	CDC34	96
TEX15_44058	TEX15	20
C5orf15_44689	C5orf15	127
SPDEF_33757	SPDEF	35
NKX2-8_34857	NKX2-8	121
PPP4R1_26660	PPP4R1	111
KIAA1468_46024	KIAA1468	178
MAP1LC3C_73007	MAP1LC3C	41
MITF_11507	MITF	47
MAP4K2_15676	MAP4K2	16
NDUFB4_12328	NDUFB4	54
C9orf57_60568	C9orf57	101
MAGI3_67030	MAGI3	115
PPIP5K1_25580	PPIP5K1	38
C11orf80_49685	C11orf80	117
FZD8_21605	FZD8	135
ANKRD18B_73130	ANKRD18B	27
CNDP1_54133	CNDP1	84
GAREM_47982	GAREM	138
FUNDC1_60697	FUNDC1	111
DUS2_41000	DUS2	57
SGCD_17245	SGCD	109
USP29_46160	USP29	125
OR10A3_35058	OR10A3	44
ELP3_41691	ELP3	14
C7orf55_62920	C7orf55	96
MIER2_40155	MIER2	158
Non-Targeting Control_77034	Non-Targeting Control	300
SIPA1_17386	SIPA1	227
F2RL1_5945	F2RL1	70
EDDM3A_29395	EDDM3A	80
SLC16A11_63538	SLC16A11	39
ADAT1_33090	ADAT1	34
SVIP_66925	SVIP	231
ZNF175_20754	ZNF175	70
LOC100129697_75235	LOC100129697	178
CD96_27421	CD96	41
MRI1_53202	MRI1	101
KRT36_22690	KRT36	86
KCNMB2_27485	KCNMB2	126
CTSS_4275	CTSS	36
IGSF11_62660	IGSF11	119
DNAJC12_44274	DNAJC12	116
ZNF577_54156	ZNF577	33
KCNJ12_10061	KCNJ12	169
ANKRD9_58466	ANKRD9	46
ESRP2_50569	ESRP2	46
BLOC1S4_42348	BLOC1S4	72
TRPM6_60983	TRPM6	111
PSME2_15292	PSME2	190
SLC29A4_66078	SLC29A4	86
WFIKKN1_57920	WFIKKN1	106
DCBLD1_68278	DCBLD1	35
GNRHR_7402	GNRHR	39
TP53INP2_46530	TP53INP2	108
LOC403312_72629	LOC403312	252
TAF1A_23590	TAF1A	21
PTPRK_15499	PTPRK	55
NEBL_28390	NEBL	52
SPATA20_48156	SPATA20	7
CDKN2AIPNL_55811	CDKN2AIPNL	106
Non-Targeting Control_77248	Non-Targeting Control	395
SV2B_26355	SV2B	61
SPOCK3_37432	SPOCK3	167
CAMK2B_2260	CAMK2B	25
Non-Targeting Control_76814	Non-Targeting Control	292
PTGES3L-AARSD1_76255	PTGES3L-AARSD1	34
HLA-DQA1_8419	HLA-DQA1	188
SORCS1_57253	SORCS1	93
C9orf41_60561	C9orf41	29
PLCL2_32147	PLCL2	60
EML5_63431	EML5	50
Non-Targeting Control_77150	Non-Targeting Control	377
ZNF474_60197	ZNF474	86
EIF1AY_23818	EIF1AY	33
OR2C1_13084	OR2C1	127
Non-Targeting Control_76957	Non-Targeting Control	366
MYO5C_43759	MYO5C	110
RBM6_27272	RBM6	53
PRKCE_14831	PRKCE	116
CHN1_3187	CHN1	121
KPTN_30221	KPTN	47
ESX1_51242	ESX1	28
FCRL2_49191	FCRL2	66
Non-Targeting Control_77310	Non-Targeting Control	312
RNF138_38782	RNF138	76
CEACAM4_3104	CEACAM4	34
GAS7_22191	GAS7	184
SLC25A3_13845	SLC25A3	101
APBA1_884	APBA1	172
SLC6A13_17559	SLC6A13	30
NXPH4_30583	NXPH4	105
ISG20_9731	ISG20	40
KRTAP10-5_70682	KRTAP10-5	160
GTF3C6_56811	GTF3C6	61
LDLR_10568	LDLR	152
CERS6_66352	CERS6	71
UBE2D1_19837	UBE2D1	83
FUZ_50890	FUZ	62
TFDP3_38310	TFDP3	170
PCDHA8_44024	PCDHA8	96
PCDHB1_36820	PCDHB1	81
TMEM127_42928	TMEM127	136
TAS2R7_37387	TAS2R7	68
FAM53C_38445	FAM53C	41
SLC22A16_54891	SLC22A16	115
CYP3A7-CYP3A51P_76239	CYP3A7-CYP3A51P	101
TYW3_59316	TYW3	39
MYLK4_69106	MYLK4	73
MED13_26597	MED13	101
ULBP2_51144	ULBP2	72
FAM53A_62723	FAM53A	83
SPATS2_48468	SPATS2	31
HIST1H3H_21726	HIST1H3H	70
ZBTB20_34640	ZBTB20	138
MDH1B_59868	MDH1B	72
Non-Targeting Control_77170	Non-Targeting Control	370
CLPX_29306	CLPX	73
RBMXL2_35931	RBMXL2	99
IGF2BP1_28774	IGF2BP1	167
RBP4_15945	RBP4	102
KLHDC8A_41980	KLHDC8A	9
SPP1_18089	SPP1	101
BTLA_62573	BTLA	72
HAND2_24910	HAND2	46
WNT16_38661	WNT16	99
RBBP9_29035	RBBP9	46
STAMBP_28685	STAMBP	24
C20orf96_60875	C20orf96	13
C1orf137_71145	C1orf137	28
GRINA_7773	GRINA	43
SLX1B_48700	SLX1B	8
OPRK1_13057	OPRK1	10
Non-Targeting Control_76950	Non-Targeting Control	361
ANK2_799	ANK2	24
SERPINA3_17	SERPINA3	75
TIMD4_56053	TIMD4	33
CLECL1_63330	CLECL1	50
SLC41A2_52908	SLC41A2	60
BMP4_1784	BMP4	129
RSPH1_55088	RSPH1	12
MSH6_7919	MSH6	37
ACSF2_50950	ACSF2	29
KLK5_33796	KLK5	36
KANK2_34196	KANK2	46
TNFSF13B_28884	TNFSF13B	43
RNF144A_25955	RNF144A	108
OR10T2_59515	OR10T2	149
OAZ1_12978	OAZ1	47
ZNF235_24437	ZNF235	22
UGT2A2_73594	UGT2A2	116
RCN1_15952	RCN1	32
IL17B_35780	IL17B	114
STXBP3_18461	STXBP3	83
RGPD4_68056	RGPD4	133
EPHA4_5653	EPHA4	118
GLIS1_62104	GLIS1	149
RBM14-RBM4_76012	RBM14-RBM4	45
ZNF671_50278	ZNF671	22
LYRM2_45325	LYRM2	37
DAGLA_2068	DAGLA	76
RNFT2_54421	RNFT2	108
KRTAP19-8_74633	KRTAP19-8	78
H1FOO_60046	H1FOO	97
TMEM120B_61323	TMEM120B	36
DCAF12_33913	DCAF12	171
NAP1L1_12189	NAP1L1	262
TGS1_56772	TGS1	49
KLK4_25389	KLK4	129
BRK1_43556	BRK1	117
APLNR_528	APLNR	20
LDOC1L_53210	LDOC1L	110
GALNTL5_63994	GALNTL5	50
UGT1A1_40359	UGT1A1	181
SIK3_32660	SIK3	35
HEATR3_41362	HEATR3	69
TMEM241_54736	TMEM241	36
UQCR10_36624	UQCR10	98
GRK4_7633	GRK4	116
ALPK2_57534	ALPK2	24
RHPN2_54900	RHPN2	27
CAV3_2393	CAV3	85
STAR_18337	STAR	116
DTX2_57074	DTX2	208
FCN2_6182	FCN2	50
CAPN12_61924	CAPN12	83
PIGV_42913	PIGV	22
LDHAL6A_63316	LDHAL6A	37
HHLA2_30271	HHLA2	51
ANAPC15_34048	ANAPC15	69
TCERG1L_66781	TCERG1L	43
LACTBL1_74081	LACTBL1	56
COA4_38368	COA4	14
USP22_32465	USP22	110
GSG1L_61577	GSG1L	38
KIAA1468_46026	KIAA1468	89
SARS2_41066	SARS2	24
KCNA6_9963	KCNA6	45
NEUROD1_12469	NEUROD1	207
SUV420H1_37845	SUV420H1	48
RORA_16248	RORA	48
RECK_21915	RECK	50
ALB_589	ALB	65
FIBIN_70844	FIBIN	121
CLOCK_25260	CLOCK	51
ERICH4_75536	ERICH4	115
LIX1L_59459	LIX1L	49
OGFOD3_49682	OGFOD3	112
SLAMF8_44419	SLAMF8	83
USP51_63250	USP51	98
TRAPPC3L_75156	TRAPPC3L	36
VCX2_38857	VCX2	50
RAP1GDS1_15815	RAP1GDS1	59
TNFRSF4_19765	TNFRSF4	242
ZNF558_61963	ZNF558	79
HIST3H2A_56361	HIST3H2A	67
SLBP_21051	SLBP	45
TIAM2_34793	TIAM2	107
AIMP1_24324	AIMP1	43
ADGRF3_63810	ADGRF3	51
SLC2A10_51488	SLC2A10	110
ADH6_353	ADH6	260
Non-Targeting Control_77072	Non-Targeting Control	299
CHAMP1_67395	CHAMP1	26
ATP11C_68452	ATP11C	138
C8orf4_44482	C8orf4	65
ANGPTL6_52527	ANGPTL6	16
FSHB_6595	FSHB	93
AGAP6_72757	AGAP6	266
OR6C1_71756	OR6C1	27
ZGPAT_53849	ZGPAT	149
KIF3A_30195	KIF3A	15
ZFP92_60747	ZFP92	232
CLK3_3400	CLK3	224
BCL2_1635	BCL2	58
PALLD_31485	PALLD	66
CDC42EP2_28070	CDC42EP2	67
RRP1B_31658	RRP1B	80
SIGMAR1_27615	SIGMAR1	96
CCR10_7496	CCR10	76
FANK1_56276	FANK1	90
GBP3_6949	GBP3	82
FBXO34_41367	FBXO34	153
ADRA2C_420	ADRA2C	84
GRM5_7804	GRM5	49
KRTAP21-3_75665	KRTAP21-3	157
P4HA2_23510	P4HA2	43
ISL1_9736	ISL1	147
TMEM126B_43616	TMEM126B	92
RAB20_42910	RAB20	195
CRP_3917	CRP	57
HBB_8198	HBB	11
TRO_19594	TRO	80
STK40_52681	STK40	37
SUV420H1_37843	SUV420H1	21
Non-Targeting Control_76560	Non-Targeting Control	324
DEFA4_4688	DEFA4	15
KCNJ2_10031	KCNJ2	134
PSG6_15123	PSG6	146
WNT16_38662	WNT16	180
IKBKB_9372	IKBKB	100
TST_19671	TST	97
LY9_10887	LY9	156
MRLN_75931	MRLN	193
OPN1LW_15959	OPN1LW	218
OLFM1_28086	OLFM1	69
ARHGAP28_50052	ARHGAP28	195
CAPS_2305	CAPS	13
ADGRG4_60703	ADGRG4	59
HNF4G_8560	HNF4G	108
TM7SF2_19321	TM7SF2	28
FCN2_6181	FCN2	31
KHDRBS3_28819	KHDRBS3	53
LSM7_39301	LSM7	7
PITRM1_28395	PITRM1	40
SLC35E2_26383	SLC35E2	44
ZCCHC18_73924	ZCCHC18	87
USH1C_26947	USH1C	94
EML3_66758	EML3	55
ACADL_100	ACADL	19
DHX32_43283	DHX32	123
SYCE2_66708	SYCE2	208
GADD45A_4618	GADD45A	79
CYP20A1_45418	CYP20A1	123
KRT82_10411	KRT82	40
PSG11_15133	PSG11	231
STEAP4_49638	STEAP4	38
NKX6-1_12642	NKX6-1	44
IMPA2_9565	IMPA2	38
PFKP_13768	PFKP	69
EGR1_5394	EGR1	55
OBFC1_50543	OBFC1	57
NUP62CL_40702	NUP62CL	264
POU5F2_60225	POU5F2	46
BLNK_36576	BLNK	60
PODN_59357	PODN	53
STOX1_65354	STOX1	55
GPC4_6212	GPC4	297
TULP4_44805	TULP4	87
GGNBP2_50283	GGNBP2	43
SIK2_32178	SIK2	138
SMIM17_61815	SMIM17	117
FHIT_6325	FHIT	249
SV2A_26360	SV2A	113
UCK2_19983	UCK2	28
LHFPL1_69231	LHFPL1	161
SEMA7A_22064	SEMA7A	23
SLC7A13_63048	SLC7A13	72
ZNF721_64246	ZNF721	303
CFHR4_29399	CFHR4	61
MAGEB18_68470	MAGEB18	79
OR4D5_65426	OR4D5	74
MRPL42_36275	MRPL42	127
ZNF511_58040	ZNF511	46
CYP2C9_4373	CYP2C9	273
LZTS2_53617	LZTS2	48
ACTC1_192	ACTC1	22
FA2H_49018	FA2H	61
RNH1_16217	RNH1	124
Non-Targeting Control_77111	Non-Targeting Control	156
TRPC4_19607	TRPC4	11
RNASEK_72929	RNASEK	10
KCNJ8_10047	KCNJ8	128
FBXO15_64892	FBXO15	41
ITGB7_9828	ITGB7	43
RILP_52216	RILP	59
MPP1_11712	MPP1	32
PSMD10_15272	PSMD10	124
GPR35_7608	GPR35	93
KLRD1_10238	KLRD1	87
YWHAB_20391	YWHAB	16
CALML4_56031	CALML4	121
PLSCR5_71311	PLSCR5	126
FAM83E_40777	FAM83E	164
KDELR1_29623	KDELR1	66
CAPN6_2304	CAPN6	200
CD164L2_71120	CD164L2	240
KRT77_70285	KRT77	100
BPIFA2_60878	BPIFA2	63
STK32C_67171	STK32C	86
TBX19_23846	TBX19	147
SULT6B1_71987	SULT6B1	119
FHL1_6330	FHL1	157
SCAMP1_25096	SCAMP1	67
ALDH3A1_611	ALDH3A1	27
KRTAP19-8_74631	KRTAP19-8	107
LEMD3_33255	LEMD3	26
RPS4Y1_16502	RPS4Y1	29
OR4K14_58519	OR4K14	118
SSX2_18306	SSX2	40
GNL3_35012	GNL3	12
C11orf73_38887	C11orf73	132
LAMP3_35510	LAMP3	45
CT47B1_73766	CT47B1	116
Non-Targeting Control_76844	Non-Targeting Control	223
TMC7_50323	TMC7	51
LCN8_60579	LCN8	129
ZNF610_63572	ZNF610	68
VPS72_18875	VPS72	9
IL13RA1_9513	IL13RA1	124
ASB7_60808	ASB7	158
PTPRA_15457	PTPRA	39
PGLYRP2_57164	PGLYRP2	45
CAV1_2386	CAV1	53
PERP_47283	PERP	194
KCNK4_37328	KCNK4	33
NME8_38471	NME8	97
SERPINB13_13926	SERPINB13	112
ZC3HAV1L_56102	ZC3HAV1L	168
MRPL35_38489	MRPL35	79
DDB2_4601	DDB2	26
TDP1_43333	TDP1	41
ERGIC2_38375	ERGIC2	93
HKR1_67887	HKR1	29
PSD2_53218	PSD2	163
PRKCE_14832	PRKCE	82
CEACAM19_44741	CEACAM19	23
FOXN3_3146	FOXN3	163
TTLL2_52611	TTLL2	86
TEX13A_44070	TEX13A	226
GPR171_36760	GPR171	103
CYGB_57154	CYGB	67
ZNF189_20788	ZNF189	57
GDPD5_51649	GDPD5	70
Non-Targeting Control_76648	Non-Targeting Control	226
SSBP3_33415	SSBP3	40
BLOC1S6_34861	BLOC1S6	175
CXADR_4294	CXADR	34
NEK11_50169	NEK11	56
RRP15_37549	RRP15	19
Non-Targeting Control_76798	Non-Targeting Control	355
CRTAC1_41626	CRTAC1	61
ZNF764_56286	ZNF764	54
AIF1_550	AIF1	113
SSH2_55009	SSH2	14
DNAJB14_50523	DNAJB14	214
UNKL_47915	UNKL	67
CLC_3334	CLC	46
SAMSN1_47344	SAMSN1	134
KCNAB2_22160	KCNAB2	66
TPMT_19512	TPMT	9
PLN_14185	PLN	233
HTRA1_15075	HTRA1	53
CCDC172_70260	CCDC172	91
ENTPD2_2681	ENTPD2	35
TEX264_38618	TEX264	124
SLC12A6_26662	SLC12A6	33
DGAT1_22708	DGAT1	74
CST3_4130	CST3	231
BBOX1_21889	BBOX1	21
CEMP1_75085	CEMP1	194
PRSS12_22084	PRSS12	91
ENOX2_28290	ENOX2	226
NSUN2_40906	NSUN2	69
MSTN_7031	MSTN	28
RB1_15873	RB1	224
SNX13_31913	SNX13	135
MEX3D_72093	MEX3D	110
OR52B6_69271	OR52B6	16
CABYR_34854	CABYR	33
IL1A_9376	IL1A	56
KIR3DL1_10193	KIR3DL1	87
BABAM1_36423	BABAM1	33
HIST1H4G_21773	HIST1H4G	64
PDZRN4_36884	PDZRN4	84
PSMB8_15198	PSMB8	148
HIST1H3J_21721	HIST1H3J	99
FUT5_6659	FUT5	18
DPM1_23063	DPM1	59
ITGA4_9758	ITGA4	125
SFTPC_17230	SFTPC	37
MEIOB_66484	MEIOB	101
CCR1_3444	CCR1	26
ZNF180_20768	ZNF180	85
ADGRG6_45284	ADGRG6	42
MANEA_49656	MANEA	37
LBH_51766	LBH	23
LHFPL1_69230	LHFPL1	222
TXLNB_63980	TXLNB	24
ANKAR_62385	ANKAR	37
OTX1_13144	OTX1	69
HNRNPF_8595	HNRNPF	59
ANKRD34A_67944	ANKRD34A	23
FAM122C_63270	FAM122C	106
LRRC41_28267	LRRC41	39
TMEM259_55795	TMEM259	216
SETD9_60148	SETD9	87
DAPP1_35499	DAPP1	66
TEX15_44056	TEX15	92
Non-Targeting Control_77122	Non-Targeting Control	440
AGAP1_57873	AGAP1	28
TMEM171_60243	TMEM171	81
SNX4_22790	SNX4	164
TYSND1_65364	TYSND1	121
HCST_29375	HCST	31
CCR7_3462	CCR7	10
AKAP10_30492	AKAP10	82
NCBP2_31221	NCBP2	133
PPP3R2_14682	PPP3R2	144
RASSF4_52693	RASSF4	107
SCRG1_30820	SCRG1	85
LRRC3C_75834	LRRC3C	86
APOA5_57794	APOA5	34
ARHGAP28_50051	ARHGAP28	109
SGCG_17250	SGCG	125
CNIH1_27257	CNIH1	123
RTP3_52268	RTP3	28
IGSF11_62658	IGSF11	55
PXDNL_60521	PXDNL	130
DNAJC30_53321	DNAJC30	8
FECH_6204	FECH	28
ZNF729_75598	ZNF729	353
SNX7_38637	SNX7	117
TMEM200B_72086	TMEM200B	99
GATM_6925	GATM	101
KCNS3_10140	KCNS3	98
DNAJB3_72737	DNAJB3	23
APOBEC1_957	APOBEC1	101
COL8A2_3615	COL8A2	48
CRB2_68391	CRB2	42
PARP3_26794	PARP3	25
C19orf47_59175	C19orf47	49
SEMA3A_27880	SEMA3A	57
CRYGD_3984	CRYGD	109
EGR2_5397	EGR2	35
METTL21B_34012	METTL21B	42
NARR_76231	NARR	138
SECTM1_17109	SECTM1	133
CALB1_2203	CALB1	183
ZBTB20_34642	ZBTB20	13
ZFAT_46055	ZFAT	119
C4orf51_74107	C4orf51	42
PIK3C2B_13959	PIK3C2B	68
VNN2_23264	VNN2	111
HSPA13_18382	HSPA13	66
ARHGAP31_45696	ARHGAP31	220
HS1BP3_47652	HS1BP3	217
SCN1A_16876	SCN1A	48
ESCO1_57230	ESCO1	100
GCAT_32871	GCAT	24
HIST1H4A_21735	HIST1H4A	116
TGM4_19106	TGM4	142
KCNK2_10086	KCNK2	27
ASPN_40695	ASPN	72
LNPEP_10738	LNPEP	110
KIAA1958_63166	KIAA1958	56
TXNRD3NB_74045	TXNRD3NB	96
Non-Targeting Control_77074	Non-Targeting Control	287
UNC93A_39863	UNC93A	169
PRR20E_74871	PRR20E	150
GYS2_8056	GYS2	78
USP48_53099	USP48	24
PUS1_51131	PUS1	21
TTC32_59814	TTC32	40
TFAP2A_19005	TFAP2A	124
LRRN1_46082	LRRN1	95
OTUD5_42736	OTUD5	112
SEPP1_17152	SEPP1	38
ZNF383_63634	ZNF383	188
TRIM67_73003	TRIM67	52
TMEM222_52819	TMEM222	89
KLC1_10246	KLC1	163
FAM172A_52749	FAM172A	36
FLG2_71161	FLG2	127
Non-Targeting Control_77063	Non-Targeting Control	271
ENO3_5599	ENO3	36
AGPAT6_60528	AGPAT6	7
SRI_18169	SRI	51
SLC41A2_52907	SLC41A2	54
IGFBP7_9336	IGFBP7	63
ARHGEF2_24110	ARHGEF2	16
C9orf156_38964	C9orf156	86
DTX4_32127	DTX4	91
LDLRAD2_72521	LDLRAD2	117
Non-Targeting Control_76872	Non-Targeting Control	230
ALPI_688	ALPI	11
Non-Targeting Control_77333	Non-Targeting Control	230
CDHR2_40681	CDHR2	96
WRAP73_37180	WRAP73	8
CT47A4_74554	CT47A4	156
MICALL2_49911	MICALL2	61
SLC4A9_52383	SLC4A9	40
SSTR4_18296	SSTR4	239
LGALS13_36558	LGALS13	40
OR2T35_72594	OR2T35	119
PPP1R3B_49547	PPP1R3B	46
PCDHB7_43982	PCDHB7	42
RAD21L1_73706	RAD21L1	126
INHA_9600	INHA	43
OR2AG2_68800	OR2AG2	105
