sgRNA	Gene	Clip2_6_E6_survival_BC20_IGO_09496_12_S12
PDE8B_22467	PDE8B	195
PEAR1_70421	PEAR1	112
AURKC_18425	AURKC	85
CDKL2_23572	CDKL2	38
UNK_54961	UNK	95
FPGT_22981	FPGT	24
PDZD9_66660	PDZD9	49
POU4F3_14469	POU4F3	111
KCNJ5_10044	KCNJ5	101
SYNJ1_23239	SYNJ1	78
SPON1_28013	SPON1	21
HLA-DQA1_8419	HLA-DQA1	169
CLDN10_23766	CLDN10	162
LRIG1_34356	LRIG1	132
ISPD_75005	ISPD	26
DMRTB1_47214	DMRTB1	97
RAB2A_15638	RAB2A	50
PLB1_62436	PLB1	30
TMEM5_27773	TMEM5	103
ZNF750_49859	ZNF750	64
DNAAF2_41801	DNAAF2	135
CCPG1_24267	CCPG1	85
LAMB4_30860	LAMB4	55
CRHR2_3895	CRHR2	121
PQLC2L_62609	PQLC2L	227
CTDSP2_27026	CTDSP2	170
RRN3_40412	RRN3	19
EEPD1_51387	EEPD1	93
HIST1H2AA_65846	HIST1H2AA	84
MDGA2_63420	MDGA2	49
CUEDC2_48685	CUEDC2	51
PLEKHG7_72883	PLEKHG7	192
Non-Targeting Control_76787	Non-Targeting Control	325
TTC25_52189	TTC25	37
LOC100129697_75235	LOC100129697	176
FAM3B_39764	FAM3B	99
FIGF_6341	FIGF	10
Non-Targeting Control_76581	Non-Targeting Control	277
Non-Targeting Control_77431	Non-Targeting Control	266
GANC_6865	GANC	71
FOXS1_6425	FOXS1	185
CCM2L_60921	CCM2L	41
SLC35F3_62054	SLC35F3	58
PANK2_50635	PANK2	75
VPREB3_36646	VPREB3	66
USP32_53989	USP32	42
SLC17A6_44928	SLC17A6	121
OR2W3_69516	OR2W3	52
MTM1_11875	MTM1	25
FBXO40_39371	FBXO40	53
CHPF_49330	CHPF	61
RAB9A_24619	RAB9A	190
TTLL6_67621	TTLL6	101
INS_9621	INS	28
ACSS1_53765	ACSS1	42
NBPF20_75659	NBPF20	104
RNF208_74480	RNF208	56
RPS6KA3_16521	RPS6KA3	215
C3orf33_68106	C3orf33	45
SLC22A4_17709	SLC22A4	20
EHHADH_5410	EHHADH	15
1-Dec_37239	1-Dec	28
SNAPC1_17825	SNAPC1	125
TMEM198_59849	TMEM198	158
SETSIP_74135	SETSIP	131
ODF2_13007	ODF2	11
FHL2_6336	FHL2	25
CPNE3_23335	CPNE3	39
MUC15_61210	MUC15	41
NXF2B_74645	NXF2B	97
RPL41_16449	RPL41	290
GADD45B_12011	GADD45B	61
MACF1_32957	MACF1	29
ITCH_52446	ITCH	223
FYCO1_49237	FYCO1	70
SLC13A4_34884	SLC13A4	61
ZPBP_29970	ZPBP	27
HLA-DQA2_8421	HLA-DQA2	107
FER1L6_74443	FER1L6	144
IRX4_37337	IRX4	53
MAK_11063	MAK	37
AK2_564	AK2	55
FOXD4L4_70009	FOXD4L4	33
MTFP1_38980	MTFP1	30
BCAR3_21873	BCAR3	128
HIST1H2AA_65845	HIST1H2AA	98
TMEM56_62043	TMEM56	175
RAP1GDS1_15814	RAP1GDS1	157
CHRM3_3207	CHRM3	75
LRFN1_46054	LRFN1	98
SYNGAP1_23126	SYNGAP1	43
CD200R1_59946	CD200R1	39
RAB40A_61108	RAB40A	90
SLC9A3R2_24568	SLC9A3R2	101
OR8B2_35211	OR8B2	86
KRTAP16-1_75848	KRTAP16-1	143
ZNF384_64255	ZNF384	29
LRCH3_54289	LRCH3	31
SIRT6_39005	SIRT6	70
USP17L3_74040	USP17L3	81
SMIM2_48739	SMIM2	63
KIAA0319_26202	KIAA0319	50
NRSN1_60970	NRSN1	130
CSRNP3_50652	CSRNP3	37
ADM_367	ADM	86
RBAK-RBAKDN_76185	RBAK-RBAKDN	70
ARFGAP1_43200	ARFGAP1	44
HEXA_8289	HEXA	89
RHD_16134	RHD	48
C2orf66_72330	C2orf66	148
CABS1_54917	CABS1	136
SLC19A2_28492	SLC19A2	79
YIF1B_55507	YIF1B	42
OR5L1_65249	OR5L1	23
NME9_69883	NME9	19
GLOD5_72046	GLOD5	75
STEAP3_42048	STEAP3	38
EFNA1_5335	EFNA1	90
CCNO_27708	CCNO	16
ZNF12_20482	ZNF12	69
BCDIN3D_61293	BCDIN3D	17
HES7_53981	HES7	44
AIF1_552	AIF1	50
ACVR1B_226	ACVR1B	152
OR6K6_59531	OR6K6	45
ADAM18_22881	ADAM18	53
FAF2_32046	FAF2	25
RBP3_15944	RBP3	31
NOMO2_67504	NOMO2	92
RBM11_39734	RBM11	89
CACNA1I_23388	CACNA1I	27
MYPOP_68917	MYPOP	96
ZBED3_53494	ZBED3	200
SQRDL_46516	SQRDL	42
PLXNA1_14227	PLXNA1	27
HNF1B_18826	HNF1B	43
LMOD2_73277	LMOD2	42
TFDP3_38310	TFDP3	97
RIPPLY1_56122	RIPPLY1	71
ESM1_30070	ESM1	141
C17orf102_72225	C17orf102	35
KCNRG_67401	KCNRG	46
SMIM10_73937	SMIM10	109
OLAH_42259	OLAH	101
RAB41_69842	RAB41	171
UBE2G1_19859	UBE2G1	59
GCLM_7204	GCLM	66
TRIM7_51894	TRIM7	52
IFT140_25814	IFT140	116
GALR1_6839	GALR1	104
SFTA3_66376	SFTA3	35
ABI1_26706	ABI1	118
Non-Targeting Control_76856	Non-Targeting Control	195
FAM134A_48976	FAM134A	25
ABCC12_56725	ABCC12	92
SELPLG_17135	SELPLG	135
LACTBL1_74079	LACTBL1	51
KIF26A_34675	KIF26A	62
TM4SF4_19306	TM4SF4	88
ADRB2_426	ADRB2	52
ABHD16B_60920	ABHD16B	65
STAU1_18374	STAU1	231
C12orf43_48229	C12orf43	85
ZAP70_20410	ZAP70	50
DPEP2_47501	DPEP2	134
ERN1_5786	ERN1	44
IFNE_68723	IFNE	74
PLAA_24644	PLAA	18
MAP3K8_3699	MAP3K8	157
BMF_55476	BMF	70
NPC1L1_36683	NPC1L1	60
MLH3_35429	MLH3	62
ZNF845_55945	ZNF845	56
OR2L8_71951	OR2L8	54
RAX_37060	RAX	104
COL2A1_3554	COL2A1	100
Non-Targeting Control_76511	Non-Targeting Control	333
PRKCE_14829	PRKCE	213
S100A6_16735	S100A6	23
TGM2_19125	TGM2	110
MSH5_11767	MSH5	60
RNF144A_25953	RNF144A	77
SLC44A3_59259	SLC44A3	122
LRP5_10805	LRP5	85
MAGEA1_11000	MAGEA1	71
ADCY9_305	ADCY9	17
ATF6B_3871	ATF6B	28
COPZ2_38178	COPZ2	124
ATRNL1_34395	ATRNL1	86
STAT2_18345	STAT2	24
HTR5A_9053	HTR5A	25
ZDHHC7_42841	ZDHHC7	100
COLEC10_28575	COLEC10	35
HGFAC_8321	HGFAC	97
HYPM_33654	HYPM	351
MNDA_11657	MNDA	111
KRTAP19-5_68659	KRTAP19-5	34
CPT1A_3823	CPT1A	30
COL7A1_3606	COL7A1	20
UNC13B_28295	UNC13B	52
ACOT9_33275	ACOT9	115
PBX3_13367	PBX3	61
PP2D1_62541	PP2D1	100
CRIP1_3900	CRIP1	99
SMUG1_33225	SMUG1	203
LPXN_24733	LPXN	168
ZNF7_20467	ZNF7	118
SYCP3_37232	SYCP3	61
CXCL8_9453	CXCL8	105
UBR7_41719	UBR7	112
LHX9_44710	LHX9	260
ADAMTS8_30099	ADAMTS8	35
TNFRSF11B_13045	TNFRSF11B	202
COA1_43223	COA1	95
SLC2A2_17461	SLC2A2	50
NHLRC1_70617	NHLRC1	71
NAGPA_38037	NAGPA	34
THEM5_67897	THEM5	94
FAM129A_57782	FAM129A	62
GALC_6817	GALC	79
POMC_14414	POMC	63
CYB5D2_58865	CYB5D2	42
C16orf96_69382	C16orf96	82
EXOC3L1_67514	EXOC3L1	109
CAMK2N2_56655	CAMK2N2	39
PBRM1_41875	PBRM1	23
FOXC2_6410	FOXC2	56
SPAM1_18042	SPAM1	63
GLB1L_49207	GLB1L	65
PTPN2_15417	PTPN2	23
SNX4_22790	SNX4	162
COL16A1_3653	COL16A1	128
NECAB3_47196	NECAB3	103
HBE1_8207	HBE1	82
RPL39_16446	RPL39	13
FNBP1_31578	FNBP1	93
Non-Targeting Control_76629	Non-Targeting Control	316
PPP2R1B_14619	PPP2R1B	91
FOXD3_35422	FOXD3	153
GJB3_7170	GJB3	46
TRIL_26233	TRIL	80
Non-Targeting Control_77160	Non-Targeting Control	143
PRF1_14733	PRF1	34
UCHL3_19906	UCHL3	16
ALPK1_50931	ALPK1	18
LAIR2_10456	LAIR2	37
JAKMIP3_67168	JAKMIP3	43
STARD10_29237	STARD10	7
MYF5_12013	MYF5	83
TEP1_18978	TEP1	95
BPY2C_73290	BPY2C	140
IL10RB_9484	IL10RB	51
C10orf35_65359	C10orf35	185
CTDSP1_46510	CTDSP1	62
IFIT1_9196	IFIT1	145
RAB3IP_57924	RAB3IP	112
MAPK4_14891	MAPK4	40
NOD2_47435	NOD2	39
FAM127A_23441	FAM127A	189
C12orf56_57556	C12orf56	44
ANKRD1_35482	ANKRD1	66
DEFB110_66136	DEFB110	78
ANKRD31_66690	ANKRD31	58
LCE3E_70102	LCE3E	62
TMEM92_63522	TMEM92	72
RXRA_16684	RXRA	138
TTBK2_61518	TTBK2	21
METTL25_53090	METTL25	75
CXorf51B_75469	CXorf51B	40
SPECC1L_32648	SPECC1L	25
Non-Targeting Control_76639	Non-Targeting Control	45
ZNF575_67762	ZNF575	23
OR4P4_51535	OR4P4	84
ELFN1_72060	ELFN1	36
LMNA_10705	LMNA	19
NLGN4Y_30934	NLGN4Y	67
ABHD8_49301	ABHD8	70
UBL4B_63758	UBL4B	35
FER1L5_55423	FER1L5	123
CTNNA1_4201	CTNNA1	166
FBXL19_40326	FBXL19	80
SHROOM3_46040	SHROOM3	79
HSD11B2_8881	HSD11B2	127
ARSJ_49485	ARSJ	6
SKP2_17416	SKP2	64
RAB11FIP5_34471	RAB11FIP5	62
CBX1_29649	CBX1	15
SMIM9_75462	SMIM9	40
HDHD2_52818	HDHD2	67
C6orf10_28854	C6orf10	95
HEXA_8291	HEXA	4
RASA3_30903	RASA3	149
GABRR1_6797	GABRR1	157
GPR108_44607	GPR108	77
SLC2A1_17457	SLC2A1	180
ZNF71_46573	ZNF71	64
OR51F2_58179	OR51F2	38
HAL_8165	HAL	20
ZRANB3_52887	ZRANB3	59
NCLN_44603	NCLN	30
CLEC12B_70871	CLEC12B	39
ELMO2_47127	ELMO2	152
LVRN_65184	LVRN	29
RAP2B_15823	RAP2B	156
AMY2A_774	AMY2A	40
RHO_16141	RHO	24
Non-Targeting Control_77119	Non-Targeting Control	284
PRKCDBP_56790	PRKCDBP	10
POLR3GL_53272	POLR3GL	54
RGS7_16107	RGS7	39
CD40LG_2702	CD40LG	58
CUEDC1_72654	CUEDC1	64
MGAT4C_33855	MGAT4C	54
PPP4R4_46323	PPP4R4	70
TMEM120A_52555	TMEM120A	34
PPP2R5A_14643	PPP2R5A	79
MAPK8IP3_31915	MAPK8IP3	53
NUDT15_42146	NUDT15	144
GOLT1B_37579	GOLT1B	136
ZNF812_74967	ZNF812	40
PCDHGB2_43901	PCDHGB2	59
LDLRAD1_71128	LDLRAD1	175
TCEAL3_54717	TCEAL3	85
MAP3K9_11529	MAP3K9	51
GIMAP6_73349	GIMAP6	33
TSHZ3_46032	TSHZ3	115
DDX53_63997	DDX53	85
UNC79_45908	UNC79	122
PPFIA3_22259	PPFIA3	29
SHBG_17301	SHBG	9
CCDC24_62184	CCDC24	73
ZC3H12D_69102	ZC3H12D	115
ARRDC5_74025	ARRDC5	14
LRRC14B_71344	LRRC14B	162
RNF10_26437	RNF10	39
ANKRD33B_74219	ANKRD33B	10
ALPP_693	ALPP	105
CHST14_56956	CHST14	34
SPATA25_59561	SPATA25	74
TRIQK_68371	TRIQK	121
Non-Targeting Control_76564	Non-Targeting Control	166
CELF5_47008	CELF5	47
FATE1_55211	FATE1	75
ASCL4_58406	ASCL4	91
APBB1_889	APBB1	34
GGNBP2_50286	GGNBP2	45
IRGC_44197	IRGC	95
HERC4_34543	HERC4	43
OSBP2_33536	OSBP2	162
ITGB4_9809	ITGB4	54
BAHCC1_45978	BAHCC1	22
SYTL2_40739	SYTL2	45
FFAR1_7622	FFAR1	108
SYP_18574	SYP	78
ODF3L1_63460	ODF3L1	151
PHGR1_73957	PHGR1	25
Non-Targeting Control_77216	Non-Targeting Control	261
PLEKHO2_51055	PLEKHO2	50
MYBPC1_11973	MYBPC1	111
CYLC2_4327	CYLC2	31
ALKBH4_40562	ALKBH4	117
C7orf66_62945	C7orf66	273
GNAT2_7339	GNAT2	47
MFAP3_11402	MFAP3	40
USP3_26570	USP3	52
MAP2K6_14940	MAP2K6	26
IL1R2_20995	IL1R2	18
CRH_3882	CRH	74
MTNR1A_11881	MTNR1A	59
GIMAP6_73351	GIMAP6	22
PRKD1_14853	PRKD1	143
COQ9_44847	COQ9	21
TWIST1_19758	TWIST1	72
PARG_22130	PARG	66
POMC_14413	POMC	109
EID1_33503	EID1	103
CCSAP_59215	CCSAP	53
TAS2R3_37363	TAS2R3	44
LANCL3_69812	LANCL3	53
C10orf67_66816	C10orf67	64
LBP_10520	LBP	37
GDF1_7021	GDF1	41
TNFAIP2_19370	TNFAIP2	42
STX19_72802	STX19	33
FMN2_44409	FMN2	70
CLIC2_3386	CLIC2	87
SCN4B_16899	SCN4B	51
ARSK_62809	ARSK	95
KLK11_29842	KLK11	35
PLK5_59169	PLK5	107
CHMP1A_13447	CHMP1A	57
PCSK2_13464	PCSK2	12
PEG3_13653	PEG3	38
NSMCE1_64531	NSMCE1	27
COQ9_44848	COQ9	37
AHSA2_59884	AHSA2	27
PEX3_22125	PEX3	27
CEP120_62761	CEP120	59
LVRN_65182	LVRN	135
RFWD2_47633	RFWD2	97
SYN3_21429	SYN3	182
TRDMT1_4944	TRDMT1	198
STAU2_35488	STAU2	43
CALCOCO1_46144	CALCOCO1	32
KIAA0040_25572	KIAA0040	197
CLDN22_39671	CLDN22	80
TAF4_18639	TAF4	83
EGFR_5389	EGFR	143
C11orf63_50183	C11orf63	84
CCDC110_66748	CCDC110	80
RSPO3_54321	RSPO3	285
IL36RN_35130	IL36RN	18
VWC2L_72541	VWC2L	42
APOBEC3F_64699	APOBEC3F	195
NPB_66822	NPB	106
HSDL2_53263	HSDL2	74
KRTAP16-1_75846	KRTAP16-1	31
DNAJC18_64975	DNAJC18	16
LPPR4_26323	LPPR4	31
GRK7_60000	GRK7	46
CACNA2D4_56552	CACNA2D4	73
SLC45A3_54895	SLC45A3	65
CNTROB_57828	CNTROB	11
OR6C75_71759	OR6C75	36
NLGN3_39889	NLGN3	142
WFDC8_55343	WFDC8	71
SYNJ2_23249	SYNJ2	69
FAM76B_61219	FAM76B	45
10-Mar_63504	10-Mar	43
MYH9_12052	MYH9	139
REG1A_15988	REG1A	9
PRADC1_53325	PRADC1	18
C16orf13_53490	C16orf13	26
G6PC2_46422	G6PC2	63
RNASE1_16173	RNASE1	116
ST3GAL6_27972	ST3GAL6	22
CD5L_2579	CD5L	131
PARP15_63848	PARP15	71
ENPP1_13620	ENPP1	16
FUT3_6650	FUT3	293
GBP7_71131	GBP7	103
RRAD_16631	RRAD	72
GREM1_35199	GREM1	77
SESN2_52357	SESN2	95
CLIC4_34124	CLIC4	140
CT47A5_74552	CT47A5	169
OC90_74886	OC90	180
WISP2_23157	WISP2	114
PLCXD1_42401	PLCXD1	81
NHLH1_12596	NHLH1	162
PDE7B_35604	PDE7B	59
FAM179B_31776	FAM179B	67
ROR2_12911	ROR2	26
PTBP3_26667	PTBP3	39
KLHL38_69154	KLHL38	110
ZNF658_34663	ZNF658	83
SPINK6_72658	SPINK6	56
HDAC7_39043	HDAC7	41
RASA4B_75569	RASA4B	35
IRAK1_9682	IRAK1	190
SPACA4_64270	SPACA4	68
TMEM177_51350	TMEM177	65
ZNF227_20861	ZNF227	19
PLEKHB1_46521	PLEKHB1	33
FAM184A_49451	FAM184A	45
ORAI1_54345	ORAI1	94
NKX1-1_40445	NKX1-1	125
SPRYD3_54505	SPRYD3	52
CAPN7_32898	CAPN7	148
MAPKAPK2_24339	MAPKAPK2	50
RALGAPB_45126	RALGAPB	101
OR4C16_65231	OR4C16	12
SULT4A1_33842	SULT4A1	97
TMEM207_60004	TMEM207	100
ACOT9_33278	ACOT9	202
RAX_37059	RAX	80
USP17L2_70593	USP17L2	8
PATL1_65511	PATL1	48
BCL11B_48246	BCL11B	30
ARPC2_27035	ARPC2	28
ITM2C_51805	ITM2C	60
OR1D2_13074	OR1D2	55
VPS8_32556	VPS8	51
TMEM184B_33836	TMEM184B	10
NDST3_24556	NDST3	35
RASSF2_25913	RASSF2	47
SH3BP2_17279	SH3BP2	214
LAMP2_10503	LAMP2	148
FTSJ1_33603	FTSJ1	33
FOXB1_35425	FOXB1	40
PITHD1_44962	PITHD1	129
MOV10_11685	MOV10	82
CD82_9933	CD82	69
ZNF829_70376	ZNF829	144
CD80_2631	CD80	68
THAP3_55408	THAP3	102
FABP12_74101	FABP12	66
VCY_23810	VCY	149
OR7A17_34993	OR7A17	90
OR8H2_71644	OR8H2	82
DTX3L_62534	DTX3L	15
LRRTM1_69859	LRRTM1	41
MNX1_8397	MNX1	41
ATE1_30123	ATE1	104
SSTR5_18298	SSTR5	32
HAL_8168	HAL	109
SCARA5_68368	SCARA5	94
CSF2_4020	CSF2	109
FZR1_38564	FZR1	21
PTX4_71842	PTX4	44
CTTN_5565	CTTN	21
OR51E1_61200	OR51E1	195
KLHL41_27756	KLHL41	10
OLFM4_28498	OLFM4	219
PPEF2_14508	PPEF2	29
JMJD4_48413	JMJD4	9
CT45A10_76402	CT45A10	168
ZNF343_49082	ZNF343	86
PLEKHH1_45567	PLEKHH1	127
CRIP2_3902	CRIP2	94
SLIRP_52032	SLIRP	24
UACA_41494	UACA	62
SPC25_45420	SPC25	6
INSM2_54023	INSM2	165
LYPD3_35516	LYPD3	71
PIGL_24982	PIGL	77
NMU_29388	NMU	72
SRXN1_60991	SRXN1	135
SIAE_39892	SIAE	71
GTF2H2C_74641	GTF2H2C	28
PCBD1_13375	PCBD1	81
LOC102724279_76417	LOC102724279	77
HNRNPR_27463	HNRNPR	91
NTN1_24795	NTN1	72
OGFOD3_49680	OGFOD3	27
SPINT2_28810	SPINT2	27
OR4Q3_73190	OR4Q3	176
KCNMB4_36089	KCNMB4	137
HAUS1_57416	HAUS1	98
ABHD11_52128	ABHD11	94
HLA-E_8452	HLA-E	43
FABP7_6022	FABP7	122
ZNF275_29284	ZNF275	85
NCAN_4104	NCAN	244
KRTAP3-2_52651	KRTAP3-2	161
DAGLB_65931	DAGLB	27
LVRN_65181	LVRN	143
ADCYAP1R1_315	ADCYAP1R1	33
TMEM244_66317	TMEM244	163
SHBG_17303	SHBG	53
PDIK1L_62162	PDIK1L	101
SLC17A2_27501	SLC17A2	52
ZBTB21_37171	ZBTB21	150
FAM3B_39766	FAM3B	37
SNX12_36830	SNX12	126
KLF3_38320	KLF3	174
KITLG_11450	KITLG	26
NKX2-6_60504	NKX2-6	120
KRTAP4-12_52478	KRTAP4-12	34
ADARB1_270	ADARB1	31
HSPB8_35009	HSPB8	25
ERICH6B_65554	ERICH6B	107
ZGLP1_75134	ZGLP1	93
CCDC176_50742	CCDC176	117
TCEANC2_59353	TCEANC2	101
ZBTB48_8374	ZBTB48	123
KIRREL3_53860	KIRREL3	145
LGALS1_10591	LGALS1	60
ANP32D_33029	ANP32D	80
PTGES3L_76253	PTGES3L	26
FAM63A_43397	FAM63A	46
GTPBP2_40394	GTPBP2	82
DPP9-AS1_75351	DPP9-AS1	43
FAM47C_73269	FAM47C	59
SFRP5_17188	SFRP5	40
NGFRAP1_35407	NGFRAP1	140
SLC22A6_24586	SLC22A6	151
LY6G5C_51288	LY6G5C	21
C7orf25_48727	C7orf25	57
ABCC12_56727	ABCC12	89
SPACA1_51936	SPACA1	25
THSD7A_65938	THSD7A	122
NCOA5_46348	NCOA5	55
BAHD1_31141	BAHD1	27
PCDHGB4_22529	PCDHGB4	139
UQCC3_75110	UQCC3	78
PRSS45_70590	PRSS45	48
OR10Z1_59526	OR10Z1	62
NDUFA4_12280	NDUFA4	15
FPGT_22982	FPGT	52
PAPD4_63942	PAPD4	25
KCNK1_10081	KCNK1	42
PRKCH_14839	PRKCH	76
NPY5R_12826	NPY5R	96
IFT52_37792	IFT52	147
DSEL_56117	DSEL	70
DNASE1L2_4906	DNASE1L2	148
KRTAP29-1_76158	KRTAP29-1	195
WDR47_31206	WDR47	192
ADGRA1_53586	ADGRA1	48
HSFX2_75253	HSFX2	97
AXL_1540	AXL	125
ZNF627_64553	ZNF627	65
SRP19_18205	SRP19	42
PIP4K2B_21826	PIP4K2B	67
GNA13_28881	GNA13	124
ARSH_69846	ARSH	93
CEP250_30434	CEP250	15
FILIP1_35675	FILIP1	59
TTLL9_63775	TTLL9	131
ZNF839_43343	ZNF839	112
FBN1_6109	FBN1	36
AP1S3_59795	AP1S3	47
ADM2_50371	ADM2	140
NRN1_38414	NRN1	126
MPDZ_22945	MPDZ	87
PAGE2B_71517	PAGE2B	147
SPRR3_18131	SPRR3	41
PKP3_30419	PKP3	19
SLC7A6_23728	SLC7A6	41
MAMDC2_66798	MAMDC2	40
8-Mar_65640	8-Mar	94
CGB2_57125	CGB2	6
DNAJB1_8987	DNAJB1	6
PCDHA9_25854	PCDHA9	80
THBS2_19144	THBS2	57
CD200R1L_69638	CD200R1L	63
SLC4A9_52384	SLC4A9	24
OVGP1_13149	OVGP1	58
SRC_18159	SRC	11
EIF2AK3_24872	EIF2AK3	105
KY_69037	KY	42
PANK3_49499	PANK3	228
GOLIM4_36044	GOLIM4	22
KIF24_69789	KIF24	91
UBQLNL_61206	UBQLNL	46
PLOD1_14192	PLOD1	71
IER5L_71481	IER5L	171
REPS2_24128	REPS2	56
PLA2G12A_51747	PLA2G12A	50
MBOAT7_48991	MBOAT7	72
PTPRK_15500	PTPRK	30
IER3_23245	IER3	95
CCDC146_46091	CCDC146	9
C19orf18_61820	C19orf18	49
KLHL6_55174	KLHL6	37
MRC1_11736	MRC1	264
MSL1_68894	MSL1	20
GGT7_7098	GGT7	29
ISM2_61439	ISM2	179
PHKA1_13863	PHKA1	65
ATP6V0D1_23904	ATP6V0D1	29
ZNF462_46603	ZNF462	10
CEACAM1_1713	CEACAM1	102
CLPTM1_3423	CLPTM1	278
LRRD1_72417	LRRD1	107
CLIC4_34126	CLIC4	139
TP63_22483	TP63	65
FOXR1_67224	FOXR1	103
PGLYRP3_57165	PGLYRP3	69
MYO9B_12131	MYO9B	160
KLHL25_47731	KLHL25	60
DNAH3_42677	DNAH3	27
TMEM251_34724	TMEM251	24
AIM2_24858	AIM2	39
WBSCR28_60370	WBSCR28	83
FSHB_6595	FSHB	170
C20orf196_62229	C20orf196	48
PLGLB2_14159	PLGLB2	29
NEDD4_12408	NEDD4	36
ARHGAP35_7781	ARHGAP35	82
PKMYT1_23826	PKMYT1	45
SCAF11_24079	SCAF11	121
LCE1F_70075	LCE1F	123
SYT8_55274	SYT8	22
ACVR2B_234	ACVR2B	70
KLRC2_10229	KLRC2	94
PPM1K_62727	PPM1K	79
PVRL2_15564	PVRL2	55
TBC1D15_48062	TBC1D15	84
PTCHD2_45779	PTCHD2	68
ABHD15_57703	ABHD15	57
ESM1_30067	ESM1	133
COMTD1_58089	COMTD1	53
SPACA3_58848	SPACA3	11
C1QTNF8_71838	C1QTNF8	72
FAM156B_74502	FAM156B	48
XG_20333	XG	137
MYADML2_66593	MYADML2	176
SCN3B_43419	SCN3B	47
SENP1_36659	SENP1	47
MAPK4_14892	MAPK4	43
TMEM210_75855	TMEM210	60
FABP6_6019	FABP6	156
NDRG1_27949	NDRG1	86
LMO7_10727	LMO7	49
SUV420H2_54180	SUV420H2	90
UCP2_19921	UCP2	70
ZC3H3_31863	ZC3H3	66
DAB2IP_62744	DAB2IP	55
WNT9B_20310	WNT9B	54
Non-Targeting Control_76643	Non-Targeting Control	411
ADH6_356	ADH6	110
NXF3_43837	NXF3	61
Non-Targeting Control_76797	Non-Targeting Control	323
GPAM_46194	GPAM	42
HOXC6_8722	HOXC6	59
COL9A1_3618	COL9A1	45
SERF2_27237	SERF2	53
C1orf146_71135	C1orf146	16
HAUS2_41698	HAUS2	69
LRRC28_58618	LRRC28	95
MOGAT2_50828	MOGAT2	23
TEX13A_44070	TEX13A	197
RASA4B_75571	RASA4B	25
LMLN_55113	LMLN	19
CCDC160_69832	CCDC160	140
TRMT10B_63133	TRMT10B	89
CDK2AP2_27558	CDK2AP2	81
HNF4G_8559	HNF4G	36
MAGEB6_63232	MAGEB6	116
EXOC3L2_55412	EXOC3L2	71
ANKS6_65087	ANKS6	63
FXR2_25057	FXR2	29
COL10A1_3632	COL10A1	21
UBE2E2_19853	UBE2E2	13
PDIA3_7834	PDIA3	32
ATP7B_1500	ATP7B	20
EPHA7_5661	EPHA7	189
TSC1_19629	TSC1	48
Non-Targeting Control_77102	Non-Targeting Control	241
GAGE2A_74930	GAGE2A	82
DENND6A_64925	DENND6A	74
CD36_2657	CD36	46
OR8S1_69337	OR8S1	80
SBK3_75316	SBK3	115
CCDC36_69035	CCDC36	30
ZSCAN30_75124	ZSCAN30	70
SLC25A52_61779	SLC25A52	73
CCL23_17031	CCL23	31
ZNF148_20718	ZNF148	75
RHOXF2B_74523	RHOXF2B	78
RFXAP_16084	RFXAP	23
RUFY3_31171	RUFY3	66
SLC6A19_69078	SLC6A19	41
GREB1_25615	GREB1	41
ASIP_1254	ASIP	125
CTDSPL2_38875	CTDSPL2	20
MON1B_31094	MON1B	75
IBSP_9085	IBSP	129
SYNGAP1_23125	SYNGAP1	53
HDHD1_21438	HDHD1	55
ASB13_49856	ASB13	98
RHCE_16132	RHCE	242
POU4F3_14471	POU4F3	40
Non-Targeting Control_77279	Non-Targeting Control	210
ZSCAN5B_69467	ZSCAN5B	103
AFF4_35627	AFF4	59
UPF3A_48428	UPF3A	30
BTBD3_31178	BTBD3	157
LRRC24_73112	LRRC24	51
RIMBP3C_62280	RIMBP3C	126
BRK1_43556	BRK1	81
CAGE1_68281	CAGE1	50
CCDC173_59756	CCDC173	105
TMEM68_60489	TMEM68	46
ENPP4_31078	ENPP4	49
ANKRD54_59672	ANKRD54	79
SLC2A6_30401	SLC2A6	99
EIF4E1B_66293	EIF4E1B	145
OVOL1_13156	OVOL1	183
PUS1_51133	PUS1	33
PCCB_13392	PCCB	82
RNF103-CHMP3_76027	RNF103-CHMP3	13
RNF115_35869	RNF115	93
TIGD1_64760	TIGD1	41
KLHL6_55173	KLHL6	61
DOT1L_53612	DOT1L	36
NXF2_43840	NXF2	52
GHRL_39406	GHRL	17
NFIC_12525	NFIC	50
PHF7_38970	PHF7	18
DNTT_4953	DNTT	95
PPP1R37_67776	PPP1R37	46
PLVAP_52186	PLVAP	45
IFNL1_67129	IFNL1	169
FADS1_10687	FADS1	83
MAP1B_11105	MAP1B	46
ZNF593_37611	ZNF593	286
PLIN2_330	PLIN2	82
ACKR3_44837	ACKR3	148
CCND2_2489	CCND2	91
SLC35G1_63290	SLC35G1	40
TPPP_30045	TPPP	34
ACTR3C_74421	ACTR3C	151
ASIC5_39494	ASIC5	128
TMEM244_66318	TMEM244	107
DDX24_44922	DDX24	44
SLC22A2_17708	SLC22A2	168
CCSER1_72370	CCSER1	62
KIFAP3_31235	KIFAP3	80
FREM3_63902	FREM3	51
HIP1R_23626	HIP1R	14
PHF7_38969	PHF7	53
Non-Targeting Control_76467	Non-Targeting Control	198
ZNF791_63611	ZNF791	113
ANKRD42_68786	ANKRD42	148
SERTAD1_36881	SERTAD1	33
FNDC3A_31027	FNDC3A	65
DEFB133_72642	DEFB133	45
OTOR_44559	OTOR	126
