sgRNA	Gene	Clip2_5_DE_GFP_low_BC18_IGO_09496_10_S10
TCEB3C_63564	TCEB3C	69
GOLGA8J_74234	GOLGA8J	21
FAM131C_69954	FAM131C	24
NUDT7_67540	NUDT7	96
NRM_30655	NRM	67
FN3KRP_49588	FN3KRP	24
TMEM121_51308	TMEM121	27
EZH1_5931	EZH1	17
PATL1_65510	PATL1	76
GNRHR_7404	GNRHR	11
TNXB_19435	TNXB	5
EMX1_5564	EMX1	68
C15orf26_63440	C15orf26	46
TFEB_21114	TFEB	26
OR8A1_71752	OR8A1	18
AIM2_24859	AIM2	19
JAG1_512	JAG1	36
C14orf142_53733	C14orf142	33
PRSS16_27612	PRSS16	122
ATP10B_31787	ATP10B	80
SSTR1_18283	SSTR1	25
HES2_40346	HES2	35
MYH9_12050	MYH9	46
ETV3L_72992	ETV3L	80
RBM33_62992	RBM33	26
KIAA1456_45991	KIAA1456	37
NCR3_66936	NCR3	18
SAMD5_71393	SAMD5	118
NUP153_26609	NUP153	87
CCNE2_23976	CCNE2	41
SH3GLB2_44529	SH3GLB2	23
HEPH_26159	HEPH	38
HRH1_8840	HRH1	74
NRAP_12833	NRAP	22
EPPIN_45037	EPPIN	47
TRIM14_26119	TRIM14	58
TMTC3_63333	TMTC3	92
MATN3_11163	MATN3	38
MPPE1_48484	MPPE1	15
ZNF333_53631	ZNF333	70
UMPS_19985	UMPS	28
KLHL12_46807	KLHL12	41
KRT40_58916	KRT40	33
NDUFA3_12276	NDUFA3	22
ESR2_5805	ESR2	77
PATE2_72162	PATE2	75
MTFR1_25487	MTFR1	16
LYSMD1_71156	LYSMD1	12
PRRX1_14290	PRRX1	108
BICC1_50713	BICC1	52
LY6E_10880	LY6E	33
PHF23_48988	PHF23	15
MEIS1_11334	MEIS1	28
HIST1H2AJ_21626	HIST1H2AJ	22
LPPR1_40895	LPPR1	65
LRRC69_75313	LRRC69	43
STARD3NL_52678	STARD3NL	101
MYH4_12033	MYH4	29
NNT_33068	NNT	26
ETV3L_72990	ETV3L	72
MATN4_22962	MATN4	42
CST7_22213	CST7	54
OPN1MW2_74702	OPN1MW2	14
OLIG3_63976	OLIG3	86
SLC25A36_41852	SLC25A36	11
MPZL3_64377	MPZL3	40
SPANXN4_73162	SPANXN4	64
CHML_3182	CHML	72
POMGNT2_54387	POMGNT2	30
MAP3K4_11352	MAP3K4	64
DEFB1_4698	DEFB1	23
CCL26_27811	CCL26	18
PATE1_63308	PATE1	38
OR11H2_49165	OR11H2	2
TOR1AIP1_34548	TOR1AIP1	35
GPR75-ASB3_75738	GPR75-ASB3	47
ACTL7B_29412	ACTL7B	28
EFNA1_5336	EFNA1	29
RSAD2_55880	RSAD2	32
ADRA1A_406	ADRA1A	80
CACNA1D_2152	CACNA1D	52
CCDC43_58827	CCDC43	65
PDE6A_13529	PDE6A	56
CCDC113_36381	CCDC113	13
ASPSCR1_48828	ASPSCR1	19
KDM3B_39490	KDM3B	14
CA5A_2111	CA5A	20
NUDT17_64645	NUDT17	36
HTR3B_24097	HTR3B	42
CCDC58_59905	CCDC58	50
ATP2B2_1381	ATP2B2	18
LARS2_32680	LARS2	22
HRH4_46781	HRH4	9
DENND6B_72790	DENND6B	72
OR51V1_67203	OR51V1	24
TPRA1_59974	TPRA1	35
SDR39U1_44678	SDR39U1	10
ZNF544_35975	ZNF544	88
ATP1A3_1338	ATP1A3	48
MLKL_64506	MLKL	38
STIL_17375	STIL	8
ZNF790_71055	ZNF790	13
ANXA7_846	ANXA7	41
ASPRV1_62514	ASPRV1	44
ZNF813_59013	ZNF813	11
OR52N1_49257	OR52N1	16
LTF_10862	LTF	93
TSSC1_19662	TSSC1	56
PTK7_15392	PTK7	29
PNLIP_14293	PNLIP	50
RUSC1-AS1_67946	RUSC1-AS1	61
ATP2C1_35437	ATP2C1	52
FAM43B_63739	FAM43B	35
ABCA12_34681	ABCA12	5
GLI1_7217	GLI1	14
RCVRN_15963	RCVRN	45
ZNF430_51025	ZNF430	34
YRDC_49654	YRDC	17
CST9_59611	CST9	40
CREB3_28262	CREB3	34
PDCD2L_53424	PDCD2L	44
CAMSAP1_63084	CAMSAP1	38
CNTRL_30001	CNTRL	65
SMIM10_73937	SMIM10	87
TMEM106B_40377	TMEM106B	91
GAGE10_76421	GAGE10	67
QRICH2_52856	QRICH2	78
CTSA_14521	CTSA	49
SPEM1_70321	SPEM1	41
OR6C70_71765	OR6C70	64
CD109_60337	CD109	23
LARP4B_32000	LARP4B	31
SLC7A1_17563	SLC7A1	21
OR5T2_65268	OR5T2	20
UACA_41493	UACA	17
ATL3_34091	ATL3	62
MPPED2_2056	MPPED2	103
C5orf64_68250	C5orf64	56
CDC14B_22302	CDC14B	55
ZNF804A_55990	ZNF804A	9
GLTSCR1L_32978	GLTSCR1L	20
KCNRG_67401	KCNRG	33
ERBB3_5734	ERBB3	7
DGKI_24063	DGKI	22
RABGAP1L_26399	RABGAP1L	69
MYOZ2_39485	MYOZ2	44
PDE5A_22577	PDE5A	58
PTK7_15389	PTK7	64
DNAJB13_70282	DNAJB13	3
FBXO43_68377	FBXO43	42
HMGCR_8504	HMGCR	38
ETNK2_41993	ETNK2	19
CEBPZ_27177	CEBPZ	7
GRIN2C_7767	GRIN2C	4
TBC1D4_26293	TBC1D4	22
SLC35A3_32827	SLC35A3	36
LETMD1_33959	LETMD1	9
KCTD18_59823	KCTD18	29
RFX3_16072	RFX3	82
GTF2E2_7940	GTF2E2	15
RAD54B_33701	RAD54B	23
SPANXC_47879	SPANXC	32
METTL23_58755	METTL23	54
RPP40_29199	RPP40	43
TXLNB_63979	TXLNB	15
FRMPD3_53607	FRMPD3	79
ZNF684_59351	ZNF684	24
RPAP1_34347	RPAP1	11
HEXA_8291	HEXA	16
VMAC_72244	VMAC	21
ADAP2_43432	ADAP2	63
PPP2R5B_14646	PPP2R5B	5
MYADM_55942	MYADM	34
PHYHD1_66459	PHYHD1	47
CRYL1_37740	CRYL1	30
SLC2A8_36982	SLC2A8	20
TTK_19697	TTK	11
SFTA3_66373	SFTA3	34
CDK2AP2_27557	CDK2AP2	84
SLC6A2_17522	SLC6A2	38
PPP1R12A_12149	PPP1R12A	15
PHGR1_73956	PHGR1	19
C6orf223_65787	C6orf223	21
RAD51AP1_28749	RAD51AP1	20
ABCG5_47584	ABCG5	28
GATM_6928	GATM	24
AQP1_1018	AQP1	24
TNS3_47970	TNS3	42
PLCB4_14119	PLCB4	20
ECHDC1_43612	ECHDC1	23
OR52J3_58164	OR52J3	75
CLDN25_73943	CLDN25	14
SLFN12_41579	SLFN12	24
SFTPC_17229	SFTPC	14
PCDHGB2_43902	PCDHGB2	17
RSPH6A_51604	RSPH6A	39
ZNRF3_52963	ZNRF3	93
CNKSR3_62856	CNKSR3	86
ZNF627_64554	ZNF627	39
KLRC1_10227	KLRC1	19
WASF3_29241	WASF3	13
FADS3_10696	FADS3	53
FLJ44635_72050	FLJ44635	54
UTP14C_25747	UTP14C	24
SVOPL_60429	SVOPL	24
SCGB3A1_56196	SCGB3A1	48
KIAA1211_45598	KIAA1211	33
STMN1_10511	STMN1	28
ZNF75A_20604	ZNF75A	16
STAG2_29021	STAG2	40
LENEP_43669	LENEP	20
UBE2L6_24296	UBE2L6	26
ARHGAP11A_26096	ARHGAP11A	22
NCR2_24818	NCR2	9
KLHL7_43826	KLHL7	103
TMED8_67422	TMED8	88
FAM169A_34450	FAM169A	64
TMEM14E_74047	TMEM14E	71
SLC4A9_52384	SLC4A9	22
FPR1_6561	FPR1	28
WNT2B_20304	WNT2B	14
PSME3_27313	PSME3	15
C14orf1_30321	C14orf1	14
CBFA2T3_2410	CBFA2T3	13
PEX11G_56399	PEX11G	55
TSPAN32_26927	TSPAN32	37
NR1D2_26618	NR1D2	41
TRPM1_11578	TRPM1	17
LIMD2_51344	LIMD2	26
LRRIQ4_69613	LRRIQ4	88
PHF21B_56888	PHF21B	7
SERPINB6_13901	SERPINB6	23
HAP1_23574	HAP1	28
LILRA2_29895	LILRA2	20
CCDC33_50738	CCDC33	15
METTL6_60008	METTL6	17
CRYBG3_59957	CRYBG3	26
TCEB3CL2_75924	TCEB3CL2	22
PTPN3_15422	PTPN3	29
TBC1D21_63441	TBC1D21	99
OTOS_62366	OTOS	72
HOXA13_8676	HOXA13	51
ANG_783	ANG	69
MOSPD2_63212	MOSPD2	62
KIAA1524_46130	KIAA1524	32
SIAH3_67400	SIAH3	90
GCA_33750	GCA	16
LRCH3_54289	LRCH3	46
WDR45_30285	WDR45	70
SLC15A4_58342	SLC15A4	9
ITGB3BP_32772	ITGB3BP	28
BOLL_48621	BOLL	30
ACSM3_16800	ACSM3	81
ATP12A_1343	ATP12A	24
C6orf106_48010	C6orf106	11
SYT6_62005	SYT6	20
PNOC_14249	PNOC	72
MYH8_12046	MYH8	24
TMEM119_68806	TMEM119	54
CUL2_21984	CUL2	35
CMSS1_53473	CMSS1	15
GNAT2_7338	GNAT2	27
SPRR4_63717	SPRR4	36
ST8SIA4_21053	ST8SIA4	43
AK5_34959	AK5	18
TAC4_66558	TAC4	10
ARID4A_15879	ARID4A	23
MID2_29938	MID2	92
OR10G3_35151	OR10G3	33
DDR1_2168	DDR1	54
TARBP1_18711	TARBP1	31
UFM1_39058	UFM1	16
ARID3C_60604	ARID3C	7
CUX2_32436	CUX2	64
ZNF689_57500	ZNF689	35
DUSP7_5166	DUSP7	24
MRPS25_47801	MRPS25	18
ALX3_703	ALX3	56
SLC39A5_67335	SLC39A5	77
ZNF415_43374	ZNF415	41
SLC45A3_54898	SLC45A3	59
TNRC6B_31766	TNRC6B	37
HLA-DPB1_8416	HLA-DPB1	38
DENND1C_50463	DENND1C	40
CCDC155_61883	CCDC155	44
SEC23B_28242	SEC23B	50
BCL9L_67220	BCL9L	10
STAU2_35487	STAU2	26
RHOD_36968	RHOD	26
MPO_11706	MPO	38
NAF1_56221	NAF1	70
KCNN4_10116	KCNN4	11
LDLRAP1_34601	LDLRAP1	38
DECR2_34496	DECR2	33
KIAA1211L_69578	KIAA1211L	25
PRDM16_47243	PRDM16	60
GADL1_69052	GADL1	103
RNF34_50880	RNF34	30
SLC25A33_53312	SLC25A33	55
PFN3_69682	PFN3	96
LDLRAD1_71128	LDLRAD1	106
CFAP44_43349	CFAP44	30
GPR34_7604	GPR34	63
BMP4_1781	BMP4	25
IFNAR2_9259	IFNAR2	30
SLC39A6_33743	SLC39A6	50
C6orf62_51861	C6orf62	29
GPR65_22046	GPR65	53
SLC4A3_17437	SLC4A3	30
BMP7_1794	BMP7	45
TSPAN9_29365	TSPAN9	27
MLST8_47562	MLST8	6
CLRN2_73982	CLRN2	56
NPPB_12791	NPPB	18
PRKAR2A_14812	PRKAR2A	55
MRPL22_36449	MRPL22	12
AADACL2_69623	AADACL2	28
FOXD4L5_74311	FOXD4L5	26
A3GALT2_59379	A3GALT2	76
TPRG1_68152	TPRG1	29
RUNX3_2416	RUNX3	10
PALM2_57116	PALM2	14
SHC1_17306	SHC1	13
TMEM256_66513	TMEM256	40
MBD3L3_74386	MBD3L3	21
NKAPL_66059	NKAPL	30
TMEM263_55498	TMEM263	63
DMRTA2_47217	DMRTA2	10
MFN2_26462	MFN2	21
MYO1G_47265	MYO1G	77
MAFG_10989	MAFG	27
SCN2B_16886	SCN2B	11
LMOD1_33754	LMOD1	53
CSF1_4009	CSF1	18
OR10K2_71926	OR10K2	72
ERP44_31640	ERP44	71
GLIS3_64090	GLIS3	35
C16orf52_75041	C16orf52	66
TRIM32_31328	TRIM32	74
L3MBTL1_34344	L3MBTL1	42
C19orf67_74092	C19orf67	60
ASPHD2_45184	ASPHD2	55
ABLIM2_53630	ABLIM2	6
CACNA1C_2147	CACNA1C	22
TIMM23_75654	TIMM23	35
MYRIP_34095	MYRIP	30
ADAM19_22810	ADAM19	22
PRKAA2_14766	PRKAA2	11
SYNJ2BP-COX16_76133	SYNJ2BP-COX16	89
GUSB_8027	GUSB	42
ZNF879_69685	ZNF879	15
UTP14A_29250	UTP14A	66
EXD3_41042	EXD3	40
SUGCT_49930	SUGCT	24
SSX4B_73520	SSX4B	57
ORC6_33263	ORC6	6
PNO1_44521	PNO1	9
C11orf63_50183	C11orf63	46
SH3GLB2_44527	SH3GLB2	76
C17orf47_67627	C17orf47	47
PLRG1_14207	PLRG1	29
EFEMP2_37034	EFEMP2	84
EEF2_5328	EEF2	15
DIP2C_31363	DIP2C	58
CDK14_13779	CDK14	128
TMEM50B_2085	TMEM50B	59
CAND1_43520	CAND1	19
PRKCG_14836	PRKCG	86
HS6ST1_24701	HS6ST1	16
ZNF180_20767	ZNF180	27
C11orf21_36562	C11orf21	44
GDF11_27407	GDF11	20
CTR9_25469	CTR9	21
UGP2_19951	UGP2	22
BNC2_40585	BNC2	31
TNFRSF1A_19382	TNFRSF1A	20
PSAT1_36935	PSAT1	79
CYB561D2_30015	CYB561D2	20
CEBPG_3017	CEBPG	59
SLC6A3_17526	SLC6A3	13
MCHR1_7571	MCHR1	75
C7orf61_72571	C7orf61	11
TMUB1_52239	TMUB1	28
NFE2L1_12514	NFE2L1	58
CLOCK_25260	CLOCK	48
OTOL1_59918	OTOL1	33
KRT26_70133	KRT26	44
SMIM19_57361	SMIM19	49
MFSD1_47938	MFSD1	17
TAL2_18692	TAL2	39
SMIM6_75328	SMIM6	24
Non-Targeting Control_77208	Non-Targeting Control	136
GNG10_7374	GNG10	53
ZNF823_42644	ZNF823	9
FAM229A_75149	FAM229A	82
PDGFB_13569	PDGFB	32
ZNF32_20541	ZNF32	21
CYGB_57154	CYGB	36
TMPRSS11A_69063	TMPRSS11A	38
TIAM2_34794	TIAM2	10
POU4F2_14465	POU4F2	22
MAGEB2_11045	MAGEB2	40
NKAP_49304	NKAP	6
MS4A4A_38547	MS4A4A	35
DAPK1_4516	DAPK1	46
GRID1_7722	GRID1	40
ZC3H7B_32275	ZC3H7B	20
LOC100129924_75246	LOC100129924	21
MTFR1_25485	MTFR1	50
HHIPL2_49990	HHIPL2	67
AMIGO2_69904	AMIGO2	73
DIRC2_54501	DIRC2	27
OR2T4_59297	OR2T4	98
OR1J1_69781	OR1J1	52
SERTM1_72179	SERTM1	24
ZNF652_30941	ZNF652	23
ACO1_141	ACO1	55
PPFIBP2_22091	PPFIBP2	45
GLB1L_49210	GLB1L	47
TBC1D22B_42872	TBC1D22B	14
BRMS1_33920	BRMS1	10
TXNRD3_57093	TXNRD3	48
OR4S1_66719	OR4S1	36
LNX2_66000	LNX2	54
PATL1_65511	PATL1	31
KRT77_70286	KRT77	55
KCND1_9994	KCND1	50
SCAF1_46624	SCAF1	58
SLC35F3_62053	SLC35F3	35
LOC101929372_76387	LOC101929372	50
GMFG_25140	GMFG	60
ZNF785_61601	ZNF785	35
FAM208B_40964	FAM208B	37
LMOD1_33751	LMOD1	23
RARB_15836	RARB	41
XAGE3_64192	XAGE3	18
TMPRSS11E_36294	TMPRSS11E	28
PRRC2C_32108	PRRC2C	34
ARMCX6_40009	ARMCX6	11
TBX1_18725	TBX1	69
ZFR_39256	ZFR	58
TSPAN5_26999	TSPAN5	43
MIR205HG_73692	MIR205HG	25
PDE9A_13560	PDE9A	41
SLFN14_69413	SLFN14	14
MYO5A_12107	MYO5A	44
CASP2_2335	CASP2	42
ZNF618_57395	ZNF618	22
TMEM167A_62770	TMEM167A	80
S100A1_16709	S100A1	32
MTHFSD_48032	MTHFSD	40
STK17A_24348	STK17A	13
NR2C1_19542	NR2C1	25
SLC38A4_41534	SLC38A4	22
BMP6_1789	BMP6	36
C17orf99_75514	C17orf99	12
TAGAP_57972	TAGAP	21
RIMBP3C_62277	RIMBP3C	29
APC_900	APC	76
CHORDC1_35339	CHORDC1	7
TALDO1_18696	TALDO1	87
OR13C2_72027	OR13C2	39
PCNP_44950	PCNP	30
TRIM25_20713	TRIM25	52
PRSS58_60447	PRSS58	40
LEKR1_71317	LEKR1	82
RMDN3_41822	RMDN3	36
SPRED3_72081	SPRED3	39
ADAMTS6_30371	ADAMTS6	117
NCBP2_31222	NCBP2	14
CYP4X1_67026	CYP4X1	25
SCAND1_38348	SCAND1	39
ANKRD9_58466	ANKRD9	33
GDI1_7042	GDI1	25
LAT_35465	LAT	35
TMEM14A_36280	TMEM14A	60
HRC_8842	HRC	23
FAM57B_52426	FAM57B	3
ACAP1_25824	ACAP1	21
TMTC1_52541	TMTC1	32
IL2RG_9408	IL2RG	91
CKB_3280	CKB	42
ZDHHC13_40093	ZDHHC13	68
CNN1_3511	CNN1	40
C8orf89_75262	C8orf89	35
FAM98A_34150	FAM98A	21
MSI1_11769	MSI1	27
TNNT3_19416	TNNT3	10
DPYSL5_44496	DPYSL5	23
COL26A1_60412	COL26A1	35
GSTA1_7875	GSTA1	51
NECAB1_47488	NECAB1	18
PARD3B_57988	PARD3B	11
ARL8A_59431	ARL8A	35
CLEC7A_47836	CLEC7A	80
CREB3L2_47987	CREB3L2	38
CLNS1A_3416	CLNS1A	3
SEMA4B_28321	SEMA4B	43
RDH8_37320	RDH8	59
SEC61A2_41816	SEC61A2	31
SLC36A2_62749	SLC36A2	50
GAGE12I_35298	GAGE12I	21
ABHD12_34542	ABHD12	29
SOCS6_24432	SOCS6	63
SDCBP2_35593	SDCBP2	44
ZNF501_57509	ZNF501	45
VAT1L_46218	VAT1L	28
CAMK2A_2254	CAMK2A	15
NIPA1_58626	NIPA1	31
SPAG1_18030	SPAG1	24
MS4A3_2615	MS4A3	20
TMEM221_75292	TMEM221	26
PAPD4_63943	PAPD4	30
RALA_15774	RALA	7
POLE4_44334	POLE4	6
ZNF229_20869	ZNF229	76
NDUFB7_12337	NDUFB7	57
LRRC36_42187	LRRC36	104
CNTN3_13297	CNTN3	25
SCYL3_45122	SCYL3	44
ATP11C_68451	ATP11C	84
LIPM_69237	LIPM	60
PRUNE2_63184	PRUNE2	30
PCDHGC3_13399	PCDHGC3	85
OARD1_65800	OARD1	58
DUPD1_68756	DUPD1	67
LY6D_22391	LY6D	25
TTC23L_62820	TTC23L	3
TUBGCP5_57207	TUBGCP5	10
KRT2_10309	KRT2	23
USP4_19998	USP4	46
LILRB3_29892	LILRB3	111
P2RX6_23947	P2RX6	98
POGK_46108	POGK	44
SLC27A4_29801	SLC27A4	43
NME7_36787	NME7	27
PGLYRP1_23552	PGLYRP1	22
GNAZ_7342	GNAZ	47
PKLR_14046	PKLR	57
EPPK1_52178	EPPK1	36
C5_2008	C5	19
TMA16_42305	TMA16	7
RALBP1_29578	RALBP1	37
SLFN12_41581	SLFN12	101
MYO1B_11745	MYO1B	36
AXIN1_21564	AXIN1	17
CARNS1_45879	CARNS1	25
TIAL1_19189	TIAL1	32
ADM2_50373	ADM2	30
EFNA5_5352	EFNA5	21
NYAP2_46059	NYAP2	35
IDNK_72780	IDNK	41
MGAT4B_30700	MGAT4B	31
PDE4DIP_25523	PDE4DIP	6
E2F5_5220	E2F5	37
TP53AIP1_47228	TP53AIP1	21
BCL2L11_26749	BCL2L11	35
TLK1_26267	TLK1	31
FAHD1_52026	FAHD1	55
IGF2BP2_28779	IGF2BP2	50
SOD2_17940	SOD2	16
LIN54_60078	LIN54	9
DOCK5_50574	DOCK5	49
OTOP1_60134	OTOP1	84
LOC101928093_76358	LOC101928093	117
AMICA1_58262	AMICA1	53
MESP1_43679	MESP1	60
EIF4ENIF1_44266	EIF4ENIF1	16
SWSAP1_59029	SWSAP1	18
MOB4_33883	MOB4	7
AVP_1521	AVP	36
PARL_42538	PARL	16
GLIPR1L1_66803	GLIPR1L1	8
SULT1B1_35918	SULT1B1	32
CALHM2_37664	CALHM2	34
ITGA11_30869	ITGA11	33
RNF168_63867	RNF168	128
ANKRD44_55876	ANKRD44	20
ELL3_50991	ELL3	33
RASGRP3_33694	RASGRP3	39
HYAL2_22699	HYAL2	11
SPANXA2_74772	SPANXA2	20
DMTF1_26655	DMTF1	51
ZNF679_64003	ZNF679	81
DNASE2B_46639	DNASE2B	67
AJUBA_54630	AJUBA	55
LPIN2_25529	LPIN2	26
CHST8_47679	CHST8	29
NDUFA9_12303	NDUFA9	32
C14orf79_58487	C14orf79	11
CDK19_31724	CDK19	80
KLHL20_35888	KLHL20	28
NPHP1_12775	NPHP1	63
ASMT_1263	ASMT	31
MUSTN1_71293	MUSTN1	23
CD274_36564	CD274	24
PURB_15546	PURB	35
DNAJC10_39900	DNAJC10	12
SYT10_69313	SYT10	38
LBH_51764	LBH	52
TTC23_48269	TTC23	73
UBL5_46755	UBL5	12
LEKR1_71318	LEKR1	26
FAM111A_47102	FAM111A	10
ARHGEF25_57505	ARHGEF25	81
FIGNL2_72515	FIGNL2	26
NAT8B_38827	NAT8B	24
C4orf3_72373	C4orf3	16
AIFM1_23961	AIFM1	8
PEX2_15587	PEX2	29
LTN1_34438	LTN1	123
NEK2_12445	NEK2	10
DPPA5_69111	DPPA5	15
CAMSAP3_46156	CAMSAP3	9
PRR19_67752	PRR19	34
JAKMIP2_26125	JAKMIP2	37
LRRC1_42005	LRRC1	18
CDHR3_65990	CDHR3	18
CLCA1_3338	CLCA1	50
KLHL42_45790	KLHL42	8
DDC_4606	DDC	33
YAE1D1_44827	YAE1D1	6
ACTB_186	ACTB	10
ADAM10_264	ADAM10	57
H1FOO_60047	H1FOO	35
CCL4L2_25217	CCL4L2	22
IL1R2_20995	IL1R2	8
TPBGL_75934	TPBGL	48
CAPN11_30213	CAPN11	28
RHOV_64273	RHOV	40
TTLL7_49803	TTLL7	36
IVNS1ABP_28709	IVNS1ABP	32
DNAJC25-GNG10_73547	DNAJC25-GNG10	49
ZFYVE26_32965	ZFYVE26	18
AGBL1_58629	AGBL1	48
CCL16_17003	CCL16	160
ZDHHC24_66464	ZDHHC24	16
SLX4IP_59597	SLX4IP	50
FBXO24_34873	FBXO24	11
TRERF1_43450	TRERF1	12
HPS4_55108	HPS4	7
PLD2_14142	PLD2	23
CIB2_28348	CIB2	27
MFSD7_53059	MFSD7	25
SLC25A10_4119	SLC25A10	65
DAB2_4471	DAB2	31
PSME1_15288	PSME1	14
TRIML1_69067	TRIML1	16
ADGRF4_65771	ADGRF4	22
MGC50722_72112	MGC50722	13
HMBOX1_49405	HMBOX1	87
PLAC4_64318	PLAC4	68
BIN3_43722	BIN3	18
SERPINB1_5481	SERPINB1	15
ADGRF5_65774	ADGRF5	43
RFPL2_29032	RFPL2	86
DAPL1_56147	DAPL1	35
JAK3_9906	JAK3	20
ANKHD1_40879	ANKHD1	27
NUP160_32326	NUP160	34
TADA2B_56567	TADA2B	38
MTFR2_56926	MTFR2	38
KLHL24_40602	KLHL24	33
CCDC117_62296	CCDC117	68
CECR1_39521	CECR1	21
FAHD1_52024	FAHD1	82
TMEM125_59475	TMEM125	32
TGM3_19130	TGM3	74
ZNF878_74973	ZNF878	55
RAB38_33467	RAB38	23
GGT7_7098	GGT7	22
TBX2_18766	TBX2	16
TNFAIP6_19378	TNFAIP6	23
SDHA_17086	SDHA	34
CMKLR1_3476	CMKLR1	10
C16orf47_70967	C16orf47	35
TRPV2_38685	TRPV2	102
HEG1_45625	HEG1	37
TNS4_54588	TNS4	71
SPAG11A_74309	SPAG11A	5
SASS6_63727	SASS6	13
CCDC60_63372	CCDC60	51
PPARA_14490	PPARA	16
C1orf122_59401	C1orf122	10
TRNT1_37779	TRNT1	17
ZNF280A_59659	ZNF280A	35
OR51Q1_71568	OR51Q1	51
HOOK3_53561	HOOK3	25
SLC26A7_57418	SLC26A7	55
ARMC3_65348	ARMC3	121
ZBTB40_26447	ZBTB40	48
LOC100129940_75250	LOC100129940	24
DUSP16_51400	DUSP16	32
GOLGA8N_73827	GOLGA8N	14
HMGXB3_31402	HMGXB3	59
POU3F2_14455	POU3F2	27
KIAA0930_32424	KIAA0930	26
FLNA_6454	FLNA	69
KLHL23_62462	KLHL23	34
CALHM2_37665	CALHM2	37
ADRB3_430	ADRB3	24
ANKRD40_55816	ANKRD40	47
RAB5C_15703	RAB5C	21
TMEM30A_43259	TMEM30A	27
CYTH3_24350	CYTH3	22
NES_29097	NES	25
AHCY_537	AHCY	40
MRPL43_53780	MRPL43	2
EIF4H_20225	EIF4H	11
KCNH2_10021	KCNH2	56
COL9A3_3628	COL9A3	36
POGZ_31802	POGZ	24
GCK_6987	GCK	40
PYGO2_55618	PYGO2	21
MYOM2_24085	MYOM2	6
ISLR2_46017	ISLR2	48
TMED10_29720	TMED10	62
TTLL5_31709	TTLL5	13
ADGRA1_53584	ADGRA1	40
THSD4_50228	THSD4	21
NAT1_10	NAT1	19
BEND2_60657	BEND2	231
LGI4_63655	LGI4	16
KLRF2_75772	KLRF2	40
SPATA18_60081	SPATA18	57
RIPK1_22839	RIPK1	86
AKNA_51236	AKNA	45
CDK11B_2782	CDK11B	10
USP17L3_74040	USP17L3	68
AS3MT_45442	AS3MT	18
BRI3BP_60927	BRI3BP	63
TULP3_19751	TULP3	54
NOTCH2_12729	NOTCH2	60
MAMDC2_66797	MAMDC2	41
POU4F2_14466	POU4F2	7
ZNF233_70165	ZNF233	112
CHRM3_3206	CHRM3	62
SNX25_52627	SNX25	40
CCDC59_36403	CCDC59	28
ZNF486_55578	ZNF486	169
FBXO16_63022	FBXO16	25
F13B_5989	F13B	21
OR6C3_66508	OR6C3	16
IRAK4_37928	IRAK4	28
EAPP_43531	EAPP	10
NDUFC2_12357	NDUFC2	35
EYA4_5754	EYA4	27
METTL15_64375	METTL15	31
FBXL3_34773	FBXL3	27
ZNF646_25756	ZNF646	11
NRIP1_21401	NRIP1	71
CNFN_53724	CNFN	59
AVEN_44972	AVEN	19
IGSF23_61844	IGSF23	65
SCN3A_16889	SCN3A	36
NR2E3_26692	NR2E3	26
KCNE3_26715	KCNE3	36
TMEM240_68955	TMEM240	32
B3GNTL1_61634	B3GNTL1	45
C6orf222_71379	C6orf222	63
DYDC2_53512	DYDC2	54
STT3A_9854	STT3A	47
HIST2H2BE_21696	HIST2H2BE	14
MLF1_11524	MLF1	22
TMEM254_50877	TMEM254	46
C22orf15_62286	C22orf15	15
ABR_81	ABR	14
TAZ_18736	TAZ	30
OR2L13_67905	OR2L13	31
SLC19A1_17673	SLC19A1	56
ZNF358_60821	ZNF358	55
SCARF2_55762	SCARF2	36
KIF15_44791	KIF15	22
GPBAR1_62492	GPBAR1	20
NMNAT2_31599	NMNAT2	21
FAM71F2_69764	FAM71F2	102
ZNF549_66699	ZNF549	26
GRIA1_7708	GRIA1	46
LRRC1_42006	LRRC1	44
DPY19L1_32489	DPY19L1	10
15-Sep_24729	15-Sep	17
LIFR_10640	LIFR	115
SYT8_55274	SYT8	15
GLI1_7220	GLI1	64
CAPNS1_2298	CAPNS1	58
RPS10_16546	RPS10	5
ABCB1_13834	ABCB1	16
ANKIB1_39998	ANKIB1	40
PHGR1_73957	PHGR1	14
TMEM95_68860	TMEM95	17
ZNF806_74151	ZNF806	20
IL1RAPL1_30246	IL1RAPL1	91
C8orf31_68360	C8orf31	36
UTRN_20065	UTRN	59
SLC27A6_36238	SLC27A6	53
TRIP12_24473	TRIP12	85
CCDC86_48881	CCDC86	23
KRTAP20-3_68690	KRTAP20-3	71
PGK1_13812	PGK1	7
CHIC1_39547	CHIC1	81
F8A3_73369	F8A3	43
SIGLEC15_67705	SIGLEC15	29
PAM16_37577	PAM16	1
SMIM13_65868	SMIM13	17
ARL8B_41930	ARL8B	49
HIST1H4G_21773	HIST1H4G	73
LIN52_55988	LIN52	6
RNF169_66430	RNF169	58
TNNT1_19407	TNNT1	109
SCAMP2_26890	SCAMP2	20
GABRQ_43645	GABRQ	67
KCNC3_9988	KCNC3	88
TMEM14A_36281	TMEM14A	22
DDX1_4633	DDX1	56
ASXL3_51375	ASXL3	37
SLC35F4_69354	SLC35F4	6
ZNF567_63631	ZNF567	42
