sgRNA	Gene	Clip2_3_NE_GFP_low_BC14_IGO_09496_6_S6
TMEM150A_59683	TMEM150A	102
TCN1_18882	TCN1	87
FUT5_6657	FUT5	58
ARL6IP4_38521	ARL6IP4	96
ZNF93_52056	ZNF93	121
PDLIM7_24334	PDLIM7	94
ERVV-1_61809	ERVV-1	303
NAV1_55128	NAV1	112
TMSB4Y_23821	TMSB4Y	44
MRGPRX2_57932	MRGPRX2	197
GAGE12C_74912	GAGE12C	84
Non-Targeting Control_76672	Non-Targeting Control	646
PROP1_14993	PROP1	130
ARMS2_70821	ARMS2	66
CCDC78_58700	CCDC78	56
CDH20_36172	CDH20	69
DND1_70238	DND1	122
STT3B_64916	STT3B	31
CASP8_2358	CASP8	108
TKTL1_21499	TKTL1	146
LYAR_42904	LYAR	219
MLF1_11524	MLF1	33
DNPEP_33132	DNPEP	131
MEIKIN_74747	MEIKIN	32
NAGK_42702	NAGK	136
KCNE2_26670	KCNE2	103
TCEANC_64117	TCEANC	241
BSDC1_41587	BSDC1	97
CRTAC1_41625	CRTAC1	130
EFEMP1_6118	EFEMP1	146
CCDC74A_55532	CCDC74A	175
SLC35D3_69099	SLC35D3	66
Non-Targeting Control_76492	Non-Targeting Control	468
C15orf38-AP3S2_76040	C15orf38-AP3S2	19
FZD10_30471	FZD10	108
ODAM_41135	ODAM	247
PON3_14428	PON3	51
MVD_11947	MVD	57
Non-Targeting Control_77234	Non-Targeting Control	500
ZNF225_20856	ZNF225	177
ID3_9125	ID3	244
SNX33_66905	SNX33	62
AZI2_47656	AZI2	142
SLC11A2_12830	SLC11A2	127
GATA4_6918	GATA4	216
LYPD6_59839	LYPD6	277
SLC35A4_57066	SLC35A4	282
TMEM154_64946	TMEM154	107
ZNF583_61915	ZNF583	341
PUS3_52174	PUS3	130
SLC18A1_17662	SLC18A1	93
F11R_37407	F11R	148
RLN3_57981	RLN3	224
FAM46A_42762	FAM46A	83
Non-Targeting Control_76546	Non-Targeting Control	868
TBC1D22B_42871	TBC1D22B	116
CNOT4_12720	CNOT4	574
OR4C46_58191	OR4C46	206
MS4A6E_66106	MS4A6E	246
NRARP_73139	NRARP	122
SERPINA11_66767	SERPINA11	127
EBF4_45961	EBF4	121
TMEM229A_75049	TMEM229A	66
CEACAM7_3095	CEACAM7	108
TMEM138_38941	TMEM138	76
TMEM134_50873	TMEM134	175
SRFBP1_62783	SRFBP1	36
FAM150A_71439	FAM150A	239
HARS2_32816	HARS2	70
HNRNPDL_26649	HNRNPDL	152
AARS2_45659	AARS2	39
LOC100132146_75423	LOC100132146	49
TIGD7_55754	TIGD7	169
AGAP6_72757	AGAP6	514
Non-Targeting Control_76814	Non-Targeting Control	445
MDGA1_67069	MDGA1	405
PPP1R3F_55138	PPP1R3F	141
ARF6_1096	ARF6	53
TM9SF3_44469	TM9SF3	72
KCNJ15_10074	KCNJ15	49
DEK_21061	DEK	81
BBS5_59750	BBS5	110
COMMD1_62378	COMMD1	74
ZNF527_53696	ZNF527	43
HYDIN_40538	HYDIN	94
TRMT13_40044	TRMT13	87
Non-Targeting Control_77293	Non-Targeting Control	441
CDK5R2_23471	CDK5R2	212
TEKT2_35919	TEKT2	158
EFHD2_49095	EFHD2	88
KLK4_25389	KLK4	311
CD274_36563	CD274	177
ZNF620_66328	ZNF620	69
C12orf29_55790	C12orf29	368
WNT10A_51142	WNT10A	53
ASGR1_1246	ASGR1	161
CERK_48042	CERK	163
BRE_25268	BRE	20
DCC_4563	DCC	80
RHCE_16129	RHCE	96
NAALADL2_66511	NAALADL2	206
MMP11_11613	MMP11	172
LRP1B_39569	LRP1B	74
GAS8_6901	GAS8	190
TRIM21_18238	TRIM21	181
PCDHGA1_43943	PCDHGA1	174
PDCL3_48760	PDCL3	162
TLR7_38356	TLR7	71
CD300LF_61641	CD300LF	211
ZCCHC18_73923	ZCCHC18	133
OCLM_29463	OCLM	157
NAMPT_27118	NAMPT	30
CDKN2AIP_42756	CDKN2AIP	109
PARD3B_57985	PARD3B	304
MYO5B_12110	MYO5B	169
SSPO_31869	SSPO	36
Non-Targeting Control_77352	Non-Targeting Control	417
MTUS1_45677	MTUS1	240
ZNF704_73638	ZNF704	143
LVRN_65183	LVRN	369
TIMM8A_4722	TIMM8A	161
CDC42EP5_61967	CDC42EP5	169
FAM58A_56087	FAM58A	217
XDH_20329	XDH	185
PVRL4_51770	PVRL4	111
ATP5S_35589	ATP5S	86
UBR2_32393	UBR2	227
P2RY6_13205	P2RY6	155
SLC35F5_51006	SLC35F5	54
DEPDC1_42879	DEPDC1	276
TBX15_18779	TBX15	246
LAIR2_10454	LAIR2	88
TNS1_19429	TNS1	80
UBR4_32546	UBR4	131
ADAMTS4_25039	ADAMTS4	81
PEX14_13700	PEX14	181
ARFGEF2_28505	ARFGEF2	157
A1BG_2	A1BG	74
MAST1_31370	MAST1	114
ZNF765_55933	ZNF765	319
LASP1_10513	LASP1	404
SLC38A9_62745	SLC38A9	303
CXorf58_66415	CXorf58	181
SATL1_69219	SATL1	146
