sgRNA	Gene	Clip2_3_NE_GFP_low_BC14_IGO_09496_6_S6
KLC2_48129	KLC2	72
ADAMTS1_25052	ADAMTS1	290
PAPPA2_46997	PAPPA2	95
CCL28_44260	CCL28	37
FUT3_6649	FUT3	226
KRIT1_2475	KRIT1	44
FAM110C_73676	FAM110C	90
RPL41_16450	RPL41	95
PREX1_45915	PREX1	115
HLA-B_8383	HLA-B	103
C9orf156_38965	C9orf156	62
ADAM22_39599	ADAM22	56
SH3D21_49771	SH3D21	70
WTH3DI_62407	WTH3DI	5
CRTC1_32615	CRTC1	120
SOWAHB_69664	SOWAHB	228
ZC4H2_43708	ZC4H2	292
PITRM1_28394	PITRM1	53
DOCK8_51883	DOCK8	184
LRP12_36932	LRP12	145
C19orf60_41421	C19orf60	27
FBXL21_34770	FBXL21	126
CYP2S1_36617	CYP2S1	45
BARX1_43852	BARX1	227
PLA2G16_30260	PLA2G16	77
ATXN7L3B_73543	ATXN7L3B	115
IKZF3_30880	IKZF3	24
TMEM212_71321	TMEM212	111
TTC28_32480	TTC28	157
SENP7_45368	SENP7	87
WDR91_36363	WDR91	91
CLDN4_3792	CLDN4	154
OR4M1_73196	OR4M1	80
NEK9_55995	NEK9	126
STX17_41323	STX17	175
PECAM1_13646	PECAM1	84
ACVRL1_240	ACVRL1	59
CRKL_3910	CRKL	26
PDE6G_13544	PDE6G	98
HOXA7_8653	HOXA7	148
TCF19_18864	TCF19	51
PCDHGB4_22529	PCDHGB4	289
PDE6B_13583	PDE6B	55
CFLAR_23152	CFLAR	46
MAGED2_29536	MAGED2	131
KIAA1841_53777	KIAA1841	71
ABCD1_598	ABCD1	172
C5orf63_72382	C5orf63	43
OR4K17_71781	OR4K17	90
NDRG4_48348	NDRG4	72
OR6C1_71755	OR6C1	96
NAP1L4_12204	NAP1L4	25
COL26A1_60409	COL26A1	200
GLP2R_24534	GLP2R	145
KRT27_69411	KRT27	45
FOXH1_23425	FOXH1	70
CHCHD6_53412	CHCHD6	122
MRPL42_36278	MRPL42	26
MSANTD1_69670	MSANTD1	18
TONSL_12562	TONSL	60
CSRNP1_47875	CSRNP1	102
ZNF850_69430	ZNF850	151
CD2AP_33301	CD2AP	99
CELF5_47007	CELF5	59
CCPG1_24265	CCPG1	130
ZNF619_68087	ZNF619	17
SYPL1_18580	SYPL1	68
ADAMTS18_64223	ADAMTS18	88
FAM196A_73729	FAM196A	97
AMBRA1_42845	AMBRA1	170
PTK6_15385	PTK6	48
PABPN1_21297	PABPN1	51
ZFP37_20424	ZFP37	72
MANEA_49656	MANEA	110
CER1_24564	CER1	69
FAM83E_40775	FAM83E	164
WDR26_50981	WDR26	91
SRSF5_17205	SRSF5	50
HIST3H2A_56362	HIST3H2A	215
CDR2_2967	CDR2	107
AIM2_24858	AIM2	73
NCEH1_45815	NCEH1	98
NPC2_28556	NPC2	114
CFAP97_45939	CFAP97	184
ZNF780B_63647	ZNF780B	79
LUZP4_38157	LUZP4	118
CHST9_52194	CHST9	36
A4GNT_37958	A4GNT	27
KLHL2_30671	KLHL2	125
BHMT2_33514	BHMT2	179
CELF5_47010	CELF5	37
EIF2AK3_24870	EIF2AK3	204
SLC37A4_6706	SLC37A4	68
KCNH7_55313	KCNH7	80
RBMXL1_73416	RBMXL1	64
SPANXN5_73435	SPANXN5	116
SNRPD1_17882	SNRPD1	37
EIF2A_52696	EIF2A	65
ZNF701_43293	ZNF701	57
CSRNP3_50652	CSRNP3	74
TSPAN2_27007	TSPAN2	175
CUL2_21984	CUL2	38
TRAK1_31189	TRAK1	41
CCDC157_73539	CCDC157	55
WFDC5_62227	WFDC5	123
MSH3_11757	MSH3	108
PNMAL2_45543	PNMAL2	72
ZGPAT_53849	ZGPAT	176
SMCP_11263	SMCP	114
ROBO2_16234	ROBO2	47
TEX11_44077	TEX11	176
GRTP1_49899	GRTP1	104
ALAS2_588	ALAS2	88
4-Sep_14322	4-Sep	220
TAF4B_18642	TAF4B	24
SLCO2A1_17691	SLCO2A1	99
ZNF174_20752	ZNF174	71
SLC33A1_24155	SLC33A1	86
FAM172A_52750	FAM172A	47
SLCO1B7_68821	SLCO1B7	24
KIAA0319_26201	KIAA0319	54
NLN_45603	NLN	132
ZNF185_20779	ZNF185	116
JKAMP_38954	JKAMP	127
EIF4EBP3_22519	EIF4EBP3	128
TAF15_21337	TAF15	100
TGM4_19108	TGM4	32
MBD2_23438	MBD2	275
NSMAF_21934	NSMAF	48
PDIK1L_62163	PDIK1L	124
CECR2_36147	CECR2	256
CHFR_43220	CHFR	88
ZNF786_60407	ZNF786	73
SLC36A3_68240	SLC36A3	238
TCEB3_18809	TCEB3	83
PGA3_73847	PGA3	135
GRIN2A_7757	GRIN2A	37
NMU_29387	NMU	134
NAALADL1_26697	NAALADL1	82
CELA3A_27124	CELA3A	41
BOD1L1_66974	BOD1L1	102
GPHN_27489	GPHN	28
TMED3_32777	TMED3	103
ZNF235_24437	ZNF235	17
TEX19_72232	TEX19	49
ANP32B_28431	ANP32B	76
CEMP1_75084	CEMP1	267
MIDN_55269	MIDN	129
JAG2_9894	JAG2	113
TMPRSS2_19341	TMPRSS2	89
ALX3_704	ALX3	151
EIF3H_22624	EIF3H	259
CLDN7_3798	CLDN7	112
FAM179A_63823	FAM179A	53
FMO4_6499	FMO4	116
PHF20_38189	PHF20	116
ZNF445_70130	ZNF445	55
ENGASE_48014	ENGASE	31
OMG_13029	OMG	85
TBPL1_25084	TBPL1	150
RABL6_43025	RABL6	75
CACNA2D3_43418	CACNA2D3	101
GCFC2_18847	GCFC2	97
DLG3_4809	DLG3	159
ADNP2_30996	ADNP2	57
NGEF_33711	NGEF	142
OR13H1_69828	OR13H1	89
RGAG1_45737	RGAG1	139
RAET1E_60342	RAET1E	213
DLK2_48560	DLK2	102
MAP1LC3A_53806	MAP1LC3A	30
SSTR1_18282	SSTR1	45
YTHDF2_38771	YTHDF2	35
GAS2L1_28748	GAS2L1	70
ARHGAP10_49539	ARHGAP10	269
ANXA9_21878	ANXA9	20
TBR1_28966	TBR1	172
UGT2B7_19960	UGT2B7	74
ENPP2_13621	ENPP2	42
ZBTB32_35441	ZBTB32	120
ONECUT3_71857	ONECUT3	215
TULP2_19748	TULP2	54
GIGYF1_47854	GIGYF1	52
ANLN_39939	ANLN	221
ZNF469_53874	ZNF469	52
PSPH_15295	PSPH	83
CALCR_2224	CALCR	164
GLI4_7232	GLI4	171
TMEM39A_42096	TMEM39A	62
LGR6_46820	LGR6	96
QTRT1_52029	QTRT1	67
KIAA2012_76217	KIAA2012	34
TXNRD2_28585	TXNRD2	95
LOC650293_74217	LOC650293	51
PRR23D2_75477	PRR23D2	26
GEMIN4_37288	GEMIN4	45
MRGBP_42108	MRGBP	13
MAN2B2_32455	MAN2B2	91
MYD88_12006	MYD88	149
ROBO4_40180	ROBO4	70
PQLC1_50788	PQLC1	139
MOS_11683	MOS	68
MKL2_45638	MKL2	43
MOB1A_42025	MOB1A	115
MAPK12_16812	MAPK12	41
SYP_18576	SYP	233
ADRA1B_401	ADRA1B	87
PPP3R2_14684	PPP3R2	128
TIAF1_24226	TIAF1	16
GNB2_7351	GNB2	137
ZBTB26_46208	ZBTB26	67
CHP1_30633	CHP1	83
C1orf234_74826	C1orf234	117
TP53_19456	TP53	18
LECT2_10570	LECT2	119
C5orf22_42315	C5orf22	63
GOLT1A_59437	GOLT1A	33
DYDC1_61150	DYDC1	253
AKAP17A_21443	AKAP17A	116
CXCR1_9457	CXCR1	106
ODAM_41137	ODAM	81
SERTAD1_36879	SERTAD1	10
NMU_29388	NMU	162
PAPPA2_46998	PAPPA2	65
BOK_1837	BOK	172
RDX_15976	RDX	172
TCEA1_18792	TCEA1	14
WDR83_53373	WDR83	55
C22orf46_49476	C22orf46	60
TRIP10_24481	TRIP10	90
CUEDC2_48684	CUEDC2	68
EBI3_27161	EBI3	74
CCDC110_66745	CCDC110	131
TRMT6_39130	TRMT6	26
UBE2D1_19838	UBE2D1	98
SMC1A_21469	SMC1A	27
PLGLB2_14159	PLGLB2	40
ADGRG5_65724	ADGRG5	44
ETNK2_41993	ETNK2	65
PKD1_14037	PKD1	108
PRR20E_74870	PRR20E	184
RIC3_49381	RIC3	147
KREMEN2_49213	KREMEN2	28
RASGEF1C_66621	RASGEF1C	56
NOTO_69585	NOTO	64
ARAF_1057	ARAF	95
EMC2_25639	EMC2	89
6-Sep_31901	6-Sep	302
MBOAT4_73643	MBOAT4	116
TSC22D2_26077	TSC22D2	85
LCN12_68413	LCN12	113
MNT_11663	MNT	78
TSSK3_51846	TSSK3	61
TMCC1_31488	TMCC1	191
DEFA1B_74647	DEFA1B	204
ZNF550_63585	ZNF550	207
EVI5L_57544	EVI5L	30
MYSM1_57243	MYSM1	24
NGFRAP1_35410	NGFRAP1	70
CTNNAL1_22808	CTNNAL1	129
MTA1_23893	MTA1	55
NTN4_46741	NTN4	92
C1orf52_62031	C1orf52	60
ENOPH1_46536	ENOPH1	100
GPR33_7599	GPR33	96
TMEM168_47747	TMEM168	64
HRSP12_27508	HRSP12	97
APLF_64735	APLF	35
PYGO1_34584	PYGO1	44
FLI1_6441	FLI1	65
RERE_1317	RERE	30
RNF167_34310	RNF167	90
CCT8_28937	CCT8	176
TACR3_18623	TACR3	109
SYT10_69315	SYT10	112
NTNG1_31009	NTNG1	350
HLA-F_8455	HLA-F	55
GSPT2_33486	GSPT2	333
WDR60_41605	WDR60	102
MIA3_70430	MIA3	38
TFPI_19057	TFPI	64
ANKRD31_66692	ANKRD31	76
ECHDC1_43612	ECHDC1	51
BCL9L_67219	BCL9L	84
PHF7_38967	PHF7	46
ZNF624_45806	ZNF624	93
TBKBP1_25865	TBKBP1	141
UBE2O_47078	UBE2O	41
LNX1_54092	LNX1	163
PDE7A_13550	PDE7A	77
TIMP1_19204	TIMP1	144
DGCR8_40049	DGCR8	29
HTATIP2_28464	HTATIP2	127
GEMIN8_41142	GEMIN8	106
CD55_4484	CD55	126
SH3BP4_33462	SH3BP4	52
TMPRSS3_47895	TMPRSS3	60
C9orf47_68401	C9orf47	78
MCCD1_72391	MCCD1	230
CEP44_51382	CEP44	67
HSPE1-MOB4_76123	HSPE1-MOB4	280
SYT6_62008	SYT6	88
MUT_11940	MUT	210
FRMD5_54668	FRMD5	50
OTOA_61533	OTOA	84
GPATCH3_47111	GPATCH3	67
PRR25_70944	PRR25	29
TNIP2_49029	TNIP2	48
FMR1NB_63193	FMR1NB	235
DAZ4_45090	DAZ4	3
CCKBR_2472	CCKBR	55
OR4A47_72600	OR4A47	12
SPICE1_62639	SPICE1	36
SH3D19_62669	SH3D19	213
PTGFRN_15345	PTGFRN	66
SNRNP48_62849	SNRNP48	45
STX17_41326	STX17	86
ZNF598_55650	ZNF598	74
TLR1_19274	TLR1	14
ILDR1_68483	ILDR1	71
UFM1_39055	UFM1	196
C9orf41_60562	C9orf41	80
INSC_70839	INSC	205
GPR75-ASB3_75736	GPR75-ASB3	139
HOXD3_8753	HOXD3	38
WDR19_46351	WDR19	115
ADRA2B_416	ADRA2B	225
CD5L_2580	CD5L	68
PLTP_14223	PLTP	76
PFAS_13711	PFAS	56
SMCHD1_32525	SMCHD1	87
SOCS6_24429	SOCS6	91
TRIM67_73001	TRIM67	58
ZNF316_75345	ZNF316	113
LY6H_10882	LY6H	76
DGKE_22198	DGKE	202
ACOT7_30786	ACOT7	46
TARS2_50954	TARS2	55
HIST1H2BD_8122	HIST1H2BD	176
BNIP3L_1833	BNIP3L	93
FAM229B_73636	FAM229B	144
TRDN_27813	TRDN	98
GAK_6816	GAK	20
PLEKHA2_46776	PLEKHA2	64
FAM177A1_67441	FAM177A1	63
KCNIP3_37093	KCNIP3	20
TRAK2_48607	TRAK2	78
SNX12_36828	SNX12	130
TMEM167B_44514	TMEM167B	134
ZSCAN2_41251	ZSCAN2	22
TMEM150B_67847	TMEM150B	80
ADI1_42103	ADI1	189
RNH1_16217	RNH1	231
LRRC55_65303	LRRC55	227
INTS6_35095	INTS6	62
NCBP2_31221	NCBP2	173
STARD3NL_52675	STARD3NL	108
FLVCR2_42894	FLVCR2	37
TOPAZ1_70480	TOPAZ1	123
SSX2B_74490	SSX2B	230
PUSL1_59226	PUSL1	69
NRN1_38412	NRN1	155
SGK3_33463	SGK3	165
HSD17B14_38032	HSD17B14	231
C3orf18_38002	C3orf18	67
SHISA6_70994	SHISA6	22
CMTM1_57024	CMTM1	113
PQLC2_40923	PQLC2	33
AP2M1_3318	AP2M1	131
SCN10A_16917	SCN10A	49
ABHD17B_37815	ABHD17B	186
PLAG1_14088	PLAG1	44
PRAMEF20_74014	PRAMEF20	76
KIAA1522_46122	KIAA1522	55
CDK11A_74751	CDK11A	225
SLC18A1_17663	SLC18A1	33
C16orf74_72673	C16orf74	136
RSBN1_40381	RSBN1	119
ZNF480_61798	ZNF480	159
TAPT1_64968	TAPT1	130
ID1_9119	ID1	74
ZAR1L_74132	ZAR1L	124
TRIM64B_73681	TRIM64B	53
RPRML_71015	RPRML	101
PLAA_24642	PLAA	35
FAM132B_62447	FAM132B	76
C11orf87_72151	C11orf87	200
HRH1_8839	HRH1	45
LYSMD3_57623	LYSMD3	76
ARL5A_34777	ARL5A	65
CNIH2_66448	CNIH2	78
GK2_7182	GK2	87
SMIM12_57001	SMIM12	67
STRN4_36703	STRN4	34
KCNN4_10115	KCNN4	147
RPL22L1_64791	RPL22L1	212
MALL_21000	MALL	42
SLC25A24_36903	SLC25A24	126
ESPNL_69016	ESPNL	151
ST3GAL5_23244	ST3GAL5	82
MRLN_75930	MRLN	65
CLLU1OS_73584	CLLU1OS	239
ATXN7_16851	ATXN7	133
SUPT20HL2_64115	SUPT20HL2	161
UBQLNL_61205	UBQLNL	61
HES5_71100	HES5	117
GNPAT_21941	GNPAT	19
SLIRP_52031	SLIRP	242
C16orf54_67529	C16orf54	119
CD93_31230	CD93	99
CD53_2718	CD53	69
ATP6V0E2_62969	ATP6V0E2	82
RBCK1_28684	RBCK1	99
FAM156A_36356	FAM156A	203
CA7_2118	CA7	124
SLC9B1_62263	SLC9B1	91
C12orf40_67382	C12orf40	27
ZNF524_61868	ZNF524	94
PLB1_62433	PLB1	40
MYO19_50856	MYO19	37
PMFBP1_52120	PMFBP1	125
C9orf142_68418	C9orf142	47
SLC25A46_55743	SLC25A46	28
LOC286238_68410	LOC286238	35
LENG1_49054	LENG1	68
SPATA6L_41458	SPATA6L	65
ZNF454_68262	ZNF454	84
BIRC6_45473	BIRC6	21
SLC29A4_66079	SLC29A4	106
DHRS4L1_74743	DHRS4L1	204
DUS4L_29993	DUS4L	183
PPEF1_14518	PPEF1	156
RUSC1-AS1_67947	RUSC1-AS1	75
ZDHHC14_49624	ZDHHC14	139
HEATR6_47088	HEATR6	30
7-Mar_48154	7-Mar	213
CDC34_2823	CDC34	143
PCGF6_52927	PCGF6	140
CHERP_28368	CHERP	25
SLC22A5_17716	SLC22A5	86
TTC22_41276	TTC22	160
LYPLA1_28065	LYPLA1	124
TPCN2_65442	TPCN2	100
FBXW11_32358	FBXW11	100
NBL1_12220	NBL1	167
MAPK4_14890	MAPK4	17
ICAM3_9104	ICAM3	34
ZC3H12B_69214	ZC3H12B	93
HSFX1_75883	HSFX1	120
BTBD18_73786	BTBD18	69
DPH5_39139	DPH5	146
ZBTB9_65835	ZBTB9	175
LMO7DN_74909	LMO7DN	179
PLEKHM2_32075	PLEKHM2	12
LOC100129083_75176	LOC100129083	29
DYNC1LI2_4931	DYNC1LI2	125
OR56B1_70836	OR56B1	112
PPP1R35_65906	PPP1R35	144
ADAMTS1_25050	ADAMTS1	89
OR5J2_67142	OR5J2	31
DDX60_42752	DDX60	40
OR51B2_49174	OR51B2	80
UBXN11_55883	UBXN11	58
AWAT1_63240	AWAT1	71
H1FNT_69335	H1FNT	90
SALL3_35727	SALL3	47
USH1C_26948	USH1C	117
LZTS1_30385	LZTS1	66
METTL5_36407	METTL5	233
KLRC3_10235	KLRC3	138
ALG8_48812	ALG8	131
FOXD2_6423	FOXD2	21
TNFRSF10B_23000	TNFRSF10B	137
SLC6A15_41620	SLC6A15	46
CACHD1_46214	CACHD1	23
ITPRIP_54955	ITPRIP	23
GHDC_53708	GHDC	137
DNAJB3_72739	DNAJB3	62
FIBP_24053	FIBP	146
IFNA7_9221	IFNA7	115
RFX2_16068	RFX2	133
PCSK9_66647	PCSK9	56
APOBEC3H_63789	APOBEC3H	195
UGT2A3_49978	UGT2A3	96
CLIP1_16667	CLIP1	179
SVEP1_50534	SVEP1	57
TTC7B_61452	TTC7B	119
OR1F1_13080	OR1F1	34
PDSS2_44999	PDSS2	40
C12orf73_74722	C12orf73	86
NDUFB5_12329	NDUFB5	16
CT47A10_74533	CT47A10	188
SLC4A4_22634	SLC4A4	176
CCDC126_55599	CCDC126	212
HAND1_24785	HAND1	45
FUZ_50887	FUZ	163
CSNK2A1_4088	CSNK2A1	184
SMIM5_73740	SMIM5	100
ARHGAP11B_55147	ARHGAP11B	58
RBPJ_9350	RBPJ	32
GRB2_7685	GRB2	26
MDH1B_59865	MDH1B	271
PMS1_14275	PMS1	60
ROS1_16258	ROS1	77
GPS2_7654	GPS2	29
KBTBD4_43108	KBTBD4	23
SCN3B_43419	SCN3B	84
OST4_75174	OST4	108
PCSK9_66645	PCSK9	32
SH2D4B_70804	SH2D4B	141
LRRD1_72419	LRRD1	70
CX3CR1_4292	CX3CR1	195
TMEM201_64615	TMEM201	206
IL34_61587	IL34	141
ZNF484_52463	ZNF484	119
LRRC39_59363	LRRC39	65
PLSCR4_44935	PLSCR4	50
PDE6H_13546	PDE6H	138
LRRK1_49688	LRRK1	150
GLIPR1_29833	GLIPR1	76
TSPAN9_29363	TSPAN9	84
ETV2_5850	ETV2	39
DNAJC1_47534	DNAJC1	71
MGAT5B_61623	MGAT5B	159
CDADC1_51752	CDADC1	13
COL11A2_3640	COL11A2	50
ASPHD1_66383	ASPHD1	118
SAMD13_62027	SAMD13	90
NECAB2_40219	NECAB2	229
TLR4_19286	TLR4	48
MTRNR2L7_75679	MTRNR2L7	62
ARFIP1_35829	ARFIP1	103
TATDN1_52702	TATDN1	172
SYCP1_18559	SYCP1	121
OR13A1_49143	OR13A1	160
NOXA1_29243	NOXA1	36
GRIN2A_7759	GRIN2A	73
GPR26_7579	GPR26	134
HTR4_9050	HTR4	94
C6orf229_76379	C6orf229	83
TMPRSS2_19342	TMPRSS2	149
DAO_4507	DAO	216
ZNF695_45025	ZNF695	66
ALS2CR12_59828	ALS2CR12	45
DOK4_43125	DOK4	131
DCST1_62127	DCST1	66
ATP1B3_1357	ATP1B3	58
SLC40A1_37058	SLC40A1	96
HMGN5_49187	HMGN5	126
AGTRAP_44931	AGTRAP	80
ERICH1_63043	ERICH1	136
STEAP3_42050	STEAP3	114
ACAD10_51252	ACAD10	27
ZNF578_61808	ZNF578	314
KRTAP5-10_70750	KRTAP5-10	112
PIN1_14007	PIN1	23
PRPS2_15014	PRPS2	71
IPP_9677	IPP	181
THRB_19169	THRB	15
TRPV6_42552	TRPV6	52
OR6F1_69511	OR6F1	215
OR2C1_13081	OR2C1	68
CST5_4138	CST5	84
CDKL4_69603	CDKL4	105
LRRC43_66398	LRRC43	21
MTHFR_11866	MTHFR	196
LYL1_10899	LYL1	48
SPINK2_18072	SPINK2	79
GGCT_48715	GGCT	46
HNRNPR_27461	HNRNPR	259
SLC19A2_28490	SLC19A2	47
FETUB_35376	FETUB	38
NID1_12611	NID1	88
ASPN_40695	ASPN	155
WASF1_23455	WASF1	74
NCF2_12242	NCF2	101
NHLRC1_70619	NHLRC1	118
Non-Targeting Control_77168	Non-Targeting Control	191
FLOT2_6465	FLOT2	107
RPSA_10507	RPSA	32
CCNB2_23969	CCNB2	178
VAMP8_22642	VAMP8	81
ASXL3_51375	ASXL3	101
CEP170B_67448	CEP170B	180
TMEM189-UBE2V1_70780	TMEM189-UBE2V1	229
CELF6_47000	CELF6	79
DDX3Y_22573	DDX3Y	118
CYP4F2_22210	CYP4F2	114
FBN3_53682	FBN3	58
HUS1B_60357	HUS1B	136
JRK_22485	JRK	151
KAT2B_23189	KAT2B	275
PCDH15_48457	PCDH15	87
PTRF_67658	PTRF	77
ZAP70_20411	ZAP70	152
WDR4_29160	WDR4	254
RSPH1_55087	RSPH1	90
ZFP36L2_1883	ZFP36L2	134
CPPED1_42283	CPPED1	184
SLC25A5_813	SLC25A5	69
WDR81_58895	WDR81	39
XPR1_24204	XPR1	131
PIP5K1A_21817	PIP5K1A	31
HSD3B7_51034	HSD3B7	162
KIAA1468_46023	KIAA1468	79
ZNF660_68126	ZNF660	225
MCHR2_53768	MCHR2	50
CD248_45054	CD248	66
TLE1_19243	TLE1	236
SPTY2D1_61264	SPTY2D1	62
HAP1_23576	HAP1	50
LCN6_63110	LCN6	95
SULT1B1_35916	SULT1B1	210
LMOD1_33753	LMOD1	90
BEX4_44203	BEX4	316
CALB2_2206	CALB2	49
NUCB2_12931	NUCB2	20
CLDN12_23760	CLDN12	97
OR10A6_71617	OR10A6	151
HAGH_8151	HAGH	25
NR2F2_19032	NR2F2	56
HERPUD1_25696	HERPUD1	71
MLLT1_11552	MLLT1	132
ART5_57853	ART5	87
CSK_4050	CSK	175
DYNC1I2_4928	DYNC1I2	28
BMP4_1781	BMP4	81
CEBPZ_27179	CEBPZ	1
PLP2_14201	PLP2	37
ARHGEF35_73299	ARHGEF35	37
GPR174_53900	GPR174	195
GPR55_24410	GPR55	119
ZSWIM5_46100	ZSWIM5	130
POF1B_50529	POF1B	271
AMTN_72366	AMTN	100
C19orf43_48678	C19orf43	79
NIN_38111	NIN	110
MED28_51072	MED28	57
RAX2_54269	RAX2	61
ZNF764_56285	ZNF764	67
DEFB123_66168	DEFB123	209
CNNM2_40612	CNNM2	51
ERP27_58394	ERP27	57
DLG3_4812	DLG3	90
NOL4_22767	NOL4	27
SENP3_34715	SENP3	44
HRK_22847	HRK	139
AIG1_38679	AIG1	40
CXCL8_9455	CXCL8	52
TKFC_34325	TKFC	91
KCNJ12_10061	KCNJ12	143
GTSF1L_62224	GTSF1L	77
C2orf48_69968	C2orf48	170
FAM69B_60582	FAM69B	207
TLCD2_74517	TLCD2	14
RHD_16135	RHD	263
NKX3-1_12639	NKX3-1	63
TNNC2_19363	TNNC2	315
RDH10_63011	RDH10	52
UBE2K_8346	UBE2K	28
TMEM229B_63394	TMEM229B	121
ZNF527_53697	ZNF527	72
PPEF1_14519	PPEF1	126
RSPO2_69172	RSPO2	18
TRIM32_31329	TRIM32	123
TMBIM6_18972	TMBIM6	121
CMC2_44652	CMC2	182
ZNF296_63591	ZNF296	79
VCX2_38857	VCX2	81
KIR3DL3_57526	KIR3DL3	69
PSME2_15292	PSME2	359
PLIN3_27425	PLIN3	76
OR6T1_65424	OR6T1	95
HIP1R_23625	HIP1R	103
SLC39A3_36971	SLC39A3	134
TRIM69_60906	TRIM69	162
TIMP4_19213	TIMP4	87
SERPINH1_2438	SERPINH1	195
XCR1_7508	XCR1	76
DGCR14_21425	DGCR14	26
FAM212B_43752	FAM212B	97
GRB2_7686	GRB2	42
TUB_19709	TUB	110
TMEM222_52819	TMEM222	129
OSR1_59811	OSR1	86
CDC14A_22305	CDC14A	133
RNF24_30562	RNF24	85
CSMD3_57200	CSMD3	60
HCRT_8245	HCRT	54
RAB3D_25169	RAB3D	124
TCEAL6_63254	TCEAL6	198
CBLN2_61774	CBLN2	202
PAQR5_40769	PAQR5	68
SERPINF2_14165	SERPINF2	117
ACADM_104	ACADM	41
ORAI2_50968	ORAI2	208
RAB40AL_67148	RAB40AL	91
ICMT_32869	ICMT	31
GUCY1A2_7985	GUCY1A2	155
POM121L12_68304	POM121L12	60
KIAA1715_51447	KIAA1715	146
NCAPG_47482	NCAPG	27
CILP_22067	CILP	87
ARHGAP21_45930	ARHGAP21	151
SPZ1_53943	SPZ1	46
RASGEF1A_65655	RASGEF1A	113
TLR10_51911	TLR10	53
ZNF414_53506	ZNF414	149
KCTD8_70643	KCTD8	38
TARP_73305	TARP	37
GK5_66754	GK5	111
VAX1_29885	VAX1	86
CSRP3_21225	CSRP3	194
MTCP1_11851	MTCP1	86
TRIQK_68370	TRIQK	119
HOXB9_8712	HOXB9	35
PEF1_73556	PEF1	191
POU6F1_14484	POU6F1	96
PPHLN1_38976	PPHLN1	104
GGT1_7092	GGT1	45
TCF12_18850	TCF12	119
FBLN5_28338	FBLN5	81
SPRY1_27527	SPRY1	77
TM4SF1_10920	TM4SF1	348
NF1_12482	NF1	113
DMPK_4867	DMPK	33
ZNF415_43372	ZNF415	69
TIMP3_19209	TIMP3	69
PGRMC1_29336	PGRMC1	107
PAPD5_47591	PAPD5	24
PGRMC2_28040	PGRMC2	34
CHODL_60843	CHODL	45
VMAC_72241	VMAC	64
REG1A_15985	REG1A	90
AKR1D1_18176	AKR1D1	148
CAPN11_30212	CAPN11	66
NPRL3_21325	NPRL3	26
PPP2R2A_14622	PPP2R2A	66
IQCB1_25515	IQCB1	120
TRMT1L_51838	TRMT1L	76
DNAJC7_19683	DNAJC7	50
ACSL5_39337	ACSL5	116
MICALCL_54597	MICALCL	30
CGN_45739	CGN	44
VPS11_43493	VPS11	168
COL4A2_3568	COL4A2	58
HELQ_57019	HELQ	104
ITGB8_9829	ITGB8	216
MKKS_21391	MKKS	74
POU4F3_14470	POU4F3	205
PRDM4_30149	PRDM4	179
CATSPERG_46455	CATSPERG	77
CACNA1D_2152	CACNA1D	88
DUSP4_5154	DUSP4	43
CNTNAP2_34439	CNTNAP2	64
RMDN3_41822	RMDN3	97
KCNMB1_10098	KCNMB1	145
NEK2_12448	NEK2	96
CEMP1_75087	CEMP1	89
MAGEC3_60653	MAGEC3	156
CCDC43_58828	CCDC43	74
AHSA1_28620	AHSA1	140
TXNDC5_51711	TXNDC5	138
LPIN3_48231	LPIN3	44
CAPS2_54067	CAPS2	177
STARD4_60262	STARD4	62
PLIN2_330	PLIN2	148
CASP4_2342	CASP4	204
GOPC_45039	GOPC	54
HIST1H2AC_21635	HIST1H2AC	230
RNF185_55851	RNF185	41
CCBL2_44191	CCBL2	44
ZNF705G_75415	ZNF705G	122
SPR_18093	SPR	147
ZMYND8_33317	ZMYND8	144
TBC1D8B_40893	TBC1D8B	124
ZNF518B_54994	ZNF518B	18
BAHCC1_45975	BAHCC1	133
KLHL13_55385	KLHL13	194
KAT7_30253	KAT7	68
SARS2_41065	SARS2	127
TOR3A_47558	TOR3A	113
CALD1_2225	CALD1	49
TMEM134_50874	TMEM134	178
PIN4_14009	PIN4	31
NARS2_49779	NARS2	139
KIF3B_24633	KIF3B	36
LPCAT3_27214	LPCAT3	173
ZNF687_45958	ZNF687	27
TNS4_54590	TNS4	34
ADAMTSL5_68926	ADAMTSL5	53
PYROXD2_54191	PYROXD2	337
GLI1_7217	GLI1	50
GTSF1_58370	GTSF1	202
CLDN19_62170	CLDN19	90
CDY1B_66284	CDY1B	195
SLC39A14_33018	SLC39A14	107
ZNF684_59351	ZNF684	79
NUPR1L_71402	NUPR1L	26
ANKRD42_68787	ANKRD42	171
HSDL2_53266	HSDL2	59
HEYL_35085	HEYL	74
BRINP3_68962	BRINP3	77
PGM2L1_67255	PGM2L1	311
METTL14_46335	METTL14	45
ABCA13_62906	ABCA13	115
MPDZ_22947	MPDZ	109
FNDC7_63688	FNDC7	30
C5orf22_42316	C5orf22	150
SNX32_66411	SNX32	84
PQLC2L_62612	PQLC2L	221
ACOT2_29699	ACOT2	136
FAM171A2_67613	FAM171A2	46
STAU2_35488	STAU2	75
QSER1_50086	QSER1	49
SLC22A9_57139	SLC22A9	20
MSRA_11786	MSRA	137
OR1J1_69782	OR1J1	130
PTK2B_6059	PTK2B	22
EHF_34980	EHF	54
NKG7_12628	NKG7	144
