sgRNA	Gene	Clip2_4_DE_GFP_high_BC15_IGO_09496_7_S7
BEGAIN_45972	BEGAIN	108
ALPK2_57536	ALPK2	75
FGF17_23100	FGF17	10
FAM216B_61375	FAM216B	195
Non-Targeting Control_76653	Non-Targeting Control	469
CFAP20_36491	CFAP20	27
LTA4H_10826	LTA4H	15
GLRX5_38161	GLRX5	48
TDG_18932	TDG	19
RPS19BP1_55889	RPS19BP1	19
PDE6H_13547	PDE6H	90
PSMC3_15222	PSMC3	16
RUNDC1_61710	RUNDC1	10
LIPF_22153	LIPF	65
KRT36_22689	KRT36	50
SH2D4A_47093	SH2D4A	33
ACTL8_51715	ACTL8	58
CD84_23130	CD84	44
SLC4A8_25014	SLC4A8	59
SQSTM1_23276	SQSTM1	41
SIRPA_61059	SIRPA	5
MECR_37807	MECR	85
PPTC7_63364	PPTC7	33
HTR3B_24099	HTR3B	22
FAM122A_57692	FAM122A	174
SPIN2A_39992	SPIN2A	230
FAM120C_41116	FAM120C	75
LOC100134391_75490	LOC100134391	171
ZDHHC7_42839	ZDHHC7	55
ITLN1_42747	ITLN1	60
NDUFS8_12390	NDUFS8	25
C1orf174_68945	C1orf174	68
ZNF7_20468	ZNF7	118
C1QTNF6_57347	C1QTNF6	42
PIANP_64437	PIANP	121
SOHLH1_72558	SOHLH1	18
NEIL2_66253	NEIL2	19
TSPAN10_52602	TSPAN10	66
TRIM24_23038	TRIM24	59
MANSC4_75604	MANSC4	28
HCCS_8225	HCCS	1051
PANO1_76340	PANO1	87
PLGRKT_43568	PLGRKT	226
REG3A_13301	REG3A	69
GYLTL1B_58220	GYLTL1B	116
SBNO2_31180	SBNO2	80
Non-Targeting Control_77317	Non-Targeting Control	278
TRAPPC10_19326	TRAPPC10	66
KCNK17_55139	KCNK17	69
Non-Targeting Control_77341	Non-Targeting Control	350
XKR3_62270	XKR3	10
CTGF_4190	CTGF	212
KIAA0753_26181	KIAA0753	52
HIST1H2AH_54753	HIST1H2AH	67
SUGCT_49928	SUGCT	56
CT47A5_74550	CT47A5	259
SUN5_60946	SUN5	58
C1QA_1957	C1QA	39
RAB1B_52014	RAB1B	107
FUT5_6659	FUT5	29
Non-Targeting Control_77413	Non-Targeting Control	192
Non-Targeting Control_76731	Non-Targeting Control	307
PCDHA6_44032	PCDHA6	235
ZNF682_55736	ZNF682	82
PRSS38_68978	PRSS38	31
ACSM4_69319	ACSM4	70
DPYSL5_44495	DPYSL5	68
JMY_60194	JMY	169
PCDHA2_44050	PCDHA2	140
USP24_32564	USP24	36
MESDC2_31998	MESDC2	152
EDN1_5277	EDN1	145
SYT3_53243	SYT3	40
KLHDC10_31446	KLHDC10	75
ZDHHC1_36636	ZDHHC1	9
CEL_3021	CEL	103
GPR84_39641	GPR84	76
FCGR1A_6146	FCGR1A	127
PXN_15592	PXN	303
ACOX1_154	ACOX1	73
LSAMP_10816	LSAMP	68
Non-Targeting Control_77183	Non-Targeting Control	233
AFTPH_40640	AFTPH	46
SAXO2_67479	SAXO2	108
ARMC6_56522	ARMC6	70
WISP3_23155	WISP3	91
BRWD1_39723	BRWD1	62
DMC1_30257	DMC1	52
TMEM63B_42456	TMEM63B	20
PTPN21_30118	PTPN21	24
FKBPL_47199	FKBPL	80
PDPR_41463	PDPR	140
FMNL1_2069	FMNL1	9
FGF21_34969	FGF21	35
SLC25A45_67214	SLC25A45	91
ADH4_348	ADH4	64
DCAF12L2_69221	DCAF12L2	95
FLT4_6483	FLT4	13
FAM47E-STBD1_76204	FAM47E-STBD1	80
NOC3L_47612	NOC3L	117
PRAMEF17_71910	PRAMEF17	79
PET100_75399	PET100	87
SYNJ2BP-COX16_76132	SYNJ2BP-COX16	91
Non-Targeting Control_76767	Non-Targeting Control	293
RNF185_55852	RNF185	35
SEC14L6_75028	SEC14L6	78
FRY_27097	FRY	64
SGCG_17250	SGCG	75
Non-Targeting Control_76496	Non-Targeting Control	397
FAM91A1_63054	FAM91A1	245
HM13_51622	HM13	24
IL6R_9440	IL6R	115
PTH1R_15376	PTH1R	66
AMMECR1L_52284	AMMECR1L	78
WSB1_34598	WSB1	6
SSX2IP_57925	SSX2IP	62
SLC25A24_36904	SLC25A24	56
CASR_2379	CASR	35
CSRP3_21228	CSRP3	261
CAMP_2273	CAMP	47
FAM126B_68043	FAM126B	39
IGDCC4_46340	IGDCC4	23
FIZ1_54490	FIZ1	327
FAM102A_72098	FAM102A	82
ELFN2_57220	ELFN2	181
RAPGEF2_25633	RAPGEF2	23
FBXL18_50639	FBXL18	56
RCN3_45358	RCN3	114
KIR3DL3_57525	KIR3DL3	61
GTPBP1_25234	GTPBP1	7
Non-Targeting Control_77122	Non-Targeting Control	343
ATP8B1_13733	ATP8B1	301
DEFB1_4699	DEFB1	37
SCNN1B_16927	SCNN1B	114
HAUS1_57416	HAUS1	79
CDK2_2899	CDK2	30
TMEM60_54743	TMEM60	53
DBX2_72879	DBX2	32
DPH1_4988	DPH1	90
CPLX2_29253	CPLX2	118
PKNOX2_47059	PKNOX2	38
TMPRSS7_69634	TMPRSS7	128
TNFRSF17_1667	TNFRSF17	49
KIAA1211L_69579	KIAA1211L	57
Non-Targeting Control_77144	Non-Targeting Control	97
SDK1_65919	SDK1	87
LRRC39_59361	LRRC39	62
MACC1_69738	MACC1	113
CLN5_3409	CLN5	21
TMEM132C_56190	TMEM132C	125
TEX101_52306	TEX101	39
GTF3C5_24500	GTF3C5	121
